TEMPORAL;SEXO;MCVL_INTERVINGRESOS;TERRITORIO;MCVL_PENSIONISTA;INDICATOR;OBS_VALUE;FREQ
2007;M;55206;ES612;55179;POP;5875.0;A
2007;M;55206;ES613;55179;POP;4025.0;A
2007;M;55206;ES614;55179;POP;4250.0;A
2007;M;55206;ES615;55179;POP;2875.0;A
2007;M;55206;ES616;55179;POP;3625.0;A
2007;M;55206;ES617;55179;POP;6975.0;A
2007;M;55206;ES618;55179;POP;10950.0;A
2007;M;55206;ES61;55179;POP;40750.0;A
2007;M;;ES611;55179;POP;1275.0;A
2007;M;;ES612;55179;POP;1950.0;A
2007;M;;ES613;55179;POP;2075.0;A
2007;M;;ES614;55179;POP;1625.0;A
2007;M;;ES615;55179;POP;725.0;A
2007;M;;ES616;55179;POP;950.0;A
2007;M;;ES617;55179;POP;2875.0;A
2007;M;;ES618;55179;POP;2675.0;A
2007;M;;ES61;55179;POP;14150.0;A
2007;M;55207;ES611;55179;POP;43575.0;A
2007;M;55207;ES612;55179;POP;97250.0;A
2007;M;55207;ES613;55179;POP;71250.0;A
2007;M;55207;ES614;55179;POP;81500.0;A
2007;M;55207;ES615;55179;POP;44625.0;A
2007;M;55207;ES616;55179;POP;69500.0;A
2007;M;55207;ES617;55179;POP;111850.0;A
2007;M;55207;ES618;55179;POP;154000.0;A
2007;M;55207;ES61;55179;POP;673550.0;A
2007;F;55203;ES611;55179;POP;30650.0;A
2007;F;55203;ES612;55179;POP;52150.0;A
2007;F;55203;ES613;55179;POP;54275.0;A
2007;F;55203;ES614;55179;POP;57225.0;A
2007;F;55203;ES615;55179;POP;28825.0;A
2007;F;55203;ES616;55179;POP;40100.0;A
2007;F;55203;ES617;55179;POP;69700.0;A
2007;F;55203;ES618;55179;POP;109475.0;A
2007;F;55203;ES61;55179;POP;442400.0;A
2007;F;55204;ES611;55179;POP;6300.0;A
2007;F;55204;ES612;55179;POP;16675.0;A
2007;F;55204;ES613;55179;POP;13825.0;A
2007;F;55204;ES614;55179;POP;13125.0;A
2007;F;55204;ES615;55179;POP;7125.0;A
2007;F;55204;ES616;55179;POP;10350.0;A
