TEMPORAL;SEXO;MCVL_TIPOCOTIZACION;TERRITORIO;MCVL_COTIZANTE;INDICATOR;OBS_VALUE;FREQ
2006;_T;53597;ES613;53591;POP;114475.0;A
2006;_T;53597;ES614;53591;POP;105625.0;A
2006;_T;53597;ES615;53591;POP;86025.0;A
2006;_T;53597;ES616;53591;POP;97950.0;A
2006;_T;53597;ES617;53591;POP;128575.0;A
2006;_T;53597;ES618;53591;POP;222750.0;A
2006;_T;53597;ES61;53591;POP;962200.0;A
2006;_T;53593;ES611;53591;POP;315575.0;A
2006;_T;53593;ES612;53591;POP;521150.0;A
2006;_T;53593;ES613;53591;POP;366700.0;A
2006;_T;53593;ES614;53591;POP;412225.0;A
2006;_T;53593;ES615;53591;POP;266850.0;A
2006;_T;53593;ES616;53591;POP;297725.0;A
2006;_T;53593;ES617;53591;POP;703925.0;A
2006;_T;53593;ES618;53591;POP;876675.0;A
2006;_T;53593;ES61;53591;POP;3760825.0;A
2007;M;53594;ES611;53591;POP;139475.0;A
2007;M;53594;ES612;53591;POP;234000.0;A
2007;M;53594;ES613;53591;POP;153475.0;A
2007;M;53594;ES614;53591;POP;179075.0;A
2007;M;53594;ES615;53591;POP;99200.0;A
2007;M;53594;ES616;53591;POP;121025.0;A
2007;M;53594;ES617;53591;POP;324700.0;A
2007;M;53594;ES618;53591;POP;387200.0;A
2007;M;53594;ES61;53591;POP;1638150.0;A
2007;M;53595;ES611;53591;POP;2975.0;A
2007;M;53595;ES612;53591;POP;10325.0;A
2007;M;53595;ES613;53591;POP;4825.0;A
2007;M;53595;ES614;53591;POP;4800.0;A
2007;M;53595;ES615;53591;POP;3300.0;A
2007;M;53595;ES616;53591;POP;2575.0;A
2007;M;53595;ES617;53591;POP;10675.0;A
2007;M;53595;ES618;53591;POP;12425.0;A
2007;M;53595;ES61;53591;POP;51900.0;A
2007;M;53596;ES611;53591;POP;1225.0;A
2007;M;53596;ES612;53591;POP;1425.0;A
2007;M;53596;ES613;53591;POP;2075.0;A
2007;M;53596;ES614;53591;POP;2475.0;A
2007;M;53596;ES615;53591;POP;1125.0;A
2007;M;53596;ES616;53591;POP;1125.0;A
2007;M;53596;ES617;53591;POP;3050.0;A
2007;M;53596;ES618;53591;POP;3000.0;A
2007;M;53596;ES61;53591;POP;15500.0;A
2007;M;53597;ES611;53591;POP;47525.0;A
2007;M;53597;ES612;53591;POP;75575.0;A
2007;M;53597;ES613;53591;POP;56425.0;A
2007;M;53597;ES614;53591;POP;52925.0;A
2007;M;53597;ES615;53591;POP;42075.0;A
2007;M;53597;ES616;53591;POP;51900.0;A
2007;M;53597;ES617;53591;POP;72300.0;A
2007;M;53597;ES618;53591;POP;111300.0;A
2007;M;53597;ES61;53591;POP;510025.0;A
2007;M;53593;ES611;53591;POP;191200.0;A
2007;M;53593;ES612;53591;POP;321325.0;A
2007;M;53593;ES613;53591;POP;216800.0;A
2007;M;53593;ES614;53591;POP;239275.0;A
2007;M;53593;ES615;53591;POP;145700.0;A
2007;M;53593;ES616;53591;POP;176625.0;A
2007;M;53593;ES617;53591;POP;410725.0;A
2007;M;53593;ES618;53591;POP;513925.0;A
2007;M;53593;ES61;53591;POP;2215575.0;A
2007;F;53594;ES611;53591;POP;89250.0;A
2007;F;53594;ES612;53591;POP;154450.0;A
2007;F;53594;ES613;53591;POP;93225.0;A
2007;F;53594;ES614;53591;POP;118625.0;A
2007;F;53594;ES615;53591;POP;75150.0;A
2007;F;53594;ES616;53591;POP;78075.0;A
2007;F;53594;ES617;53591;POP;232975.0;A
2007;F;53594;ES618;53591;POP;257525.0;A
2007;F;53594;ES61;53591;POP;1099275.0;A
2007;F;53595;ES611;53591;POP;4325.0;A
2007;F;53595;ES612;53591;POP;15275.0;A
2007;F;53595;ES613;53591;POP;7200.0;A
2007;F;53595;ES614;53591;POP;6025.0;A
2007;F;53595;ES615;53591;POP;3475.0;A
2007;F;53595;ES616;53591;POP;4625.0;A
2007;F;53595;ES617;53591;POP;13650.0;A
2007;F;53595;ES618;53591;POP;17525.0;A
2007;F;53595;ES61;53591;POP;72100.0;A
2007;F;53596;ES611;53591;POP;2225.0;A
2007;F;53596;ES612;53591;POP;1400.0;A
2007;F;53596;ES613;53591;POP;2650.0;A
2007;F;53596;ES614;53591;POP;4075.0;A
2007;F;53596;ES615;53591;POP;1475.0;A
2007;F;53596;ES616;53591;POP;2125.0;A
2007;F;53596;ES617;53591;POP;3600.0;A
2007;F;53596;ES618;53591;POP;4225.0;A
2007;F;53596;ES61;53591;POP;21775.0;A
2007;F;53597;ES611;53591;POP;41750.0;A
2007;F;53597;ES612;53591;POP;53400.0;A
2007;F;53597;ES613;53591;POP;60325.0;A
2007;F;53597;ES614;53591;POP;60875.0;A
2007;F;53597;ES615;53591;POP;49075.0;A
2007;F;53597;ES616;53591;POP;47725.0;A
2007;F;53597;ES617;53591;POP;66325.0;A
2007;F;53597;ES618;53591;POP;118775.0;A
2007;F;53597;ES61;53591;POP;498250.0;A
2007;F;53593;ES611;53591;POP;137550.0;A
2007;F;53593;ES612;53591;POP;224525.0;A
2007;F;53593;ES613;53591;POP;163400.0;A
2007;F;53593;ES614;53591;POP;189600.0;A
2007;F;53593;ES615;53591;POP;129175.0;A
2007;F;53593;ES616;53591;POP;132550.0;A
2007;F;53593;ES617;53591;POP;316550.0;A
2007;F;53593;ES618;53591;POP;398050.0;A
2007;F;53593;ES61;53591;POP;1691400.0;A
2007;_T;53594;ES611;53591;POP;228725.0;A
2007;_T;53594;ES612;53591;POP;388450.0;A
2007;_T;53594;ES613;53591;POP;246700.0;A
2007;_T;53594;ES614;53591;POP;297700.0;A
2007;_T;53594;ES615;53591;POP;174350.0;A
2007;_T;53594;ES616;53591;POP;199100.0;A
2007;_T;53594;ES617;53591;POP;557675.0;A
2007;_T;53594;ES618;53591;POP;644725.0;A
2007;_T;53594;ES61;53591;POP;2737425.0;A
2007;_T;53595;ES611;53591;POP;7300.0;A
2007;_T;53595;ES612;53591;POP;25600.0;A
2007;_T;53595;ES613;53591;POP;12025.0;A
2007;_T;53595;ES614;53591;POP;10825.0;A
2007;_T;53595;ES615;53591;POP;6775.0;A
2007;_T;53595;ES616;53591;POP;7200.0;A
2007;_T;53595;ES617;53591;POP;24325.0;A
2007;_T;53595;ES618;53591;POP;29950.0;A
2007;_T;53595;ES61;53591;POP;124000.0;A
2007;_T;53596;ES611;53591;POP;3450.0;A
2007;_T;53596;ES612;53591;POP;2825.0;A
2007;_T;53596;ES613;53591;POP;4725.0;A
2007;_T;53596;ES614;53591;POP;6550.0;A
2007;_T;53596;ES615;53591;POP;2600.0;A
2007;_T;53596;ES616;53591;POP;3250.0;A
2007;_T;53596;ES617;53591;POP;6650.0;A
2007;_T;53596;ES618;53591;POP;7225.0;A
2007;_T;53596;ES61;53591;POP;37275.0;A
2007;_T;53597;ES611;53591;POP;89275.0;A
2007;_T;53597;ES612;53591;POP;128975.0;A
2007;_T;53597;ES613;53591;POP;116750.0;A
2007;_T;53597;ES614;53591;POP;113800.0;A
2007;_T;53597;ES615;53591;POP;91150.0;A
2007;_T;53597;ES616;53591;POP;99625.0;A
2007;_T;53597;ES617;53591;POP;138625.0;A
2007;_T;53597;ES618;53591;POP;230075.0;A
2007;_T;53597;ES61;53591;POP;1008275.0;A
2007;_T;53593;ES611;53591;POP;328750.0;A
2007;_T;53593;ES612;53591;POP;545850.0;A
2007;_T;53593;ES613;53591;POP;380200.0;A
2007;_T;53593;ES614;53591;POP;428875.0;A
2007;_T;53593;ES615;53591;POP;274875.0;A
2007;_T;53593;ES616;53591;POP;309175.0;A
2007;_T;53593;ES617;53591;POP;727275.0;A
2007;_T;53593;ES618;53591;POP;911975.0;A
2007;_T;53593;ES61;53591;POP;3906975.0;A
2008;M;53594;ES611;53591;POP;122950.0;A
2008;M;53594;ES612;53591;POP;207300.0;A
2008;M;53594;ES613;53591;POP;141125.0;A
2008;M;53594;ES614;53591;POP;160575.0;A
2008;M;53594;ES615;53591;POP;89600.0;A
2008;M;53594;ES616;53591;POP;111425.0;A
2008;M;53594;ES617;53591;POP;289025.0;A
2008;M;53594;ES618;53591;POP;350375.0;A
2008;M;53594;ES61;53591;POP;1472375.0;A
2008;M;53595;ES611;53591;POP;5975.0;A
2008;M;53595;ES612;53591;POP;15525.0;A
2008;M;53595;ES613;53591;POP;6425.0;A
2008;M;53595;ES614;53591;POP;7800.0;A
2008;M;53595;ES615;53591;POP;3825.0;A
2008;M;53595;ES616;53591;POP;3400.0;A
2008;M;53595;ES617;53591;POP;14725.0;A
2008;M;53595;ES618;53591;POP;17500.0;A
2008;M;53595;ES61;53591;POP;75175.0;A
2008;M;53596;ES611;53591;POP;1175.0;A
2008;M;53596;ES612;53591;POP;1850.0;A
2008;M;53596;ES613;53591;POP;2025.0;A
2008;M;53596;ES614;53591;POP;2350.0;A
2008;M;53596;ES615;53591;POP;1125.0;A
2008;M;53596;ES616;53591;POP;1350.0;A
2008;M;53596;ES617;53591;POP;2625.0;A
2008;M;53596;ES618;53591;POP;2800.0;A
2008;M;53596;ES61;53591;POP;15300.0;A
2008;M;53597;ES611;53591;POP;59425.0;A
2008;M;53597;ES612;53591;POP;92775.0;A
2008;M;53597;ES613;53591;POP;67725.0;A
2008;M;53597;ES614;53591;POP;66375.0;A
2008;M;53597;ES615;53591;POP;50700.0;A
2008;M;53597;ES616;53591;POP;60725.0;A
2008;M;53597;ES617;53591;POP;98650.0;A
2008;M;53597;ES618;53591;POP;143375.0;A
2008;M;53597;ES61;53591;POP;639750.0;A
2008;M;53593;ES611;53591;POP;189525.0;A
2008;M;53593;ES612;53591;POP;317450.0;A
2008;M;53593;ES613;53591;POP;217300.0;A
2008;M;53593;ES614;53591;POP;237100.0;A
2008;M;53593;ES615;53591;POP;145250.0;A
2008;M;53593;ES616;53591;POP;176900.0;A
2008;M;53593;ES617;53591;POP;405025.0;A
2008;M;53593;ES618;53591;POP;514050.0;A
2008;M;53593;ES61;53591;POP;2202600.0;A
2008;F;53594;ES611;53591;POP;87675.0;A
2008;F;53594;ES612;53591;POP;150775.0;A
2008;F;53594;ES613;53591;POP;93300.0;A
2008;F;53594;ES614;53591;POP;114025.0;A
2008;F;53594;ES615;53591;POP;80575.0;A
2008;F;53594;ES616;53591;POP;76750.0;A
2008;F;53594;ES617;53591;POP;224650.0;A
2008;F;53594;ES618;53591;POP;253975.0;A
2008;F;53594;ES61;53591;POP;1081725.0;A
2008;F;53595;ES611;53591;POP;5050.0;A
2008;F;53595;ES612;53591;POP;21575.0;A
2008;F;53595;ES613;53591;POP;9350.0;A
2008;F;53595;ES614;53591;POP;7400.0;A
2008;F;53595;ES615;53591;POP;4650.0;A
2008;F;53595;ES616;53591;POP;6050.0;A
2008;F;53595;ES617;53591;POP;17575.0;A
2008;F;53595;ES618;53591;POP;23450.0;A
2008;F;53595;ES61;53591;POP;95100.0;A
2008;F;53596;ES611;53591;POP;4025.0;A
2008;F;53596;ES612;53591;POP;5325.0;A
2008;F;53596;ES613;53591;POP;4050.0;A
2008;F;53596;ES614;53591;POP;4925.0;A
2008;F;53596;ES615;53591;POP;2625.0;A
2008;F;53596;ES616;53591;POP;4575.0;A
2008;F;53596;ES617;53591;POP;6650.0;A
2008;F;53596;ES618;53591;POP;6650.0;A
2008;F;53596;ES61;53591;POP;38825.0;A
2008;F;53597;ES611;53591;POP;47500.0;A
2008;F;53597;ES612;53591;POP;58275.0;A
2008;F;53597;ES613;53591;POP;62350.0;A
2008;F;53597;ES614;53591;POP;66350.0;A
2008;F;53597;ES615;53591;POP;50775.0;A
2008;F;53597;ES616;53591;POP;49325.0;A
2008;F;53597;ES617;53591;POP;74225.0;A
2008;F;53597;ES618;53591;POP;125925.0;A
2008;F;53597;ES61;53591;POP;534725.0;A
2008;F;53593;ES611;53591;POP;144250.0;A
2008;F;53593;ES612;53591;POP;235950.0;A
2008;F;53593;ES613;53591;POP;169050.0;A
2008;F;53593;ES614;53591;POP;192700.0;A
2008;F;53593;ES615;53591;POP;138625.0;A
2008;F;53593;ES616;53591;POP;136700.0;A
2008;F;53593;ES617;53591;POP;323100.0;A
2008;F;53593;ES618;53591;POP;410000.0;A
2008;F;53593;ES61;53591;POP;1750375.0;A
2008;_T;53594;ES611;53591;POP;210625.0;A
2008;_T;53594;ES612;53591;POP;358075.0;A
2008;_T;53594;ES613;53591;POP;234425.0;A
2008;_T;53594;ES614;53591;POP;274600.0;A
2008;_T;53594;ES615;53591;POP;170175.0;A
2008;_T;53594;ES616;53591;POP;188175.0;A
2008;_T;53594;ES617;53591;POP;513675.0;A
2008;_T;53594;ES618;53591;POP;604350.0;A
2008;_T;53594;ES61;53591;POP;2554100.0;A
2008;_T;53595;ES611;53591;POP;11025.0;A
2008;_T;53595;ES612;53591;POP;37100.0;A
2008;_T;53595;ES613;53591;POP;15775.0;A
2008;_T;53595;ES614;53591;POP;15200.0;A
2008;_T;53595;ES615;53591;POP;8475.0;A
2008;_T;53595;ES616;53591;POP;9450.0;A
2008;_T;53595;ES617;53591;POP;32300.0;A
2008;_T;53595;ES618;53591;POP;40950.0;A
2008;_T;53595;ES61;53591;POP;170275.0;A
2008;_T;53596;ES611;53591;POP;5200.0;A
2008;_T;53596;ES612;53591;POP;7175.0;A
2008;_T;53596;ES613;53591;POP;6075.0;A
2008;_T;53596;ES614;53591;POP;7275.0;A
2008;_T;53596;ES615;53591;POP;3750.0;A
2008;_T;53596;ES616;53591;POP;5925.0;A
2008;_T;53596;ES617;53591;POP;9275.0;A
2008;_T;53596;ES618;53591;POP;9450.0;A
2008;_T;53596;ES61;53591;POP;54125.0;A
2008;_T;53597;ES611;53591;POP;106925.0;A
2008;_T;53597;ES612;53591;POP;151050.0;A
2008;_T;53597;ES613;53591;POP;130075.0;A
2008;_T;53597;ES614;53591;POP;132725.0;A
2008;_T;53597;ES615;53591;POP;101475.0;A
2008;_T;53597;ES616;53591;POP;110050.0;A
2008;_T;53597;ES617;53591;POP;172875.0;A
2008;_T;53597;ES618;53591;POP;269300.0;A
2008;_T;53597;ES61;53591;POP;1174475.0;A
2008;_T;53593;ES611;53591;POP;333775.0;A
2008;_T;53593;ES612;53591;POP;553400.0;A
2008;_T;53593;ES613;53591;POP;386350.0;A
2008;_T;53593;ES614;53591;POP;429800.0;A
2008;_T;53593;ES615;53591;POP;283875.0;A
2008;_T;53593;ES616;53591;POP;313600.0;A
2008;_T;53593;ES617;53591;POP;728125.0;A
2008;_T;53593;ES618;53591;POP;924050.0;A
2008;_T;53593;ES61;53591;POP;3952975.0;A
2009;M;53594;ES611;53591;POP;106825.0;A
2009;M;53594;ES612;53591;POP;183750.0;A
2009;M;53594;ES613;53591;POP;121950.0;A
2009;M;53594;ES614;53591;POP;139750.0;A
2009;M;53594;ES615;53591;POP;77925.0;A
2009;M;53594;ES616;53591;POP;91400.0;A
2009;M;53594;ES617;53591;POP;258050.0;A
2009;M;53594;ES618;53591;POP;314000.0;A
2009;M;53594;ES61;53591;POP;1293650.0;A
2009;M;53595;ES611;53591;POP;12950.0;A
2009;M;53595;ES612;53591;POP;22800.0;A
2009;M;53595;ES613;53591;POP;10825.0;A
2009;M;53595;ES614;53591;POP;14100.0;A
2009;M;53595;ES615;53591;POP;6400.0;A
2009;M;53595;ES616;53591;POP;5100.0;A
2009;M;53595;ES617;53591;POP;29850.0;A
2009;M;53595;ES618;53591;POP;31875.0;A
2009;M;53595;ES61;53591;POP;133900.0;A
2009;M;53596;ES611;53591;POP;1300.0;A
2009;M;53596;ES612;53591;POP;2400.0;A
2009;M;53596;ES613;53591;POP;1900.0;A
2009;M;53596;ES614;53591;POP;2550.0;A
2009;M;53596;ES615;53591;POP;1150.0;A
2009;M;53596;ES616;53591;POP;1500.0;A
2009;M;53596;ES617;53591;POP;2825.0;A
2009;M;53596;ES618;53591;POP;3000.0;A
2009;M;53596;ES61;53591;POP;16625.0;A
2009;M;53597;ES611;53591;POP;65925.0;A
2009;M;53597;ES612;53591;POP;98000.0;A
2009;M;53597;ES613;53591;POP;76650.0;A
2009;M;53597;ES614;53591;POP;73175.0;A
2009;M;53597;ES615;53591;POP;58800.0;A
2009;M;53597;ES616;53591;POP;76175.0;A
2009;M;53597;ES617;53591;POP;103650.0;A
2009;M;53597;ES618;53591;POP;155425.0;A
2009;M;53597;ES61;53591;POP;707800.0;A
2009;M;53593;ES611;53591;POP;187000.0;A
2009;M;53593;ES612;53591;POP;306950.0;A
2009;M;53593;ES613;53591;POP;211325.0;A
2009;M;53593;ES614;53591;POP;229575.0;A
2009;M;53593;ES615;53591;POP;144275.0;A
2009;M;53593;ES616;53591;POP;174175.0;A
2009;M;53593;ES617;53591;POP;394375.0;A
2009;M;53593;ES618;53591;POP;504300.0;A
2009;M;53593;ES61;53591;POP;2151975.0;A
2009;F;53594;ES611;53591;POP;81725.0;A
2009;F;53594;ES612;53591;POP;138925.0;A
2009;F;53594;ES613;53591;POP;87825.0;A
2009;F;53594;ES614;53591;POP;108225.0;A
2009;F;53594;ES615;53591;POP;53125.0;A
2009;F;53594;ES616;53591;POP;68275.0;A
2009;F;53594;ES617;53591;POP;211225.0;A
2009;F;53594;ES618;53591;POP;242125.0;A
2009;F;53594;ES61;53591;POP;991450.0;A
2009;F;53595;ES611;53591;POP;8600.0;A
2009;F;53595;ES612;53591;POP;27725.0;A
2009;F;53595;ES613;53591;POP;11325.0;A
2009;F;53595;ES614;53591;POP;11475.0;A
2009;F;53595;ES615;53591;POP;5700.0;A
2009;F;53595;ES616;53591;POP;7875.0;A
2009;F;53595;ES617;53591;POP;24900.0;A
2009;F;53595;ES618;53591;POP;31950.0;A
2009;F;53595;ES61;53591;POP;129550.0;A
2009;F;53596;ES611;53591;POP;6175.0;A
2009;F;53596;ES612;53591;POP;8450.0;A
2009;F;53596;ES613;53591;POP;5900.0;A
2009;F;53596;ES614;53591;POP;6550.0;A
2009;F;53596;ES615;53591;POP;4425.0;A
2009;F;53596;ES616;53591;POP;7450.0;A
2009;F;53596;ES617;53591;POP;9225.0;A
2009;F;53596;ES618;53591;POP;9200.0;A
2009;F;53596;ES61;53591;POP;57375.0;A
2009;F;53597;ES611;53591;POP;50225.0;A
2009;F;53597;ES612;53591;POP;65025.0;A
2009;F;53597;ES613;53591;POP;64050.0;A
2009;F;53597;ES614;53591;POP;66425.0;A
2009;F;53597;ES615;53591;POP;75625.0;A
2009;F;53597;ES616;53591;POP;55475.0;A
2009;F;53597;ES617;53591;POP;79875.0;A
2009;F;53597;ES618;53591;POP;127600.0;A
2009;F;53597;ES61;53591;POP;584300.0;A
2009;F;53593;ES611;53591;POP;146725.0;A
2009;F;53593;ES612;53591;POP;240125.0;A
2009;F;53593;ES613;53591;POP;169100.0;A
2009;F;53593;ES614;53591;POP;192675.0;A
2009;F;53593;ES615;53591;POP;138875.0;A
2009;F;53593;ES616;53591;POP;139075.0;A
2009;F;53593;ES617;53591;POP;325225.0;A
2009;F;53593;ES618;53591;POP;410875.0;A
2009;F;53593;ES61;53591;POP;1762675.0;A
2009;_T;53594;ES611;53591;POP;188550.0;A
2009;_T;53594;ES612;53591;POP;322675.0;A
2009;_T;53594;ES613;53591;POP;209775.0;A
2009;_T;53594;ES614;53591;POP;247975.0;A
2009;_T;53594;ES615;53591;POP;131050.0;A
2009;_T;53594;ES616;53591;POP;159675.0;A
2009;_T;53594;ES617;53591;POP;469275.0;A
2009;_T;53594;ES618;53591;POP;556125.0;A
2009;_T;53594;ES61;53591;POP;2285100.0;A
2009;_T;53595;ES611;53591;POP;21550.0;A
2009;_T;53595;ES612;53591;POP;50525.0;A
2009;_T;53595;ES613;53591;POP;22150.0;A
2009;_T;53595;ES614;53591;POP;25575.0;A
2009;_T;53595;ES615;53591;POP;12100.0;A
2009;_T;53595;ES616;53591;POP;12975.0;A
2009;_T;53595;ES617;53591;POP;54750.0;A
2009;_T;53595;ES618;53591;POP;63825.0;A
2009;_T;53595;ES61;53591;POP;263450.0;A
2009;_T;53596;ES611;53591;POP;7475.0;A
2009;_T;53596;ES612;53591;POP;10850.0;A
2009;_T;53596;ES613;53591;POP;7800.0;A
2009;_T;53596;ES614;53591;POP;9100.0;A
2009;_T;53596;ES615;53591;POP;5575.0;A
2009;_T;53596;ES616;53591;POP;8950.0;A
2009;_T;53596;ES617;53591;POP;12050.0;A
2009;_T;53596;ES618;53591;POP;12200.0;A
2009;_T;53596;ES61;53591;POP;74000.0;A
2009;_T;53597;ES611;53591;POP;116150.0;A
2009;_T;53597;ES612;53591;POP;163025.0;A
2009;_T;53597;ES613;53591;POP;140700.0;A
2009;_T;53597;ES614;53591;POP;139600.0;A
2009;_T;53597;ES615;53591;POP;134425.0;A
2009;_T;53597;ES616;53591;POP;131650.0;A
2009;_T;53597;ES617;53591;POP;183525.0;A
2009;_T;53597;ES618;53591;POP;283025.0;A
2009;_T;53597;ES61;53591;POP;1292100.0;A
2009;_T;53593;ES611;53591;POP;333725.0;A
2009;_T;53593;ES612;53591;POP;547075.0;A
2009;_T;53593;ES613;53591;POP;380425.0;A
2009;_T;53593;ES614;53591;POP;422250.0;A
2009;_T;53593;ES615;53591;POP;283150.0;A
2009;_T;53593;ES616;53591;POP;313250.0;A
2009;_T;53593;ES617;53591;POP;719600.0;A
2009;_T;53593;ES618;53591;POP;915175.0;A
2009;_T;53593;ES61;53591;POP;3914650.0;A
2010;M;53594;ES611;53591;POP;99800.0;A
2010;M;53594;ES612;53591;POP;178225.0;A
2010;M;53594;ES613;53591;POP;117325.0;A
