TEMPORAL;SEXO;TIPRELACIONSS;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2007;_T;55182;ES618;POP;881425.0;A
2007;_T;55182;ES61;POP;3789025.0;A
2007;_T;55183;ES611;POP;75375.0;A
2007;_T;55183;ES612;POP;155100.0;A
2007;_T;55183;ES613;POP;132350.0;A
2007;_T;55183;ES614;POP;144175.0;A
2007;_T;55183;ES615;POP;74075.0;A
2007;_T;55183;ES616;POP;113400.0;A
2007;_T;55183;ES617;POP;191900.0;A
2007;_T;55183;ES618;POP;274275.0;A
2007;_T;55183;ES61;POP;1160650.0;A
2007;_T;55184;ES611;POP;7825.0;A
2007;_T;55184;ES612;POP;16925.0;A
2007;_T;55184;ES613;POP;11975.0;A
2007;_T;55184;ES614;POP;13075.0;A
2007;_T;55184;ES615;POP;8750.0;A
2007;_T;55184;ES616;POP;10575.0;A
2007;_T;55184;ES617;POP;18275.0;A
2007;_T;55184;ES618;POP;30550.0;A
2007;_T;55184;ES61;POP;117950.0;A
2008;M;55181;ES611;POP;229700.0;A
2008;M;55181;ES612;POP;404575.0;A
2008;M;55181;ES613;POP;282300.0;A
2008;M;55181;ES614;POP;311175.0;A
2008;M;55181;ES615;POP;184825.0;A
2008;M;55181;ES616;POP;240025.0;A
2008;M;55181;ES617;POP;506975.0;A
2008;M;55181;ES618;POP;651450.0;A
2008;M;55181;ES61;POP;2811025.0;A
2008;M;55182;ES611;POP;185375.0;A
2008;M;55182;ES612;POP;306100.0;A
2008;M;55182;ES613;POP;210475.0;A
2008;M;55182;ES614;POP;229700.0;A
2008;M;55182;ES615;POP;139550.0;A
2008;M;55182;ES616;POP;170700.0;A
2008;M;55182;ES617;POP;393125.0;A
2008;M;55182;ES618;POP;494425.0;A
2008;M;55182;ES61;POP;2129450.0;A
2008;M;55183;ES611;POP;40175.0;A
2008;M;55183;ES612;POP;87125.0;A
2008;M;55183;ES613;POP;65000.0;A
2008;M;55183;ES614;POP;74075.0;A
2008;M;55183;ES615;POP;39575.0;A
2008;M;55183;ES616;POP;63125.0;A
2008;M;55183;ES617;POP;101950.0;A
2008;M;55183;ES618;POP;137400.0;A
2008;M;55183;ES61;POP;608425.0;A
2008;M;55184;ES611;POP;4150.0;A
2008;M;55184;ES612;POP;11350.0;A
2008;M;55184;ES613;POP;6825.0;A
2008;M;55184;ES614;POP;7400.0;A
2008;M;55184;ES615;POP;5700.0;A
2008;M;55184;ES616;POP;6200.0;A
2008;M;55184;ES617;POP;11900.0;A
2008;M;55184;ES618;POP;19625.0;A
2008;M;55184;ES61;POP;73150.0;A
2008;F;55181;ES611;POP;180225.0;A
2008;F;55181;ES612;POP;305625.0;A
2008;F;55181;ES613;POP;235725.0;A
2008;F;55181;ES614;POP;262125.0;A
2008;F;55181;ES615;POP;173400.0;A
2008;F;55181;ES616;POP;186400.0;A
2008;F;55181;ES617;POP;415400.0;A
2008;F;55181;ES618;POP;550625.0;A
2008;F;55181;ES61;POP;2309525.0;A
2008;F;55182;ES611;POP;140400.0;A
2008;F;55182;ES612;POP;229400.0;A
2008;F;55182;ES613;POP;162350.0;A
2008;F;55182;ES614;POP;186050.0;A
2008;F;55182;ES615;POP;134725.0;A
2008;F;55182;ES616;POP;131900.0;A
2008;F;55182;ES617;POP;315300.0;A
