TEMPORAL;TERRITORIO;SEXO;PCSSA_JUBVIUDEDAD;INDICATOR;OBS_VALUE;FREQ;CLASEDEPENSION;EDAD
2019;2289;_T;212544;NUM_PEN_PERS;230.0;A;_Z;_Z
2019;2289;M;212544;NUM_PEN_PERS;169.0;A;_Z;_Z
2019;2289;F;212544;NUM_PEN_PERS;61.0;A;_Z;_Z
2019;2290;_T;212544;NUM_PEN_PERS;628.0;A;_Z;_Z
2019;2290;M;212544;NUM_PEN_PERS;497.0;A;_Z;_Z
2019;2290;F;212544;NUM_PEN_PERS;131.0;A;_Z;_Z
2019;2291;_T;212544;NUM_PEN_PERS;143.0;A;_Z;_Z
2019;2291;M;212544;NUM_PEN_PERS;97.0;A;_Z;_Z
2019;2291;F;212544;NUM_PEN_PERS;46.0;A;_Z;_Z
2019;2292;_T;212544;NUM_PEN_PERS;57.0;A;_Z;_Z
2019;2292;M;212544;NUM_PEN_PERS;45.0;A;_Z;_Z
2019;2292;F;212544;NUM_PEN_PERS;12.0;A;_Z;_Z
2019;2293;_T;212544;NUM_PEN_PERS;697.0;A;_Z;_Z
2019;2293;M;212544;NUM_PEN_PERS;565.0;A;_Z;_Z
2019;2293;F;212544;NUM_PEN_PERS;132.0;A;_Z;_Z
2019;2294;_T;212544;NUM_PEN_PERS;1611.0;A;_Z;_Z
2019;2294;M;212544;NUM_PEN_PERS;1105.0;A;_Z;_Z
2019;2294;F;212544;NUM_PEN_PERS;506.0;A;_Z;_Z
2019;2295;_T;212544;NUM_PEN_PERS;61.0;A;_Z;_Z
2019;2295;M;212544;NUM_PEN_PERS;47.0;A;_Z;_Z
2019;2295;F;212544;NUM_PEN_PERS;14.0;A;_Z;_Z
2019;2296;_T;212544;NUM_PEN_PERS;68.0;A;_Z;_Z
2019;2296;M;212544;NUM_PEN_PERS;49.0;A;_Z;_Z
2019;2296;F;212544;NUM_PEN_PERS;19.0;A;_Z;_Z
2019;2297;_T;212544;NUM_PEN_PERS;28.0;A;_Z;_Z
2019;2297;M;212544;NUM_PEN_PERS;22.0;A;_Z;_Z
2019;2297;F;212544;NUM_PEN_PERS;6.0;A;_Z;_Z
2019;2298;_T;212544;NUM_PEN_PERS;209.0;A;_Z;_Z
2019;2298;M;212544;NUM_PEN_PERS;160.0;A;_Z;_Z
2019;2298;F;212544;NUM_PEN_PERS;49.0;A;_Z;_Z
2019;2299;_T;212544;NUM_PEN_PERS;64.0;A;_Z;_Z
2019;2299;M;212544;NUM_PEN_PERS;52.0;A;_Z;_Z
2019;2299;F;212544;NUM_PEN_PERS;12.0;A;_Z;_Z
2019;2300;_T;212544;NUM_PEN_PERS;282.0;A;_Z;_Z
2019;2300;M;212544;NUM_PEN_PERS;176.0;A;_Z;_Z
2019;2300;F;212544;NUM_PEN_PERS;106.0;A;_Z;_Z
2019;2301;_T;212544;NUM_PEN_PERS;77.0;A;_Z;_Z
2019;2301;M;212544;NUM_PEN_PERS;55.0;A;_Z;_Z
2019;2301;F;212544;NUM_PEN_PERS;22.0;A;_Z;_Z
2019;2302;_T;212544;NUM_PEN_PERS;106.0;A;_Z;_Z
2019;2302;M;212544;NUM_PEN_PERS;69.0;A;_Z;_Z
2019;2302;F;212544;NUM_PEN_PERS;37.0;A;_Z;_Z
2019;2303;_T;212544;NUM_PEN_PERS;512.0;A;_Z;_Z
2019;2303;M;212544;NUM_PEN_PERS;461.0;A;_Z;_Z
2019;2303;F;212544;NUM_PEN_PERS;51.0;A;_Z;_Z
2019;2304;_T;212544;NUM_PEN_PERS;253.0;A;_Z;_Z
2019;2304;M;212544;NUM_PEN_PERS;157.0;A;_Z;_Z
2019;2304;F;212544;NUM_PEN_PERS;96.0;A;_Z;_Z
2019;2305;_T;212544;NUM_PEN_PERS;427.0;A;_Z;_Z
2019;2305;M;212544;NUM_PEN_PERS;284.0;A;_Z;_Z
2019;2305;F;212544;NUM_PEN_PERS;143.0;A;_Z;_Z
2019;2348;_T;212544;NUM_PEN_PERS;481.0;A;_Z;_Z
2019;2348;M;212544;NUM_PEN_PERS;324.0;A;_Z;_Z
2019;2348;F;212544;NUM_PEN_PERS;157.0;A;_Z;_Z
2019;2306;_T;212544;NUM_PEN_PERS;76.0;A;_Z;_Z
2019;2306;M;212544;NUM_PEN_PERS;53.0;A;_Z;_Z
2019;2306;F;212544;NUM_PEN_PERS;23.0;A;_Z;_Z
2019;2307;_T;212544;NUM_PEN_PERS;1717.0;A;_Z;_Z
2019;2307;M;212544;NUM_PEN_PERS;1225.0;A;_Z;_Z
2019;2307;F;212544;NUM_PEN_PERS;492.0;A;_Z;_Z
2019;2308;_T;212544;NUM_PEN_PERS;118.0;A;_Z;_Z
