TEMPORAL;TERRITORIO;CLASEDEPENSION;INDICATOR;OBS_VALUE;FREQ;SEXO;EDAD;PCSSA_JUBVIUDEDAD
2019;2315;275092;NUM_PEN;31.0;A;_Z;_Z;_Z
2019;2316;5691;NUM_PEN;151.0;A;_Z;_Z;_Z
2019;2316;5692;NUM_PEN;607.0;A;_Z;_Z;_Z
2019;2316;5693;NUM_PEN;256.0;A;_Z;_Z;_Z
2019;2316;275092;NUM_PEN;67.0;A;_Z;_Z;_Z
2019;2317;5691;NUM_PEN;27.0;A;_Z;_Z;_Z
2019;2317;5692;NUM_PEN;200.0;A;_Z;_Z;_Z
2019;2317;5693;NUM_PEN;95.0;A;_Z;_Z;_Z
2019;2317;275092;NUM_PEN;31.0;A;_Z;_Z;_Z
2019;2318;5691;NUM_PEN;7.0;A;_Z;_Z;_Z
2019;2318;5692;NUM_PEN;90.0;A;_Z;_Z;_Z
2019;2318;5693;NUM_PEN;28.0;A;_Z;_Z;_Z
2019;2318;275092;NUM_PEN;se;A;_Z;_Z;_Z
2019;2319;5691;NUM_PEN;29.0;A;_Z;_Z;_Z
2019;2319;5692;NUM_PEN;129.0;A;_Z;_Z;_Z
2019;2319;5693;NUM_PEN;81.0;A;_Z;_Z;_Z
2019;2319;275092;NUM_PEN;10.0;A;_Z;_Z;_Z
2019;2320;5691;NUM_PEN;1279.0;A;_Z;_Z;_Z
2019;2320;5692;NUM_PEN;5645.0;A;_Z;_Z;_Z
2019;2320;5693;NUM_PEN;2360.0;A;_Z;_Z;_Z
2019;2320;275092;NUM_PEN;558.0;A;_Z;_Z;_Z
2019;2321;5691;NUM_PEN;se;A;_Z;_Z;_Z
2019;2321;5692;NUM_PEN;46.0;A;_Z;_Z;_Z
2019;2321;5693;NUM_PEN;17.0;A;_Z;_Z;_Z
2019;2321;275092;NUM_PEN;se;A;_Z;_Z;_Z
2019;2322;5691;NUM_PEN;10.0;A;_Z;_Z;_Z
2019;2322;5692;NUM_PEN;70.0;A;_Z;_Z;_Z
2019;2322;5693;NUM_PEN;36.0;A;_Z;_Z;_Z
2019;2322;275092;NUM_PEN;8.0;A;_Z;_Z;_Z
2019;2323;5691;NUM_PEN;se;A;_Z;_Z;_Z
2019;2323;5692;NUM_PEN;67.0;A;_Z;_Z;_Z
2019;2323;5693;NUM_PEN;28.0;A;_Z;_Z;_Z
2019;2323;275092;NUM_PEN;se;A;_Z;_Z;_Z
2019;2324;5691;NUM_PEN;39.0;A;_Z;_Z;_Z
2019;2324;5692;NUM_PEN;358.0;A;_Z;_Z;_Z
2019;2324;5693;NUM_PEN;168.0;A;_Z;_Z;_Z
2019;2324;275092;NUM_PEN;34.0;A;_Z;_Z;_Z
2019;2325;5691;NUM_PEN;se;A;_Z;_Z;_Z
2019;2325;5692;NUM_PEN;70.0;A;_Z;_Z;_Z
2019;2325;5693;NUM_PEN;31.0;A;_Z;_Z;_Z
2019;2325;275092;NUM_PEN;se;A;_Z;_Z;_Z
2019;2326;5691;NUM_PEN;6.0;A;_Z;_Z;_Z
2019;2326;5692;NUM_PEN;68.0;A;_Z;_Z;_Z
2019;2326;5693;NUM_PEN;25.0;A;_Z;_Z;_Z
2019;2326;275092;NUM_PEN;se;A;_Z;_Z;_Z
2019;2327;5691;NUM_PEN;36.0;A;_Z;_Z;_Z
2019;2327;5692;NUM_PEN;439.0;A;_Z;_Z;_Z
2019;2327;5693;NUM_PEN;157.0;A;_Z;_Z;_Z
2019;2327;275092;NUM_PEN;30.0;A;_Z;_Z;_Z
2019;2328;5691;NUM_PEN;9.0;A;_Z;_Z;_Z
2019;2328;5692;NUM_PEN;22.0;A;_Z;_Z;_Z
2019;2328;5693;NUM_PEN;17.0;A;_Z;_Z;_Z
2019;2328;275092;NUM_PEN;se;A;_Z;_Z;_Z
2019;2329;5691;NUM_PEN;68.0;A;_Z;_Z;_Z
2019;2329;5692;NUM_PEN;531.0;A;_Z;_Z;_Z
2019;2329;5693;NUM_PEN;216.0;A;_Z;_Z;_Z
2019;2329;275092;NUM_PEN;39.0;A;_Z;_Z;_Z
2019;2330;5691;NUM_PEN;15.0;A;_Z;_Z;_Z
2019;2330;5692;NUM_PEN;165.0;A;_Z;_Z;_Z
2019;2330;5693;NUM_PEN;74.0;A;_Z;_Z;_Z
2019;2330;275092;NUM_PEN;5.0;A;_Z;_Z;_Z
2019;2331;5691;NUM_PEN;se;A;_Z;_Z;_Z
2019;2331;5692;NUM_PEN;79.0;A;_Z;_Z;_Z
2019;2331;5693;NUM_PEN;25.0;A;_Z;_Z;_Z
2019;2331;275092;NUM_PEN;se;A;_Z;_Z;_Z
2019;2332;5691;NUM_PEN;7.0;A;_Z;_Z;_Z
2019;2332;5692;NUM_PEN;69.0;A;_Z;_Z;_Z
2019;2332;5693;NUM_PEN;29.0;A;_Z;_Z;_Z
2019;2332;275092;NUM_PEN;9.0;A;_Z;_Z;_Z
2019;2333;5691;NUM_PEN;59.0;A;_Z;_Z;_Z
2019;2333;5692;NUM_PEN;481.0;A;_Z;_Z;_Z
2019;2333;5693;NUM_PEN;234.0;A;_Z;_Z;_Z
2019;2333;275092;NUM_PEN;47.0;A;_Z;_Z;_Z
2019;2346;5691;NUM_PEN;20.0;A;_Z;_Z;_Z
2019;2346;5692;NUM_PEN;130.0;A;_Z;_Z;_Z
2019;2346;5693;NUM_PEN;46.0;A;_Z;_Z;_Z
2019;2346;275092;NUM_PEN;9.0;A;_Z;_Z;_Z
2019;2334;5691;NUM_PEN;40.0;A;_Z;_Z;_Z
2019;2334;5692;NUM_PEN;353.0;A;_Z;_Z;_Z
2019;2334;5693;NUM_PEN;139.0;A;_Z;_Z;_Z
2019;2334;275092;NUM_PEN;35.0;A;_Z;_Z;_Z
2019;2335;5691;NUM_PEN;se;A;_Z;_Z;_Z
2019;2335;5692;NUM_PEN;52.0;A;_Z;_Z;_Z
2019;2335;5693;NUM_PEN;24.0;A;_Z;_Z;_Z
2019;2335;275092;NUM_PEN;se;A;_Z;_Z;_Z
2019;2336;5691;NUM_PEN;13.0;A;_Z;_Z;_Z
2019;2336;5692;NUM_PEN;166.0;A;_Z;_Z;_Z
2019;2336;5693;NUM_PEN;79.0;A;_Z;_Z;_Z
2019;2336;275092;NUM_PEN;12.0;A;_Z;_Z;_Z
2019;2337;5691;NUM_PEN;9.0;A;_Z;_Z;_Z
