TEMPORAL;EDAD;TERRITORIO;LUG_NAC_PADRON;SEXO;INDICATOR;OBS_VALUE;FREQ
2021;TOTAL;2247;53855;_T;HAB;2.0;A
2021;TOTAL;2247;53855;M;HAB;1.0;A
2021;TOTAL;2247;53855;F;HAB;1.0;A
2021;TOTAL;2247;53933;_T;HAB;2.0;A
2021;TOTAL;2247;53933;M;HAB;1.0;A
2021;TOTAL;2247;53933;F;HAB;1.0;A
2021;TOTAL;2247;54155;_T;HAB;35.0;A
2021;TOTAL;2247;54155;M;HAB;17.0;A
2021;TOTAL;2247;54155;F;HAB;18.0;A
2021;TOTAL;2247;54344;_T;HAB;3.0;A
2021;TOTAL;2247;54344;M;HAB;1.0;A
2021;TOTAL;2247;54344;F;HAB;2.0;A
2021;TOTAL;2247;54452;_T;HAB;2.0;A
2021;TOTAL;2247;54452;M;HAB;1.0;A
2021;TOTAL;2247;54452;F;HAB;1.0;A
2021;TOTAL;2247;54559;_T;HAB;4.0;A
2021;TOTAL;2247;54559;M;HAB;1.0;A
2021;TOTAL;2247;54559;F;HAB;3.0;A
2021;TOTAL;2247;54565;_T;HAB;32.0;A
2021;TOTAL;2247;54565;M;HAB;17.0;A
2021;TOTAL;2247;54565;F;HAB;15.0;A
2021;TOTAL;2247;54887;_T;HAB;33.0;A
2021;TOTAL;2247;54887;M;HAB;10.0;A
2021;TOTAL;2247;54887;F;HAB;23.0;A
2021;TOTAL;2248;54888;_T;HAB;542.0;A
2021;TOTAL;2248;54888;M;HAB;304.0;A
2021;TOTAL;2248;54888;F;HAB;238.0;A
2021;TOTAL;2248;53700;_T;HAB;482.0;A
2021;TOTAL;2248;53700;M;HAB;271.0;A
2021;TOTAL;2248;53700;F;HAB;211.0;A
2021;TOTAL;2248;54560;_T;HAB;462.0;A
2021;TOTAL;2248;54560;M;HAB;262.0;A
2021;TOTAL;2248;54560;F;HAB;200.0;A
2021;TOTAL;2248;53809;_T;HAB;364.0;A
2021;TOTAL;2248;53809;M;HAB;211.0;A
2021;TOTAL;2248;53809;F;HAB;153.0;A
2021;TOTAL;2248;53855;_T;HAB;1.0;A
2021;TOTAL;2248;53855;F;HAB;1.0;A
2021;TOTAL;2248;53933;_T;HAB;1.0;A
2021;TOTAL;2248;53933;M;HAB;1.0;A
2021;TOTAL;2248;54155;_T;HAB;93.0;A
2021;TOTAL;2248;54155;M;HAB;47.0;A
2021;TOTAL;2248;54155;F;HAB;46.0;A
2021;TOTAL;2248;54344;_T;HAB;2.0;A
2021;TOTAL;2248;54344;M;HAB;2.0;A
2021;TOTAL;2248;54559;_T;HAB;1.0;A
2021;TOTAL;2248;54559;M;HAB;1.0;A
2021;TOTAL;2248;54565;_T;HAB;20.0;A
2021;TOTAL;2248;54565;M;HAB;9.0;A
2021;TOTAL;2248;54565;F;HAB;11.0;A
2021;TOTAL;2248;54887;_T;HAB;60.0;A
2021;TOTAL;2248;54887;M;HAB;33.0;A
2021;TOTAL;2248;54887;F;HAB;27.0;A
2021;TOTAL;2249;54888;_T;HAB;129.0;A
2021;TOTAL;2249;54888;M;HAB;69.0;A
2021;TOTAL;2249;54888;F;HAB;60.0;A
2021;TOTAL;2249;53700;_T;HAB;117.0;A
2021;TOTAL;2249;53700;M;HAB;63.0;A
2021;TOTAL;2249;53700;F;HAB;54.0;A
2021;TOTAL;2249;54560;_T;HAB;111.0;A
2021;TOTAL;2249;54560;M;HAB;59.0;A
2021;TOTAL;2249;54560;F;HAB;52.0;A
2021;TOTAL;2249;53809;_T;HAB;104.0;A
2021;TOTAL;2249;53809;M;HAB;56.0;A
2021;TOTAL;2249;53809;F;HAB;48.0;A
2021;TOTAL;2249;53855;_T;HAB;1.0;A
2021;TOTAL;2249;53855;M;HAB;1.0;A
2021;TOTAL;2249;54155;_T;HAB;5.0;A
2021;TOTAL;2249;54155;M;HAB;1.0;A
2021;TOTAL;2249;54155;F;HAB;4.0;A
