SEXO;GRUPOSEDAD;TEMPORAL;CERTIFICDISCAPAC;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
M;Y25-44;2019;5733;ES61;PC;23.607424842197776;A
M;Y25-44;2018;5732;ES61;PC;44.13543159387003;A
M;Y25-44;2018;5733;ES61;PC;25.581116303722634;A
M;Y25-44;2017;5732;ES61;PC;44.80911812591112;A
M;Y25-44;2017;5733;ES61;PC;26.377708951810757;A
M;Y25-44;2016;5732;ES61;PC;45.76515183963596;A
M;Y25-44;2016;5733;ES61;PC;25.195206004102655;A
M;Y25-44;2015;5732;ES61;PC;46.67257084910079;A
M;Y25-44;2015;5733;ES61;PC;25.057357405048425;A
M;Y25-44;2014;5732;ES61;PC;47.21335610841865;A
M;Y25-44;2014;5733;ES61;PC;27.437302517641637;A
M;Y45-64;2020;5732;ES61;PC;41.494319277762564;A
M;Y45-64;2020;5733;ES61;PC;72.38173324148772;A
M;Y45-64;2019;5732;ES61;PC;40.908974326179894;A
M;Y45-64;2019;5733;ES61;PC;70.29267108673915;A
M;Y45-64;2018;5732;ES61;PC;40.21358393774759;A
M;Y45-64;2018;5733;ES61;PC;69.26190719338446;A
M;Y45-64;2017;5732;ES61;PC;39.550450942857566;A
M;Y45-64;2017;5733;ES61;PC;68.63773821284973;A
M;Y45-64;2016;5732;ES61;PC;38.49207702280275;A
M;Y45-64;2016;5733;ES61;PC;69.95183546921294;A
M;Y45-64;2015;5732;ES61;PC;37.52470715152834;A
M;Y45-64;2015;5733;ES61;PC;69.41124336936055;A
M;Y45-64;2014;5732;ES61;PC;36.78166337285104;A
M;Y45-64;2014;5733;ES61;PC;67.78339822277513;A
M;TOTAL;2020;5732;ES61;PC;100.0;A
M;TOTAL;2020;5733;ES61;PC;100.0;A
M;TOTAL;2019;5732;ES61;PC;100.0;A
M;TOTAL;2019;5733;ES61;PC;100.0;A
M;TOTAL;2018;5732;ES61;PC;100.0;A
M;TOTAL;2018;5733;ES61;PC;100.0;A
M;TOTAL;2017;5732;ES61;PC;100.0;A
M;TOTAL;2017;5733;ES61;PC;100.0;A
M;TOTAL;2016;5732;ES61;PC;100.0;A
M;TOTAL;2016;5733;ES61;PC;100.0;A
M;TOTAL;2015;5732;ES61;PC;100.0;A
M;TOTAL;2015;5733;ES61;PC;100.0;A
M;TOTAL;2014;5732;ES61;PC;100.0;A
M;TOTAL;2014;5733;ES61;PC;100.0;A
F;Y16-24;2020;5732;ES61;PC;14.796723822609966;A
F;Y16-24;2020;5733;ES61;PC;4.887454473993412;A
F;Y16-24;2019;5732;ES61;PC;14.693789836555037;A
