SEXO;SITUACIONDEPEND;TEMPORAL;CERTIFICDISCAPAC;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
M;38404;2014;5733;ES61;PC;100.0;A
F;38403;2020;5732;ES61;PC;0.06689666917596135;A
F;38403;2020;5733;ES61;PC;19.209276948944808;A
F;38403;2019;5732;ES61;PC;0.07674887201450237;A
F;38403;2019;5733;ES61;PC;18.00771136760626;A
F;38403;2018;5732;ES61;PC;0.016662838530146582;A
F;38403;2018;5733;ES61;PC;18.14427327507407;A
F;38403;2017;5732;ES61;PC;0.048307611838527324;A
F;38403;2017;5733;ES61;PC;17.15204493902674;A
F;38403;2016;5732;ES61;PC;0.0811842259944494;A
F;38403;2016;5733;ES61;PC;18.45091612285696;A
F;38403;2015;5732;ES61;PC;0.06714165756039712;A
F;38403;2015;5733;ES61;PC;16.622442820581437;A
F;38403;2014;5732;ES61;PC;0.08577708651110721;A
F;38403;2014;5733;ES61;PC;17.108094959033664;A
F;38402;2020;5732;ES61;PC;99.93310333082404;A
F;38402;2020;5733;ES61;PC;80.7907230510552;A
F;38402;2019;5732;ES61;PC;99.92325112798551;A
F;38402;2019;5733;ES61;PC;81.99228863239374;A
F;38402;2018;5732;ES61;PC;99.98333716146986;A
F;38402;2018;5733;ES61;PC;81.85572672492593;A
F;38402;2017;5732;ES61;PC;99.95169238816146;A
F;38402;2017;5733;ES61;PC;82.84795506097326;A
F;38402;2016;5732;ES61;PC;99.91881577400554;A
F;38402;2016;5733;ES61;PC;81.54908387714303;A
F;38402;2015;5732;ES61;PC;99.93285834243962;A
F;38402;2015;5733;ES61;PC;83.37755717941855;A
F;38402;2014;5732;ES61;PC;99.9142229134889;A
F;38402;2014;5733;ES61;PC;82.89190504096634;A
F;38404;2020;5732;ES61;PC;100.0;A
F;38404;2020;5733;ES61;PC;100.0;A
F;38404;2019;5732;ES61;PC;100.0;A
F;38404;2019;5733;ES61;PC;100.0;A
F;38404;2018;5732;ES61;PC;100.0;A
F;38404;2018;5733;ES61;PC;100.0;A
F;38404;2017;5732;ES61;PC;100.0;A
F;38404;2017;5733;ES61;PC;100.0;A
F;38404;2016;5732;ES61;PC;100.0;A
F;38404;2016;5733;ES61;PC;100.0;A
F;38404;2015;5732;ES61;PC;100.0;A
F;38404;2015;5733;ES61;PC;100.0;A
F;38404;2014;5732;ES61;PC;100.0;A
F;38404;2014;5733;ES61;PC;100.0;A
