SEXO;NIVELESTUDIOSTER;TEMPORAL;CERTIFICDISCAPAC;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
_T;38326;2020;5733;ES61;POP;327441.56364;A
_T;38326;2019;5732;ES61;POP;591893.26911;A
_T;38326;2019;5733;ES61;POP;122321.63356;A
_T;38326;2018;5732;ES61;POP;636310.97882;A
_T;38326;2018;5733;ES61;POP;129020.85857;A
_T;38326;2017;5732;ES61;POP;665574.83268;A
_T;38326;2017;5733;ES61;POP;121025.38004;A
_T;38326;2016;5732;ES61;POP;692145.2896199999;A
_T;38326;2016;5733;ES61;POP;127502.36789000001;A
_T;38326;2015;5732;ES61;POP;756631.93385;A
_T;38326;2015;5733;ES61;POP;139398.40803000002;A
_T;38326;2014;5732;ES61;POP;803830.90525;A
_T;38326;2014;5733;ES61;POP;137305.519;A
_T;38324;2020;5732;ES61;POP;559376.33414;A
_T;38324;2020;5733;ES61;POP;120548.10518;A
_T;38324;2019;5732;ES61;POP;25693.37368;A
_T;38324;2019;5733;ES61;POP;21881.70261;A
_T;38324;2018;5732;ES61;POP;27540.30727;A
_T;38324;2018;5733;ES61;POP;23655.31039;A
_T;38324;2017;5732;ES61;POP;34841.14198;A
_T;38324;2017;5733;ES61;POP;22027.4411;A
_T;38324;2016;5732;ES61;POP;35356.80933;A
_T;38324;2016;5733;ES61;POP;26586.440599999998;A
_T;38324;2015;5732;ES61;POP;38558.573950000005;A
_T;38324;2015;5733;ES61;POP;28542.57881;A
_T;38324;2014;5732;ES61;POP;45208.92872;A
_T;38324;2014;5733;ES61;POP;29284.69726;A
_T;38325;2020;5732;ES61;POP;3045338.29452;A
_T;38325;2020;5733;ES61;POP;206893.45846;A
_T;38325;2019;5732;ES61;POP;566199.8954299999;A
_T;38325;2019;5733;ES61;POP;100439.93095000001;A
_T;38325;2018;5732;ES61;POP;608770.67155;A
_T;38325;2018;5733;ES61;POP;105365.54818;A
_T;38325;2017;5732;ES61;POP;630733.6907;A
_T;38325;2017;5733;ES61;POP;98997.93894;A
_T;38325;2016;5732;ES61;POP;656788.4802900001;A
_T;38325;2016;5733;ES61;POP;100915.92728999999;A
_T;38325;2015;5732;ES61;POP;718073.3599;A
_T;38325;2015;5733;ES61;POP;110855.82922;A
_T;38325;2014;5732;ES61;POP;758621.97653;A
_T;38325;2014;5733;ES61;POP;108020.82174;A
_T;38332;2020;5732;ES61;POP;1581617.74747;A
_T;38332;2020;5733;ES61;POP;52662.81025;A
_T;38332;2019;5732;ES61;POP;4566447.55234;A
_T;38332;2019;5733;ES61;POP;261219.29555000004;A
_T;38332;2018;5732;ES61;POP;4496910.44942;A
_T;38332;2018;5733;ES61;POP;255192.21318000002;A
_T;38332;2017;5732;ES61;POP;4477620.25333;A
_T;38332;2017;5733;ES61;POP;251626.78478999998;A
_T;38332;2016;5732;ES61;POP;4463415.4048;A
_T;38332;2016;5733;ES61;POP;243782.18889;A
_T;38332;2015;5732;ES61;POP;4431958.698000001;A
_T;38332;2015;5733;ES61;POP;212898.21016;A
_T;38332;2014;5732;ES61;POP;4405790.189569999;A
_T;38332;2014;5733;ES61;POP;200211.89117;A
_T;38328;2020;5732;ES61;POP;1581617.74747;A
_T;38328;2020;5733;ES61;POP;52662.81025;A
_T;38328;2019;5732;ES61;POP;3052840.25618;A
_T;38328;2019;5733;ES61;POP;208121.52443;A
_T;38328;2018;5732;ES61;POP;3030666.79711;A
_T;38328;2018;5733;ES61;POP;199585.21558000002;A
_T;38328;2017;5732;ES61;POP;3053561.36385;A
_T;38328;2017;5733;ES61;POP;191222.60494;A
_T;38328;2016;5732;ES61;POP;3042803.90186;A
_T;38328;2016;5733;ES61;POP;196980.00768;A
_T;38328;2015;5732;ES61;POP;3047079.01655;A
_T;38328;2015;5733;ES61;POP;173591.1386;A
_T;38328;2014;5732;ES61;POP;3058762.29954;A
_T;38328;2014;5733;ES61;POP;160898.66376;A
_T;38330;2019;5732;ES61;POP;1513607.2961600001;A
_T;38330;2019;5733;ES61;POP;53097.77112;A
_T;38330;2018;5732;ES61;POP;1466243.65231;A
_T;38330;2018;5733;ES61;POP;55606.9976;A
_T;38330;2017;5732;ES61;POP;1424058.8894800001;A
_T;38330;2017;5733;ES61;POP;60404.17985;A
_T;38330;2016;5732;ES61;POP;1420611.50294;A
_T;38330;2016;5733;ES61;POP;46802.18121;A
_T;38330;2015;5732;ES61;POP;1384879.6814499998;A
_T;38330;2015;5733;ES61;POP;39307.07156;A
_T;38330;2014;5732;ES61;POP;1347027.89003;A
_T;38330;2014;5733;ES61;POP;39313.22741000001;A
_T;38333;2020;5732;ES61;POP;5186332.37613;A
_T;38333;2020;5733;ES61;POP;380104.37389;A
_T;38333;2019;5732;ES61;POP;5158340.82145;A
_T;38333;2019;5733;ES61;POP;383540.92910999997;A
_T;38333;2018;5732;ES61;POP;5133221.42824;A
_T;38333;2018;5733;ES61;POP;384213.07175;A
_T;38333;2017;5732;ES61;POP;5143195.08601;A
_T;38333;2017;5733;ES61;POP;372652.16483;A
_T;38333;2016;5732;ES61;POP;5155560.69442;A
_T;38333;2016;5733;ES61;POP;371284.55678;A
_T;38333;2015;5732;ES61;POP;5188590.6318500005;A
_T;38333;2015;5733;ES61;POP;352296.61819;A
_T;38333;2014;5732;ES61;POP;5209621.094819999;A
_T;38333;2014;5733;ES61;POP;337517.41017;A
M;38326;2020;5732;ES61;PC;72.12406285459217;A
M;38326;2020;5733;ES61;PC;89.24600116361458;A
M;38326;2019;5732;ES61;PC;11.76238793636662;A
M;38326;2019;5733;ES61;PC;31.503415267945158;A
M;38326;2018;5732;ES61;PC;12.777659865767879;A
M;38326;2018;5733;ES61;PC;33.681659591843875;A
M;38326;2017;5732;ES61;PC;13.468252567107372;A
M;38326;2017;5733;ES61;PC;32.465296400079225;A
M;38326;2016;5732;ES61;PC;13.45899621220959;A
M;38326;2016;5733;ES61;PC;35.759186152938696;A
M;38326;2015;5732;ES61;PC;14.442537742560118;A
M;38326;2015;5733;ES61;PC;40.261345193052136;A
M;38326;2014;5732;ES61;PC;15.566616266677494;A
M;38326;2014;5733;ES61;PC;41.370947477764;A
M;38324;2020;5732;ES61;PC;11.135755446345089;A
M;38324;2020;5733;ES61;PC;30.788533181225407;A
M;38324;2019;5732;ES61;PC;0.23726229606878535;A
M;38324;2019;5733;ES61;PC;5.622489485586672;A
M;38324;2018;5732;ES61;PC;0.4267340445169926;A
M;38324;2018;5733;ES61;PC;6.459432418013407;A
M;38324;2017;5732;ES61;PC;0.5591469069490987;A
M;38324;2017;5733;ES61;PC;5.135996680553086;A
M;38324;2016;5732;ES61;PC;0.40732358573906424;A
M;38324;2016;5733;ES61;PC;7.071255416531681;A
M;38324;2015;5732;ES61;PC;0.48092542733823423;A
M;38324;2015;5733;ES61;PC;7.443844196861823;A
M;38324;2014;5732;ES61;PC;0.7171281426580577;A
M;38324;2014;5733;ES61;PC;9.051066100257959;A
M;38325;2020;5732;ES61;PC;60.98830740824707;A
M;38325;2020;5733;ES61;PC;58.457467982389176;A
M;38325;2019;5732;ES61;PC;11.525125640297833;A
M;38325;2019;5733;ES61;PC;25.88092578235848;A
M;38325;2018;5732;ES61;PC;12.350925821250888;A
M;38325;2018;5733;ES61;PC;27.222227173830472;A
M;38325;2017;5732;ES61;PC;12.909105660158277;A
M;38325;2017;5733;ES61;PC;27.32929971952614;A
M;38325;2016;5732;ES61;PC;13.051672626470525;A
M;38325;2016;5733;ES61;PC;28.68793073640702;A
M;38325;2015;5732;ES61;PC;13.961612315221887;A
M;38325;2015;5733;ES61;PC;32.817500996190304;A
M;38325;2014;5732;ES61;PC;14.849488124019434;A
M;38325;2014;5733;ES61;PC;32.319881377506036;A
M;38332;2020;5732;ES61;PC;27.875937145407846;A
M;38332;2020;5733;ES61;PC;10.753998836385414;A
M;38332;2019;5732;ES61;PC;88.23761206363336;A
M;38332;2019;5733;ES61;PC;68.49658473205483;A
M;38332;2018;5732;ES61;PC;87.22234013423211;A
M;38332;2018;5733;ES61;PC;66.31834040815613;A
M;38332;2017;5732;ES61;PC;86.53174743289263;A
M;38332;2017;5733;ES61;PC;67.53470359992077;A
M;38332;2016;5732;ES61;PC;86.5410037877904;A
M;38332;2016;5733;ES61;PC;64.24081384706129;A
M;38332;2015;5732;ES61;PC;85.55746225743988;A
M;38332;2015;5733;ES61;PC;59.73865480694788;A
M;38332;2014;5732;ES61;PC;84.43338373332251;A
M;38332;2014;5733;ES61;PC;58.629052522236016;A
M;38328;2020;5732;ES61;PC;27.875937145407846;A
M;38328;2020;5733;ES61;PC;10.753998836385414;A
M;38328;2019;5732;ES61;PC;61.10059972749875;A
M;38328;2019;5733;ES61;PC;55.92229495893554;A
M;38328;2018;5732;ES61;PC;60.74496825606938;A
M;38328;2018;5733;ES61;PC;52.78648026910607;A
M;38328;2017;5732;ES61;PC;61.30729996618118;A
M;38328;2017;5733;ES61;PC;51.66245414354134;A
M;38328;2016;5732;ES61;PC;61.15528471104198;A
M;38328;2016;5733;ES61;PC;52.44376728120152;A
M;38328;2015;5732;ES61;PC;60.90528294298734;A
M;38328;2015;5733;ES61;PC;48.47642837586336;A
M;38328;2014;5732;ES61;PC;60.736384198260204;A
M;38328;2014;5733;ES61;PC;45.507246699893415;A
M;38330;2019;5732;ES61;PC;27.137012336134614;A
M;38330;2019;5733;ES61;PC;12.574289773119302;A
M;38330;2018;5732;ES61;PC;26.477371878162742;A
M;38330;2018;5733;ES61;PC;13.531860139050053;A
M;38330;2017;5732;ES61;PC;25.224447466711446;A
M;38330;2017;5733;ES61;PC;15.87224945637943;A
M;38330;2016;5732;ES61;PC;25.385719076748426;A
M;38330;2016;5733;ES61;PC;11.797046565859786;A
M;38330;2015;5732;ES61;PC;24.652179314452543;A
M;38330;2015;5733;ES61;PC;11.262226431084516;A
M;38330;2014;5732;ES61;PC;23.696999535062293;A
M;38330;2014;5733;ES61;PC;13.121805822342589;A
M;38333;2020;5732;ES61;PC;100.0;A
M;38333;2020;5733;ES61;PC;100.0;A
M;38333;2019;5732;ES61;PC;100.0;A
M;38333;2019;5733;ES61;PC;100.0;A
M;38333;2018;5732;ES61;PC;100.0;A
M;38333;2018;5733;ES61;PC;100.0;A
M;38333;2017;5732;ES61;PC;100.0;A
M;38333;2017;5733;ES61;PC;100.0;A
M;38333;2016;5732;ES61;PC;100.0;A
M;38333;2016;5733;ES61;PC;100.0;A
M;38333;2015;5732;ES61;PC;100.0;A
M;38333;2015;5733;ES61;PC;100.0;A
M;38333;2014;5732;ES61;PC;100.0;A
M;38333;2014;5733;ES61;PC;100.0;A
F;38326;2020;5732;ES61;PC;66.9366207915382;A
F;38326;2020;5733;ES61;PC;81.8001456244244;A
F;38326;2019;5732;ES61;PC;11.191853189776644;A
F;38326;2019;5733;ES61;PC;32.43364019550683;A
F;38326;2018;5732;ES61;PC;12.02112675354212;A
F;38326;2018;5733;ES61;PC;33.43835905594346;A
F;38326;2017;5732;ES61;PC;12.420983237058758;A
F;38326;2017;5733;ES61;PC;32.49267878712409;A
F;38326;2016;5732;ES61;PC;13.391954717862426;A
F;38326;2016;5733;ES61;PC;32.308784941666325;A
F;38326;2015;5732;ES61;PC;14.720595846719192;A
F;38326;2015;5733;ES61;PC;38.54929945646746;A
F;38326;2014;5732;ES61;PC;15.294686292326931;A
F;38326;2014;5733;ES61;PC;39.65756344876458;A
F;38324;2020;5732;ES61;PC;10.442426009120735;A
F;38324;2020;5733;ES61;PC;33.01194635330988;A
F;38324;2019;5732;ES61;PC;0.7541575800872092;A
F;38324;2019;5733;ES61;PC;5.820076019623721;A
F;38324;2018;5732;ES61;PC;0.6443013156042238;A
F;38324;2018;5733;ES61;PC;5.731264232152451;A
F;38324;2017;5732;ES61;PC;0.7940218578232685;A
F;38324;2017;5733;ES61;PC;6.985845496150646;A
F;38324;2016;5732;ES61;PC;0.9600388542496948;A
F;38324;2016;5733;ES61;PC;7.2887652033562675;A
F;38324;2015;5732;ES61;PC;1.001452119600623;A
F;38324;2015;5733;ES61;PC;9.069772405122736;A
F;38324;2014;5732;ES61;PC;1.016455829463838;A
F;38324;2014;5733;ES61;PC;8.120860640999403;A
F;38325;2020;5732;ES61;PC;56.49419478241747;A
F;38325;2020;5733;ES61;PC;48.78819927111452;A
F;38325;2019;5732;ES61;PC;10.437695609689435;A
F;38325;2019;5733;ES61;PC;26.61356417588312;A
F;38325;2018;5732;ES61;PC;11.376825437937898;A
F;38325;2018;5733;ES61;PC;27.707094823791;A
F;38325;2017;5732;ES61;PC;11.626961379235489;A
F;38325;2017;5733;ES61;PC;25.506833290973447;A
F;38325;2016;5732;ES61;PC;12.43191586361273;A
F;38325;2016;5733;ES61;PC;25.02001973831005;A
F;38325;2015;5732;ES61;PC;13.719143727118569;A
F;38325;2015;5733;ES61;PC;29.479527051344718;A
F;38325;2014;5732;ES61;PC;14.278230462863092;A
F;38325;2014;5733;ES61;PC;31.53670280776517;A
F;38332;2020;5732;ES61;PC;33.06337920846179;A
F;38332;2020;5733;ES61;PC;18.1998543755756;A
F;38332;2019;5732;ES61;PC;88.80814681022335;A
F;38332;2019;5733;ES61;PC;67.56635980449316;A
F;38332;2018;5732;ES61;PC;87.9788732464579;A
F;38332;2018;5733;ES61;PC;66.56164094405653;A
F;38332;2017;5732;ES61;PC;87.57901676294124;A
F;38332;2017;5733;ES61;PC;67.50732121287591;A
F;38332;2016;5732;ES61;PC;86.60804528213757;A
F;38332;2016;5733;ES61;PC;67.69121505833368;A
F;38332;2015;5732;ES61;PC;85.27940415328081;A
F;38332;2015;5733;ES61;PC;61.450700543532534;A
F;38332;2014;5732;ES61;PC;84.70531370767307;A
F;38332;2014;5733;ES61;PC;60.34243655123544;A
F;38328;2020;5732;ES61;PC;33.06337920846179;A
F;38328;2020;5733;ES61;PC;18.1998543755756;A
F;38328;2019;5732;ES61;PC;57.29966025684443;A
F;38328;2019;5733;ES61;PC;51.95792907612156;A
F;38328;2018;5732;ES61;PC;57.36638918321441;A
F;38328;2018;5733;ES61;PC;50.765235323530156;A
F;38328;2017;5732;ES61;PC;57.46193727880217;A
F;38328;2017;5733;ES61;PC;50.830642455487364;A
F;38328;2016;5732;ES61;PC;56.916891394508305;A
F;38328;2016;5733;ES61;PC;53.92746113821519;A
F;38328;2015;5732;ES61;PC;56.580220317484766;A
F;38328;2015;5733;ES61;PC;50.44754564819929;A
F;38328;2014;5732;ES61;PC;56.71803440324703;A
F;38328;2014;5733;ES61;PC;50.8812982156097;A
F;38330;2019;5732;ES61;PC;31.50848655337893;A
F;38330;2019;5733;ES61;PC;15.60843072837161;A
F;38330;2018;5732;ES61;PC;30.61248406324348;A
F;38330;2018;5733;ES61;PC;15.79640562052638;A
F;38330;2017;5732;ES61;PC;30.11707948413907;A
F;38330;2017;5733;ES61;PC;16.67667875738855;A
F;38330;2016;5732;ES61;PC;29.691153887629255;A
F;38330;2016;5733;ES61;PC;13.763753920118488;A
F;38330;2015;5732;ES61;PC;28.699183835796045;A
F;38330;2015;5733;ES61;PC;11.003154895333257;A
F;38330;2014;5732;ES61;PC;27.98727930442605;A
F;38330;2014;5733;ES61;PC;9.461138335625744;A
F;38333;2020;5732;ES61;PC;100.0;A
F;38333;2020;5733;ES61;PC;100.0;A
F;38333;2019;5732;ES61;PC;100.0;A
F;38333;2019;5733;ES61;PC;100.0;A
F;38333;2018;5732;ES61;PC;100.0;A
F;38333;2018;5733;ES61;PC;100.0;A
F;38333;2017;5732;ES61;PC;100.0;A
F;38333;2017;5733;ES61;PC;100.0;A
F;38333;2016;5732;ES61;PC;100.0;A
F;38333;2016;5733;ES61;PC;100.0;A
F;38333;2015;5732;ES61;PC;100.0;A
F;38333;2015;5733;ES61;PC;100.0;A
F;38333;2014;5732;ES61;PC;100.0;A
F;38333;2014;5733;ES61;PC;100.0;A
_T;38326;2020;5732;ES61;PC;69.50411904278702;A
_T;38326;2020;5733;ES61;PC;86.14517120362308;A
_T;38326;2019;5732;ES61;PC;11.474489367757982;A
_T;38326;2019;5733;ES61;PC;31.892719727160596;A
_T;38326;2018;5732;ES61;PC;12.39593864623464;A
_T;38326;2018;5733;ES61;PC;33.5805489340434;A
_T;38326;2017;5732;ES61;PC;12.94088249715492;A
_T;38326;2017;5733;ES61;PC;32.47676827403123;A
_T;38326;2016;5732;ES61;PC;13.425218528978375;A
_T;38326;2016;5733;ES61;PC;34.340875633443034;A
_T;38326;2015;5732;ES61;PC;14.582609952025097;A
_T;38326;2015;5733;ES61;PC;39.56847747962767;A
_T;38326;2014;5732;ES61;PC;15.429738374816942;A
_T;38326;2014;5733;ES61;PC;40.6810181823931;A
_T;38324;2020;5732;ES61;PC;10.78558591259055;A
_T;38324;2020;5733;ES61;PC;31.714474618196824;A
_T;38324;2019;5732;ES61;PC;0.49809375862019223;A
_T;38324;2019;5733;ES61;PC;5.705180581581244;A
_T;38324;2018;5732;ES61;PC;0.5365111880521897;A
_T;38324;2018;5733;ES61;PC;6.1568208187856905;A
_T;38324;2017;5732;ES61;PC;0.6774221354109503;A
_T;38324;2017;5733;ES61;PC;5.910992388853742;A
_T;38324;2016;5732;ES61;PC;0.685799497390606;A
_T;38324;2016;5733;ES61;PC;7.160664270707456;A
_T;38324;2015;5732;ES61;PC;0.7431415713028007;A
