SEXO;RELACTIVIDAD;TEMPORAL;CERTIFICDISCAPAC;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
M;5869;2020;5733;ES61;PC;8.481025275998354;A
M;5869;2019;5732;ES61;PC;14.237843902387043;A
M;5869;2019;5733;ES61;PC;9.182067514659142;A
M;5869;2018;5732;ES61;PC;15.900157298402856;A
M;5869;2018;5733;ES61;PC;9.852451886405813;A
M;5869;2017;5732;ES61;PC;18.712764344006285;A
M;5869;2017;5733;ES61;PC;9.801159868565888;A
M;5869;2016;5732;ES61;PC;21.364912737512345;A
M;5869;2016;5733;ES61;PC;11.341366435861309;A
M;5869;2015;5732;ES61;PC;23.98411854664288;A
M;5869;2015;5733;ES61;PC;11.2591117685964;A
M;5869;2014;5732;ES61;PC;26.961817655293867;A
M;5869;2014;5733;ES61;PC;12.77578968901896;A
M;5882;2020;5732;ES61;PC;19.90983424772396;A
M;5882;2020;5733;ES61;PC;70.91428698045198;A
M;5882;2019;5732;ES61;PC;18.71501569747942;A
M;5882;2019;5733;ES61;PC;70.06661171711333;A
M;5882;2018;5732;ES61;PC;18.17932996877162;A
M;5882;2018;5733;ES61;PC;68.94257308857193;A
M;5882;2017;5732;ES61;PC;18.073784351491636;A
M;5882;2017;5733;ES61;PC;68.27677074227576;A
M;5882;2016;5732;ES61;PC;17.794242755357562;A
M;5882;2016;5733;ES61;PC;69.3945980312159;A
M;5882;2015;5732;ES61;PC;17.07418894984753;A
M;5882;2015;5733;ES61;PC;70.92276393866162;A
M;5882;2014;5732;ES61;PC;17.04767842235555;A
M;5882;2014;5733;ES61;PC;71.96208138748207;A
M;5883;2020;5732;ES61;PC;100.0;A
M;5883;2020;5733;ES61;PC;100.0;A
M;5883;2019;5732;ES61;PC;100.0;A
M;5883;2019;5733;ES61;PC;100.0;A
M;5883;2018;5732;ES61;PC;100.0;A
M;5883;2018;5733;ES61;PC;100.0;A
M;5883;2017;5732;ES61;PC;100.0;A
M;5883;2017;5733;ES61;PC;100.0;A
M;5883;2016;5732;ES61;PC;100.0;A
M;5883;2016;5733;ES61;PC;100.0;A
M;5883;2015;5732;ES61;PC;100.0;A
M;5883;2015;5733;ES61;PC;100.0;A
M;5883;2014;5732;ES61;PC;100.0;A
M;5883;2014;5733;ES61;PC;100.0;A
F;5870;2020;5732;ES61;PC;64.3899637531408;A
F;5870;2020;5733;ES61;PC;27.814700141264346;A
F;5870;2019;5732;ES61;PC;66.66185687426606;A
F;5870;2019;5733;ES61;PC;30.630833814799214;A
F;5870;2018;5732;ES61;PC;66.22642266296741;A
F;5870;2018;5733;ES61;PC;27.891941230585438;A
F;5870;2017;5732;ES61;PC;66.70536373485335;A
F;5870;2017;5733;ES61;PC;28.44846674005127;A
F;5870;2016;5732;ES61;PC;67.22572077881452;A
F;5870;2016;5733;ES61;PC;30.3132905134939;A
F;5870;2015;5732;ES61;PC;67.98790010474367;A
F;5870;2015;5733;ES61;PC;32.868990771051784;A
F;5870;2014;5732;ES61;PC;67.68180009349724;A
F;5870;2014;5733;ES61;PC;29.66849247631777;A
F;5865;2020;5732;ES61;PC;47.24905872187944;A
F;5865;2020;5733;ES61;PC;19.62673597047751;A
F;5865;2019;5732;ES61;PC;49.858174557806876;A
F;5865;2019;5733;ES61;PC;21.87843765219183;A
F;5865;2018;5732;ES61;PC;48.476279570962774;A
F;5865;2018;5733;ES61;PC;17.69160368939898;A
F;5865;2017;5732;ES61;PC;47.67484430081201;A
F;5865;2017;5733;ES61;PC;17.60261352143505;A
F;5865;2016;5732;ES61;PC;45.633944411018994;A
F;5865;2016;5733;ES61;PC;18.73298718983231;A
F;5865;2015;5732;ES61;PC;44.44629456865098;A
F;5865;2015;5733;ES61;PC;20.882826182773755;A
F;5865;2014;5732;ES61;PC;42.38601456588971;A
F;5865;2014;5733;ES61;PC;17.704377082018105;A
F;5869;2020;5732;ES61;PC;17.14090503126135;A
F;5869;2020;5733;ES61;PC;8.187964170786834;A
F;5869;2019;5732;ES61;PC;16.80368231645919;A
F;5869;2019;5733;ES61;PC;8.75239616260738;A
F;5869;2018;5732;ES61;PC;17.750143092004635;A
F;5869;2018;5733;ES61;PC;10.200337541186457;A
F;5869;2017;5732;ES61;PC;19.03051943404133;A
F;5869;2017;5733;ES61;PC;10.845853218616224;A
F;5869;2016;5732;ES61;PC;21.591776367795514;A
F;5869;2016;5733;ES61;PC;11.58030332366159;A
F;5869;2015;5732;ES61;PC;23.5416055360927;A
F;5869;2015;5733;ES61;PC;11.986164588278038;A
F;5869;2014;5732;ES61;PC;25.295785527607546;A
F;5869;2014;5733;ES61;PC;11.964115394299666;A
F;5882;2020;5732;ES61;PC;35.6100362468592;A
F;5882;2020;5733;ES61;PC;72.18529985873565;A
F;5882;2019;5732;ES61;PC;33.338143125733936;A
F;5882;2019;5733;ES61;PC;69.3691661852008;A
F;5882;2018;5732;ES61;PC;33.77357733703259;A
F;5882;2018;5733;ES61;PC;72.10805876941457;A
F;5882;2017;5732;ES61;PC;33.29463626514665;A
F;5882;2017;5733;ES61;PC;71.55153325994871;A
F;5882;2016;5732;ES61;PC;32.77427922118548;A
F;5882;2016;5733;ES61;PC;69.68670948650609;A
F;5882;2015;5732;ES61;PC;32.01209989525633;A
F;5882;2015;5733;ES61;PC;67.1310092289482;A
F;5882;2014;5732;ES61;PC;32.318199906502755;A
F;5882;2014;5733;ES61;PC;70.33150752368223;A
F;5883;2020;5732;ES61;PC;100.0;A
F;5883;2020;5733;ES61;PC;100.0;A
F;5883;2019;5732;ES61;PC;100.0;A
F;5883;2019;5733;ES61;PC;100.0;A
F;5883;2018;5732;ES61;PC;100.0;A
F;5883;2018;5733;ES61;PC;100.0;A
F;5883;2017;5732;ES61;PC;100.0;A
F;5883;2017;5733;ES61;PC;100.0;A
F;5883;2016;5732;ES61;PC;100.0;A
F;5883;2016;5733;ES61;PC;100.0;A
F;5883;2015;5732;ES61;PC;100.0;A
F;5883;2015;5733;ES61;PC;100.0;A
F;5883;2014;5732;ES61;PC;100.0;A
F;5883;2014;5733;ES61;PC;100.0;A
_T;5870;2020;5732;ES61;PC;72.1606994427268;A
_T;5870;2020;5733;ES61;PC;28.55639912247157;A
_T;5870;2019;5732;ES61;PC;73.90598156808808;A
_T;5870;2019;5733;ES61;PC;30.22527323198724;A
_T;5870;2018;5732;ES61;PC;73.95233614482049;A
_T;5870;2018;5733;ES61;PC;29.741916699896876;A
_T;5870;2017;5732;ES61;PC;74.26149988903171;A
_T;5870;2017;5733;ES61;PC;30.3512647623011;A
_T;5870;2016;5732;ES61;PC;74.65832812686959;A
_T;5870;2016;5733;ES61;PC;30.48532759930215;A
_T;5870;2015;5732;ES61;PC;75.40081480074456;A
_T;5870;2015;5733;ES61;PC;30.611765402141227;A
_T;5870;2014;5732;ES61;PC;75.26579568672986;A
_T;5870;2014;5733;ES61;PC;28.694502692829786;A
_T;5865;2020;5732;ES61;PC;56.09942436298401;A
_T;5865;2020;5733;ES61;PC;20.19741927837357;A
