TEMPORAL;TERRITORIO;ECOICOP;INDICATOR;OBS_VALUE;FREQ;IPC_RUBRICAS;IPC_GRUPOSESPECIALES
2021-02;ES;CP10;INX;103.108;M;_Z;_Z
2021-02;ES;CP11;INX;106.558;M;_Z;_Z
2021-02;ES;CP12;INX;105.263;M;_Z;_Z
2021-02;ES61;CP01T12;INX;103.769;M;_Z;_Z
2021-02;ES61;CP01;INX;106.682;M;_Z;_Z
2021-02;ES61;CP02;INX;103.9;M;_Z;_Z
2021-02;ES61;CP03;INX;93.595;M;_Z;_Z
2021-02;ES61;CP04;INX;101.321;M;_Z;_Z
2021-02;ES61;CP05;INX;99.544;M;_Z;_Z
2021-02;ES61;CP06;INX;102.347;M;_Z;_Z
2021-02;ES61;CP07;INX;108.016;M;_Z;_Z
2021-02;ES61;CP08;INX;100.415;M;_Z;_Z
2021-02;ES61;CP09;INX;98.662;M;_Z;_Z
2021-02;ES61;CP10;INX;105.468;M;_Z;_Z
2021-02;ES61;CP11;INX;106.438;M;_Z;_Z
2021-02;ES61;CP12;INX;103.971;M;_Z;_Z
2021-02;ES611;CP01T12;INX;104.374;M;_Z;_Z
2021-02;ES611;CP01;INX;109.421;M;_Z;_Z
2021-02;ES611;CP02;INX;105.335;M;_Z;_Z
2021-02;ES611;CP03;INX;93.161;M;_Z;_Z
2021-02;ES611;CP04;INX;102.718;M;_Z;_Z
2021-02;ES611;CP05;INX;100.218;M;_Z;_Z
2021-02;ES611;CP06;INX;102.56;M;_Z;_Z
2021-02;ES611;CP07;INX;109.068;M;_Z;_Z
2021-02;ES611;CP08;INX;102.143;M;_Z;_Z
2021-02;ES611;CP09;INX;97.83;M;_Z;_Z
2021-02;ES611;CP10;INX;102.402;M;_Z;_Z
2021-02;ES611;CP11;INX;103.244;M;_Z;_Z
2021-02;ES611;CP12;INX;103.454;M;_Z;_Z
2021-02;ES612;CP01T12;INX;102.827;M;_Z;_Z
2021-02;ES612;CP01;INX;104.754;M;_Z;_Z
2021-02;ES612;CP02;INX;103.646;M;_Z;_Z
2021-02;ES612;CP03;INX;94.044;M;_Z;_Z
2021-02;ES612;CP04;INX;100.95;M;_Z;_Z
2021-02;ES612;CP05;INX;96.831;M;_Z;_Z
2021-02;ES612;CP06;INX;101.034;M;_Z;_Z
2021-02;ES612;CP07;INX;108.714;M;_Z;_Z
2021-02;ES612;CP08;INX;98.823;M;_Z;_Z
2021-02;ES612;CP09;INX;97.101;M;_Z;_Z
2021-02;ES612;CP10;INX;103.777;M;_Z;_Z
2021-02;ES612;CP11;INX;105.555;M;_Z;_Z
2021-02;ES612;CP12;INX;103.619;M;_Z;_Z
2021-02;ES613;CP01T12;INX;103.565;M;_Z;_Z
2021-02;ES613;CP01;INX;105.909;M;_Z;_Z
2021-02;ES613;CP02;INX;103.51;M;_Z;_Z
2021-02;ES613;CP03;INX;93.638;M;_Z;_Z
2021-02;ES613;CP04;INX;100.844;M;_Z;_Z
2021-02;ES613;CP05;INX;98.732;M;_Z;_Z
2021-02;ES613;CP06;INX;104.779;M;_Z;_Z
2021-02;ES613;CP07;INX;107.776;M;_Z;_Z
2021-02;ES613;CP08;INX;100.135;M;_Z;_Z
2021-02;ES613;CP09;INX;101.486;M;_Z;_Z
2021-02;ES613;CP10;INX;104.284;M;_Z;_Z
2021-02;ES613;CP11;INX;104.853;M;_Z;_Z
2021-02;ES613;CP12;INX;103.328;M;_Z;_Z
2021-02;ES614;CP01T12;INX;103.646;M;_Z;_Z
2021-02;ES614;CP01;INX;107.232;M;_Z;_Z
2021-02;ES614;CP02;INX;103.18;M;_Z;_Z
2021-02;ES614;CP03;INX;92.159;M;_Z;_Z
2021-02;ES614;CP04;INX;101.036;M;_Z;_Z
2021-02;ES614;CP05;INX;100.795;M;_Z;_Z
2021-02;ES614;CP06;INX;103.682;M;_Z;_Z
2021-02;ES614;CP07;INX;107.058;M;_Z;_Z
2021-02;ES614;CP08;INX;100.907;M;_Z;_Z
2021-02;ES614;CP09;INX;97.855;M;_Z;_Z
2021-02;ES614;CP10;INX;107.668;M;_Z;_Z
2021-02;ES614;CP11;INX;107.647;M;_Z;_Z
2021-02;ES614;CP12;INX;104.423;M;_Z;_Z
2021-02;ES615;CP01T12;INX;103.258;M;_Z;_Z
2021-02;ES615;CP01;INX;104.877;M;_Z;_Z
2021-02;ES615;CP02;INX;104.212;M;_Z;_Z
2021-02;ES615;CP03;INX;92.632;M;_Z;_Z
2021-02;ES615;CP04;INX;101.617;M;_Z;_Z
2021-02;ES615;CP05;INX;98.529;M;_Z;_Z
2021-02;ES615;CP06;INX;102.27;M;_Z;_Z
2021-02;ES615;CP07;INX;107.825;M;_Z;_Z
2021-02;ES615;CP08;INX;101.018;M;_Z;_Z
2021-02;ES615;CP09;INX;97.627;M;_Z;_Z
2021-02;ES615;CP10;INX;104.079;M;_Z;_Z
2021-02;ES615;CP11;INX;107.39;M;_Z;_Z
2021-02;ES615;CP12;INX;101.518;M;_Z;_Z
2021-02;ES616;CP01T12;INX;103.372;M;_Z;_Z
2021-02;ES616;CP01;INX;108.086;M;_Z;_Z
2021-02;ES616;CP02;INX;104.576;M;_Z;_Z
