SITUAC_PROFES,TIME_PERIOD,CERTIFIC_DISCAPAC,REF_AREA,RELACTIVIDAD,INDICATOR,OBS_VALUE,FREQ,SEXO,EDAD,ESTADO_CIVIL,NIVEL_ESTUDIOS_TER,PERCEP_PRES_INVAL,SITUACION_DEPEND,COMP_HOG_ACTIVIDAD,PRESENC_DISCAPAC,AMBITO_ESTUD_HOG
5939,2018,5733,ES61,5865,PC,20.63275197416815,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5939,2017,5732,ES61,5865,PC,18.920098852904836,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5939,2017,5733,ES61,5865,PC,20.107406301868025,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5939,2016,5732,ES61,5865,PC,19.149248416446245,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5939,2016,5733,ES61,5865,PC,24.23802075396702,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5939,2015,5732,ES61,5865,PC,20.040384789361234,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5939,2015,5733,ES61,5865,PC,24.12795217341733,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5939,2014,5732,ES61,5865,PC,19.480982767610726,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5939,2014,5733,ES61,5865,PC,27.367745631405683,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5941,2020,5732,ES61,5865,PC,63.67563792448115,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5941,2020,5733,ES61,5865,PC,62.62019957313958,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5941,2019,5732,ES61,5865,PC,64.58005473015095,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5941,2019,5733,ES61,5865,PC,63.601603887326476,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5941,2018,5732,ES61,5865,PC,63.9699710573452,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5941,2018,5733,ES61,5865,PC,66.79155095627212,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5941,2017,5732,ES61,5865,PC,63.40050380233214,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5941,2017,5733,ES61,5865,PC,68.50453227274814,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5941,2016,5732,ES61,5865,PC,62.80392424453801,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5941,2016,5733,ES61,5865,PC,62.57755307102863,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5941,2015,5732,ES61,5865,PC,61.93574768145912,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5941,2015,5733,ES61,5865,PC,65.17732954485422,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5941,2014,5732,ES61,5865,PC,61.768787292926085,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5941,2014,5733,ES61,5865,PC,60.27589468519229,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5946,2020,5732,ES61,5865,PC,18.027169297833737,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5946,2020,5733,ES61,5865,PC,12.208225564958836,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5946,2019,5732,ES61,5865,PC,17.14794175808417,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5946,2019,5733,ES61,5865,PC,13.869012279922924,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5946,2018,5732,ES61,5865,PC,16.964883791226537,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5946,2018,5733,ES61,5865,PC,12.57569706955973,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5946,2017,5732,ES61,5865,PC,17.67939734476302,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5946,2017,5733,ES61,5865,PC,11.388061425383835,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5946,2016,5732,ES61,5865,PC,18.046827339015742,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5946,2016,5733,ES61,5865,PC,13.184426175004345,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
