SEXO;EPD_GRUPOSEDAD;TEMPORAL;CERTIFICDISCAPAC;TERRITORIO;INDICATOR;OBS_VALUE;FREQ;ESTADOCIVIL;EPD_NIVELESTUDIOSTER;EPD_RELACTIVIDAD;EPD_SITUACPROFES;EPD_PERCEPPRESINVAL;EPD_SITUACIONDEPEND;EPD_COMPHOGACTIVIDAD;EPD_PRESENCDISCAPAC;EPD_AMBITOESTUDHOG
F;Y25-44;2017;5732;ES61;POP;1147159.0653799998;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
F;Y25-44;2017;5733;ES61;POP;35530.68467;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
F;Y25-44;2016;5732;ES61;POP;1166392.76884;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
F;Y25-44;2016;5733;ES61;POP;38686.48129;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
F;Y25-44;2015;5732;ES61;POP;1191188.97587;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
F;Y25-44;2015;5733;ES61;POP;39159.5242;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
F;Y25-44;2014;5732;ES61;POP;1214028.98153;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
F;Y25-44;2014;5733;ES61;POP;35896.52134;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
F;Y45-64;2020;5732;ES61;POP;1138325.79957;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
F;Y45-64;2020;5733;ES61;POP;111323.95058;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
F;Y45-64;2019;5732;ES61;POP;1108928.98622;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
F;Y45-64;2019;5733;ES61;POP;115592.01403;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
F;Y45-64;2018;5732;ES61;POP;1085910.96915;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
F;Y45-64;2018;5733;ES61;POP;112672.03080000001;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
F;Y45-64;2017;5732;ES61;POP;1063205.57967;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
F;Y45-64;2017;5733;ES61;POP;112603.67057;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
F;Y45-64;2016;5732;ES61;POP;1047611.7298;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
