TEMPORAL;TERRITORIO;SEXO;PCSSA_JUBVIUDEDAD;INDICATOR;OBS_VALUE;FREQ
2019;2302;M;212544;NUM_PEN_PERS;69.0;A
2019;2302;F;212544;NUM_PEN_PERS;37.0;A
2019;2303;_T;212544;NUM_PEN_PERS;512.0;A
2019;2303;M;212544;NUM_PEN_PERS;461.0;A
2019;2303;F;212544;NUM_PEN_PERS;51.0;A
2019;2304;_T;212544;NUM_PEN_PERS;253.0;A
2019;2304;M;212544;NUM_PEN_PERS;157.0;A
2019;2304;F;212544;NUM_PEN_PERS;96.0;A
2019;2305;_T;212544;NUM_PEN_PERS;427.0;A
2019;2305;M;212544;NUM_PEN_PERS;284.0;A
2019;2305;F;212544;NUM_PEN_PERS;143.0;A
2019;2348;_T;212544;NUM_PEN_PERS;481.0;A
2019;2348;M;212544;NUM_PEN_PERS;324.0;A
2019;2348;F;212544;NUM_PEN_PERS;157.0;A
2019;2306;_T;212544;NUM_PEN_PERS;76.0;A
2019;2306;M;212544;NUM_PEN_PERS;53.0;A
2019;2306;F;212544;NUM_PEN_PERS;23.0;A
2019;2307;_T;212544;NUM_PEN_PERS;1717.0;A
2019;2307;M;212544;NUM_PEN_PERS;1225.0;A
2019;2307;F;212544;NUM_PEN_PERS;492.0;A
2019;2308;_T;212544;NUM_PEN_PERS;118.0;A
2019;2308;M;212544;NUM_PEN_PERS;75.0;A
2019;2308;F;212544;NUM_PEN_PERS;43.0;A
2019;2309;_T;212544;NUM_PEN_PERS;47.0;A
2019;2309;M;212544;NUM_PEN_PERS;30.0;A
2019;2309;F;212544;NUM_PEN_PERS;17.0;A
2019;2310;_T;212544;NUM_PEN_PERS;553.0;A
2019;2310;M;212544;NUM_PEN_PERS;460.0;A
2019;2310;F;212544;NUM_PEN_PERS;93.0;A
2019;2311;_T;212544;NUM_PEN_PERS;296.0;A
2019;2311;M;212544;NUM_PEN_PERS;225.0;A
2019;2311;F;212544;NUM_PEN_PERS;71.0;A
2019;2312;_T;212544;NUM_PEN_PERS;84.0;A
2019;2312;M;212544;NUM_PEN_PERS;56.0;A
2019;2312;F;212544;NUM_PEN_PERS;28.0;A
2019;2313;_T;212544;NUM_PEN_PERS;60.0;A
2019;2313;M;212544;NUM_PEN_PERS;35.0;A
2019;2313;F;212544;NUM_PEN_PERS;25.0;A
2019;2314;_T;212544;NUM_PEN_PERS;60.0;A
2019;2314;M;212544;NUM_PEN_PERS;50.0;A
2019;2314;F;212544;NUM_PEN_PERS;10.0;A
2019;2315;_T;212544;NUM_PEN_PERS;287.0;A
2019;2315;M;212544;NUM_PEN_PERS;218.0;A
2019;2315;F;212544;NUM_PEN_PERS;69.0;A
2019;2316;_T;212544;NUM_PEN_PERS;508.0;A
2019;2316;M;212544;NUM_PEN_PERS;353.0;A
2019;2316;F;212544;NUM_PEN_PERS;155.0;A
2019;2317;_T;212544;NUM_PEN_PERS;166.0;A
2019;2317;M;212544;NUM_PEN_PERS;132.0;A
2019;2317;F;212544;NUM_PEN_PERS;34.0;A
2019;2318;_T;212544;NUM_PEN_PERS;77.0;A
2019;2318;M;212544;NUM_PEN_PERS;50.0;A
2019;2318;F;212544;NUM_PEN_PERS;27.0;A
2019;2319;_T;212544;NUM_PEN_PERS;106.0;A
2019;2319;M;212544;NUM_PEN_PERS;80.0;A
2019;2319;F;212544;NUM_PEN_PERS;26.0;A
2019;2320;_T;212544;NUM_PEN_PERS;4834.0;A
2019;2320;M;212544;NUM_PEN_PERS;3332.0;A
2019;2320;F;212544;NUM_PEN_PERS;1502.0;A
2019;2321;_T;212544;NUM_PEN_PERS;36.0;A
2019;2321;M;212544;NUM_PEN_PERS;26.0;A
2019;2321;F;212544;NUM_PEN_PERS;10.0;A
2019;2322;_T;212544;NUM_PEN_PERS;52.0;A
2019;2322;M;212544;NUM_PEN_PERS;33.0;A
2019;2322;F;212544;NUM_PEN_PERS;19.0;A
2019;2323;_T;212544;NUM_PEN_PERS;47.0;A
2019;2323;M;212544;NUM_PEN_PERS;31.0;A
2019;2323;F;212544;NUM_PEN_PERS;16.0;A
2019;2324;_T;212544;NUM_PEN_PERS;313.0;A
2019;2324;M;212544;NUM_PEN_PERS;237.0;A
2019;2324;F;212544;NUM_PEN_PERS;76.0;A
2019;2325;_T;212544;NUM_PEN_PERS;63.0;A
2019;2325;M;212544;NUM_PEN_PERS;50.0;A
2019;2325;F;212544;NUM_PEN_PERS;13.0;A
2019;2326;_T;212544;NUM_PEN_PERS;57.0;A
2019;2326;M;212544;NUM_PEN_PERS;41.0;A
2019;2326;F;212544;NUM_PEN_PERS;16.0;A
2019;2327;_T;212544;NUM_PEN_PERS;344.0;A
2019;2327;M;212544;NUM_PEN_PERS;228.0;A
2019;2327;F;212544;NUM_PEN_PERS;116.0;A
2019;2328;_T;212544;NUM_PEN_PERS;17.0;A
2019;2328;M;212544;NUM_PEN_PERS;15.0;A
2019;2329;_T;212544;NUM_PEN_PERS;379.0;A
2019;2329;M;212544;NUM_PEN_PERS;242.0;A
2019;2329;F;212544;NUM_PEN_PERS;137.0;A
2019;2330;_T;212544;NUM_PEN_PERS;134.0;A
2019;2330;M;212544;NUM_PEN_PERS;94.0;A
2019;2330;F;212544;NUM_PEN_PERS;40.0;A
2019;2331;_T;212544;NUM_PEN_PERS;69.0;A
2019;2331;M;212544;NUM_PEN_PERS;46.0;A
2019;2331;F;212544;NUM_PEN_PERS;23.0;A
2019;2332;_T;212544;NUM_PEN_PERS;60.0;A
2019;2332;M;212544;NUM_PEN_PERS;34.0;A
2019;2332;F;212544;NUM_PEN_PERS;26.0;A
2019;2333;_T;212544;NUM_PEN_PERS;372.0;A
2019;2333;M;212544;NUM_PEN_PERS;262.0;A
2019;2333;F;212544;NUM_PEN_PERS;110.0;A
2019;2346;_T;212544;NUM_PEN_PERS;102.0;A
2019;2346;M;212544;NUM_PEN_PERS;65.0;A
2019;2346;F;212544;NUM_PEN_PERS;37.0;A
2019;2334;_T;212544;NUM_PEN_PERS;298.0;A
2019;2334;M;212544;NUM_PEN_PERS;204.0;A
2019;2334;F;212544;NUM_PEN_PERS;94.0;A
2019;2335;_T;212544;NUM_PEN_PERS;40.0;A
2019;2335;M;212544;NUM_PEN_PERS;28.0;A
2019;2335;F;212544;NUM_PEN_PERS;12.0;A
2019;2336;_T;212544;NUM_PEN_PERS;128.0;A
2019;2336;M;212544;NUM_PEN_PERS;87.0;A
2019;2336;F;212544;NUM_PEN_PERS;41.0;A
2019;2337;_T;212544;NUM_PEN_PERS;48.0;A
2019;2337;M;212544;NUM_PEN_PERS;32.0;A
2019;2337;F;212544;NUM_PEN_PERS;16.0;A
2019;2338;_T;212544;NUM_PEN_PERS;64.0;A
2019;2338;M;212544;NUM_PEN_PERS;38.0;A
2019;2338;F;212544;NUM_PEN_PERS;26.0;A
2019;2339;_T;212544;NUM_PEN_PERS;260.0;A
