TEMPORAL;TERRITORIO;SEXO;EDAD;INDICATOR;OBS_VALUE;FREQ
2019;2262;_T;TOTAL;NUM_PEN;142.0;A
2019;2262;_T;Y_LT15;NUM_PEN;24.0;A
2019;2262;_T;Y65-100;NUM_PEN;118.0;A
2019;2262;M;TOTAL;NUM_PEN;56.0;A
2019;2262;M;Y_LT15;NUM_PEN;9.0;A
2019;2262;M;Y65-100;NUM_PEN;47.0;A
2019;2262;F;TOTAL;NUM_PEN;86.0;A
2019;2262;F;Y_LT15;NUM_PEN;15.0;A
2019;2262;F;Y65-100;NUM_PEN;71.0;A
2019;2263;_T;TOTAL;NUM_PEN;53.0;A
2019;2263;_T;Y_LT15;NUM_PEN;7.0;A
2019;2263;_T;Y65-100;NUM_PEN;46.0;A
2019;2263;M;TOTAL;NUM_PEN;24.0;A
2019;2263;M;Y65-100;NUM_PEN;20.0;A
2019;2263;F;TOTAL;NUM_PEN;29.0;A
2019;2263;F;Y65-100;NUM_PEN;26.0;A
2019;2264;_T;TOTAL;NUM_PEN;589.0;A
2019;2264;_T;Y_LT15;NUM_PEN;143.0;A
2019;2264;_T;Y65-100;NUM_PEN;446.0;A
2019;2264;M;TOTAL;NUM_PEN;305.0;A
2019;2264;M;Y_LT15;NUM_PEN;81.0;A
2019;2264;M;Y65-100;NUM_PEN;224.0;A
2019;2264;F;TOTAL;NUM_PEN;284.0;A
2019;2264;F;Y_LT15;NUM_PEN;62.0;A
2019;2264;F;Y65-100;NUM_PEN;222.0;A
2019;2266;_T;TOTAL;NUM_PEN;24.0;A
2019;2266;_T;Y65-100;NUM_PEN;20.0;A
2019;2266;M;TOTAL;NUM_PEN;15.0;A
2019;2266;M;Y65-100;NUM_PEN;11.0;A
2019;2266;F;TOTAL;NUM_PEN;9.0;A
2019;2266;F;Y65-100;NUM_PEN;9.0;A
2019;2267;_T;TOTAL;NUM_PEN;86.0;A
2019;2267;_T;Y_LT15;NUM_PEN;13.0;A
2019;2267;_T;Y65-100;NUM_PEN;73.0;A
2019;2267;M;TOTAL;NUM_PEN;44.0;A
2019;2267;M;Y_LT15;NUM_PEN;6.0;A
2019;2267;M;Y65-100;NUM_PEN;38.0;A
2019;2267;F;TOTAL;NUM_PEN;42.0;A
2019;2267;F;Y_LT15;NUM_PEN;7.0;A
2019;2267;F;Y65-100;NUM_PEN;35.0;A
2019;2268;_T;TOTAL;NUM_PEN;88.0;A
2019;2268;_T;Y_LT15;NUM_PEN;7.0;A
2019;2268;_T;Y65-100;NUM_PEN;81.0;A
2019;2268;M;TOTAL;NUM_PEN;42.0;A
2019;2268;M;Y65-100;NUM_PEN;38.0;A
2019;2268;F;TOTAL;NUM_PEN;46.0;A
2019;2268;F;Y65-100;NUM_PEN;43.0;A
2019;2269;_T;TOTAL;NUM_PEN;2060.0;A
2019;2269;_T;Y_LT15;NUM_PEN;442.0;A
2019;2269;_T;Y65-100;NUM_PEN;1618.0;A
2019;2269;M;TOTAL;NUM_PEN;1012.0;A
2019;2269;M;Y_LT15;NUM_PEN;240.0;A
2019;2269;M;Y65-100;NUM_PEN;772.0;A
2019;2269;F;TOTAL;NUM_PEN;1048.0;A
2019;2269;F;Y_LT15;NUM_PEN;202.0;A
2019;2269;F;Y65-100;NUM_PEN;846.0;A
2019;2270;_T;TOTAL;NUM_PEN;485.0;A
2019;2270;_T;Y_LT15;NUM_PEN;58.0;A
2019;2270;_T;Y65-100;NUM_PEN;427.0;A
2019;2270;M;TOTAL;NUM_PEN;197.0;A
2019;2270;M;Y_LT15;NUM_PEN;36.0;A
2019;2270;M;Y65-100;NUM_PEN;161.0;A
2019;2270;F;TOTAL;NUM_PEN;288.0;A
2019;2270;F;Y_LT15;NUM_PEN;22.0;A
2019;2270;F;Y65-100;NUM_PEN;266.0;A
2019;2271;_T;TOTAL;NUM_PEN;708.0;A
2019;2271;_T;Y_LT15;NUM_PEN;111.0;A
2019;2271;_T;Y65-100;NUM_PEN;597.0;A
2019;2271;M;TOTAL;NUM_PEN;356.0;A
2019;2271;M;Y_LT15;NUM_PEN;66.0;A
2019;2271;M;Y65-100;NUM_PEN;290.0;A
2019;2271;F;TOTAL;NUM_PEN;352.0;A
2019;2271;F;Y_LT15;NUM_PEN;45.0;A
2019;2271;F;Y65-100;NUM_PEN;307.0;A
2019;2272;_T;TOTAL;NUM_PEN;1400.0;A
2019;2272;_T;Y_LT15;NUM_PEN;444.0;A
2019;2272;_T;Y65-100;NUM_PEN;956.0;A
2019;2272;M;TOTAL;NUM_PEN;763.0;A
2019;2272;M;Y_LT15;NUM_PEN;273.0;A
2019;2272;M;Y65-100;NUM_PEN;490.0;A
2019;2272;F;TOTAL;NUM_PEN;637.0;A
2019;2272;F;Y_LT15;NUM_PEN;171.0;A
2019;2272;F;Y65-100;NUM_PEN;466.0;A
2019;2273;_T;TOTAL;NUM_PEN;47.0;A
2019;2273;_T;Y65-100;NUM_PEN;44.0;A
2019;2273;M;TOTAL;NUM_PEN;15.0;A
2019;2273;M;Y65-100;NUM_PEN;14.0;A
2019;2273;F;TOTAL;NUM_PEN;32.0;A
2019;2273;F;Y65-100;NUM_PEN;30.0;A
2019;2277;_T;TOTAL;NUM_PEN;89.0;A
2019;2277;_T;Y_LT15;NUM_PEN;15.0;A
2019;2277;_T;Y65-100;NUM_PEN;74.0;A
2019;2277;M;TOTAL;NUM_PEN;46.0;A
2019;2277;M;Y_LT15;NUM_PEN;8.0;A
2019;2277;M;Y65-100;NUM_PEN;38.0;A
2019;2277;F;TOTAL;NUM_PEN;43.0;A
2019;2277;F;Y_LT15;NUM_PEN;7.0;A
2019;2277;F;Y65-100;NUM_PEN;36.0;A
2019;2278;_T;TOTAL;NUM_PEN;547.0;A
2019;2278;_T;Y_LT15;NUM_PEN;55.0;A
2019;2278;_T;Y65-100;NUM_PEN;492.0;A
2019;2278;M;TOTAL;NUM_PEN;236.0;A
2019;2278;M;Y_LT15;NUM_PEN;35.0;A
2019;2278;M;Y65-100;NUM_PEN;201.0;A
2019;2278;F;TOTAL;NUM_PEN;311.0;A
2019;2278;F;Y_LT15;NUM_PEN;20.0;A
2019;2278;F;Y65-100;NUM_PEN;291.0;A
2019;2274;_T;TOTAL;NUM_PEN;61.0;A
2019;2274;_T;Y_LT15;NUM_PEN;8.0;A
2019;2274;_T;Y65-100;NUM_PEN;53.0;A
2019;2274;M;TOTAL;NUM_PEN;35.0;A
2019;2274;M;Y_LT15;NUM_PEN;5.0;A
2019;2274;M;Y65-100;NUM_PEN;30.0;A
2019;2274;F;TOTAL;NUM_PEN;26.0;A
2019;2274;F;Y65-100;NUM_PEN;23.0;A
2019;2276;_T;TOTAL;NUM_PEN;2222.0;A
2019;2276;_T;Y_LT15;NUM_PEN;461.0;A
2019;2276;_T;Y65-100;NUM_PEN;1761.0;A
2019;2276;M;TOTAL;NUM_PEN;1029.0;A
2019;2276;M;Y_LT15;NUM_PEN;260.0;A
2019;2276;M;Y65-100;NUM_PEN;769.0;A
2019;2276;F;TOTAL;NUM_PEN;1193.0;A
2019;2276;F;Y_LT15;NUM_PEN;201.0;A
2019;2276;F;Y65-100;NUM_PEN;992.0;A
2019;2279;_T;TOTAL;NUM_PEN;867.0;A
2019;2279;_T;Y_LT15;NUM_PEN;139.0;A
2019;2279;_T;Y65-100;NUM_PEN;728.0;A
2019;2279;M;TOTAL;NUM_PEN;387.0;A
2019;2279;M;Y_LT15;NUM_PEN;72.0;A
2019;2279;M;Y65-100;NUM_PEN;315.0;A
2019;2279;F;TOTAL;NUM_PEN;480.0;A
2019;2279;F;Y_LT15;NUM_PEN;67.0;A
2019;2279;F;Y65-100;NUM_PEN;413.0;A
2019;2347;_T;TOTAL;NUM_PEN;9847.0;A
2019;2347;_T;Y_LT15;NUM_PEN;2233.0;A
2019;2347;_T;Y65-100;NUM_PEN;7614.0;A
2019;2347;M;TOTAL;NUM_PEN;4414.0;A
2019;2347;M;Y_LT15;NUM_PEN;1030.0;A
2019;2347;M;Y65-100;NUM_PEN;3384.0;A
2019;2347;F;TOTAL;NUM_PEN;5433.0;A
2019;2347;F;Y_LT15;NUM_PEN;1203.0;A
2019;2347;F;Y65-100;NUM_PEN;4230.0;A
2019;2282;_T;TOTAL;NUM_PEN;96.0;A
2019;2282;_T;Y_LT15;NUM_PEN;18.0;A
2019;2282;_T;Y65-100;NUM_PEN;78.0;A
2019;2282;M;TOTAL;NUM_PEN;62.0;A
2019;2282;M;Y_LT15;NUM_PEN;12.0;A
2019;2282;M;Y65-100;NUM_PEN;50.0;A
2019;2282;F;TOTAL;NUM_PEN;34.0;A
2019;2282;F;Y_LT15;NUM_PEN;6.0;A
2019;2282;F;Y65-100;NUM_PEN;28.0;A
2019;2284;_T;TOTAL;NUM_PEN;150.0;A
2019;2284;_T;Y_LT15;NUM_PEN;28.0;A
2019;2284;_T;Y65-100;NUM_PEN;122.0;A
2019;2284;M;TOTAL;NUM_PEN;76.0;A
2019;2284;M;Y_LT15;NUM_PEN;17.0;A
2019;2284;M;Y65-100;NUM_PEN;59.0;A
2019;2284;F;TOTAL;NUM_PEN;74.0;A
2019;2284;F;Y_LT15;NUM_PEN;11.0;A
2019;2284;F;Y65-100;NUM_PEN;63.0;A
2019;2285;_T;TOTAL;NUM_PEN;370.0;A
2019;2285;_T;Y_LT15;NUM_PEN;92.0;A
2019;2285;_T;Y65-100;NUM_PEN;278.0;A
2019;2285;M;TOTAL;NUM_PEN;189.0;A
2019;2285;M;Y_LT15;NUM_PEN;54.0;A
2019;2285;M;Y65-100;NUM_PEN;135.0;A
2019;2285;F;TOTAL;NUM_PEN;181.0;A
2019;2285;F;Y_LT15;NUM_PEN;38.0;A
2019;2285;F;Y65-100;NUM_PEN;143.0;A
2019;2286;_T;TOTAL;NUM_PEN;602.0;A
2019;2286;_T;Y_LT15;NUM_PEN;108.0;A
2019;2286;_T;Y65-100;NUM_PEN;494.0;A
2019;2286;M;TOTAL;NUM_PEN;294.0;A
2019;2286;M;Y_LT15;NUM_PEN;63.0;A
2019;2286;M;Y65-100;NUM_PEN;231.0;A
2019;2286;F;TOTAL;NUM_PEN;308.0;A
2019;2286;F;Y_LT15;NUM_PEN;45.0;A
2019;2286;F;Y65-100;NUM_PEN;263.0;A
2019;2287;_T;TOTAL;NUM_PEN;253.0;A
2019;2287;_T;Y_LT15;NUM_PEN;47.0;A
2019;2287;_T;Y65-100;NUM_PEN;206.0;A
2019;2287;M;TOTAL;NUM_PEN;126.0;A
2019;2287;M;Y_LT15;NUM_PEN;32.0;A
2019;2287;M;Y65-100;NUM_PEN;94.0;A
2019;2287;F;TOTAL;NUM_PEN;127.0;A
2019;2287;F;Y_LT15;NUM_PEN;15.0;A
2019;2287;F;Y65-100;NUM_PEN;112.0;A
2019;2288;_T;TOTAL;NUM_PEN;569.0;A
2019;2288;_T;Y_LT15;NUM_PEN;110.0;A
2019;2288;_T;Y65-100;NUM_PEN;459.0;A
2019;2288;M;TOTAL;NUM_PEN;261.0;A
2019;2288;M;Y_LT15;NUM_PEN;60.0;A
2019;2288;M;Y65-100;NUM_PEN;201.0;A
2019;2288;F;TOTAL;NUM_PEN;308.0;A
2019;2288;F;Y_LT15;NUM_PEN;50.0;A
2019;2288;F;Y65-100;NUM_PEN;258.0;A
2019;2289;_T;TOTAL;NUM_PEN;463.0;A
2019;2289;_T;Y_LT15;NUM_PEN;79.0;A
2019;2289;_T;Y65-100;NUM_PEN;384.0;A
2019;2289;M;TOTAL;NUM_PEN;226.0;A
2019;2289;M;Y_LT15;NUM_PEN;41.0;A
2019;2289;M;Y65-100;NUM_PEN;185.0;A
