TEMPORAL;SEXO;PROCEDENCIA_ECTA;INDICATOR;OBS_VALUE;FREQ;TERRITORIO;TIPO_ALOJAM_ECTA
2006;M;6776;TURISTAS;15.748407279158464;A;_Z;_Z
2006;M;6778;TURISTAS;15.11175469824709;A;_Z;_Z
2006;M;6779;TURISTAS;4.8318653112392935;A;_Z;_Z
2006;F;6782;TURISTAS;47.70590544425692;A;_Z;_Z
2006;F;6775;TURISTAS;14.988469177901779;A;_Z;_Z
2006;F;6776;TURISTAS;14.030397851114055;A;_Z;_Z
2006;F;6778;TURISTAS;14.384339941109122;A;_Z;_Z
2006;F;6779;TURISTAS;4.302698474131956;A;_Z;_Z
2007;_T;6782;TURISTAS;100.0;A;_Z;_Z
2007;_T;6775;TURISTAS;31.673873427445244;A;_Z;_Z
2007;_T;6776;TURISTAS;29.62205986196455;A;_Z;_Z
2007;_T;6778;TURISTAS;29.715066201438972;A;_Z;_Z
2007;_T;6779;TURISTAS;8.989000509151236;A;_Z;_Z
2007;M;6782;TURISTAS;48.984992480959555;A;_Z;_Z
2007;M;6775;TURISTAS;15.689316587303114;A;_Z;_Z
2007;M;6776;TURISTAS;14.558819447273724;A;_Z;_Z
2007;M;6778;TURISTAS;14.263954263224207;A;_Z;_Z
2007;M;6779;TURISTAS;4.472902183158507;A;_Z;_Z
2007;F;6782;TURISTAS;51.015007519040445;A;_Z;_Z
2007;F;6775;TURISTAS;15.984556840142128;A;_Z;_Z
2007;F;6776;TURISTAS;15.063240414690826;A;_Z;_Z
2007;F;6778;TURISTAS;15.451111938214765;A;_Z;_Z
2007;F;6779;TURISTAS;4.516098325992729;A;_Z;_Z
2008;_T;6782;TURISTAS;100.0;A;_Z;_Z
2008;_T;6775;TURISTAS;31.64360525325175;A;_Z;_Z
2008;_T;6776;TURISTAS;29.60263009991353;A;_Z;_Z
2008;_T;6778;TURISTAS;29.166328145212322;A;_Z;_Z
2008;_T;6779;TURISTAS;9.587436501622406;A;_Z;_Z
2008;M;6782;TURISTAS;47.98046123448147;A;_Z;_Z
2008;M;6775;TURISTAS;15.141862547228758;A;_Z;_Z
2008;M;6776;TURISTAS;14.251828607373337;A;_Z;_Z
