D_TERRITORIO_0;D_SECC_CNAE09_0;D_ESTADO_DATO_0;D_TEMPORAL_0;D_MACROMAG_CPA_0;INDICATOR;OBS_VALUE;FREQ
2352;273777;40124;2012;273764;Valor;;A
2352;273777;40124;2012;273765;Valor;;A
2352;273777;40124;2012;273766;Valor;;A
2352;273777;40124;2012;273767;Valor;;A
2352;273777;40124;2012;273768;Valor;;A
2352;273777;40124;2012;273769;Valor;;A
2352;273777;40124;2012;273770;Valor;;A
2352;273777;40124;2012;273771;Valor;;A
2352;273777;40124;2012;273772;Valor;;A
2352;273777;40124;2012;273773;Valor;;A
2352;273777;40124;2013;273760;Valor;;A
2352;273777;40124;2013;273761;Valor;;A
2352;273777;40124;2013;273762;Valor;;A
2352;273777;40124;2013;273763;Valor;;A
2352;273777;40124;2013;273764;Valor;;A
2352;273777;40124;2013;273765;Valor;;A
2352;273777;40124;2013;273766;Valor;;A
2352;273777;40124;2013;273767;Valor;;A
2352;273777;40124;2013;273768;Valor;;A
2352;273777;40124;2013;273769;Valor;;A
2352;273777;40124;2013;273770;Valor;;A
2352;273777;40124;2013;273771;Valor;;A
2352;273777;40124;2013;273772;Valor;;A
2352;273777;40124;2013;273773;Valor;;A
2352;273777;40124;2014;273760;Valor;;A
2352;273777;40124;2014;273761;Valor;;A
2352;273777;40124;2014;273762;Valor;;A
2352;273777;40124;2014;273763;Valor;;A
2352;273777;40124;2014;273764;Valor;;A
2352;273777;40124;2014;273765;Valor;;A
2352;273777;40124;2014;273766;Valor;;A
2352;273777;40124;2014;273767;Valor;;A
2352;273777;40124;2014;273768;Valor;;A
2352;273777;40124;2014;273769;Valor;;A
2352;273777;40124;2014;273770;Valor;;A
2352;273777;40124;2014;273771;Valor;;A
2352;273777;40124;2014;273772;Valor;;A
2352;273777;40124;2014;273773;Valor;;A
2352;273777;40124;2015;273760;Valor;;A
2352;273777;40124;2015;273761;Valor;;A
2352;273777;40124;2015;273762;Valor;;A
2352;273777;40124;2015;273763;Valor;;A
2352;273777;40124;2015;273764;Valor;;A
2352;273777;40124;2015;273765;Valor;;A
2352;273777;40124;2015;273766;Valor;;A
2352;273777;40124;2015;273767;Valor;;A
2352;273777;40124;2015;273768;Valor;;A
2352;273777;40124;2015;273769;Valor;;A
2352;273777;40124;2015;273770;Valor;;A
2352;273777;40124;2015;273771;Valor;;A
2352;273777;40124;2015;273772;Valor;;A
2352;273777;40124;2015;273773;Valor;;A
2352;273777;40124;2016;273760;Valor;;A
2352;273777;40124;2016;273761;Valor;;A
2352;273777;40124;2016;273762;Valor;;A
2352;273777;40124;2016;273763;Valor;;A
2352;273777;40124;2016;273764;Valor;;A
2352;273777;40124;2016;273765;Valor;;A
2352;273777;40124;2016;273766;Valor;;A
2352;273777;40124;2016;273767;Valor;;A
2352;273777;40124;2016;273768;Valor;;A
2352;273777;40124;2016;273769;Valor;;A
2352;273777;40124;2016;273770;Valor;;A
2352;273777;40124;2016;273771;Valor;;A
2352;273777;40124;2016;273772;Valor;;A
2352;273777;40124;2016;273773;Valor;;A
2352;273777;40124;2017;273760;Valor;;A
2352;273777;40124;2017;273761;Valor;;A
2352;273777;40124;2017;273762;Valor;;A
2352;273777;40124;2017;273763;Valor;;A
2352;273777;40124;2017;273764;Valor;;A
2352;273777;40124;2017;273765;Valor;;A
2352;273777;40124;2017;273766;Valor;;A
2352;273777;40124;2017;273767;Valor;;A
2352;273777;40124;2017;273768;Valor;;A
2352;273777;40124;2017;273769;Valor;;A
2352;273777;40124;2017;273770;Valor;;A
2352;273777;40124;2017;273771;Valor;;A
2352;273777;40124;2017;273772;Valor;;A
2352;273777;40124;2017;273773;Valor;;A
2352;273777;40124;2018;273760;Valor;;A
2352;273777;40124;2018;273761;Valor;;A
2352;273777;40124;2018;273762;Valor;;A
2352;273777;40124;2018;273763;Valor;;A
2352;273777;40124;2018;273764;Valor;;A
2352;273777;40124;2018;273765;Valor;;A
2352;273777;40124;2018;273766;Valor;;A
2352;273777;40124;2018;273767;Valor;;A
2352;273777;40124;2018;273768;Valor;;A
2352;273777;40124;2018;273769;Valor;;A
2352;273777;40124;2018;273770;Valor;;A
2352;273777;40124;2018;273771;Valor;;A
2352;273777;40124;2018;273772;Valor;;A
2352;273777;40124;2018;273773;Valor;;A
2352;273777;40124;2019;273760;Valor;3006696.0;A
2352;273777;40124;2019;273761;Valor;705167.0;A
2352;273777;40124;2019;273762;Valor;2301529.0;A
2352;273777;40124;2019;273763;Valor;;A
2352;273777;40124;2019;273764;Valor;;A
2352;273777;40124;2019;273765;Valor;105.519414032;A
2352;273777;40124;2019;273766;Valor;;A
2352;273777;40124;2019;273767;Valor;;A
2352;273777;40124;2019;273768;Valor;399598.0;A
2352;273777;40124;2019;273769;Valor;-443800.0;A
2352;273777;40124;2019;273770;Valor;2345731.0;A
2352;273777;40124;2019;273771;Valor;53311.0;A
2352;273777;40124;2019;273772;Valor;36459.0;A
2352;273777;40124;2019;273773;Valor;16852.0;A
2352;273777;40124;2020;273762;Valor;;A
2352;273777;40124;2020;273763;Valor;;A
2352;273777;40124;2020;273764;Valor;;A
2352;273777;40124;2020;273765;Valor;;A
2352;273777;40124;2020;273766;Valor;;A
2352;273777;40124;2020;273767;Valor;;A
2352;273777;40124;2020;273768;Valor;;A
2352;273777;40124;2020;273769;Valor;;A
2352;273777;40124;2020;273770;Valor;;A
2352;273777;40124;2020;273771;Valor;;A
2352;273777;40124;2020;273772;Valor;;A
2352;273777;40124;2020;273773;Valor;;A
2352;273779;40123;2008;273760;Valor;3174879.0;A
2352;273779;40123;2008;273761;Valor;2163195.0;A
2352;273779;40123;2008;273762;Valor;1011684.0;A
2352;273779;40123;2008;273763;Valor;;A
2352;273779;40123;2008;273764;Valor;;A
2352;273779;40123;2008;273765;Valor;117.236212009;A
2352;273779;40123;2008;273766;Valor;;A
2352;273779;40123;2008;273767;Valor;;A
2352;273779;40123;2008;273768;Valor;488512.0;A
2352;273779;40123;2008;273769;Valor;-1518.0;A
2352;273779;40123;2008;273770;Valor;524690.0;A
2352;273779;40123;2008;273771;Valor;18569.0;A
2352;273779;40123;2008;273772;Valor;17000.0;A
2352;273779;40123;2008;273773;Valor;1569.0;A
2352;273779;40123;2009;273760;Valor;2490763.0;A
2352;273779;40123;2009;273761;Valor;1508019.0;A
2352;273779;40123;2009;273762;Valor;982744.0;A
2352;273779;40123;2009;273763;Valor;;A
2352;273779;40123;2009;273764;Valor;;A
2352;273779;40123;2009;273765;Valor;110.977559241;A
2352;273779;40123;2009;273766;Valor;;A
2352;273779;40123;2009;273767;Valor;;A
2352;273779;40123;2009;273768;Valor;446590.0;A
2352;273779;40123;2009;273769;Valor;347.0;A
2352;273779;40123;2009;273770;Valor;535807.0;A
2352;273779;40123;2009;273771;Valor;16729.0;A
2352;273779;40123;2009;273772;Valor;15245.0;A
2352;273779;40123;2009;273773;Valor;1484.0;A
2352;273779;40123;2010;273760;Valor;2558893.0;A
2352;273779;40123;2010;273761;Valor;1658358.0;A
2352;273779;40123;2010;273762;Valor;900535.0;A
2352;273779;40123;2010;273763;Valor;;A
2352;273779;40123;2010;273764;Valor;;A
2352;273779;40123;2010;273765;Valor;101.600250603;A
2352;273779;40123;2010;273766;Valor;;A
2352;273779;40123;2010;273767;Valor;;A
2352;273779;40123;2010;273768;Valor;413294.0;A
2352;273779;40123;2010;273769;Valor;-519.0;A
2352;273779;40123;2010;273770;Valor;487760.0;A
2352;273779;40123;2010;273771;Valor;15077.0;A
2352;273779;40123;2010;273772;Valor;13719.0;A
2352;273779;40123;2010;273773;Valor;1358.0;A
2352;273779;40123;2011;273760;Valor;2366824.0;A
2352;273779;40123;2011;273761;Valor;1468736.0;A
2352;273779;40123;2011;273762;Valor;898088.0;A
2352;273779;40123;2011;273763;Valor;;A
2352;273779;40123;2011;273764;Valor;;A
2352;273779;40123;2011;273765;Valor;95.998343456;A
2352;273779;40123;2011;273766;Valor;;A
2352;273779;40123;2011;273767;Valor;;A
2352;273779;40123;2011;273768;Valor;408683.0;A
2352;273779;40123;2011;273769;Valor;-1055.0;A
2352;273779;40123;2011;273770;Valor;490460.0;A
2352;273779;40123;2011;273771;Valor;14426.0;A
2352;273779;40123;2011;273772;Valor;13137.0;A
2352;273779;40123;2011;273773;Valor;1289.0;A
2352;273779;40123;2012;273760;Valor;2895582.0;A
2352;273779;40123;2012;273761;Valor;1841568.0;A
2352;273779;40123;2012;273762;Valor;1054014.0;A
2352;273779;40123;2012;273763;Valor;;A
2352;273779;40123;2012;273764;Valor;;A
2352;273779;40123;2012;273765;Valor;109.556218386;A
2352;273779;40123;2012;273766;Valor;;A
2352;273779;40123;2012;273767;Valor;;A
2352;273779;40123;2012;273768;Valor;426621.0;A
2352;273779;40123;2012;273769;Valor;9473.0;A
2352;273779;40123;2012;273770;Valor;617920.0;A
2352;273779;40123;2012;273771;Valor;13708.0;A
2352;273779;40123;2012;273772;Valor;12602.0;A
2352;273779;40123;2012;273773;Valor;1106.0;A
2352;273779;40123;2013;273760;Valor;3375964.0;A
2352;273779;40123;2013;273761;Valor;2291411.0;A
2352;273779;40123;2013;273762;Valor;1084553.0;A
2352;273779;40123;2013;273763;Valor;;A
2352;273779;40123;2013;273764;Valor;;A
2352;273779;40123;2013;273765;Valor;108.775761973;A
2352;273779;40123;2013;273766;Valor;;A
2352;273779;40123;2013;273767;Valor;;A
2352;273779;40123;2013;273768;Valor;373517.0;A
2352;273779;40123;2013;273769;Valor;14751.0;A
2352;273779;40123;2013;273770;Valor;696285.0;A
2352;273779;40123;2013;273771;Valor;12615.0;A
2352;273779;40123;2013;273772;Valor;11474.0;A
2352;273779;40123;2013;273773;Valor;1141.0;A
2352;273779;40123;2014;273760;Valor;2861868.0;A
2352;273779;40123;2014;273761;Valor;1918358.0;A
2352;273779;40123;2014;273762;Valor;943510.0;A
2352;273779;40123;2014;273763;Valor;;A
2352;273779;40123;2014;273764;Valor;;A
2352;273779;40123;2014;273765;Valor;94.934549665;A
2352;273779;40123;2014;273766;Valor;;A
2352;273779;40123;2014;273767;Valor;;A
2352;273779;40123;2014;273768;Valor;358908.0;A
2352;273779;40123;2014;273769;Valor;13397.0;A
2352;273779;40123;2014;273770;Valor;571205.0;A
2352;273779;40123;2014;273771;Valor;12244.0;A
2352;273779;40123;2014;273772;Valor;10997.0;A
2352;273779;40123;2014;273773;Valor;1247.0;A
2352;273779;40123;2015;273760;Valor;3012208.0;A
2352;273779;40123;2015;273761;Valor;2008468.0;A
2352;273779;40123;2015;273762;Valor;1003740.0;A
2352;273779;40123;2015;273763;Valor;;A
2352;273779;40123;2015;273764;Valor;;A
2352;273779;40123;2015;273765;Valor;100.0;A
2352;273779;40123;2015;273766;Valor;;A
2352;273779;40123;2015;273767;Valor;;A
2352;273779;40123;2015;273768;Valor;375870.0;A
2352;273779;40123;2015;273769;Valor;11996.0;A
2352;273779;40123;2015;273770;Valor;615874.0;A
2352;273779;40123;2015;273771;Valor;12781.0;A
2352;273779;40123;2015;273772;Valor;11452.0;A
2352;273779;40123;2015;273773;Valor;1329.0;A
2352;273779;40123;2016;273760;Valor;3408909.0;A
2352;273779;40123;2016;273761;Valor;2405283.0;A
2352;273779;40123;2016;273762;Valor;1003626.0;A
2352;273779;40123;2016;273763;Valor;;A
2352;273779;40123;2016;273764;Valor;;A
2352;273779;40123;2016;273765;Valor;102.188253206;A
2352;273779;40123;2016;273766;Valor;;A
2352;273779;40123;2016;273767;Valor;;A
