ESTADO_DATO;TERRITORIO;CAT_HOTELES;TEMPORAL;RESITUR;INDICATOR;OBS_VALUE;FREQ;PARQUES_TURISMO
A;ES61;62145;2014;55698;VIAJEROS;359837.22002303;A;
A;ES61;62145;2014;55565;VIAJEROS;221222.528519747;A;
A;ES61;62145;2014;55697;VIAJEROS;138614.691503283;A;
A;ES61;62145;2013;55698;VIAJEROS;342874.22;A;
A;ES61;62145;2013;55565;VIAJEROS;217631.14;A;
A;ES61;62145;2013;55697;VIAJEROS;125243.08;A;
A;ES61;62145;2012;55698;VIAJEROS;350472.41;A;
A;ES61;62145;2012;55565;VIAJEROS;217673.43;A;
A;ES61;62145;2012;55697;VIAJEROS;132798.98;A;
A;ES61;62145;2011;55698;VIAJEROS;376260.3;A;
A;ES61;62145;2011;55565;VIAJEROS;239617.32;A;
A;ES61;62145;2011;55697;VIAJEROS;136642.98;A;
A;ES61;62145;2010;55698;VIAJEROS;383015.15;A;
A;ES61;62145;2010;55565;VIAJEROS;252222.7;A;
A;ES61;62145;2010;55697;VIAJEROS;130792.45;A;
A;ES61;62145;2009;55698;VIAJEROS;407701.35;A;
A;ES61;62145;2009;55565;VIAJEROS;273395.43;A;
A;ES61;62145;2009;55697;VIAJEROS;134305.92;A;
A;ES61;62145;2008;55698;VIAJEROS;453451.44;A;
A;ES61;62145;2008;55565;VIAJEROS;310936.34;A;
A;ES61;62145;2008;55697;VIAJEROS;142515.1;A;
A;ES61;264450;2020;55698;VIAJEROS;338081.772259108;A;
A;ES61;264450;2020;55565;VIAJEROS;263756.784855732;A;
A;ES61;264450;2020;55697;VIAJEROS;74324.987403376;A;
A;ES61;264450;2019;55698;VIAJEROS;842174.309731594;A;
A;ES61;264450;2019;55565;VIAJEROS;511790.593826728;A;
A;ES61;264450;2019;55697;VIAJEROS;330383.715904866;A;
A;ES61;264450;2018;55698;VIAJEROS;833687.468085416;A;
A;ES61;264450;2018;55565;VIAJEROS;495545.7638054;A;
A;ES61;264450;2018;55697;VIAJEROS;338141.704280016;A;
A;ES61;264450;2017;55698;VIAJEROS;840175.59832132;A;
