TEMPORAL;CIE10;TERRITORIO;SEXO;INDICATOR;OBS_VALUE;FREQ
2020;56416;ES613;M;DEATHS;116.0;A
2020;56416;ES613;F;DEATHS;223.0;A
2020;56416;ES614;_T;DEATHS;286.0;A
2020;56416;ES614;M;DEATHS;99.0;A
2020;56416;ES614;F;DEATHS;187.0;A
2020;56416;ES615;_T;DEATHS;80.0;A
2020;56416;ES615;M;DEATHS;34.0;A
2020;56416;ES615;F;DEATHS;46.0;A
2020;56416;ES616;_T;DEATHS;233.0;A
2020;56416;ES616;M;DEATHS;61.0;A
2020;56416;ES616;F;DEATHS;172.0;A
2020;56416;ES617;_T;DEATHS;533.0;A
2020;56416;ES617;M;DEATHS;177.0;A
2020;56416;ES617;F;DEATHS;356.0;A
2020;56416;ES618;_T;DEATHS;439.0;A
2020;56416;ES618;M;DEATHS;154.0;A
2020;56416;ES618;F;DEATHS;285.0;A
2020;56536;ES61;_T;DEATHS;4408.0;A
2020;56536;ES61;M;DEATHS;1705.0;A
2020;56536;ES61;F;DEATHS;2703.0;A
2020;56536;ES611;_T;DEATHS;317.0;A
2020;56536;ES611;M;DEATHS;127.0;A
2020;56536;ES611;F;DEATHS;190.0;A
2020;56536;ES612;_T;DEATHS;647.0;A
2020;56536;ES612;M;DEATHS;251.0;A
2020;56536;ES612;F;DEATHS;396.0;A
2020;56536;ES613;_T;DEATHS;400.0;A
2020;56536;ES613;M;DEATHS;162.0;A
2020;56536;ES613;F;DEATHS;238.0;A
2020;56536;ES614;_T;DEATHS;532.0;A
2020;56536;ES614;M;DEATHS;206.0;A
2020;56536;ES614;F;DEATHS;326.0;A
2020;56536;ES615;_T;DEATHS;276.0;A
2020;56536;ES615;M;DEATHS;107.0;A
2020;56536;ES615;F;DEATHS;169.0;A
2020;56536;ES616;_T;DEATHS;348.0;A
2020;56536;ES616;M;DEATHS;139.0;A
2020;56536;ES616;F;DEATHS;209.0;A
2020;56536;ES617;_T;DEATHS;890.0;A
2020;56536;ES617;M;DEATHS;331.0;A
2020;56536;ES617;F;DEATHS;559.0;A
2020;56536;ES618;_T;DEATHS;998.0;A
2020;56536;ES618;M;DEATHS;382.0;A
2020;56536;ES618;F;DEATHS;616.0;A
2020;56604;ES61;_T;DEATHS;22508.0;A
2020;56604;ES61;M;DEATHS;10464.0;A
2020;56604;ES61;F;DEATHS;12044.0;A
2020;56604;ES611;_T;DEATHS;1416.0;A
2020;56604;ES611;M;DEATHS;696.0;A
2020;56604;ES611;F;DEATHS;720.0;A
2020;56604;ES612;_T;DEATHS;3087.0;A
2020;56604;ES612;M;DEATHS;1473.0;A
2020;56604;ES612;F;DEATHS;1614.0;A
2020;56604;ES613;_T;DEATHS;2371.0;A
2020;56604;ES613;M;DEATHS;1046.0;A
2020;56604;ES613;F;DEATHS;1325.0;A
2020;56604;ES614;_T;DEATHS;2617.0;A
2020;56604;ES614;M;DEATHS;1201.0;A
2020;56604;ES614;F;DEATHS;1416.0;A
2020;56604;ES615;_T;DEATHS;1334.0;A
2020;56604;ES615;M;DEATHS;614.0;A
2020;56604;ES615;F;DEATHS;720.0;A
2020;56604;ES616;_T;DEATHS;1837.0;A
2020;56604;ES616;M;DEATHS;847.0;A
2020;56604;ES616;F;DEATHS;990.0;A
2020;56604;ES617;_T;DEATHS;4122.0;A
2020;56604;ES617;M;DEATHS;2005.0;A
2020;56604;ES617;F;DEATHS;2117.0;A
2020;56604;ES618;_T;DEATHS;5724.0;A
2020;56604;ES618;M;DEATHS;2582.0;A
2020;56604;ES618;F;DEATHS;3142.0;A
2020;56669;ES61;_T;DEATHS;6581.0;A
2020;56669;ES61;M;DEATHS;3929.0;A
