D_TEMPORAL_0;D_TERRITORIO_0;D_SEXO_0;D_SEXOC2_0;INDICATOR;OBS_VALUE;FREQ
2012;ES618;01;01;;9.0;A
2012;ES618;01;06;;4483.89142;A
2012;ES618;06;00;;6.0;A
2012;ES618;06;06;;6.0;A
2011;ES61;00;00;;18257.58564089;A
2011;ES61;00;01;;25.0;A
2011;ES61;00;06;;18232.58564089;A
2011;ES61;01;00;;18235.58564089;A
2011;ES61;01;01;;25.0;A
2011;ES61;01;06;;18210.58564089;A
2011;ES61;06;00;;22.0;A
2011;ES61;06;06;;22.0;A
2011;ES611;00;00;;1426.82187464;A
2011;ES611;00;06;;1426.82187464;A
2011;ES611;01;00;;1426.82187464;A
2011;ES611;01;06;;1426.82187464;A
2011;ES612;00;00;;2822.48660103;A
2011;ES612;00;01;;3.0;A
2011;ES612;00;06;;2819.48660103;A
2011;ES612;01;00;;2819.48660103;A
2011;ES612;01;01;;3.0;A
2011;ES612;01;06;;2816.48660103;A
2011;ES612;06;00;;3.0;A
2011;ES612;06;06;;3.0;A
2011;ES613;00;00;;1607.8291226;A
2011;ES613;00;01;;1.0;A
2011;ES613;00;06;;1606.8291226;A
2011;ES613;01;00;;1605.8291226;A
2011;ES613;01;01;;1.0;A
2011;ES613;01;06;;1604.8291226;A
2011;ES613;06;00;;2.0;A
2011;ES613;06;06;;2.0;A
2011;ES614;00;00;;2058.63585768;A
2011;ES614;00;01;;1.0;A
2011;ES614;00;06;;2057.63585768;A
2011;ES614;01;00;;2058.63585768;A
2011;ES614;01;01;;1.0;A
2011;ES614;01;06;;2057.63585768;A
2011;ES615;00;00;;976.40048302;A
2011;ES615;00;01;;3.0;A
2011;ES615;00;06;;973.40048302;A
2011;ES615;01;00;;975.40048302;A
2011;ES615;01;01;;3.0;A
2011;ES615;01;06;;972.40048302;A
2011;ES615;06;00;;1.0;A
2011;ES615;06;06;;1.0;A
2011;ES616;00;00;;1223.16206129;A
2011;ES616;00;01;;2.0;A
2011;ES616;00;06;;1221.16206129;A
2011;ES616;01;00;;1222.16206129;A
2011;ES616;01;01;;2.0;A
2011;ES616;01;06;;1220.16206129;A
2011;ES616;06;00;;1.0;A
2011;ES616;06;06;;1.0;A
2011;ES617;00;00;;3827.02436747;A
2011;ES617;00;01;;9.0;A
2011;ES617;00;06;;3818.02436747;A
2011;ES617;01;00;;3822.02436747;A
2011;ES617;01;01;;9.0;A
2011;ES617;01;06;;3813.02436747;A
2011;ES617;06;00;;5.0;A
2011;ES617;06;06;;5.0;A
2011;ES618;00;00;;4315.22527316;A
2011;ES618;00;01;;6.0;A
2011;ES618;00;06;;4309.22527316;A
2011;ES618;01;00;;4305.22527316;A
2011;ES618;01;01;;6.0;A
2011;ES618;01;06;;4299.22527316;A
2011;ES618;06;00;;10.0;A
2011;ES618;06;06;;10.0;A
2010;ES61;00;00;;18373.44232079;A
2010;ES61;00;01;;18.0;A
2010;ES61;00;06;;18355.44232079;A
2010;ES61;01;00;;18355.44232079;A
2010;ES61;01;01;;18.0;A
2010;ES61;01;06;;18337.44232079;A
2010;ES61;06;00;;18.0;A
2010;ES61;06;06;;18.0;A
2010;ES611;00;00;;1362.40772485;A
2010;ES611;00;01;;3.0;A
2010;ES611;00;06;;1359.40772485;A
2010;ES611;01;00;;1359.40772485;A
2010;ES611;01;01;;3.0;A
2010;ES611;01;06;;1356.40772485;A
2010;ES611;06;00;;3.0;A
2010;ES611;06;06;;3.0;A
2010;ES612;00;00;;2718.61775842;A
2010;ES612;00;01;;2.0;A
2010;ES612;00;06;;2716.61775842;A
2010;ES612;01;00;;2716.61775842;A
2010;ES612;01;01;;2.0;A
2010;ES612;01;06;;2714.61775842;A
2010;ES612;06;00;;2.0;A
2010;ES612;06;06;;2.0;A
2010;ES613;00;00;;1659.02026916;A
2010;ES613;00;01;;3.0;A
2010;ES613;00;06;;1656.02026916;A
2010;ES613;01;00;;1657.02026916;A
