D_TEMPORAL_0;D_TERRITORIO_0;D_ESTADOCIVIL_0;D_ESTADOCIVILC2_0;INDICATOR;OBS_VALUE;FREQ
2019;ES618;5;3;;2.50965;A
2019;ES618;5;5;;73.88823;A
2018;ES61;00;00;;16934.828;A
2018;ES61;00;1;;15784.5394;A
2018;ES61;00;3;;89.5937;A
2018;ES61;00;5;;1060.6949;A
2018;ES61;1;00;;15748.2391;A
2018;ES61;1;1;;15135.7913;A
2018;ES61;1;3;;51.4742;A
2018;ES61;1;5;;560.9736;A
2018;ES61;3;00;;125.3188;A
2018;ES61;3;1;;67.811;A
2018;ES61;3;3;;11.5758;A
2018;ES61;3;5;;45.932;A
2018;ES61;5;00;;1061.2701;A
2018;ES61;5;1;;580.9371;A
2018;ES61;5;3;;26.5437;A
2018;ES61;5;5;;453.7893;A
2018;ES611;00;00;;1456.1395;A
2018;ES611;00;1;;1325.528;A
2018;ES611;00;3;;9.3735;A
2018;ES611;00;5;;121.238;A
2018;ES611;1;00;;1345.6779;A
2018;ES611;1;1;;1262.1587;A
2018;ES611;1;3;;7.7458;A
2018;ES611;1;5;;75.7734;A
2018;ES611;3;00;;3.8729;A
2018;ES611;3;5;;3.8729;A
2018;ES611;5;00;;106.5887;A
2018;ES611;5;1;;63.3693;A
2018;ES611;5;3;;1.6277;A
2018;ES611;5;5;;41.5917;A
2018;ES612;00;00;;2490.3415;A
2018;ES612;00;1;;2368.3467;A
2018;ES612;00;3;;14.2172;A
2018;ES612;00;5;;107.7776;A
2018;ES612;1;00;;2333.8332;A
2018;ES612;1;1;;2280.8654;A
2018;ES612;1;3;;2.1781;A
2018;ES612;1;5;;50.7897;A
2018;ES612;3;00;;21.3258;A
2018;ES612;3;1;;9.2867;A
2018;ES612;3;3;;4.9305;A
2018;ES612;3;5;;7.1086;A
2018;ES612;5;00;;135.1825;A
2018;ES612;5;1;;78.1946;A
2018;ES612;5;3;;7.1086;A
2018;ES612;5;5;;49.8793;A
2018;ES613;00;00;;1405.7198;A
2018;ES613;00;1;;1327.7528;A
2018;ES613;00;3;;3.936;A
2018;ES613;00;5;;74.031;A
2018;ES613;1;00;;1298.777;A
2018;ES613;1;1;;1267.54;A
2018;ES613;1;3;;3.936;A
2018;ES613;1;5;;27.301;A
2018;ES613;3;00;;14.0692;A
2018;ES613;3;1;;8.3466;A
2018;ES613;3;5;;5.7226;A
2018;ES613;5;00;;92.8736;A
2018;ES613;5;1;;51.8662;A
2018;ES613;5;5;;41.0074;A
2018;ES614;00;00;;1684.5826;A
2018;ES614;00;1;;1537.7934;A
2018;ES614;00;3;;12.4886;A
2018;ES614;00;5;;134.3006;A
2018;ES614;1;00;;1556.2223;A
2018;ES614;1;1;;1487.5029;A
2018;ES614;1;3;;7.4131;A
2018;ES614;1;5;;61.3063;A
2018;ES614;3;00;;14.8262;A
2018;ES614;3;1;;7.0128;A
2018;ES614;3;3;;2.3376;A
2018;ES614;3;5;;5.4758;A
2018;ES614;5;00;;113.5341;A
2018;ES614;5;1;;43.2777;A
2018;ES614;5;3;;2.7379;A
2018;ES614;5;5;;67.5185;A
2018;ES615;00;00;;986.218;A
2018;ES615;00;1;;888.854;A
2018;ES615;00;3;;3.058;A
2018;ES615;00;5;;94.306;A
2018;ES615;1;00;;937.064;A
2018;ES615;1;1;;867.335;A
2018;ES615;1;5;;69.729;A
2018;ES615;3;00;;11.288;A
2018;ES615;3;1;;3.058;A
2018;ES615;3;5;;8.23;A
2018;ES615;5;00;;37.866;A
2018;ES615;5;1;;18.461;A
2018;ES615;5;3;;3.058;A
2018;ES615;5;5;;16.347;A
2018;ES616;00;00;;1108.2069;A
2018;ES616;00;1;;1051.7;A
2018;ES616;00;3;;9.6896;A
2018;ES616;00;5;;46.8173;A
2018;ES616;1;00;;1042.689;A
2018;ES616;1;1;;1015.7033;A
2018;ES616;1;3;;9.6896;A
2018;ES616;1;5;;17.2961;A
2018;ES616;3;00;;7.1541;A
2018;ES616;3;1;;4.8448;A
2018;ES616;3;5;;2.3093;A
2018;ES616;5;00;;58.3638;A
2018;ES616;5;1;;31.1519;A
2018;ES616;5;5;;27.2119;A
2018;ES617;00;00;;3718.358;A
2018;ES617;00;1;;3420.885;A
2018;ES617;00;3;;22.2785;A
2018;ES617;00;5;;275.1945;A
2018;ES617;1;00;;3393.8018;A
2018;ES617;1;1;;3229.9879;A
2018;ES617;1;3;;14.6352;A
2018;ES617;1;5;;149.1787;A
2018;ES617;3;00;;37.5651;A
2018;ES617;3;1;;25.1171;A
2018;ES617;3;3;;2.8386;A
2018;ES617;3;5;;9.6094;A
2018;ES617;5;00;;286.9911;A
2018;ES617;5;1;;165.78;A
2018;ES617;5;3;;4.8047;A
2018;ES617;5;5;;116.4064;A
2018;ES618;00;00;;4085.2617;A
2018;ES618;00;1;;3863.6795;A
2018;ES618;00;3;;14.5523;A
2018;ES618;00;5;;207.0299;A
2018;ES618;1;00;;3840.1739;A
2018;ES618;1;1;;3724.6981;A
2018;ES618;1;3;;5.8764;A
2018;ES618;1;5;;109.5994;A
2018;ES618;3;00;;15.2175;A
2018;ES618;3;1;;10.145;A
2018;ES618;3;3;;1.4691;A
2018;ES618;3;5;;3.6034;A
2018;ES618;5;00;;229.8703;A
2018;ES618;5;1;;128.8364;A
2018;ES618;5;3;;7.2068;A
2018;ES618;5;5;;93.8271;A
2017;ES61;00;00;;17436.6101;A
2017;ES61;00;1;;16344.362;A
2017;ES61;00;3;;100.0822;A
2017;ES61;00;5;;992.1659;A
2017;ES61;1;00;;16177.9606;A
2017;ES61;1;1;;15590.1419;A
2017;ES61;1;3;;58.575;A
2017;ES61;1;5;;529.2437;A
2017;ES61;3;00;;83.6609;A
2017;ES61;3;1;;61.1619;A
2017;ES61;3;3;;7.0041;A
2017;ES61;3;5;;15.4949;A
2017;ES61;5;00;;1174.9886;A
2017;ES61;5;1;;693.0582;A
2017;ES61;5;3;;34.5031;A
2017;ES61;5;5;;447.4273;A
2017;ES611;00;00;;1454.7143;A
2017;ES611;00;1;;1334.5725;A
2017;ES611;00;3;;18.3638;A
2017;ES611;00;5;;101.778;A
2017;ES611;1;00;;1310.2333;A
2017;ES611;1;1;;1251.6836;A
2017;ES611;1;3;;11.7537;A
2017;ES611;1;5;;46.796;A
2017;ES611;3;00;;5.0889;A
2017;ES611;3;1;;3.5677;A
2017;ES611;3;5;;1.5212;A
2017;ES611;5;00;;139.3921;A
2017;ES611;5;1;;79.3212;A
2017;ES611;5;3;;6.6101;A
2017;ES611;5;5;;53.4608;A
2017;ES612;00;00;;2406.3281;A
2017;ES612;00;1;;2264.0488;A
2017;ES612;00;3;;14.035;A
2017;ES612;00;5;;128.2443;A
2017;ES612;1;00;;2262.8576;A
2017;ES612;1;1;;2177.3614;A
2017;ES612;1;3;;9.5552;A
2017;ES612;1;5;;75.941;A
2017;ES612;3;00;;19.1104;A
2017;ES612;3;1;;15.1787;A
2017;ES612;3;3;;2.2399;A
2017;ES612;3;5;;1.6918;A
2017;ES612;5;00;;124.3601;A
2017;ES612;5;1;;71.5087;A
2017;ES612;5;3;;2.2399;A
2017;ES612;5;5;;50.6115;A
2017;ES613;00;00;;1426.032;A
2017;ES613;00;1;;1345.7235;A
2017;ES613;00;3;;9.6545;A
2017;ES613;00;5;;70.654;A
2017;ES613;1;00;;1339.5785;A
2017;ES613;1;1;;1290.2995;A
2017;ES613;1;3;;8.1315;A
2017;ES613;1;5;;41.1475;A
2017;ES613;3;00;;6.6085;A
2017;ES613;3;1;;5.0855;A
2017;ES613;3;5;;1.523;A
2017;ES613;5;00;;79.845;A
2017;ES613;5;1;;50.3385;A
2017;ES613;5;3;;1.523;A
2017;ES613;5;5;;27.9835;A
2017;ES614;00;00;;1990.6668;A
2017;ES614;00;1;;1865.7636;A
2017;ES614;00;3;;12.842;A
2017;ES614;00;5;;112.0612;A
2017;ES614;1;00;;1857.7028;A
2017;ES614;1;1;;1794.619;A
2017;ES614;1;3;;2.0152;A
2017;ES614;1;5;;61.0686;A
2017;ES614;3;00;;10.4514;A
