D_TEMPORAL_0;D_TERRITORIO_0;D_NUMHIJOSMENORED_0;INDICATOR;OBS_VALUE;FREQ
2016;ES61;2;DIV;4003.6689;A
2016;ES61;3;DIV;554.4398;A
2016;ES61;4;DIV;46.2014;A
2016;ES61;05mas;DIV;8.6141;A
2016;ES611;000;DIV;1425.5804;A
2016;ES611;0;DIV;676.8467;A
2016;ES611;1;DIV;387.0009;A
2016;ES611;2;DIV;316.5162;A
2016;ES611;3;DIV;43.8867;A
2016;ES611;4;DIV;1.3299;A
2016;ES612;000;DIV;2275.825;A
2016;ES612;0;DIV;908.9128;A
2016;ES612;1;DIV;733.119;A
2016;ES612;2;DIV;550.2334;A
2016;ES612;3;DIV;77.2534;A
2016;ES612;4;DIV;6.3064;A
2016;ES613;000;DIV;1473.292;A
2016;ES613;0;DIV;606.8384;A
2016;ES613;1;DIV;444.9709;A
2016;ES613;2;DIV;388.8602;A
2016;ES613;3;DIV;27.4029;A
2016;ES613;4;DIV;3.9147;A
2016;ES613;05mas;DIV;1.3049;A
2016;ES614;000;DIV;1937.4432;A
2016;ES614;0;DIV;927.824;A
2016;ES614;1;DIV;463.3184;A
2016;ES614;2;DIV;463.3184;A
2016;ES614;3;DIV;76.0672;A
2016;ES614;4;DIV;6.9152;A
2016;ES615;000;DIV;1053.5608;A
2016;ES615;0;DIV;420.6736;A
2016;ES615;1;DIV;332.0064;A
2016;ES615;2;DIV;264.5676;A
2016;ES615;3;DIV;32.8548;A
2016;ES615;4;DIV;1.7292;A
2016;ES615;05mas;DIV;1.7292;A
2016;ES616;000;DIV;1120.7404;A
2016;ES616;0;DIV;528.7996;A
2016;ES616;1;DIV;287.0016;A
2016;ES616;2;DIV;261.59;A
2016;ES616;3;DIV;40.3596;A
2016;ES616;4;DIV;1.4948;A
2016;ES616;05mas;DIV;1.4948;A
2016;ES617;000;DIV;3657.8326;A
2016;ES617;0;DIV;1798.5892;A
2016;ES617;1;DIV;951.3804;A
2016;ES617;2;DIV;780.312;A
2016;ES617;3;DIV;117.0468;A
2016;ES617;4;DIV;9.0036;A
2016;ES617;05mas;DIV;1.5006;A
2016;ES618;000;DIV;4023.9932;A
2016;ES618;0;DIV;1709.4839;A
2016;ES618;1;DIV;1178.5776;A
2016;ES618;2;DIV;978.2711;A
2016;ES618;3;DIV;139.5684;A
2016;ES618;4;DIV;15.5076;A
2016;ES618;05mas;DIV;2.5846;A
2015;ES61;000;DIV;17029.5907;A
2015;ES61;0;DIV;7637.8795;A
2015;ES61;1;DIV;4781.808;A
2015;ES61;2;DIV;4063.8332;A
2015;ES61;3;DIV;495.7448;A
2015;ES61;4;DIV;42.8632;A
2015;ES61;05mas;DIV;7.462;A
2015;ES611;000;DIV;1398.5163;A
2015;ES611;0;DIV;681.8319;A
2015;ES611;1;DIV;369.3924;A
2015;ES611;2;DIV;306.2484;A
2015;ES611;3;DIV;34.7292;A
2015;ES611;4;DIV;4.7358;A
2015;ES611;05mas;DIV;1.5786;A
2015;ES612;000;DIV;2355.5567;A
2015;ES612;0;DIV;999.2329;A
2015;ES612;1;DIV;734.7418;A
2015;ES612;2;DIV;533.923;A
2015;ES612;3;DIV;84.4714;A
2015;ES612;4;DIV;3.1876;A
2015;ES613;000;DIV;1621.987;A
2015;ES613;0;DIV;674.665;A
2015;ES613;1;DIV;430.4655;A
2015;ES613;2;DIV;475.1505;A
2015;ES613;3;DIV;37.2375;A
