OBS_STATUS;TERRITORIO;TEMPORAL;RESITUR;INDICATOR;OBS_VALUE;FREQ
A;ES612;2015;55565;VIAJEROS;20356.298362237;A
A;ES612;2015;55697;VIAJEROS;8502.612000213;A
A;ES612;2014;55698;VIAJEROS;26398.524382972;A
A;ES612;2014;55565;VIAJEROS;18691.952513212;A
A;ES612;2014;55697;VIAJEROS;7706.57186976;A
A;ES612;2013;55698;VIAJEROS;24064.382055809;A
A;ES612;2013;55565;VIAJEROS;17443.255360993;A
A;ES612;2013;55697;VIAJEROS;6621.126694816;A
A;ES613;2020;55698;VIAJEROS;25535.314334662;A
A;ES613;2020;55565;VIAJEROS;23419.256951499;A
A;ES613;2020;55697;VIAJEROS;2116.057383163;A
A;ES613;2019;55698;VIAJEROS;48111.942644851;A
A;ES613;2019;55565;VIAJEROS;34128.471166649;A
A;ES613;2019;55697;VIAJEROS;13983.471478202;A
A;ES613;2018;55698;VIAJEROS;48652.086380367;A
A;ES613;2018;55565;VIAJEROS;37673.456793184;A
A;ES613;2018;55697;VIAJEROS;10978.629587183;A
A;ES613;2017;55698;VIAJEROS;36388.787886698;A
A;ES613;2017;55565;VIAJEROS;28134.954744368;A
A;ES613;2017;55697;VIAJEROS;8253.83314233;A
A;ES613;2016;55698;VIAJEROS;28889.17428017;A
A;ES613;2016;55565;VIAJEROS;23003.303769335;A
A;ES613;2016;55697;VIAJEROS;5885.870510835;A
A;ES613;2015;55698;VIAJEROS;22365.23178181;A
A;ES613;2015;55565;VIAJEROS;19529.939318655;A
A;ES613;2015;55697;VIAJEROS;2835.292463155;A
A;ES613;2014;55698;VIAJEROS;26602.550510696;A
A;ES613;2014;55565;VIAJEROS;22012.400334777;A
A;ES613;2014;55697;VIAJEROS;4590.150175919;A
A;ES613;2013;55698;VIAJEROS;25523.09382157;A
A;ES613;2013;55565;VIAJEROS;20296.055096693;A
A;ES613;2013;55697;VIAJEROS;5227.038724877;A
A;ES614;2020;55698;VIAJEROS;15599.476289953;A
A;ES614;2020;55565;VIAJEROS;14030.086926866;A
