OBS_STATUS;RESITUR;TEMPORAL;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
A;516711;2018;ES61;PERNOCTACIONES;6908.17149002;A
A;516711;2017;ES61;PERNOCTACIONES;4609.596188628;A
A;516711;2016;ES61;PERNOCTACIONES;5314.204407883;A
A;516711;2015;ES61;PERNOCTACIONES;1997.522180745;A
A;516711;2014;ES61;PERNOCTACIONES;2677.500855028;A
A;516711;2013;ES61;PERNOCTACIONES;2640.482046253;A
A;55571;2020;ES61;PERNOCTACIONES;11994.675118275;A
A;55571;2019;ES61;PERNOCTACIONES;114132.812354434;A
A;55571;2018;ES61;PERNOCTACIONES;141019.37061282;A
A;55571;2017;ES61;PERNOCTACIONES;135856.92777604;A
A;55571;2016;ES61;PERNOCTACIONES;105682.8411952;A
A;55571;2015;ES61;PERNOCTACIONES;67902.953198474;A
A;55571;2014;ES61;PERNOCTACIONES;37989.34631005;A
A;55571;2013;ES61;PERNOCTACIONES;40710.45318965;A
A;516715;2020;ES61;PERNOCTACIONES;1472.141283719;A
A;516715;2019;ES61;PERNOCTACIONES;5404.296095257;A
A;516715;2018;ES61;PERNOCTACIONES;4847.17107639;A
A;516715;2017;ES61;PERNOCTACIONES;2347.655882257;A
A;516715;2016;ES61;PERNOCTACIONES;1625.884485487;A
A;516715;2015;ES61;PERNOCTACIONES;1401.50764196;A
A;516715;2014;ES61;PERNOCTACIONES;1783.199186142;A
A;516715;2013;ES61;PERNOCTACIONES;1482.557901678;A
A;55574;2020;ES61;PERNOCTACIONES;31972.996339766;A
A;55574;2019;ES61;PERNOCTACIONES;232605.996657381;A
A;55574;2018;ES61;PERNOCTACIONES;234576.6602873;A
A;55574;2017;ES61;PERNOCTACIONES;225659.4856954;A
A;55574;2016;ES61;PERNOCTACIONES;148139.11056406;A
A;55574;2015;ES61;PERNOCTACIONES;93056.03754055;A
A;55574;2014;ES61;PERNOCTACIONES;93811.38528428;A
A;55574;2013;ES61;PERNOCTACIONES;85961.86562423;A
A;516718;2020;ES61;PERNOCTACIONES;9704.375057833;A
A;516718;2019;ES61;PERNOCTACIONES;54729.607708743;A
A;516718;2018;ES61;PERNOCTACIONES;54912.83689984;A
A;516718;2017;ES61;PERNOCTACIONES;58891.30670635;A
A;516718;2016;ES61;PERNOCTACIONES;33853.359001814;A
A;516718;2015;ES61;PERNOCTACIONES;26976.98655505;A
A;516718;2014;ES61;PERNOCTACIONES;19272.38247327;A
A;516718;2013;ES61;PERNOCTACIONES;21533.05408615;A
A;516720;2020;ES61;PERNOCTACIONES;209.885274839;A
A;516720;2019;ES61;PERNOCTACIONES;2289.473656632;A
A;516720;2018;ES61;PERNOCTACIONES;2788.206812169;A
A;516720;2017;ES61;PERNOCTACIONES;4044.225415655;A
