OBS_STATUS;RESITUR;TEMPORAL;INDICATOR;OBS_VALUE;FREQ
P;55563;2021;VIAJEROS;55182.730298085;A
P;55545;2021;VIAJEROS;575.048191409;A
P;55546;2021;VIAJEROS;203.107445711;A
P;55547;2021;VIAJEROS;746.090074596;A
P;55548;2021;VIAJEROS;596.739938618;A
P;55549;2021;VIAJEROS;1957.951696999;A
P;55550;2021;VIAJEROS;2445.12044685;A
P;55551;2021;VIAJEROS;6860.567204799;A
P;55552;2021;VIAJEROS;5064.137616388;A
P;55553;2021;VIAJEROS;2916.52575026;A
P;55554;2021;VIAJEROS;908.585675199;A
P;55555;2021;VIAJEROS;22938.672135436;A
P;55556;2021;VIAJEROS;4940.678960898;A
P;55557;2021;VIAJEROS;344.038859034;A
P;55558;2021;VIAJEROS;2443.498930367;A
P;55559;2021;VIAJEROS;423.276066419;A
P;55544;2021;VIAJEROS;817.442802398;A
P;55561;2021;VIAJEROS;662.026821203;A
P;55562;2021;VIAJEROS;339.221681501;A
A;55564;2020;PCT_VIAJEROS;100.0;A
A;55564;2019;PCT_VIAJEROS;100.0;A
A;55564;2018;PCT_VIAJEROS;100.0;A
A;55564;2017;PCT_VIAJEROS;100.0;A
A;55564;2016;PCT_VIAJEROS;100.0;A
A;55564;2015;PCT_VIAJEROS;100.0;A
A;55564;2014;PCT_VIAJEROS;100.0;A
A;55564;2013;PCT_VIAJEROS;100.0;A
A;55543;2020;PCT_VIAJEROS;80.26988000231421;A
A;55543;2019;PCT_VIAJEROS;72.58341358257442;A
A;55543;2018;PCT_VIAJEROS;72.68281894109039;A
A;55543;2017;PCT_VIAJEROS;74.41448709447283;A
A;55543;2016;PCT_VIAJEROS;73.86627218831217;A
A;55543;2015;PCT_VIAJEROS;73.34817134180793;A
A;55543;2014;PCT_VIAJEROS;74.6083981635249;A
A;55543;2013;PCT_VIAJEROS;71.13737146229496;A
A;55563;2020;PCT_VIAJEROS;19.730119997685804;A
A;55563;2019;PCT_VIAJEROS;27.41658641742557;A
A;55563;2018;PCT_VIAJEROS;27.317181058909608;A
A;55563;2017;PCT_VIAJEROS;25.585512905527175;A
A;55563;2016;PCT_VIAJEROS;26.13372781168784;A
A;55563;2015;PCT_VIAJEROS;26.651828658192073;A
A;55563;2014;PCT_VIAJEROS;25.391601836475093;A
A;55563;2013;PCT_VIAJEROS;28.86262853770503;A
A;55545;2020;PCT_VIAJEROS;0.13201795688177523;A
A;55545;2019;PCT_VIAJEROS;0.4310513408760128;A
A;55545;2018;PCT_VIAJEROS;0.3270867289038501;A
A;55545;2017;PCT_VIAJEROS;0.3042221150940256;A
A;55545;2016;PCT_VIAJEROS;0.2685661560790397;A
A;55545;2015;PCT_VIAJEROS;0.3916459975204678;A
A;55545;2014;PCT_VIAJEROS;0.19102469177752235;A
A;55545;2013;PCT_VIAJEROS;0.298439292722606;A
A;55546;2020;PCT_VIAJEROS;0.08027048990718673;A
A;55546;2019;PCT_VIAJEROS;0.23426832202847608;A
A;55546;2018;PCT_VIAJEROS;0.18959407103104964;A
A;55546;2017;PCT_VIAJEROS;0.22479279933711876;A
A;55546;2016;PCT_VIAJEROS;0.13364064536324866;A
A;55546;2015;PCT_VIAJEROS;0.21457900162890473;A
A;55546;2014;PCT_VIAJEROS;0.2914170286184863;A
A;55546;2013;PCT_VIAJEROS;0.2928559580163691;A
A;55547;2020;PCT_VIAJEROS;0.1265618108021756;A
A;55547;2019;PCT_VIAJEROS;0.5843470101371517;A
A;55547;2018;PCT_VIAJEROS;0.2394459715368731;A
A;55547;2017;PCT_VIAJEROS;0.2291151799606987;A
A;55547;2016;PCT_VIAJEROS;0.3073617372134341;A
A;55547;2015;PCT_VIAJEROS;0.33913740753518207;A
A;55547;2014;PCT_VIAJEROS;0.07801239215389669;A
A;55547;2013;PCT_VIAJEROS;0.2424150978599426;A
A;55548;2020;PCT_VIAJEROS;0.11569222371132298;A
A;55548;2019;PCT_VIAJEROS;0.19325332733687867;A
A;55548;2018;PCT_VIAJEROS;0.23887526373443457;A
A;55548;2017;PCT_VIAJEROS;0.13730284315731928;A
A;55548;2016;PCT_VIAJEROS;0.1359722998052937;A
A;55548;2015;PCT_VIAJEROS;0.15069992821551628;A
A;55548;2014;PCT_VIAJEROS;0.09919287914441585;A
A;55548;2013;PCT_VIAJEROS;0.09865546525278322;A
A;55549;2020;PCT_VIAJEROS;0.5233456313927153;A
A;55549;2019;PCT_VIAJEROS;0.9069123247920464;A
A;55549;2018;PCT_VIAJEROS;0.8767756683135066;A
A;55549;2017;PCT_VIAJEROS;0.799390063401754;A
A;55549;2016;PCT_VIAJEROS;0.5376435056769217;A
A;55549;2015;PCT_VIAJEROS;0.9638668257965799;A
A;55549;2014;PCT_VIAJEROS;0.714477817120549;A
A;55549;2013;PCT_VIAJEROS;0.8887504767623691;A
A;55550;2020;PCT_VIAJEROS;1.1222614578193766;A
A;55550;2019;PCT_VIAJEROS;1.8216164938230355;A
A;55550;2018;PCT_VIAJEROS;1.5532956881190314;A
