OBS_STATUS;TERRITORIO;TEMPORAL;INDICATOR;OBS_VALUE;FREQ
A;ES617;2017;PERS_MEDI_REMU;303.55024272;A
A;ES617;2016;PERS_MEDI_REMU;201.36987495300002;A
A;ES617;2015;PERS_MEDI_REMU;59.553039067;A
A;ES617;2014;PERS_MEDI_REMU;134.076776615;A
A;ES617;2013;PERS_MEDI_REMU;112.005445906;A
A;ES618;2020;PERS_MEDI_REMU;41.096327922;A
A;ES618;2019;PERS_MEDI_REMU;75.819967793;A
A;ES618;2018;PERS_MEDI_REMU;96.748001488;A
A;ES618;2017;PERS_MEDI_REMU;96.536990739;A
A;ES618;2016;PERS_MEDI_REMU;104.692443169;A
A;ES618;2015;PERS_MEDI_REMU;104.452137636;A
A;ES618;2014;PERS_MEDI_REMU;133.934267495;A
A;ES618;2013;PERS_MEDI_REMU;94.131944004;A
A;ES61;2020;PERS_MEDI_REMU;626.541341788;A
A;ES61;2019;PERS_MEDI_REMU;1011.000865668;A
A;ES61;2018;PERS_MEDI_REMU;1044.255370641;A
A;ES61;2017;PERS_MEDI_REMU;784.1218896190001;A
A;ES61;2016;PERS_MEDI_REMU;674.1886119449999;A
A;ES61;2015;PERS_MEDI_REMU;576.829415325;A
A;ES61;2014;PERS_MEDI_REMU;725.2190677809999;A
A;ES61;2013;PERS_MEDI_REMU;597.394435476;A
P;ES611;2021;PERS_MEDI_REMU;37.260128793;A
P;ES612;2021;PERS_MEDI_REMU;101.74124803199999;A
P;ES613;2021;PERS_MEDI_REMU;57.368947094999996;A
P;ES614;2021;PERS_MEDI_REMU;48.212845579;A
P;ES615;2021;PERS_MEDI_REMU;79.27359210899999;A
P;ES616;2021;PERS_MEDI_REMU;27.735154814999998;A
P;ES617;2021;PERS_MEDI_REMU;336.98556860099995;A
P;ES618;2021;PERS_MEDI_REMU;44.518423914;A
P;ES61;2021;PERS_MEDI_REMU;733.095908938;A
A;ES611;2020;PERS_MEDI_NO_REMU;112.511857074;A
