OBS_STATUS;PUNTOS_TURISTICOS;TEMPORAL;RESITUR;INDICATOR;OBS_VALUE;FREQ
A;55221;2017;55565;ESTANCIA_MEDIA;2.666127611600905;A
A;55221;2017;55697;ESTANCIA_MEDIA;3.9259762448539943;A
A;55221;2015;55698;ESTANCIA_MEDIA;2.1063836734657326;A
A;55221;2015;55565;ESTANCIA_MEDIA;2.0316663081322504;A
A;55221;2015;55697;ESTANCIA_MEDIA;2.841187988454632;A
A;55221;2014;55698;ESTANCIA_MEDIA;2.107947392854041;A
A;55221;2014;55565;ESTANCIA_MEDIA;1.9782243492190366;A
A;55221;2014;55697;ESTANCIA_MEDIA;3.9205620596589297;A
A;55220;2020;55698;ESTANCIA_MEDIA;6.9882411916503315;A
A;55220;2020;55565;ESTANCIA_MEDIA;5.444445015376987;A
A;55220;2020;55697;ESTANCIA_MEDIA;11.61899867486758;A
A;55220;2019;55698;ESTANCIA_MEDIA;5.952562159366442;A
A;55220;2019;55565;ESTANCIA_MEDIA;4.710426724902114;A
A;55220;2019;55697;ESTANCIA_MEDIA;6.347484437561908;A
A;55220;2018;55698;ESTANCIA_MEDIA;7.578896707320603;A
A;55220;2018;55565;ESTANCIA_MEDIA;4.517009359788435;A
A;55220;2018;55697;ESTANCIA_MEDIA;7.745580398461807;A
A;55220;2017;55698;ESTANCIA_MEDIA;6.306125526174582;A
A;55220;2017;55565;ESTANCIA_MEDIA;3.5441304470280484;A
A;55220;2017;55697;ESTANCIA_MEDIA;6.58997966006711;A
A;55220;2016;55698;ESTANCIA_MEDIA;5.811067395521681;A
A;55220;2016;55565;ESTANCIA_MEDIA;4.4121345802849135;A
A;55220;2016;55697;ESTANCIA_MEDIA;6.060569197248728;A
A;55220;2015;55698;ESTANCIA_MEDIA;7.249959926124507;A
A;55220;2015;55565;ESTANCIA_MEDIA;4.526083099066255;A
A;55220;2015;55697;ESTANCIA_MEDIA;7.81387477499922;A
A;55220;2014;55698;ESTANCIA_MEDIA;6.411190373673572;A
