D_TEMPORAL_0;D_NACIONALIDAD_0;D_TERRITORIO_0;D_SEXO_0;D_EDAD_0;INDICATOR;OBS_VALUE;FREQ
2011;4780;ES615;M;4265;HAB;36.0;A
2011;4780;ES615;M;4271;HAB;18.0;A
2011;4780;ES615;M;4277;HAB;6.0;A
2011;4780;ES615;F;4306;HAB;22637.0;A
2011;4780;ES615;F;4159;HAB;1021.0;A
2011;4780;ES615;F;4165;HAB;789.0;A
2011;4780;ES615;F;4171;HAB;879.0;A
2011;4780;ES615;F;4178;HAB;927.0;A
2011;4780;ES615;F;4184;HAB;1800.0;A
2011;4780;ES615;F;4190;HAB;3227.0;A
2011;4780;ES615;F;4197;HAB;3683.0;A
2011;4780;ES615;F;4203;HAB;3030.0;A
2011;4780;ES615;F;4209;HAB;2794.0;A
2011;4780;ES615;F;4216;HAB;1719.0;A
2011;4780;ES615;F;4222;HAB;1094.0;A
2011;4780;ES615;F;4228;HAB;602.0;A
2011;4780;ES615;F;4234;HAB;429.0;A
2011;4780;ES615;F;4241;HAB;266.0;A
2011;4780;ES615;F;4247;HAB;174.0;A
2011;4780;ES615;F;4253;HAB;85.0;A
2011;4780;ES615;F;4259;HAB;56.0;A
2011;4780;ES615;F;4265;HAB;31.0;A
2011;4780;ES615;F;4271;HAB;22.0;A
2011;4780;ES615;F;4277;HAB;9.0;A
2011;4780;ES616;_T;4306;HAB;22270.0;A
2011;4780;ES616;_T;4159;HAB;1232.0;A
2011;4780;ES616;_T;4165;HAB;934.0;A
2011;4780;ES616;_T;4171;HAB;978.0;A
2011;4780;ES616;_T;4178;HAB;1090.0;A
2011;4780;ES616;_T;4184;HAB;2100.0;A
2011;4780;ES616;_T;4190;HAB;3486.0;A
2011;4780;ES616;_T;4197;HAB;3684.0;A
2011;4780;ES616;_T;4203;HAB;2838.0;A
2011;4780;ES616;_T;4209;HAB;2151.0;A
2011;4780;ES616;_T;4216;HAB;1442.0;A
2011;4780;ES616;_T;4222;HAB;941.0;A
2011;4780;ES616;_T;4228;HAB;593.0;A
2011;4780;ES616;_T;4234;HAB;356.0;A
2011;4780;ES616;_T;4241;HAB;233.0;A
2011;4780;ES616;_T;4247;HAB;109.0;A
2011;4780;ES616;_T;4253;HAB;59.0;A
2011;4780;ES616;_T;4259;HAB;24.0;A
2011;4780;ES616;_T;4265;HAB;11.0;A
2011;4780;ES616;_T;4271;HAB;6.0;A
2011;4780;ES616;_T;4277;HAB;3.0;A
2011;4780;ES616;M;4306;HAB;13428.0;A
2011;4780;ES616;M;4159;HAB;650.0;A
2011;4780;ES616;M;4165;HAB;496.0;A
2011;4780;ES616;M;4171;HAB;489.0;A
2011;4780;ES616;M;4178;HAB;605.0;A
2011;4780;ES616;M;4184;HAB;1238.0;A
2011;4780;ES616;M;4190;HAB;2260.0;A
2011;4780;ES616;M;4197;HAB;2351.0;A
2011;4780;ES616;M;4203;HAB;1874.0;A
2011;4780;ES616;M;4209;HAB;1348.0;A
2011;4780;ES616;M;4216;HAB;822.0;A
2011;4780;ES616;M;4222;HAB;544.0;A
2011;4780;ES616;M;4228;HAB;324.0;A
2011;4780;ES616;M;4234;HAB;195.0;A
2011;4780;ES616;M;4241;HAB;126.0;A
2011;4780;ES616;M;4247;HAB;61.0;A
2011;4780;ES616;M;4253;HAB;25.0;A
2011;4780;ES616;M;4259;HAB;12.0;A
2011;4780;ES616;M;4265;HAB;5.0;A
2011;4780;ES616;M;4271;HAB;1.0;A
2011;4780;ES616;M;4277;HAB;2.0;A
2011;4780;ES616;F;4306;HAB;8842.0;A
2011;4780;ES616;F;4159;HAB;582.0;A
2011;4780;ES616;F;4165;HAB;438.0;A
2011;4780;ES616;F;4171;HAB;489.0;A
2011;4780;ES616;F;4178;HAB;485.0;A
2011;4780;ES616;F;4184;HAB;862.0;A
2011;4780;ES616;F;4190;HAB;1226.0;A
2011;4780;ES616;F;4197;HAB;1333.0;A
2011;4780;ES616;F;4203;HAB;964.0;A
2011;4780;ES616;F;4209;HAB;803.0;A
2011;4780;ES616;F;4216;HAB;620.0;A
2011;4780;ES616;F;4222;HAB;397.0;A
2011;4780;ES616;F;4228;HAB;269.0;A
2011;4780;ES616;F;4234;HAB;161.0;A
2011;4780;ES616;F;4241;HAB;107.0;A
2011;4780;ES616;F;4247;HAB;48.0;A
2011;4780;ES616;F;4253;HAB;34.0;A
2011;4780;ES616;F;4259;HAB;12.0;A
2011;4780;ES616;F;4265;HAB;6.0;A
2011;4780;ES616;F;4271;HAB;5.0;A
2011;4780;ES616;F;4277;HAB;1.0;A
2011;4780;ES617;_T;4306;HAB;283498.0;A
2011;4780;ES617;_T;4159;HAB;11605.0;A
2011;4780;ES617;_T;4165;HAB;10958.0;A
2011;4780;ES617;_T;4171;HAB;12894.0;A
2011;4780;ES617;_T;4178;HAB;12777.0;A
2011;4780;ES617;_T;4184;HAB;15066.0;A
2011;4780;ES617;_T;4190;HAB;23164.0;A
2011;4780;ES617;_T;4197;HAB;29128.0;A
2011;4780;ES617;_T;4203;HAB;27056.0;A
2011;4780;ES617;_T;4209;HAB;24485.0;A
2011;4780;ES617;_T;4216;HAB;20484.0;A
2011;4780;ES617;_T;4222;HAB;17196.0;A
2011;4780;ES617;_T;4228;HAB;15120.0;A
2011;4780;ES617;_T;4234;HAB;17032.0;A
2011;4780;ES617;_T;4241;HAB;16174.0;A
2011;4780;ES617;_T;4247;HAB;13153.0;A
2011;4780;ES617;_T;4253;HAB;8074.0;A
2011;4780;ES617;_T;4259;HAB;4797.0;A
2011;4780;ES617;_T;4265;HAB;2796.0;A
2011;4780;ES617;_T;4271;HAB;1102.0;A
2011;4780;ES617;_T;4277;HAB;415.0;A
2011;4780;ES617;_T;4304;HAB;22.0;A
2011;4780;ES617;M;4306;HAB;141475.0;A
2011;4780;ES617;M;4159;HAB;6052.0;A
2011;4780;ES617;M;4165;HAB;5677.0;A
2011;4780;ES617;M;4171;HAB;6680.0;A
2011;4780;ES617;M;4178;HAB;6637.0;A
2011;4780;ES617;M;4184;HAB;7004.0;A
2011;4780;ES617;M;4190;HAB;10652.0;A
2011;4780;ES617;M;4197;HAB;14539.0;A
2011;4780;ES617;M;4203;HAB;13964.0;A
2011;4780;ES617;M;4209;HAB;12600.0;A
2011;4780;ES617;M;4216;HAB;10179.0;A
2011;4780;ES617;M;4222;HAB;8149.0;A
2011;4780;ES617;M;4228;HAB;7029.0;A
2011;4780;ES617;M;4234;HAB;8122.0;A
2011;4780;ES617;M;4241;HAB;8270.0;A
2011;4780;ES617;M;4247;HAB;6989.0;A
2011;4780;ES617;M;4253;HAB;4338.0;A
2011;4780;ES617;M;4259;HAB;2515.0;A
2011;4780;ES617;M;4265;HAB;1359.0;A
2011;4780;ES617;M;4271;HAB;509.0;A
2011;4780;ES617;M;4277;HAB;202.0;A
2011;4780;ES617;M;4304;HAB;9.0;A
2011;4780;ES617;F;4306;HAB;142023.0;A
2011;4780;ES617;F;4159;HAB;5553.0;A
2011;4780;ES617;F;4165;HAB;5281.0;A
2011;4780;ES617;F;4171;HAB;6214.0;A
2011;4780;ES617;F;4178;HAB;6140.0;A
2011;4780;ES617;F;4184;HAB;8062.0;A
2011;4780;ES617;F;4190;HAB;12512.0;A
2011;4780;ES617;F;4197;HAB;14589.0;A
2011;4780;ES617;F;4203;HAB;13092.0;A
2011;4780;ES617;F;4209;HAB;11885.0;A
2011;4780;ES617;F;4216;HAB;10305.0;A
2011;4780;ES617;F;4222;HAB;9047.0;A
2011;4780;ES617;F;4228;HAB;8091.0;A
2011;4780;ES617;F;4234;HAB;8910.0;A
2011;4780;ES617;F;4241;HAB;7904.0;A
2011;4780;ES617;F;4247;HAB;6164.0;A
2011;4780;ES617;F;4253;HAB;3736.0;A
2011;4780;ES617;F;4259;HAB;2282.0;A
2011;4780;ES617;F;4265;HAB;1437.0;A
2011;4780;ES617;F;4271;HAB;593.0;A
2011;4780;ES617;F;4277;HAB;213.0;A
2011;4780;ES617;F;4304;HAB;13.0;A
2011;4780;ES618;_T;4306;HAB;79658.0;A
2011;4780;ES618;_T;4159;HAB;3314.0;A
2011;4780;ES618;_T;4165;HAB;3265.0;A
2011;4780;ES618;_T;4171;HAB;3764.0;A
2011;4780;ES618;_T;4178;HAB;4137.0;A
