TEMPORAL;CNAE09;TERRITORIO;EPD_TAMANOEMPRESA;INDICATOR;OBS_VALUE;FREQ
2021;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_NAVE_INTE_B;95.5496078278093;A
2011;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_NAVE_INTE;36.71144799029158;A
2012;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_NAVE_INTE;50.04563533254738;A
2013;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_NAVE_INTE;44.250758952130795;A
2014;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_NAVE_INTE;47.60323355909984;A
2015;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_NAVE_INTE;58.70194254004674;A
2016;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_NAVE_INTE;59.66363235574749;A
2017;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_NAVE_INTE;60.54274495844314;A
2018;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_NAVE_INTE;65.79467736768171;A
2021;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_NAVE_INTE;62.616064929607;A
2011;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_APLI_OFIM_B;72.93429163392078;A
2012;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_APLI_OFIM_B;73.68487905421539;A
2013;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_APLI_OFIM_B;71.48430388591446;A
2014;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_APLI_OFIM_B;72.34160035803754;A
2015;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_APLI_OFIM_B;64.98317737807554;A
2016;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_APLI_OFIM_B;71.32698810719484;A
2017;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_APLI_OFIM_B;67.84538151537987;A
2018;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_APLI_OFIM_B;65.27466410702722;A
2021;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_APLI_OFIM_B;62.10650659044036;A
