TEMPORAL;CNAE09;ESTRATO_ASALARIADOS;TERRITORIO;TAMANOEMPRESA;INDICATOR;OBS_VALUE;FREQ
2018;8165;24097;ES61;38435;PCT_EMPR_QUE_UTIL_ALGU_TIPO_ROBO;20.8339554628124;A
2018;8255;24097;ES61;38435;PCT_EMPR_QUE_UTIL_ALGU_TIPO_ROBO;8.196604668265756;A
2020;6949;24097;ES61;38435;PCT_EMPR_QUE_UTIL_ALGU_TIPO_ROBO;14.483080882925872;A
2020;7058;24097;ES61;38435;PCT_EMPR_QUE_UTIL_ALGU_TIPO_ROBO;32.84740047387845;A
2020;7605;24097;ES61;38435;PCT_EMPR_QUE_UTIL_ALGU_TIPO_ROBO;20.96927842707182;A
2020;838683;24097;ES61;38435;PCT_EMPR_QUE_UTIL_ALGU_TIPO_ROBO;33.75;A
2020;838684;24097;ES61;38435;PCT_EMPR_QUE_UTIL_ALGU_TIPO_ROBO;63.94891944487632;A
2020;838685;24097;ES61;38435;PCT_EMPR_QUE_UTIL_ALGU_TIPO_ROBO;54.4905797383507;A
2020;7716;24097;ES61;38435;PCT_EMPR_QUE_UTIL_ALGU_TIPO_ROBO;10.144398464491731;A
2020;7859;24097;ES61;38435;PCT_EMPR_QUE_UTIL_ALGU_TIPO_ROBO;11.53385523773748;A
2020;7958;24097;ES61;38435;PCT_EMPR_QUE_UTIL_ALGU_TIPO_ROBO;10.265193106176932;A
2020;7888;24097;ES61;38435;PCT_EMPR_QUE_UTIL_ALGU_TIPO_ROBO;13.39700341257791;A
2020;8165;24097;ES61;38435;PCT_EMPR_QUE_UTIL_ALGU_TIPO_ROBO;24.519031939391915;A
2020;8255;24097;ES61;38435;PCT_EMPR_QUE_UTIL_ALGU_TIPO_ROBO;1.512874571987174;A
2018;6949;38221;ES61;38435;PCT_EMPR_QUE_UTIL_ALGU_TIPO_ROBO;21.633408052524285;A
2018;7058;38221;ES61;38435;PCT_EMPR_QUE_UTIL_ALGU_TIPO_ROBO;55.622075762061094;A
2018;7605;38221;ES61;38435;PCT_EMPR_QUE_UTIL_ALGU_TIPO_ROBO;74.50980392156863;A
2018;838683;38221;ES61;38435;PCT_EMPR_QUE_UTIL_ALGU_TIPO_ROBO;66.66666666666666;A
2018;838684;38221;ES61;38435;PCT_EMPR_QUE_UTIL_ALGU_TIPO_ROBO;52.17391300378071;A
2018;838685;38221;ES61;38435;PCT_EMPR_QUE_UTIL_ALGU_TIPO_ROBO;69.06474820143885;A
2018;7627;38221;ES61;38435;PCT_EMPR_QUE_UTIL_ALGU_TIPO_ROBO;17.142857142857142;A
2018;7716;38221;ES61;38435;PCT_EMPR_QUE_UTIL_ALGU_TIPO_ROBO;12.775833132380868;A
2018;7859;38221;ES61;38435;PCT_EMPR_QUE_UTIL_ALGU_TIPO_ROBO;23.118009301534723;A
2018;7958;38221;ES61;38435;PCT_EMPR_QUE_UTIL_ALGU_TIPO_ROBO;5.992509363295881;A
2018;8165;38221;ES61;38435;PCT_EMPR_QUE_UTIL_ALGU_TIPO_ROBO;8.333333333333332;A
2018;8255;38221;ES61;38435;PCT_EMPR_QUE_UTIL_ALGU_TIPO_ROBO;5.758519989029582;A
2020;6949;38221;ES61;38435;PCT_EMPR_QUE_UTIL_ALGU_TIPO_ROBO;23.161995731656788;A
2020;7058;38221;ES61;38435;PCT_EMPR_QUE_UTIL_ALGU_TIPO_ROBO;53.918035603149086;A
2020;7605;38221;ES61;38435;PCT_EMPR_QUE_UTIL_ALGU_TIPO_ROBO;40.749574105648975;A
2020;838683;38221;ES61;38435;PCT_EMPR_QUE_UTIL_ALGU_TIPO_ROBO;77.27272727272727;A
2020;838684;38221;ES61;38435;PCT_EMPR_QUE_UTIL_ALGU_TIPO_ROBO;75.4716981217515;A
2020;838685;38221;ES61;38435;PCT_EMPR_QUE_UTIL_ALGU_TIPO_ROBO;85.23489932885904;A
2020;7627;38221;ES61;38435;PCT_EMPR_QUE_UTIL_ALGU_TIPO_ROBO;11.25000000703125;A
2020;7663;38221;ES61;38435;PCT_EMPR_QUE_UTIL_ALGU_TIPO_ROBO;9.230769237869822;A
2020;7716;38221;ES61;38435;PCT_EMPR_QUE_UTIL_ALGU_TIPO_ROBO;14.461918149159795;A
2020;7859;38221;ES61;38435;PCT_EMPR_QUE_UTIL_ALGU_TIPO_ROBO;28.874632771748903;A
2020;7958;38221;ES61;38435;PCT_EMPR_QUE_UTIL_ALGU_TIPO_ROBO;4.7042052694495915;A
2020;8165;38221;ES61;38435;PCT_EMPR_QUE_UTIL_ALGU_TIPO_ROBO;14.736842113240996;A
2020;8255;38221;ES61;38435;PCT_EMPR_QUE_UTIL_ALGU_TIPO_ROBO;4.339774557803549;A
2018;6949;38282;ES61;38435;PCT_EMPR_QUE_UTIL_ROBO_INDU_A;66.31656057422029;A
2018;7058;38282;ES61;38435;PCT_EMPR_QUE_UTIL_ROBO_INDU_A;85.54240087439199;A
2018;7605;38282;ES61;38435;PCT_EMPR_QUE_UTIL_ROBO_INDU_A;58.42213904698272;A
2018;838683;38282;ES61;38435;PCT_EMPR_QUE_UTIL_ROBO_INDU_A;100.0;A
2018;838684;38282;ES61;38435;PCT_EMPR_QUE_UTIL_ROBO_INDU_A;100.0;A
2018;838685;38282;ES61;38435;PCT_EMPR_QUE_UTIL_ROBO_INDU_A;100.0;A
2018;7627;38282;ES61;38435;PCT_EMPR_QUE_UTIL_ROBO_INDU_A;18.50322050981521;A
2018;7663;38282;ES61;38435;PCT_EMPR_QUE_UTIL_ROBO_INDU_A;100.0;A
2018;7716;38282;ES61;38435;PCT_EMPR_QUE_UTIL_ROBO_INDU_A;32.79347501556344;A
2018;7859;38282;ES61;38435;PCT_EMPR_QUE_UTIL_ROBO_INDU_A;49.797891339821035;A
2018;7958;38282;ES61;38435;PCT_EMPR_QUE_UTIL_ROBO_INDU_A;18.97322281751527;A
2018;7888;38282;ES61;38435;PCT_EMPR_QUE_UTIL_ROBO_INDU_A;25.649892288593907;A
2018;8094;38282;ES61;38435;PCT_EMPR_QUE_UTIL_ROBO_INDU_A;100.0;A
2018;8165;38282;ES61;38435;PCT_EMPR_QUE_UTIL_ROBO_INDU_A;60.834181077284335;A
2020;6949;38282;ES61;38435;PCT_EMPR_QUE_UTIL_ROBO_INDU_A;64.67214816430584;A
2020;7058;38282;ES61;38435;PCT_EMPR_QUE_UTIL_ROBO_INDU_A;82.40327780151;A
2020;7605;38282;ES61;38435;PCT_EMPR_QUE_UTIL_ROBO_INDU_A;73.78848100840185;A
2020;838683;38282;ES61;38435;PCT_EMPR_QUE_UTIL_ROBO_INDU_A;91.43629808280474;A
2020;838684;38282;ES61;38435;PCT_EMPR_QUE_UTIL_ROBO_INDU_A;100.0;A
2020;838685;38282;ES61;38435;PCT_EMPR_QUE_UTIL_ROBO_INDU_A;97.13944750660214;A
2020;7663;38282;ES61;38435;PCT_EMPR_QUE_UTIL_ROBO_INDU_A;55.609461388611514;A
2020;7716;38282;ES61;38435;PCT_EMPR_QUE_UTIL_ROBO_INDU_A;50.126808548974196;A
2020;7859;38282;ES61;38435;PCT_EMPR_QUE_UTIL_ROBO_INDU_A;76.88201584879147;A
2020;7958;38282;ES61;38435;PCT_EMPR_QUE_UTIL_ROBO_INDU_A;24.706133777282744;A
2020;7888;38282;ES61;38435;PCT_EMPR_QUE_UTIL_ROBO_INDU_A;53.46054115211479;A
2020;8031;38282;ES61;38435;PCT_EMPR_QUE_UTIL_ROBO_INDU_A;100.0;A
2020;8165;38282;ES61;38435;PCT_EMPR_QUE_UTIL_ROBO_INDU_A;44.126596705342834;A
2020;8255;38282;ES61;38435;PCT_EMPR_QUE_UTIL_ROBO_INDU_A;0.9533351649385062;A
2018;6949;24142;ES61;38435;PCT_EMPR_QUE_UTIL_ROBO_INDU_A;60.80175194340265;A
2018;7058;24142;ES61;38435;PCT_EMPR_QUE_UTIL_ROBO_INDU_A;81.83259344155162;A
2018;7605;24142;ES61;38435;PCT_EMPR_QUE_UTIL_ROBO_INDU_A;42.676054655235035;A
2018;838683;24142;ES61;38435;PCT_EMPR_QUE_UTIL_ROBO_INDU_A;100.0;A
2018;838684;24142;ES61;38435;PCT_EMPR_QUE_UTIL_ROBO_INDU_A;100.0;A
2018;838685;24142;ES61;38435;PCT_EMPR_QUE_UTIL_ROBO_INDU_A;100.0;A
2018;7663;24142;ES61;38435;PCT_EMPR_QUE_UTIL_ROBO_INDU_A;100.0;A
2018;7716;24142;ES61;38435;PCT_EMPR_QUE_UTIL_ROBO_INDU_A;25.10887552082044;A
2018;7859;24142;ES61;38435;PCT_EMPR_QUE_UTIL_ROBO_INDU_A;43.03470646585805;A
2018;7958;24142;ES61;38435;PCT_EMPR_QUE_UTIL_ROBO_INDU_A;11.090619480757173;A
2018;7888;24142;ES61;38435;PCT_EMPR_QUE_UTIL_ROBO_INDU_A;25.649892288593907;A
