TEMPORAL;CNAE09;ESTRATO_ASALARIADOS;TERRITORIO;EPD_TAMANOEMPRESA;INDICATOR;OBS_VALUE;FREQ
2011;7888;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;100.0;A
2011;8031;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;100.0;A
2011;8094;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;100.0;A
2011;8165;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;100.0;A
2011;8255;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;91.22121222063511;A
2012;6949;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;98.224955974323;A
2012;7058;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;98.51491776123551;A
2012;7605;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;97.07223960605216;A
2012;838683;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;100.0;A
2012;838684;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;100.0;A
2012;838685;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;98.71550242450071;A
2012;7627;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;100.0;A
2012;7714;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;98.21577942590729;A
2012;7716;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;98.1103993156924;A
2012;7859;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;97.72535245570859;A
2012;7958;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;98.78841215191616;A
2012;7888;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;100.0;A
2012;8031;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;100.0;A
2012;8094;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;100.0;A
2012;8165;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;100.0;A
2012;8255;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;95.70216843839673;A
2013;6949;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;99.31735508359894;A
2013;7058;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;98.31018949509726;A
2013;7605;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;97.73713107993603;A
2013;838683;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;100.0;A
2013;838684;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;95.22366551656648;A
2013;838685;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;100.0;A
2013;7627;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;100.0;A
2013;7714;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;100.0;A
2013;7716;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;99.50547453679124;A
2013;7859;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;99.68391468943837;A
2013;7958;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;100.0;A
2013;7888;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;100.0;A
2013;8031;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;100.0;A
2013;8094;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;100.0;A
2013;8165;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;100.0;A
2013;8255;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;97.86436101731819;A
2014;6949;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;98.40401953023068;A
2014;7058;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;99.58553744343246;A
2014;7605;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;100.0;A
2014;838683;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;100.0;A
2014;838684;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;100.0;A
2014;838685;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;98.20604375767395;A
2014;7627;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;100.0;A
2014;7714;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;95.78438768702895;A
2014;7716;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;98.54284527208002;A
2014;7859;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;100.0;A
2014;7958;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;100.0;A
2014;7888;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;100.0;A
2014;8031;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;100.0;A
2014;8094;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;100.0;A
2014;8165;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;100.0;A
2014;8255;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;90.51069006780742;A
