D_TEMPORAL_0;D_SEXO_0;D_MCVL_TIPOHOGAR_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
2006;3690;273757;2911;Población;15500.0;A
2006;3690;273757;3023;Población;27875.0;A
2006;3690;273757;3142;Población;42150.0;A
2006;3690;273757;3143;Población;166650.0;A
2006;3690;273750;2352;Población;74050.0;A
2006;3690;273750;2402;Población;116400.0;A
2006;3690;273750;2482;Población;93525.0;A
2006;3690;273750;2713;Población;96100.0;A
2006;3690;273750;2797;Población;56800.0;A
2006;3690;273750;2911;Población;65000.0;A
2006;3690;273750;3023;Población;162000.0;A
2006;3690;273750;3142;Población;223925.0;A
2006;3690;273750;3143;Población;887800.0;A
2006;3690;273758;2352;Población;46150.0;A
2006;3690;273758;2402;Población;77200.0;A
2006;3690;273758;2482;Población;64125.0;A
2006;3690;273758;2713;Población;68975.0;A
2006;3690;273758;2797;Población;38275.0;A
2006;3690;273758;2911;Población;44825.0;A
2006;3690;273758;3023;Población;109475.0;A
2006;3690;273758;3142;Población;155000.0;A
2006;3690;273758;3143;Población;604025.0;A
2006;3690;273759;2352;Población;27900.0;A
2006;3690;273759;2402;Población;39200.0;A
2006;3690;273759;2482;Población;29400.0;A
2006;3690;273759;2713;Población;27125.0;A
2006;3690;273759;2797;Población;18525.0;A
2006;3690;273759;2911;Población;20175.0;A
2006;3690;273759;3023;Población;52525.0;A
2006;3690;273759;3142;Población;68925.0;A
2006;3690;273759;3143;Población;283775.0;A
2006;3690;273861;2352;Población;8300.0;A
2006;3690;273861;2402;Población;8375.0;A
2006;3690;273861;2482;Población;6725.0;A
2006;3690;273861;2713;Población;14250.0;A
2006;3690;273861;2797;Población;31425.0;A
2006;3690;273861;2911;Población;6125.0;A
2006;3690;273861;3023;Población;24375.0;A
2006;3690;273861;3142;Población;15225.0;A
2006;3690;273861;3143;Población;114800.0;A
2006;3690;273747;2352;Población;164675.0;A
2006;3690;273747;2402;Población;274050.0;A
2006;3690;273747;2482;Población;221950.0;A
2006;3690;273747;2713;Población;248875.0;A
2006;3690;273747;2797;Población;159925.0;A
2006;3690;273747;2911;Población;174275.0;A
2006;3690;273747;3023;Población;390875.0;A
2006;3690;273747;3142;Población;508275.0;A
2006;3690;273747;3143;Población;2142900.0;A
2006;3691;273748;2352;Población;57775.0;A
2006;3691;273748;2402;Población;98525.0;A
2006;3691;273748;2482;Población;65375.0;A
2006;3691;273748;2713;Población;101350.0;A
2006;3691;273748;2797;Población;49075.0;A
2006;3691;273748;2911;Población;68200.0;A
2006;3691;273748;3023;Población;144775.0;A
2006;3691;273748;3142;Población;149375.0;A
2006;3691;273748;3143;Población;734450.0;A
2006;3691;273751;2352;Población;34800.0;A
2006;3691;273751;2402;Población;58225.0;A
2006;3691;273751;2482;Población;32675.0;A
2006;3691;273751;2713;Población;56800.0;A
2006;3691;273751;2797;Población;27925.0;A
2006;3691;273751;2911;Población;33175.0;A
2006;3691;273751;3023;Población;87425.0;A
2006;3691;273751;3142;Población;82150.0;A
2006;3691;273751;3143;Población;413175.0;A
2006;3691;273752;2352;Población;16150.0;A
2006;3691;273752;2402;Población;28650.0;A
2006;3691;273752;2482;Población;27650.0;A
2006;3691;273752;2713;Población;32350.0;A
2006;3691;273752;2797;Población;15275.0;A
2006;3691;273752;2911;Población;28100.0;A
2006;3691;273752;3023;Población;40125.0;A
2006;3691;273752;3142;Población;51500.0;A
2006;3691;273752;3143;Población;239800.0;A
2006;3691;273753;2352;Población;6825.0;A
2006;3691;273753;2402;Población;11650.0;A
2006;3691;273753;2482;Población;5050.0;A
2006;3691;273753;2713;Población;12200.0;A
2006;3691;273753;2797;Población;5875.0;A
2006;3691;273753;2911;Población;6925.0;A
2006;3691;273753;3023;Población;17225.0;A
2006;3691;273753;3142;Población;15725.0;A
2006;3691;273753;3143;Población;81475.0;A
2006;3691;273749;2352;Población;121500.0;A
2006;3691;273749;2402;Población;243100.0;A
2006;3691;273749;2482;Población;189775.0;A
2006;3691;273749;2713;Población;195700.0;A
2006;3691;273749;2797;Población;104700.0;A
2006;3691;273749;2911;Población;162025.0;A
2006;3691;273749;3023;Población;298050.0;A
2006;3691;273749;3142;Población;424425.0;A
2006;3691;273749;3143;Población;1739275.0;A
2006;3691;273754;2352;Población;39650.0;A
2006;3691;273754;2402;Población;84800.0;A
2006;3691;273754;2482;Población;52800.0;A
2006;3691;273754;2713;Población;68650.0;A
2006;3691;273754;2797;Población;33800.0;A
2006;3691;273754;2911;Población;48725.0;A
2006;3691;273754;3023;Población;108250.0;A
2006;3691;273754;3142;Población;133950.0;A
2006;3691;273754;3143;Población;570625.0;A
2006;3691;273755;2352;Población;27450.0;A
2006;3691;273755;2402;Población;48425.0;A
2006;3691;273755;2482;Población;54050.0;A
2006;3691;273755;2713;Población;53600.0;A
2006;3691;273755;2797;Población;25325.0;A
2006;3691;273755;2911;Población;45950.0;A
2006;3691;273755;3023;Población;63825.0;A
2006;3691;273755;3142;Población;89850.0;A
2006;3691;273755;3143;Población;408475.0;A
2006;3691;273756;2352;Población;26100.0;A
2006;3691;273756;2402;Población;54775.0;A
2006;3691;273756;2482;Población;41600.0;A
2006;3691;273756;2713;Población;31125.0;A
2006;3691;273756;2797;Población;21825.0;A
2006;3691;273756;2911;Población;30850.0;A
2006;3691;273756;3023;Población;61875.0;A
2006;3691;273756;3142;Población;104150.0;A
2006;3691;273756;3143;Población;372300.0;A
2006;3691;273757;2352;Población;28300.0;A
2006;3691;273757;2402;Población;55100.0;A
2006;3691;273757;2482;Población;41325.0;A
2006;3691;273757;2713;Población;42325.0;A
2006;3691;273757;2797;Población;23750.0;A
2006;3691;273757;2911;Población;36500.0;A
2006;3691;273757;3023;Población;64100.0;A
2006;3691;273757;3142;Población;96475.0;A
2006;3691;273757;3143;Población;387875.0;A
2006;3691;273750;2352;Población;186350.0;A
2006;3691;273750;2402;Población;311300.0;A
2006;3691;273750;2482;Población;225975.0;A
2006;3691;273750;2713;Población;225900.0;A
2006;3691;273750;2797;Población;145825.0;A
2006;3691;273750;2911;Población;167475.0;A
2006;3691;273750;3023;Población;391900.0;A
2006;3691;273750;3142;Población;539800.0;A
2006;3691;273750;3143;Población;2194525.0;A
2006;3691;273758;2352;Población;120100.0;A
2006;3691;273758;2402;Población;211000.0;A
2006;3691;273758;2482;Población;155275.0;A
2006;3691;273758;2713;Población;162325.0;A
2006;3691;273758;2797;Población;100575.0;A
2006;3691;273758;2911;Población;117775.0;A
2006;3691;273758;3023;Población;265525.0;A
2006;3691;273758;3142;Población;379375.0;A
2006;3691;273758;3143;Población;1511950.0;A
2006;3691;273759;2352;Población;66250.0;A
2006;3691;273759;2402;Población;100300.0;A
2006;3691;273759;2482;Población;70700.0;A
2006;3691;273759;2713;Población;63575.0;A
2006;3691;273759;2797;Población;45250.0;A
2006;3691;273759;2911;Población;49700.0;A
2006;3691;273759;3023;Población;126375.0;A
2006;3691;273759;3142;Población;160425.0;A
2006;3691;273759;3143;Población;682575.0;A
2006;3691;273861;2352;Población;25100.0;A
2006;3691;273861;2402;Población;20675.0;A
2006;3691;273861;2482;Población;18175.0;A
2006;3691;273861;2713;Población;33550.0;A
