D_TEMPORAL_0;D_EDAD_0;D_TERRITORIO_0;D_SEXO_0;D_RELAC_RESID_NAC_0;INDICATOR;OBS_VALUE;FREQ
2006;4172;2713;3690;53586;Población municipal;2381.0;A
2006;4172;2713;3690;53587;Población municipal;2836.0;A
2006;4172;2797;3691;53588;Población municipal;77628.0;A
2006;4172;2797;3691;53583;Población municipal;55704.0;A
2006;4172;2797;3691;53584;Población municipal;15052.0;A
2006;4172;2797;3691;53585;Población municipal;3033.0;A
2006;4172;2797;3691;53586;Población municipal;1549.0;A
2006;4172;2797;3691;53587;Población municipal;2290.0;A
2006;4172;2797;3689;53588;Población municipal;39919.0;A
2006;4172;2797;3689;53583;Población municipal;28713.0;A
2006;4172;2797;3689;53584;Población municipal;7750.0;A
2006;4172;2797;3689;53585;Población municipal;1527.0;A
2006;4172;2797;3689;53586;Población municipal;762.0;A
2006;4172;2797;3689;53587;Población municipal;1167.0;A
2006;4172;2797;3690;53588;Población municipal;37709.0;A
2006;4172;2797;3690;53583;Población municipal;26991.0;A
2006;4172;2797;3690;53584;Población municipal;7302.0;A
2006;4172;2797;3690;53585;Población municipal;1506.0;A
2006;4172;2797;3690;53586;Población municipal;787.0;A
2006;4172;2797;3690;53587;Población municipal;1123.0;A
2006;4172;2911;3691;53588;Población municipal;109901.0;A
2006;4172;2911;3691;53583;Población municipal;88433.0;A
2006;4172;2911;3691;53584;Población municipal;12762.0;A
2006;4172;2911;3691;53585;Población municipal;2982.0;A
2006;4172;2911;3691;53586;Población municipal;3859.0;A
2006;4172;2911;3691;53587;Población municipal;1865.0;A
2006;4172;2911;3689;53588;Población municipal;56829.0;A
2006;4172;2911;3689;53583;Población municipal;45627.0;A
2006;4172;2911;3689;53584;Población municipal;6732.0;A
2006;4172;2911;3689;53585;Población municipal;1537.0;A
2006;4172;2911;3689;53586;Población municipal;1944.0;A
2006;4172;2911;3689;53587;Población municipal;989.0;A
2006;4172;2911;3690;53588;Población municipal;53072.0;A
2006;4172;2911;3690;53583;Población municipal;42806.0;A
2006;4172;2911;3690;53584;Población municipal;6030.0;A
2006;4172;2911;3690;53585;Población municipal;1445.0;A
2006;4172;2911;3690;53586;Población municipal;1915.0;A
2006;4172;2911;3690;53587;Población municipal;876.0;A
2006;4172;3023;3691;53588;Población municipal;237394.0;A
2006;4172;3023;3691;53583;Población municipal;163959.0;A
2006;4172;3023;3691;53584;Población municipal;37326.0;A
2006;4172;3023;3691;53585;Población municipal;6148.0;A
2006;4172;3023;3691;53586;Población municipal;7474.0;A
2006;4172;3023;3691;53587;Población municipal;22487.0;A
2006;4172;3023;3689;53588;Población municipal;121269.0;A
2006;4172;3023;3689;53583;Población municipal;83759.0;A
2006;4172;3023;3689;53584;Población municipal;18945.0;A
2006;4172;3023;3689;53585;Población municipal;3160.0;A
2006;4172;3023;3689;53586;Población municipal;3838.0;A
