D_TEMPORAL_0;D_LUG_NAC_PADRON_0;D_TERRITORIO_0;D_SEXO_0;INDICATOR;OBS_VALUE;FREQ
2021;54887;2408;3690;Población municipal;19.0;A
2021;54887;2409;3691;Población municipal;673.0;A
2021;54887;2409;3689;Población municipal;420.0;A
2021;54887;2409;3690;Población municipal;253.0;A
2021;54887;2410;3691;Población municipal;70.0;A
2021;54887;2410;3689;Población municipal;30.0;A
2021;54887;2410;3690;Población municipal;40.0;A
2021;54887;2411;3691;Población municipal;85.0;A
2021;54887;2411;3689;Población municipal;34.0;A
2021;54887;2411;3690;Población municipal;51.0;A
2021;54887;2412;3691;Población municipal;104.0;A
2021;54887;2412;3689;Población municipal;49.0;A
2021;54887;2412;3690;Población municipal;55.0;A
2021;54887;2413;3691;Población municipal;13.0;A
2021;54887;2413;3689;Población municipal;6.0;A
2021;54887;2413;3690;Población municipal;7.0;A
2021;54887;2414;3691;Población municipal;151.0;A
2021;54887;2414;3689;Población municipal;77.0;A
2021;54887;2414;3690;Población municipal;74.0;A
2021;54887;2415;3691;Población municipal;943.0;A
2021;54887;2415;3689;Población municipal;360.0;A
2021;54887;2415;3690;Población municipal;583.0;A
2021;54887;2416;3691;Población municipal;99.0;A
2021;54887;2416;3689;Población municipal;49.0;A
2021;54887;2416;3690;Población municipal;50.0;A
2021;54887;2417;3691;Población municipal;73.0;A
2021;54887;2417;3689;Población municipal;37.0;A
2021;54887;2417;3690;Población municipal;36.0;A
2021;54887;2418;3691;Población municipal;32.0;A
2021;54887;2418;3689;Población municipal;13.0;A
2021;54887;2418;3690;Población municipal;19.0;A
2021;54887;2419;3691;Población municipal;611.0;A
2021;54887;2419;3689;Población municipal;266.0;A
2021;54887;2419;3690;Población municipal;345.0;A
2021;54887;2420;3691;Población municipal;83.0;A
2021;54887;2420;3689;Población municipal;37.0;A
2021;54887;2420;3690;Población municipal;46.0;A
2021;54887;2421;3691;Población municipal;296.0;A
2021;54887;2421;3689;Población municipal;153.0;A
2021;54887;2421;3690;Población municipal;143.0;A
2021;54887;2422;3691;Población municipal;13.0;A
2021;54887;2422;3689;Población municipal;7.0;A
2021;54887;2422;3690;Población municipal;6.0;A
2021;54887;2423;3691;Población municipal;14810.0;A
2021;54887;2423;3689;Población municipal;6300.0;A
2021;54887;2423;3690;Población municipal;8510.0;A
2021;54887;2424;3691;Población municipal;101.0;A
2021;54887;2424;3689;Población municipal;47.0;A
2021;54887;2424;3690;Población municipal;54.0;A
2021;54887;2425;3691;Población municipal;52.0;A
2021;54887;2425;3689;Población municipal;25.0;A
2021;54887;2425;3690;Población municipal;27.0;A
2021;54887;2426;3691;Población municipal;75.0;A
2021;54887;2426;3689;Población municipal;37.0;A
2021;54887;2426;3690;Población municipal;38.0;A
2021;54887;2427;3691;Población municipal;83.0;A
2021;54887;2427;3689;Población municipal;32.0;A
2021;54887;2427;3690;Población municipal;51.0;A
2021;54887;2428;3691;Población municipal;88.0;A
2021;54887;2428;3689;Población municipal;40.0;A
2021;54887;2428;3690;Población municipal;48.0;A
2021;54887;2429;3691;Población municipal;231.0;A
2021;54887;2429;3689;Población municipal;97.0;A
2021;54887;2429;3690;Población municipal;134.0;A
2021;54887;280347;3691;Población municipal;31.0;A
2021;54887;280347;3689;Población municipal;13.0;A
