D_TEMPORAL_0;D_TERRITORIO_0;D_CNAE09_0;INDICATOR;OBS_VALUE;FREQ
2020;3676;7486;ESTABLECIMIENTO;;A
2020;3676;7521;ESTABLECIMIENTO;707.0;A
2020;3676;7494;ESTABLECIMIENTO;39.0;A
2020;3676;7502;ESTABLECIMIENTO;129.0;A
2020;3676;7505;ESTABLECIMIENTO;184.0;A
2020;3676;7509;ESTABLECIMIENTO;23.0;A
2020;3676;7518;ESTABLECIMIENTO;332.0;A
2020;3676;7520;ESTABLECIMIENTO;;A
2020;3676;7534;ESTABLECIMIENTO;325.0;A
2020;3676;7524;ESTABLECIMIENTO;18.0;A
2020;3676;7527;ESTABLECIMIENTO;168.0;A
2020;3676;7531;ESTABLECIMIENTO;139.0;A
2020;3676;7533;ESTABLECIMIENTO;;A
2020;3676;7555;ESTABLECIMIENTO;293.0;A
2020;3676;7538;ESTABLECIMIENTO;109.0;A
2020;3676;7541;ESTABLECIMIENTO;32.0;A
2020;3676;7544;ESTABLECIMIENTO;118.0;A
2020;3676;7547;ESTABLECIMIENTO;;A
2020;3676;7552;ESTABLECIMIENTO;34.0;A
2020;3676;7554;ESTABLECIMIENTO;;A
2020;3676;7564;ESTABLECIMIENTO;2663.0;A
2020;3676;7561;ESTABLECIMIENTO;2663.0;A
2020;3676;7563;ESTABLECIMIENTO;;A
2020;3676;7588;ESTABLECIMIENTO;1999.0;A
2020;3676;7569;ESTABLECIMIENTO;775.0;A
2020;3676;7572;ESTABLECIMIENTO;100.0;A
2020;3676;7575;ESTABLECIMIENTO;48.0;A
2020;3676;7578;ESTABLECIMIENTO;44.0;A
2020;3676;7581;ESTABLECIMIENTO;721.0;A
2020;3676;7585;ESTABLECIMIENTO;311.0;A
2020;3676;7587;ESTABLECIMIENTO;;A
2020;3676;7604;ESTABLECIMIENTO;2436.0;A
2020;3676;7598;ESTABLECIMIENTO;2383.0;A
2020;3676;7601;ESTABLECIMIENTO;53.0;A
2020;3676;7603;ESTABLECIMIENTO;;A
2020;3676;7627;ESTABLECIMIENTO;1320.0;A
2020;3676;7626;ESTABLECIMIENTO;1320.0;A
2020;3676;7615;ESTABLECIMIENTO;1188.0;A
2020;3676;7620;ESTABLECIMIENTO;27.0;A
2020;3676;7623;ESTABLECIMIENTO;105.0;A
2020;3676;7625;ESTABLECIMIENTO;;A
2020;3676;7661;ESTABLECIMIENTO;1730.0;A
2020;3676;7633;ESTABLECIMIENTO;567.0;A
2020;3676;7630;ESTABLECIMIENTO;567.0;A
2020;3676;7632;ESTABLECIMIENTO;;A
2020;3676;7639;ESTABLECIMIENTO;200.0;A
2020;3676;7636;ESTABLECIMIENTO;200.0;A
2020;3676;7638;ESTABLECIMIENTO;;A
2020;3676;7654;ESTABLECIMIENTO;505.0;A
2020;3676;7643;ESTABLECIMIENTO;393.0;A
2020;3676;7647;ESTABLECIMIENTO;91.0;A
2020;3676;7651;ESTABLECIMIENTO;21.0;A
2020;3676;7653;ESTABLECIMIENTO;;A
2020;3676;7660;ESTABLECIMIENTO;458.0;A
2020;3676;7657;ESTABLECIMIENTO;458.0;A
2020;3676;7659;ESTABLECIMIENTO;;A
2020;3676;7662;ESTABLECIMIENTO;64428.0;A
2020;3676;7663;ESTABLECIMIENTO;64428.0;A
2020;3676;7714;ESTABLECIMIENTO;64428.0;A
2020;3676;7673;ESTABLECIMIENTO;29378.0;A
2020;3676;7666;ESTABLECIMIENTO;16156.0;A
2020;3676;7670;ESTABLECIMIENTO;13222.0;A
2020;3676;7672;ESTABLECIMIENTO;;A
2020;3676;7689;ESTABLECIMIENTO;810.0;A
2020;3676;7678;ESTABLECIMIENTO;404.0;A
2020;3676;7682;ESTABLECIMIENTO;227.0;A
2020;3676;7686;ESTABLECIMIENTO;179.0;A
2020;3676;7688;ESTABLECIMIENTO;;A
2020;3676;7713;ESTABLECIMIENTO;34240.0;A
2020;3676;7694;ESTABLECIMIENTO;2306.0;A
2020;3676;7699;ESTABLECIMIENTO;12977.0;A
2020;3676;7706;ESTABLECIMIENTO;9182.0;A
2020;3676;7710;ESTABLECIMIENTO;9775.0;A
2020;3676;7712;ESTABLECIMIENTO;;A
2020;3676;7715;ESTABLECIMIENTO;507213.0;A
2020;3676;7716;ESTABLECIMIENTO;239619.0;A
2020;3676;7859;ESTABLECIMIENTO;179285.0;A
2020;3676;7733;ESTABLECIMIENTO;20231.0;A
2020;3676;7720;ESTABLECIMIENTO;7117.0;A
2020;3676;7723;ESTABLECIMIENTO;11017.0;A
2020;3676;7727;ESTABLECIMIENTO;2068.0;A
2020;3676;7730;ESTABLECIMIENTO;29.0;A
2020;3676;7732;ESTABLECIMIENTO;;A
2020;3676;7800;ESTABLECIMIENTO;41359.0;A
2020;3676;7744;ESTABLECIMIENTO;12363.0;A
2020;3676;7750;ESTABLECIMIENTO;2666.0;A
2020;3676;7761;ESTABLECIMIENTO;11374.0;A
2020;3676;7772;ESTABLECIMIENTO;6682.0;A
2020;3676;7776;ESTABLECIMIENTO;1050.0;A
2020;3676;7785;ESTABLECIMIENTO;1721.0;A
2020;3676;7794;ESTABLECIMIENTO;4109.0;A
2020;3676;7797;ESTABLECIMIENTO;1394.0;A
2020;3676;7799;ESTABLECIMIENTO;;A
2020;3676;7858;ESTABLECIMIENTO;117695.0;A
2020;3676;7804;ESTABLECIMIENTO;23438.0;A
2020;3676;7813;ESTABLECIMIENTO;19562.0;A
2020;3676;7816;ESTABLECIMIENTO;2203.0;A
2020;3676;7821;ESTABLECIMIENTO;2201.0;A
2020;3676;7828;ESTABLECIMIENTO;22180.0;A
2020;3676;7835;ESTABLECIMIENTO;6175.0;A
2020;3676;7846;ESTABLECIMIENTO;31608.0;A
2020;3676;7851;ESTABLECIMIENTO;8455.0;A
2020;3676;7855;ESTABLECIMIENTO;1873.0;A
2020;3676;7857;ESTABLECIMIENTO;;A
2020;3676;7888;ESTABLECIMIENTO;60334.0;A
2020;3676;7874;ESTABLECIMIENTO;7226.0;A
2020;3676;7862;ESTABLECIMIENTO;3202.0;A
2020;3676;7865;ESTABLECIMIENTO;3518.0;A
2020;3676;7868;ESTABLECIMIENTO;210.0;A
2020;3676;7871;ESTABLECIMIENTO;296.0;A
2020;3676;7873;ESTABLECIMIENTO;;A
2020;3676;7887;ESTABLECIMIENTO;53108.0;A
2020;3676;7877;ESTABLECIMIENTO;10722.0;A
2020;3676;7881;ESTABLECIMIENTO;3683.0;A
2020;3676;7884;ESTABLECIMIENTO;38703.0;A
2020;3676;7886;ESTABLECIMIENTO;;A
2020;3676;7889;ESTABLECIMIENTO;39230.0;A
2020;3676;7958;ESTABLECIMIENTO;29448.0;A
2020;3676;7910;ESTABLECIMIENTO;24108.0;A
2020;3676;7892;ESTABLECIMIENTO;19.0;A
2020;3676;7895;ESTABLECIMIENTO;15.0;A
2020;3676;7900;ESTABLECIMIENTO;9666.0;A
2020;3676;7904;ESTABLECIMIENTO;14382.0;A
2020;3676;7907;ESTABLECIMIENTO;26.0;A
2020;3676;7909;ESTABLECIMIENTO;;A
2020;3676;7925;ESTABLECIMIENTO;111.0;A
2020;3676;7913;ESTABLECIMIENTO;36.0;A
2020;3676;7916;ESTABLECIMIENTO;19.0;A
2020;3676;7919;ESTABLECIMIENTO;49.0;A
2020;3676;7922;ESTABLECIMIENTO;7.0;A
2020;3676;7924;ESTABLECIMIENTO;;A
2020;3676;7935;ESTABLECIMIENTO;48.0;A
2020;3676;7928;ESTABLECIMIENTO;42.0;A
2020;3676;7932;ESTABLECIMIENTO;6.0;A
2020;3676;7934;ESTABLECIMIENTO;;A
2020;3676;7948;ESTABLECIMIENTO;2937.0;A
2020;3676;7938;ESTABLECIMIENTO;406.0;A
2020;3676;7945;ESTABLECIMIENTO;2531.0;A
2020;3676;7947;ESTABLECIMIENTO;;A
2020;3676;7957;ESTABLECIMIENTO;2244.0;A
2020;3676;7951;ESTABLECIMIENTO;71.0;A
2020;3676;7954;ESTABLECIMIENTO;2173.0;A
2020;3676;7956;ESTABLECIMIENTO;;A
2020;3676;8031;ESTABLECIMIENTO;9782.0;A
2020;3676;7972;ESTABLECIMIENTO;1252.0;A
2020;3676;7965;ESTABLECIMIENTO;1235.0;A
2020;3676;7969;ESTABLECIMIENTO;17.0;A
2020;3676;7971;ESTABLECIMIENTO;;A
2020;3676;7986;ESTABLECIMIENTO;1323.0;A
2020;3676;7980;ESTABLECIMIENTO;1078.0;A
2020;3676;7983;ESTABLECIMIENTO;245.0;A
2020;3676;7985;ESTABLECIMIENTO;;A
2020;3676;7995;ESTABLECIMIENTO;405.0;A
2020;3676;7989;ESTABLECIMIENTO;223.0;A
2020;3676;7992;ESTABLECIMIENTO;182.0;A
2020;3676;7994;ESTABLECIMIENTO;;A
2020;3676;8010;ESTABLECIMIENTO;1169.0;A
2020;3676;7998;ESTABLECIMIENTO;172.0;A
