D_MACROECO_0;D_TEMPORAL_0;D_ESTADO_DATO_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
93077;2018;40123;3143;Tasa interanual. Precio corriente;3.174731332;A
93077;2017;40123;3143;Tasa interanual. Precio corriente;5.30762541;A
93077;2016;40123;3143;Tasa interanual. Precio corriente;2.575175942;A
93077;2015;40123;3143;Tasa interanual. Precio corriente;4.692267399;A
93077;2014;40123;3143;Tasa interanual. Precio corriente;0.763375554;A
93077;2013;40123;3143;Tasa interanual. Precio corriente;-1.928045754;A
93077;2012;40123;3143;Tasa interanual. Precio corriente;-3.145126974;A
93077;2011;40123;3143;Tasa interanual. Precio corriente;-0.783627933;A
93077;2010;40123;3143;Tasa interanual. Precio corriente;-1.707207181;A
93077;2009;40123;3143;Tasa interanual. Precio corriente;-3.264662918;A
93077;2008;40123;3143;Tasa interanual. Precio corriente;4.576113252;A
93077;2007;40123;3143;Tasa interanual. Precio corriente;7.752699934;A
93065;2021;69512;3143;Tasa interanual. Precio corriente;2.150232194;A
93065;2020;40125;3143;Tasa interanual. Precio corriente;15.840808646;A
93065;2019;40124;3143;Tasa interanual. Precio corriente;-12.342189876;A
93065;2018;40123;3143;Tasa interanual. Precio corriente;-0.508022112;A
93065;2017;40123;3143;Tasa interanual. Precio corriente;11.414543673;A
93065;2016;40123;3143;Tasa interanual. Precio corriente;0.716787078;A
93065;2015;40123;3143;Tasa interanual. Precio corriente;34.695357896;A
93065;2014;40123;3143;Tasa interanual. Precio corriente;-4.15233942;A
93065;2013;40123;3143;Tasa interanual. Precio corriente;23.43686643;A
93065;2012;40123;3143;Tasa interanual. Precio corriente;-10.083487846;A
93065;2011;40123;3143;Tasa interanual. Precio corriente;-6.062327425;A
93065;2010;40123;3143;Tasa interanual. Precio corriente;7.242681573;A
93065;2009;40123;3143;Tasa interanual. Precio corriente;-10.384182813;A
93065;2008;40123;3143;Tasa interanual. Precio corriente;-8.857668029;A
93065;2007;40123;3143;Tasa interanual. Precio corriente;9.683728128;A
93066;2021;69512;3143;Tasa interanual. Precio corriente;20.027679411;A
93066;2020;40125;3143;Tasa interanual. Precio corriente;-15.046559808;A
93066;2019;40124;3143;Tasa interanual. Precio corriente;0.990862006;A
93066;2018;40123;3143;Tasa interanual. Precio corriente;1.161681014;A
93066;2017;40123;3143;Tasa interanual. Precio corriente;8.982815975;A
93066;2016;40123;3143;Tasa interanual. Precio corriente;1.718678544;A
93066;2015;40123;3143;Tasa interanual. Precio corriente;2.793491844;A
93066;2014;40123;3143;Tasa interanual. Precio corriente;0.644997816;A
93066;2013;40123;3143;Tasa interanual. Precio corriente;-5.327855048;A
93066;2012;40123;3143;Tasa interanual. Precio corriente;-1.90075214;A
93066;2011;40123;3143;Tasa interanual. Precio corriente;2.664999942;A
93066;2010;40123;3143;Tasa interanual. Precio corriente;9.81757268;A
93066;2009;40123;3143;Tasa interanual. Precio corriente;-12.516660435;A
93066;2008;40123;3143;Tasa interanual. Precio corriente;5.662163814;A
93066;2007;40123;3143;Tasa interanual. Precio corriente;3.514935438;A
93067;2021;69512;3143;Tasa interanual. Precio corriente;15.411402684;A
93067;2020;40125;3143;Tasa interanual. Precio corriente;-13.647163152;A
93067;2019;40124;3143;Tasa interanual. Precio corriente;1.061954492;A
93067;2018;40123;3143;Tasa interanual. Precio corriente;0.663322548;A
93067;2017;40123;3143;Tasa interanual. Precio corriente;10.763989552;A
93067;2016;40123;3143;Tasa interanual. Precio corriente;2.678456719;A
93067;2015;40123;3143;Tasa interanual. Precio corriente;5.124449347;A
93067;2014;40123;3143;Tasa interanual. Precio corriente;1.135916045;A
93067;2013;40123;3143;Tasa interanual. Precio corriente;-7.913672252;A
93067;2012;40123;3143;Tasa interanual. Precio corriente;-3.377003301;A
93067;2011;40123;3143;Tasa interanual. Precio corriente;-1.402183096;A
93067;2010;40123;3143;Tasa interanual. Precio corriente;10.940610094;A
93067;2009;40123;3143;Tasa interanual. Precio corriente;-19.291241322;A
93067;2008;40123;3143;Tasa interanual. Precio corriente;2.818038793;A
93067;2007;40123;3143;Tasa interanual. Precio corriente;2.266224811;A
93068;2021;69512;3143;Tasa interanual. Precio corriente;5.566858987;A
93068;2020;40125;3143;Tasa interanual. Precio corriente;-10.810288502;A
93068;2019;40124;3143;Tasa interanual. Precio corriente;11.460566181;A
93068;2018;40123;3143;Tasa interanual. Precio corriente;6.252971359;A
93068;2017;40123;3143;Tasa interanual. Precio corriente;4.875512646;A
93068;2016;40123;3143;Tasa interanual. Precio corriente;2.619470639;A
93068;2015;40123;3143;Tasa interanual. Precio corriente;6.125616805;A
93068;2014;40123;3143;Tasa interanual. Precio corriente;-1.209956927;A
93068;2013;40123;3143;Tasa interanual. Precio corriente;-13.581470822;A
93068;2012;40123;3143;Tasa interanual. Precio corriente;-16.387467299;A
93068;2011;40123;3143;Tasa interanual. Precio corriente;-16.879911258;A
93068;2010;40123;3143;Tasa interanual. Precio corriente;-21.932338469;A
93068;2009;40123;3143;Tasa interanual. Precio corriente;-14.754197074;A
93068;2008;40123;3143;Tasa interanual. Precio corriente;0.760426163;A
93068;2007;40123;3143;Tasa interanual. Precio corriente;5.132278163;A
93070;2021;69512;3143;Tasa interanual. Precio corriente;6.718490307;A
93070;2020;40125;3143;Tasa interanual. Precio corriente;-9.705269768;A
93070;2019;40124;3143;Tasa interanual. Precio corriente;4.068383464;A
93070;2018;40123;3143;Tasa interanual. Precio corriente;3.596700178;A
93070;2017;40123;3143;Tasa interanual. Precio corriente;4.23760626;A
93070;2016;40123;3143;Tasa interanual. Precio corriente;2.873401366;A
93070;2015;40123;3143;Tasa interanual. Precio corriente;2.760440174;A
93070;2014;40123;3143;Tasa interanual. Precio corriente;1.305535862;A
93070;2013;40123;3143;Tasa interanual. Precio corriente;-1.820250885;A
93070;2012;40123;3143;Tasa interanual. Precio corriente;-1.467874739;A
93070;2011;40123;3143;Tasa interanual. Precio corriente;1.152011773;A
93070;2010;40123;3143;Tasa interanual. Precio corriente;-0.550914953;A
93070;2009;40123;3143;Tasa interanual. Precio corriente;1.053540909;A
93070;2008;40123;3143;Tasa interanual. Precio corriente;6.336136153;A
93070;2007;40123;3143;Tasa interanual. Precio corriente;8.895861644;A
93069;2021;69512;3143;Tasa interanual. Precio corriente;16.417718945;A
93069;2020;40125;3143;Tasa interanual. Precio corriente;-23.9210356;A
93069;2019;40124;3143;Tasa interanual. Precio corriente;4.050466668;A
93069;2018;40123;3143;Tasa interanual. Precio corriente;3.348065568;A
93069;2017;40123;3143;Tasa interanual. Precio corriente;5.98747412;A
93069;2016;40123;3143;Tasa interanual. Precio corriente;4.631403275;A
93069;2015;40123;3143;Tasa interanual. Precio corriente;4.407825429;A
93069;2014;40123;3143;Tasa interanual. Precio corriente;2.253551675;A
93069;2013;40123;3143;Tasa interanual. Precio corriente;-2.751920895;A
93069;2012;40123;3143;Tasa interanual. Precio corriente;-1.046667777;A
93069;2011;40123;3143;Tasa interanual. Precio corriente;1.63628553;A
93069;2010;40123;3143;Tasa interanual. Precio corriente;-2.205013996;A
93069;2009;40123;3143;Tasa interanual. Precio corriente;-0.700675419;A
93069;2008;40123;3143;Tasa interanual. Precio corriente;3.520277224;A
93069;2007;40123;3143;Tasa interanual. Precio corriente;6.256565442;A
93071;2021;69512;3143;Tasa interanual. Precio corriente;5.64622341;A
93071;2020;40125;3143;Tasa interanual. Precio corriente;-2.686574146;A
93071;2019;40124;3143;Tasa interanual. Precio corriente;5.8762645;A
93071;2018;40123;3143;Tasa interanual. Precio corriente;1.746879724;A
93071;2017;40123;3143;Tasa interanual. Precio corriente;1.75570145;A
93071;2016;40123;3143;Tasa interanual. Precio corriente;2.232928535;A
93071;2015;40123;3143;Tasa interanual. Precio corriente;-0.720842081;A
93071;2014;40123;3143;Tasa interanual. Precio corriente;-6.903665578;A
93071;2013;40123;3143;Tasa interanual. Precio corriente;-6.452123573;A
93071;2012;40123;3143;Tasa interanual. Precio corriente;-0.963013152;A
93071;2011;40123;3143;Tasa interanual. Precio corriente;-3.281552952;A
93071;2010;40123;3143;Tasa interanual. Precio corriente;-3.53020621;A
93071;2009;40123;3143;Tasa interanual. Precio corriente;1.629559579;A
93071;2008;40123;3143;Tasa interanual. Precio corriente;6.875305337;A
93071;2007;40123;3143;Tasa interanual. Precio corriente;9.108297666;A
93072;2021;69512;3143;Tasa interanual. Precio corriente;-1.974890039;A
93072;2020;40125;3143;Tasa interanual. Precio corriente;5.276999887;A
93072;2019;40124;3143;Tasa interanual. Precio corriente;-1.948164257;A
93072;2018;40123;3143;Tasa interanual. Precio corriente;9.529614608;A
93072;2017;40123;3143;Tasa interanual. Precio corriente;5.475135914;A
93072;2016;40123;3143;Tasa interanual. Precio corriente;1.633614631;A
93072;2015;40123;3143;Tasa interanual. Precio corriente;0.010051699;A
93072;2014;40123;3143;Tasa interanual. Precio corriente;8.833774242;A
93072;2013;40123;3143;Tasa interanual. Precio corriente;-14.640891852;A
93072;2012;40123;3143;Tasa interanual. Precio corriente;3.033927866;A
93072;2011;40123;3143;Tasa interanual. Precio corriente;-5.300166931;A
93072;2010;40123;3143;Tasa interanual. Precio corriente;-24.485826543;A
93072;2009;40123;3143;Tasa interanual. Precio corriente;6.146463045;A
93072;2008;40123;3143;Tasa interanual. Precio corriente;9.921787709;A
93072;2007;40123;3143;Tasa interanual. Precio corriente;15.031276551;A
93073;2021;69512;3143;Tasa interanual. Precio corriente;1.738824817;A
93073;2020;40125;3143;Tasa interanual. Precio corriente;-0.001852827;A
93073;2019;40124;3143;Tasa interanual. Precio corriente;3.275092535;A
93073;2018;40123;3143;Tasa interanual. Precio corriente;2.778870379;A
93073;2017;40123;3143;Tasa interanual. Precio corriente;2.099958913;A
93073;2016;40123;3143;Tasa interanual. Precio corriente;2.266996844;A
93073;2015;40123;3143;Tasa interanual. Precio corriente;-1.487437006;A
93073;2014;40123;3143;Tasa interanual. Precio corriente;0.14690917;A
93073;2013;40123;3143;Tasa interanual. Precio corriente;1.181252775;A
93073;2012;40123;3143;Tasa interanual. Precio corriente;4.145900008;A
93073;2011;40123;3143;Tasa interanual. Precio corriente;4.292237027;A
93073;2010;40123;3143;Tasa interanual. Precio corriente;11.698236637;A
93073;2009;40123;3143;Tasa interanual. Precio corriente;-5.956225695;A
93073;2008;40123;3143;Tasa interanual. Precio corriente;8.340584711;A
93073;2007;40123;3143;Tasa interanual. Precio corriente;13.437675428;A
93074;2021;69512;3143;Tasa interanual. Precio corriente;3.211341956;A
93074;2020;40125;3143;Tasa interanual. Precio corriente;-18.917751573;A
93074;2019;40124;3143;Tasa interanual. Precio corriente;7.730347106;A
93074;2018;40123;3143;Tasa interanual. Precio corriente;5.065127084;A
93074;2017;40123;3143;Tasa interanual. Precio corriente;8.244853459;A
93074;2016;40123;3143;Tasa interanual. Precio corriente;0.208713435;A
93074;2015;40123;3143;Tasa interanual. Precio corriente;5.173454593;A
93074;2014;40123;3143;Tasa interanual. Precio corriente;5.615031258;A
93074;2013;40123;3143;Tasa interanual. Precio corriente;-0.534562962;A
93074;2012;40123;3143;Tasa interanual. Precio corriente;-5.964562653;A
93074;2011;40123;3143;Tasa interanual. Precio corriente;0.627105404;A
93074;2010;40123;3143;Tasa interanual. Precio corriente;-0.223473807;A
93074;2009;40123;3143;Tasa interanual. Precio corriente;1.691710559;A
93074;2008;40123;3143;Tasa interanual. Precio corriente;2.970919176;A
93074;2007;40123;3143;Tasa interanual. Precio corriente;8.898554396;A
93075;2021;69512;3143;Tasa interanual. Precio corriente;5.475971601;A
93075;2020;40125;3143;Tasa interanual. Precio corriente;3.183063903;A
93075;2019;40124;3143;Tasa interanual. Precio corriente;4.127057432;A
93075;2018;40123;3143;Tasa interanual. Precio corriente;3.369328862;A
93075;2017;40123;3143;Tasa interanual. Precio corriente;2.439321088;A
93075;2016;40123;3143;Tasa interanual. Precio corriente;2.705822134;A
93075;2015;40123;3143;Tasa interanual. Precio corriente;3.659854433;A
93075;2014;40123;3143;Tasa interanual. Precio corriente;-0.281896196;A
93075;2013;40123;3143;Tasa interanual. Precio corriente;-0.462520874;A
93075;2012;40123;3143;Tasa interanual. Precio corriente;-4.480879516;A
93075;2011;40123;3143;Tasa interanual. Precio corriente;0.497342913;A
93075;2010;40123;3143;Tasa interanual. Precio corriente;0.724575248;A
93075;2009;40123;3143;Tasa interanual. Precio corriente;5.804267369;A
93075;2008;40123;3143;Tasa interanual. Precio corriente;8.449126714;A
93075;2007;40123;3143;Tasa interanual. Precio corriente;8.536424375;A
93076;2021;69512;3143;Tasa interanual. Precio corriente;-1.868142814;A
93076;2020;40125;3143;Tasa interanual. Precio corriente;-22.428114954;A
93076;2019;40124;3143;Tasa interanual. Precio corriente;4.351248698;A
93076;2018;40123;3143;Tasa interanual. Precio corriente;2.730546865;A
93076;2017;40123;3143;Tasa interanual. Precio corriente;4.55629346;A
93076;2016;40123;3143;Tasa interanual. Precio corriente;1.760763073;A
93076;2015;40123;3143;Tasa interanual. Precio corriente;3.620772789;A
93076;2014;40123;3143;Tasa interanual. Precio corriente;0.780569802;A
93076;2013;40123;3143;Tasa interanual. Precio corriente;-2.301001863;A
93076;2012;40123;3143;Tasa interanual. Precio corriente;-2.232396872;A
93076;2011;40123;3143;Tasa interanual. Precio corriente;1.330078586;A
93076;2010;40123;3143;Tasa interanual. Precio corriente;-2.898532178;A
93076;2009;40123;3143;Tasa interanual. Precio corriente;0.610957207;A
93076;2008;40123;3143;Tasa interanual. Precio corriente;7.363867704;A
93076;2007;40123;3143;Tasa interanual. Precio corriente;7.546009589;A
93021;2021;69512;3143;Tasa interanual. Precio corriente;17.319191261;A
93021;2020;40125;3143;Tasa interanual. Precio corriente;-16.147820964;A
93021;2019;40124;3143;Tasa interanual. Precio corriente;1.515492754;A
93021;2018;40123;3143;Tasa interanual. Precio corriente;5.404103045;A
93021;2017;40123;3143;Tasa interanual. Precio corriente;5.711138397;A
93021;2016;40123;3143;Tasa interanual. Precio corriente;4.086287448;A
93021;2015;40123;3143;Tasa interanual. Precio corriente;6.46716842;A
93021;2014;40123;3143;Tasa interanual. Precio corriente;4.27972512;A
93021;2013;40123;3143;Tasa interanual. Precio corriente;5.807379363;A
93021;2012;40123;3143;Tasa interanual. Precio corriente;-1.324127165;A
93021;2011;40123;3143;Tasa interanual. Precio corriente;-4.264592902;A
93021;2010;40123;3143;Tasa interanual. Precio corriente;25.381049061;A
93021;2009;40123;3143;Tasa interanual. Precio corriente;-20.386626955;A
93021;2008;40123;3143;Tasa interanual. Precio corriente;-16.716087872;A
93021;2007;40123;3143;Tasa interanual. Precio corriente;2.674917894;A
93024;2021;69512;3143;Tasa interanual. Precio corriente;8.638074151;A
93024;2020;40125;3143;Tasa interanual. Precio corriente;-9.633555973;A
93024;2019;40124;3143;Tasa interanual. Precio corriente;2.87269482;A
93024;2018;40123;3143;Tasa interanual. Precio corriente;3.406389888;A
93024;2017;40123;3143;Tasa interanual. Precio corriente;5.349411789;A
93024;2016;40123;3143;Tasa interanual. Precio corriente;2.729621672;A
93024;2015;40123;3143;Tasa interanual. Precio corriente;4.870954437;A
93024;2014;40123;3143;Tasa interanual. Precio corriente;1.106609808;A
93024;2013;40123;3143;Tasa interanual. Precio corriente;-1.223154762;A
93024;2012;40123;3143;Tasa interanual. Precio corriente;-2.981976206;A
93024;2011;40123;3143;Tasa interanual. Precio corriente;-1.105792032;A
93024;2010;40123;3143;Tasa interanual. Precio corriente;0.298281107;A
93024;2009;40123;3143;Tasa interanual. Precio corriente;-4.780774899;A
93024;2008;40123;3143;Tasa interanual. Precio corriente;2.261130646;A
93024;2007;40123;3143;Tasa interanual. Precio corriente;7.176416553;A
93064;2021;69512;3143;Tasa interanual. Precio corriente;7.731643107;A
