D_TERRITORIO_0;D_TEMPORAL_0;D_CNAE_O9_CRA_NEW_0;D_ESTADO_DATO_0;INDICATOR;OBS_VALUE;FREQ
3143;2018;273192;40123;Consumos intermedios a precios de adquisición;295289.0;A
3143;2018;273139;40123;Consumos intermedios a precios de adquisición;1064600.0;A
3143;2018;273193;40123;Consumos intermedios a precios de adquisición;1064600.0;A
3143;2018;273140;40123;Consumos intermedios a precios de adquisición;632840.0;A
3143;2018;273194;40123;Consumos intermedios a precios de adquisición;632840.0;A
3143;2018;273141;40123;Consumos intermedios a precios de adquisición;2648857.0;A
3143;2018;273195;40123;Consumos intermedios a precios de adquisición;569448.0;A
3143;2018;273196;40123;Consumos intermedios a precios de adquisición;241255.0;A
3143;2018;273197;40123;Consumos intermedios a precios de adquisición;1838154.0;A
3143;2018;273142;40123;Consumos intermedios a precios de adquisición;1905008.0;A
3143;2018;273198;40123;Consumos intermedios a precios de adquisición;596382.0;A
3143;2018;273199;40123;Consumos intermedios a precios de adquisición;365242.0;A
3143;2018;273200;40123;Consumos intermedios a precios de adquisición;943384.0;A
3143;2018;273143;40123;Consumos intermedios a precios de adquisición;6597327.0;A
3143;2018;273201;40123;Consumos intermedios a precios de adquisición;5045657.0;A
3143;2018;273202;40123;Consumos intermedios a precios de adquisición;1551670.0;A
3143;2018;273144;40123;Consumos intermedios a precios de adquisición;1743831.0;A
3143;2018;273203;40123;Consumos intermedios a precios de adquisición;1026105.0;A
3143;2018;273204;40123;Consumos intermedios a precios de adquisición;717726.0;A
3143;2018;273249;40123;Consumos intermedios a precios de adquisición;12773407;A
3143;2018;273145;40123;Consumos intermedios a precios de adquisición;12773407;A
3143;2018;273205;40123;Consumos intermedios a precios de adquisición;12773407;A
3143;2018;273251;40123;Consumos intermedios a precios de adquisición;69435986;A
3143;2018;273250;40123;Consumos intermedios a precios de adquisición;33609331;A
3143;2018;273146;40123;Consumos intermedios a precios de adquisición;14001514;A
3143;2018;273206;40123;Consumos intermedios a precios de adquisición;1905721.0;A
3143;2018;273207;40123;Consumos intermedios a precios de adquisición;7222638.0;A
3143;2018;273208;40123;Consumos intermedios a precios de adquisición;4873155.0;A
3143;2018;273147;40123;Consumos intermedios a precios de adquisición;10038367;A
3143;2018;273209;40123;Consumos intermedios a precios de adquisición;6094038.0;A
3143;2018;273210;40123;Consumos intermedios a precios de adquisición;320024.0;A
3143;2018;273211;40123;Consumos intermedios a precios de adquisición;3327659.0;A
3143;2018;273212;40123;Consumos intermedios a precios de adquisición;296646.0;A
3143;2018;273148;40123;Consumos intermedios a precios de adquisición;9569450.0;A
3143;2018;273213;40123;Consumos intermedios a precios de adquisición;2104619.0;A
3143;2018;273214;40123;Consumos intermedios a precios de adquisición;7464831.0;A
3143;2018;273253;40123;Consumos intermedios a precios de adquisición;3176451.0;A
3143;2018;273149;40123;Consumos intermedios a precios de adquisición;607446.0;A
3143;2018;273215;40123;Consumos intermedios a precios de adquisición;273352.0;A
3143;2018;273216;40123;Consumos intermedios a precios de adquisición;334094.0;A
3143;2018;273150;40123;Consumos intermedios a precios de adquisición;1742587.0;A
3143;2018;273217;40123;Consumos intermedios a precios de adquisición;1742587.0;A
3143;2018;273151;40123;Consumos intermedios a precios de adquisición;826418.0;A
3143;2018;273218;40123;Consumos intermedios a precios de adquisición;826418.0;A
3143;2018;273254;40123;Consumos intermedios a precios de adquisición;3841940.0;A
3143;2018;273152;40123;Consumos intermedios a precios de adquisición;3841940.0;A
3143;2018;273219;40123;Consumos intermedios a precios de adquisición;1828109.0;A
3143;2018;273220;40123;Consumos intermedios a precios de adquisición;1162845.0;A
3143;2018;273221;40123;Consumos intermedios a precios de adquisición;850986.0;A
3143;2018;273255;40123;Consumos intermedios a precios de adquisición;3797809.0;A
3143;2018;273153;40123;Consumos intermedios a precios de adquisición;3797809.0;A
3143;2018;273222;40123;Consumos intermedios a precios de adquisición;3797809.0;A
3143;2018;273256;40123;Consumos intermedios a precios de adquisición;8118847.0;A
3143;2018;273154;40123;Consumos intermedios a precios de adquisición;3597252.0;A
3143;2018;273223;40123;Consumos intermedios a precios de adquisición;1809463.0;A
3143;2018;273224;40123;Consumos intermedios a precios de adquisición;1787789.0;A
3143;2018;273155;40123;Consumos intermedios a precios de adquisición;274547.0;A
3143;2018;273225;40123;Consumos intermedios a precios de adquisición;274547.0;A
3143;2018;273156;40123;Consumos intermedios a precios de adquisición;806963.0;A
3143;2018;273226;40123;Consumos intermedios a precios de adquisición;375249.0;A
3143;2018;273227;40123;Consumos intermedios a precios de adquisición;310273.0;A
