D_TEMPORAL_0;D_TERRITORIO_0;D_SEXO_0;D_EDAD_0;INDICATOR;OBS_VALUE;FREQ
2015;2241;_T;Y90-94;DEATHS;4.0;A
2015;2241;_T;Y95-99;DEATHS;1.0;A
2015;2241;M;TOTAL;DEATHS;9.0;A
2015;2241;M;Y75-79;DEATHS;3.0;A
2015;2241;M;Y80-84;DEATHS;1.0;A
2015;2241;M;Y85-89;DEATHS;2.0;A
2015;2241;M;Y90-94;DEATHS;3.0;A
2015;2241;F;TOTAL;DEATHS;7.0;A
2015;2241;F;Y80-84;DEATHS;4.0;A
2015;2241;F;Y85-89;DEATHS;1.0;A
2015;2241;F;Y90-94;DEATHS;1.0;A
2015;2241;F;Y95-99;DEATHS;1.0;A
2015;2242;_T;TOTAL;DEATHS;17.0;A
2015;2242;_T;Y60-64;DEATHS;1.0;A
2015;2242;_T;Y65-69;DEATHS;1.0;A
2015;2242;_T;Y70-74;DEATHS;2.0;A
2015;2242;_T;Y75-79;DEATHS;3.0;A
2015;2242;_T;Y80-84;DEATHS;1.0;A
2015;2242;_T;Y85-89;DEATHS;5.0;A
2015;2242;_T;Y90-94;DEATHS;3.0;A
2015;2242;_T;Y95-99;DEATHS;1.0;A
2015;2242;M;TOTAL;DEATHS;9.0;A
2015;2242;M;Y60-64;DEATHS;1.0;A
2015;2242;M;Y65-69;DEATHS;1.0;A
2015;2242;M;Y70-74;DEATHS;1.0;A
2015;2242;M;Y85-89;DEATHS;3.0;A
2015;2242;M;Y90-94;DEATHS;2.0;A
2015;2242;M;Y95-99;DEATHS;1.0;A
2015;2242;F;TOTAL;DEATHS;8.0;A
2015;2242;F;Y70-74;DEATHS;1.0;A
2015;2242;F;Y75-79;DEATHS;3.0;A
2015;2242;F;Y80-84;DEATHS;1.0;A
2015;2242;F;Y85-89;DEATHS;2.0;A
2015;2242;F;Y90-94;DEATHS;1.0;A
2015;2243;_T;TOTAL;DEATHS;188.0;A
2015;2243;_T;Y_LT1;DEATHS;1.0;A
2015;2243;_T;Y25-29;DEATHS;1.0;A
2015;2243;_T;Y30-34;DEATHS;2.0;A
2015;2243;_T;Y35-39;DEATHS;3.0;A
2015;2243;_T;Y45-49;DEATHS;8.0;A
2015;2243;_T;Y50-54;DEATHS;3.0;A
2015;2243;_T;Y55-59;DEATHS;11.0;A
2015;2243;_T;Y60-64;DEATHS;13.0;A
2015;2243;_T;Y65-69;DEATHS;14.0;A
