OBS_STATUS;PARQUES_TURISMO;RESITUR;TEMPORAL;INDICATOR;OBS_VALUE;FREQ
A;55538;55563;2012;VIAJEROS;431655.82;A
A;55538;55563;2011;VIAJEROS;504349.73;A
A;55538;55563;2010;VIAJEROS;549944.74;A
A;55538;55563;2009;VIAJEROS;609016.05;A
A;55538;55563;2008;VIAJEROS;660130.97;A
A;55538;55545;2020;VIAJEROS;6329.022968771;A
A;55538;55545;2019;VIAJEROS;17211.05697471;A
A;55538;55545;2018;VIAJEROS;16074.78957286;A
A;55538;55545;2017;VIAJEROS;14655.894374158;A
A;55538;55545;2016;VIAJEROS;16186.03244254;A
A;55538;55545;2015;VIAJEROS;13484.55508218;A
A;55538;55545;2014;VIAJEROS;12213.09963457;A
A;55538;55545;2013;VIAJEROS;13999.6;A
A;55538;55545;2012;VIAJEROS;10334.67;A
A;55538;55545;2011;VIAJEROS;11879.4;A
A;55538;55545;2010;VIAJEROS;11572.42;A
A;55538;55545;2009;VIAJEROS;16021.11;A
A;55538;55545;2008;VIAJEROS;15595.85;A
A;55538;55546;2020;VIAJEROS;3408.89221477;A
A;55538;55546;2019;VIAJEROS;10170.701287904;A
A;55538;55546;2018;VIAJEROS;6188.78131576;A
A;55538;55546;2017;VIAJEROS;6983.074886142;A
A;55538;55546;2016;VIAJEROS;6323.811602554;A
A;55538;55546;2015;VIAJEROS;7237.60439914;A
A;55538;55546;2014;VIAJEROS;5647.93584452;A
A;55538;55546;2013;VIAJEROS;6932.79;A
A;55538;55546;2012;VIAJEROS;5450.51;A
A;55538;55546;2011;VIAJEROS;7856.44;A
A;55538;55546;2010;VIAJEROS;10692.67;A
A;55538;55546;2009;VIAJEROS;8531.73;A
A;55538;55546;2008;VIAJEROS;8872.96;A
A;55538;55547;2020;VIAJEROS;3772.989964223;A
A;55538;55547;2019;VIAJEROS;12721.038049267;A
A;55538;55547;2018;VIAJEROS;12073.39613323;A
A;55538;55547;2017;VIAJEROS;10421.74014026;A
A;55538;55547;2016;VIAJEROS;10336.075920329;A
A;55538;55547;2015;VIAJEROS;9751.94284221;A
A;55538;55547;2014;VIAJEROS;8077.48035445;A
A;55538;55547;2013;VIAJEROS;8847.68;A
A;55538;55547;2012;VIAJEROS;7856.22;A
A;55538;55547;2011;VIAJEROS;10785.62;A
A;55538;55547;2010;VIAJEROS;12382.16;A
A;55538;55547;2009;VIAJEROS;10596.83;A
A;55538;55547;2008;VIAJEROS;12917.1;A
A;55538;55548;2020;VIAJEROS;3581.715144837;A
A;55538;55548;2019;VIAJEROS;9792.7613786;A
A;55538;55548;2018;VIAJEROS;7946.04996408;A
A;55538;55548;2017;VIAJEROS;9125.566393939;A
A;55538;55548;2016;VIAJEROS;8743.97593215;A
A;55538;55548;2015;VIAJEROS;6787.4890661;A
A;55538;55548;2014;VIAJEROS;4584.45281481;A
A;55538;55548;2013;VIAJEROS;8779.34;A
A;55538;55548;2012;VIAJEROS;6345.93;A
