OBS_STATUS;PUNTOS_TURISTICOS;TEMPORAL;INDICATOR;OBS_VALUE;FREQ
A;70681;2018;EMPLEO_MEDIO;103.171719828;A
A;70681;2017;EMPLEO_MEDIO;105.467242453;A
A;70681;2016;EMPLEO_MEDIO;92.474883797;A
A;70681;2015;EMPLEO_MEDIO;79.15445176;A
A;70681;2014;EMPLEO_MEDIO;79.651147332;A
A;70681;2013;EMPLEO_MEDIO;77.291666667;A
A;70681;2012;EMPLEO_MEDIO;86.7225;A
A;70681;2011;EMPLEO_MEDIO;90.952499999;A
A;70681;2010;EMPLEO_MEDIO;72.812499999;A
A;269777;2020;EMPLEO_MEDIO;23.031037916;A
A;269777;2019;EMPLEO_MEDIO;36.174266001;A
A;70682;2020;EMPLEO_MEDIO;128.291584468;A
A;70682;2019;EMPLEO_MEDIO;146.080299167;A
A;70682;2012;EMPLEO_MEDIO;167.284166667;A
A;70682;2010;EMPLEO_MEDIO;211.4725;A
A;70682;2009;EMPLEO_MEDIO;248.5325;A
A;70682;2008;EMPLEO_MEDIO;271.070833334;A
A;70683;2020;EMPLEO_MEDIO;99.011672194;A
A;70683;2019;EMPLEO_MEDIO;158.629542205;A
A;70683;2018;EMPLEO_MEDIO;130.454267189;A
A;70683;2017;EMPLEO_MEDIO;130.465590117;A
A;70683;2016;EMPLEO_MEDIO;136.722684398;A
A;70683;2015;EMPLEO_MEDIO;115.315710122;A
A;70683;2014;EMPLEO_MEDIO;118.171752613;A
A;70683;2013;EMPLEO_MEDIO;117.591666667;A
A;70683;2012;EMPLEO_MEDIO;104.1075;A
A;70684;2020;EMPLEO_MEDIO;120.528216658;A
A;70684;2019;EMPLEO_MEDIO;260.981973274;A
A;70684;2018;EMPLEO_MEDIO;226.242197934;A
A;70684;2014;EMPLEO_MEDIO;175.600994551;A
A;70684;2013;EMPLEO_MEDIO;189.125833334;A
A;70684;2012;EMPLEO_MEDIO;208.956666668;A
A;70685;2020;EMPLEO_MEDIO;465.064064295;A
A;70685;2019;EMPLEO_MEDIO;1522.257665465;A
A;70685;2018;EMPLEO_MEDIO;1269.19850297;A
A;70685;2017;EMPLEO_MEDIO;1433.603286665;A
A;70685;2016;EMPLEO_MEDIO;1361.616243947;A
A;70685;2015;EMPLEO_MEDIO;1248.073289271;A
A;70685;2014;EMPLEO_MEDIO;1237.090315165;A
A;70685;2013;EMPLEO_MEDIO;1183.128333333;A
A;70685;2011;EMPLEO_MEDIO;1328.06;A
A;70685;2010;EMPLEO_MEDIO;1189.473333333;A
A;70685;2009;EMPLEO_MEDIO;1548.164166666;A
A;70685;2008;EMPLEO_MEDIO;1588.618333333;A
A;70686;2020;EMPLEO_MEDIO;317.630089941;A
A;70686;2019;EMPLEO_MEDIO;993.867372569;A
A;70686;2018;EMPLEO_MEDIO;946.986305456;A
A;70686;2017;EMPLEO_MEDIO;982.824933835;A
A;70686;2016;EMPLEO_MEDIO;975.425521151;A
A;70686;2015;EMPLEO_MEDIO;877.290867735;A
A;70686;2014;EMPLEO_MEDIO;774.702630771;A
A;70686;2013;EMPLEO_MEDIO;699.713333332;A
A;70686;2009;EMPLEO_MEDIO;938.855;A
A;70686;2008;EMPLEO_MEDIO;1056.543333333;A
A;70687;2020;EMPLEO_MEDIO;489.491503469;A
A;70687;2019;EMPLEO_MEDIO;1209.839832754;A
A;70687;2018;EMPLEO_MEDIO;1181.041886595;A
A;70687;2017;EMPLEO_MEDIO;1143.08670696;A
A;70687;2016;EMPLEO_MEDIO;1102.608656926;A
A;70687;2015;EMPLEO_MEDIO;1037.530160151;A
A;70687;2014;EMPLEO_MEDIO;1036.838480585;A
A;70687;2013;EMPLEO_MEDIO;927.730833334;A
A;70687;2012;EMPLEO_MEDIO;899.019166666;A
A;70687;2011;EMPLEO_MEDIO;901.129166666;A
A;70687;2010;EMPLEO_MEDIO;952.488333333;A
A;70687;2009;EMPLEO_MEDIO;1048.324166667;A
A;70687;2008;EMPLEO_MEDIO;1187.411666667;A
A;70688;2020;EMPLEO_MEDIO;914.457349021;A
A;70688;2019;EMPLEO_MEDIO;1600.238373727;A
A;70688;2018;EMPLEO_MEDIO;1510.75862393;A
A;70688;2017;EMPLEO_MEDIO;1379.898842656;A
A;70688;2016;EMPLEO_MEDIO;1306.044907232;A
A;70688;2015;EMPLEO_MEDIO;1226.96727499;A
A;70688;2014;EMPLEO_MEDIO;1219.439746113;A
