TEMPORAL;SEXO;MES;TERRITORIO;TIPOMOVIMIEN;INDICATOR;OBS_VALUE;FREQ
2019;M;55918;ES612;515926;NUME_MOVI;775.0;A
2019;M;55918;ES613;515926;NUME_MOVI;550.0;A
2019;M;55918;ES614;515926;NUME_MOVI;650.0;A
2019;M;55918;ES617;515926;NUME_MOVI;1200.0;A
2019;M;55918;ES618;515926;NUME_MOVI;1075.0;A
2019;M;55918;515892;515926;NUME_MOVI;5300.0;A
2019;M;55919;ES612;515926;NUME_MOVI;550.0;A
2019;M;55919;ES614;515926;NUME_MOVI;725.0;A
2019;M;55919;ES617;515926;NUME_MOVI;850.0;A
2019;M;55919;ES618;515926;NUME_MOVI;700.0;A
2019;M;55919;515892;515926;NUME_MOVI;4225.0;A
2019;M;55920;ES611;515926;NUME_MOVI;6025.0;A
2019;M;55920;ES612;515926;NUME_MOVI;9025.0;A
2019;M;55920;ES613;515926;NUME_MOVI;6325.0;A
2019;M;55920;ES614;515926;NUME_MOVI;8100.0;A
2019;M;55920;ES615;515926;NUME_MOVI;4200.0;A
2019;M;55920;ES616;515926;NUME_MOVI;5750.0;A
2019;M;55920;ES617;515926;NUME_MOVI;16050.0;A
2019;M;55920;ES618;515926;NUME_MOVI;12975.0;A
2019;M;55920;515892;515926;NUME_MOVI;68725.0;A
2019;F;55908;ES617;515926;NUME_MOVI;1075.0;A
2019;F;55908;ES618;515926;NUME_MOVI;575.0;A
2019;F;55908;515892;515926;NUME_MOVI;3650.0;A
2019;F;55909;ES617;515926;NUME_MOVI;775.0;A
2019;F;55909;ES618;515926;NUME_MOVI;875.0;A
2019;F;55909;515892;515926;NUME_MOVI;3500.0;A
2019;F;55910;ES611;515926;NUME_MOVI;500.0;A
2019;F;55910;ES617;515926;NUME_MOVI;975.0;A
2019;F;55910;ES618;515926;NUME_MOVI;1075.0;A
2019;F;55910;515892;515926;NUME_MOVI;4150.0;A
2019;F;55911;ES611;515926;NUME_MOVI;600.0;A
2019;F;55911;ES612;515926;NUME_MOVI;700.0;A
2019;F;55911;ES617;515926;NUME_MOVI;1025.0;A
2019;F;55911;ES618;515926;NUME_MOVI;1025.0;A
2019;F;55911;515892;515926;NUME_MOVI;4775.0;A
2019;F;55912;ES612;515926;NUME_MOVI;850.0;A
2019;F;55912;ES617;515926;NUME_MOVI;1250.0;A
2019;F;55912;ES618;515926;NUME_MOVI;1000.0;A
2019;F;55912;515892;515926;NUME_MOVI;4500.0;A
2019;F;55913;ES611;515926;NUME_MOVI;575.0;A
2019;F;55913;ES612;515926;NUME_MOVI;525.0;A
2019;F;55913;ES614;515926;NUME_MOVI;575.0;A
2019;F;55913;ES617;515926;NUME_MOVI;1400.0;A
2019;F;55913;ES618;515926;NUME_MOVI;1000.0;A
2019;F;55913;515892;515926;NUME_MOVI;4925.0;A
2019;F;55914;ES614;515926;NUME_MOVI;775.0;A
2019;F;55914;ES617;515926;NUME_MOVI;1025.0;A
2019;F;55914;ES618;515926;NUME_MOVI;800.0;A
2019;F;55914;515892;515926;NUME_MOVI;4400.0;A
2019;F;55915;ES617;515926;NUME_MOVI;725.0;A
2019;F;55915;ES618;515926;NUME_MOVI;800.0;A
2019;F;55915;515892;515926;NUME_MOVI;2850.0;A
2019;F;55916;ES612;515926;NUME_MOVI;550.0;A
2019;F;55916;ES613;515926;NUME_MOVI;625.0;A
2019;F;55916;ES614;515926;NUME_MOVI;550.0;A
2019;F;55916;ES617;515926;NUME_MOVI;1375.0;A
2019;F;55916;ES618;515926;NUME_MOVI;1250.0;A
2019;F;55916;515892;515926;NUME_MOVI;5325.0;A
2019;F;55917;ES611;515926;NUME_MOVI;725.0;A
2019;F;55917;ES612;515926;NUME_MOVI;700.0;A
2019;F;55917;ES614;515926;NUME_MOVI;800.0;A
2019;F;55917;ES617;515926;NUME_MOVI;1225.0;A
2019;F;55917;ES618;515926;NUME_MOVI;1625.0;A
2019;F;55917;515892;515926;NUME_MOVI;6100.0;A
2019;F;55918;ES614;515926;NUME_MOVI;500.0;A
2019;F;55918;ES617;515926;NUME_MOVI;850.0;A
2019;F;55918;ES618;515926;NUME_MOVI;750.0;A
