TEMPORAL;SEXO;TERRITORIO;EDAD;INDICATOR;OBS_VALUE;FREQ
2020;M;ES611;Y30-44;NUME_AUTO;8550.0;A
2020;M;ES611;Y45-64;NUME_AUTO;12700.0;A
2020;M;ES611;Y50-59;NUME_AUTO;11550.0;A
2020;M;ES611;Y65-100;NUME_AUTO;5225.0;A
2020;M;ES611;TOTAL;NUME_AUTO;41600.0;A
2020;M;ES612;Y_LT15;NUME_AUTO;3500.0;A
2020;M;ES612;Y30-44;NUME_AUTO;9350.0;A
2020;M;ES612;Y45-64;NUME_AUTO;14700.0;A
2020;M;ES612;Y50-59;NUME_AUTO;12875.0;A
2020;M;ES612;Y65-100;NUME_AUTO;5500.0;A
2020;M;ES612;TOTAL;NUME_AUTO;45925.0;A
2020;M;ES613;Y_LT15;NUME_AUTO;2500.0;A
2020;M;ES613;Y30-44;NUME_AUTO;6900.0;A
2020;M;ES613;Y45-64;NUME_AUTO;11775.0;A
2020;M;ES613;Y50-59;NUME_AUTO;10475.0;A
2020;M;ES613;Y65-100;NUME_AUTO;5475.0;A
2020;M;ES613;TOTAL;NUME_AUTO;37125.0;A
2020;M;ES614;Y_LT15;NUME_AUTO;3200.0;A
2020;M;ES614;Y30-44;NUME_AUTO;10075.0;A
2020;M;ES614;Y45-64;NUME_AUTO;15175.0;A
2020;M;ES614;Y50-59;NUME_AUTO;13175.0;A
2020;M;ES614;Y65-100;NUME_AUTO;5825.0;A
2020;M;ES614;TOTAL;NUME_AUTO;47450.0;A
2020;M;ES615;Y_LT15;NUME_AUTO;2100.0;A
2020;M;ES615;Y30-44;NUME_AUTO;3550.0;A
2020;M;ES615;Y45-64;NUME_AUTO;7900.0;A
2020;M;ES615;Y50-59;NUME_AUTO;5425.0;A
2020;M;ES615;Y65-100;NUME_AUTO;3025.0;A
2020;M;ES615;TOTAL;NUME_AUTO;22000.0;A
2020;M;ES616;Y_LT15;NUME_AUTO;2375.0;A
2020;M;ES616;Y30-44;NUME_AUTO;5925.0;A
2020;M;ES616;Y45-64;NUME_AUTO;8825.0;A
2020;M;ES616;Y50-59;NUME_AUTO;9350.0;A
2020;M;ES616;Y65-100;NUME_AUTO;3600.0;A
2020;M;ES616;TOTAL;NUME_AUTO;30075.0;A
2020;M;ES617;Y_LT15;NUME_AUTO;6750.0;A
2020;M;ES617;Y30-44;NUME_AUTO;16950.0;A
2020;M;ES617;Y45-64;NUME_AUTO;27850.0;A
2020;M;ES617;Y50-59;NUME_AUTO;23050.0;A
2020;M;ES617;Y65-100;NUME_AUTO;11375.0;A
2020;M;ES617;TOTAL;NUME_AUTO;85975.0;A
2020;M;ES618;Y_LT15;NUME_AUTO;5725.0;A
2020;M;ES618;Y30-44;NUME_AUTO;16075.0;A
2020;M;ES618;Y45-64;NUME_AUTO;28200.0;A
2020;M;ES618;Y50-59;NUME_AUTO;20950.0;A
2020;M;ES618;Y65-100;NUME_AUTO;9525.0;A
2020;M;ES618;TOTAL;NUME_AUTO;80475.0;A
2020;M;515892;Y_LT15;NUME_AUTO;29850.0;A
2020;M;515892;Y30-44;NUME_AUTO;78025.0;A
2020;M;515892;Y45-64;NUME_AUTO;127975.0;A
2020;M;515892;Y50-59;NUME_AUTO;107675.0;A
2020;M;515892;Y65-100;NUME_AUTO;49775.0;A
2020;M;515892;TOTAL;NUME_AUTO;393300.0;A
2020;F;ES611;Y_LT15;NUME_AUTO;1950.0;A
2020;F;ES611;Y30-44;NUME_AUTO;5475.0;A
2020;F;ES611;Y45-64;NUME_AUTO;7775.0;A
2020;F;ES611;Y50-59;NUME_AUTO;6575.0;A
2020;F;ES611;Y65-100;NUME_AUTO;3600.0;A
2020;F;ES611;TOTAL;NUME_AUTO;25375.0;A
2020;F;ES612;Y_LT15;NUME_AUTO;2200.0;A
2020;F;ES612;Y30-44;NUME_AUTO;5525.0;A
2020;F;ES612;Y45-64;NUME_AUTO;7450.0;A
2020;F;ES612;Y50-59;NUME_AUTO;5900.0;A
2020;F;ES612;Y65-100;NUME_AUTO;3000.0;A
2020;F;ES612;TOTAL;NUME_AUTO;24075.0;A
2020;F;ES613;Y_LT15;NUME_AUTO;1575.0;A
2020;F;ES613;Y30-44;NUME_AUTO;4425.0;A
2020;F;ES613;Y45-64;NUME_AUTO;5425.0;A
2020;F;ES613;Y50-59;NUME_AUTO;5575.0;A
2020;F;ES613;Y65-100;NUME_AUTO;2525.0;A
2020;F;ES613;TOTAL;NUME_AUTO;19525.0;A
2020;F;ES614;Y_LT15;NUME_AUTO;2225.0;A
2020;F;ES614;Y30-44;NUME_AUTO;4650.0;A
2020;F;ES614;Y45-64;NUME_AUTO;8275.0;A
2020;F;ES614;Y50-59;NUME_AUTO;6675.0;A
2020;F;ES614;Y65-100;NUME_AUTO;3175.0;A
2020;F;ES614;TOTAL;NUME_AUTO;25000.0;A
2020;F;ES615;Y_LT15;NUME_AUTO;1075.0;A
2020;F;ES615;Y30-44;NUME_AUTO;2325.0;A
2020;F;ES615;Y45-64;NUME_AUTO;3700.0;A
2020;F;ES615;Y50-59;NUME_AUTO;2775.0;A
2020;F;ES615;Y65-100;NUME_AUTO;1400.0;A
2020;F;ES615;TOTAL;NUME_AUTO;11275.0;A
2020;F;ES616;Y_LT15;NUME_AUTO;1150.0;A
2020;F;ES616;Y30-44;NUME_AUTO;3200.0;A
2020;F;ES616;Y45-64;NUME_AUTO;5050.0;A
2020;F;ES616;Y50-59;NUME_AUTO;4425.0;A
2020;F;ES616;Y65-100;NUME_AUTO;1900.0;A
2020;F;ES616;TOTAL;NUME_AUTO;15725.0;A
2020;F;ES617;Y_LT15;NUME_AUTO;4275.0;A
2020;F;ES617;Y30-44;NUME_AUTO;10725.0;A
2020;F;ES617;Y45-64;NUME_AUTO;15400.0;A
2020;F;ES617;Y50-59;NUME_AUTO;12700.0;A
2020;F;ES617;Y65-100;NUME_AUTO;6000.0;A
2020;F;ES617;TOTAL;NUME_AUTO;49100.0;A
2020;F;ES618;Y_LT15;NUME_AUTO;4475.0;A
2020;F;ES618;Y30-44;NUME_AUTO;10950.0;A
2020;F;ES618;Y45-64;NUME_AUTO;14650.0;A
2020;F;ES618;Y50-59;NUME_AUTO;10450.0;A
2020;F;ES618;Y65-100;NUME_AUTO;4275.0;A
2020;F;ES618;TOTAL;NUME_AUTO;44800.0;A
2020;F;515892;Y_LT15;NUME_AUTO;19050.0;A
2020;F;515892;Y30-44;NUME_AUTO;47725.0;A
2020;F;515892;Y45-64;NUME_AUTO;68175.0;A
2020;F;515892;Y50-59;NUME_AUTO;55525.0;A
2020;F;515892;Y65-100;NUME_AUTO;25975.0;A
2020;F;515892;TOTAL;NUME_AUTO;216450.0;A
2020;_T;ES611;Y_LT15;NUME_AUTO;5525.0;A
2020;_T;ES611;Y30-44;NUME_AUTO;14025.0;A
2020;_T;ES611;Y45-64;NUME_AUTO;20475.0;A
2020;_T;ES611;Y50-59;NUME_AUTO;18125.0;A
2020;_T;ES611;Y65-100;NUME_AUTO;8825.0;A
2020;_T;ES611;TOTAL;NUME_AUTO;66975.0;A
2020;_T;ES612;Y_LT15;NUME_AUTO;5700.0;A
2020;_T;ES612;Y30-44;NUME_AUTO;14875.0;A
2020;_T;ES612;Y45-64;NUME_AUTO;22150.0;A
2020;_T;ES612;Y50-59;NUME_AUTO;18775.0;A
2020;_T;ES612;Y65-100;NUME_AUTO;8500.0;A
2020;_T;ES612;TOTAL;NUME_AUTO;70000.0;A
2020;_T;ES613;Y_LT15;NUME_AUTO;4075.0;A
2020;_T;ES613;Y30-44;NUME_AUTO;11325.0;A
2020;_T;ES613;Y45-64;NUME_AUTO;17200.0;A
2020;_T;ES613;Y50-59;NUME_AUTO;16050.0;A
2020;_T;ES613;Y65-100;NUME_AUTO;8000.0;A
2020;_T;ES613;TOTAL;NUME_AUTO;56650.0;A
2020;_T;ES614;Y_LT15;NUME_AUTO;5425.0;A
2020;_T;ES614;Y30-44;NUME_AUTO;14725.0;A
2020;_T;ES614;Y45-64;NUME_AUTO;23450.0;A
2020;_T;ES614;Y50-59;NUME_AUTO;19850.0;A
2020;_T;ES614;Y65-100;NUME_AUTO;9000.0;A
2020;_T;ES614;TOTAL;NUME_AUTO;72450.0;A
2020;_T;ES615;Y_LT15;NUME_AUTO;3175.0;A
2020;_T;ES615;Y30-44;NUME_AUTO;5875.0;A
2020;_T;ES615;Y45-64;NUME_AUTO;11600.0;A
2020;_T;ES615;Y50-59;NUME_AUTO;8200.0;A
2020;_T;ES615;Y65-100;NUME_AUTO;4425.0;A
2020;_T;ES615;TOTAL;NUME_AUTO;33275.0;A
2020;_T;ES616;Y_LT15;NUME_AUTO;3525.0;A
2020;_T;ES616;Y30-44;NUME_AUTO;9125.0;A
2020;_T;ES616;Y45-64;NUME_AUTO;13875.0;A
2020;_T;ES616;Y50-59;NUME_AUTO;13775.0;A
2020;_T;ES616;Y65-100;NUME_AUTO;5500.0;A
2020;_T;ES616;TOTAL;NUME_AUTO;45800.0;A
2020;_T;ES617;Y_LT15;NUME_AUTO;11025.0;A
2020;_T;ES617;Y30-44;NUME_AUTO;27675.0;A
2020;_T;ES617;Y45-64;NUME_AUTO;43250.0;A
2020;_T;ES617;Y50-59;NUME_AUTO;35750.0;A
2020;_T;ES617;Y65-100;NUME_AUTO;17375.0;A
2020;_T;ES617;TOTAL;NUME_AUTO;135075.0;A
2020;_T;ES618;Y_LT15;NUME_AUTO;10200.0;A
2020;_T;ES618;Y30-44;NUME_AUTO;27025.0;A
2020;_T;ES618;Y45-64;NUME_AUTO;42850.0;A
2020;_T;ES618;Y50-59;NUME_AUTO;31400.0;A
2020;_T;ES618;Y65-100;NUME_AUTO;13800.0;A
2020;_T;ES618;TOTAL;NUME_AUTO;125275.0;A
2020;_T;515892;Y_LT15;NUME_AUTO;48900.0;A
2020;_T;515892;Y30-44;NUME_AUTO;125750.0;A
2020;_T;515892;Y45-64;NUME_AUTO;196150.0;A
2020;_T;515892;Y50-59;NUME_AUTO;163200.0;A
2020;_T;515892;Y65-100;NUME_AUTO;75750.0;A
2020;_T;515892;TOTAL;NUME_AUTO;609750.0;A
