TEMPORAL;SEXO;AA_SITPREVULTEM;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2020;M;515798;ES612;NUME_AUTO;21550.0;A
2020;M;515798;ES613;NUME_AUTO;18200.0;A
2020;M;515798;ES614;NUME_AUTO;21300.0;A
2020;M;515798;ES615;NUME_AUTO;10600.0;A
2020;M;515798;ES616;NUME_AUTO;15700.0;A
2020;M;515798;ES617;NUME_AUTO;36900.0;A
2020;M;515798;ES618;NUME_AUTO;38800.0;A
2020;M;515798;515892;NUME_AUTO;186475.0;A
2020;M;518710;ES611;NUME_AUTO;5000.0;A
2020;M;518710;ES612;NUME_AUTO;8050.0;A
2020;M;518710;ES613;NUME_AUTO;5525.0;A
2020;M;518710;ES614;NUME_AUTO;6750.0;A
2020;M;518710;ES615;NUME_AUTO;2825.0;A
2020;M;518710;ES616;NUME_AUTO;4400.0;A
2020;M;518710;ES617;NUME_AUTO;12525.0;A
2020;M;518710;ES618;NUME_AUTO;13650.0;A
2020;M;518710;515892;NUME_AUTO;59200.0;A
2020;M;515799;ES611;NUME_AUTO;17175.0;A
2020;M;515799;ES612;NUME_AUTO;13500.0;A
2020;M;515799;ES613;NUME_AUTO;12675.0;A
2020;M;515799;ES614;NUME_AUTO;14550.0;A
2020;M;515799;ES615;NUME_AUTO;7775.0;A
2020;M;515799;ES616;NUME_AUTO;11300.0;A
2020;M;515799;ES617;NUME_AUTO;24375.0;A
2020;M;515799;ES618;NUME_AUTO;25150.0;A
2020;M;515799;515892;NUME_AUTO;127275.0;A
2020;M;518711;ES611;NUME_AUTO;19425.0;A
2020;M;518711;ES612;NUME_AUTO;24375.0;A
2020;M;518711;ES613;NUME_AUTO;18925.0;A
2020;M;518711;ES614;NUME_AUTO;26150.0;A
2020;M;518711;ES615;NUME_AUTO;11400.0;A
2020;M;518711;ES616;NUME_AUTO;14375.0;A
2020;M;518711;ES617;NUME_AUTO;49075.0;A
2020;M;518711;ES618;NUME_AUTO;41675.0;A
2020;M;518711;515892;NUME_AUTO;206825.0;A
2020;M;518712;ES611;NUME_AUTO;3725.0;A
2020;M;518712;ES612;NUME_AUTO;4125.0;A
2020;M;518712;ES613;NUME_AUTO;3850.0;A
2020;M;518712;ES614;NUME_AUTO;4625.0;A
2020;M;518712;ES615;NUME_AUTO;2125.0;A
2020;M;518712;ES616;NUME_AUTO;2475.0;A
2020;M;518712;ES617;NUME_AUTO;11625.0;A
2020;M;518712;ES618;NUME_AUTO;6650.0;A
2020;M;518712;515892;NUME_AUTO;39425.0;A
2020;M;518713;ES611;NUME_AUTO;12325.0;A
2020;M;518713;ES612;NUME_AUTO;15100.0;A
2020;M;518713;ES613;NUME_AUTO;11350.0;A
2020;M;518713;ES614;NUME_AUTO;16025.0;A
2020;M;518713;ES615;NUME_AUTO;7400.0;A
2020;M;518713;ES616;NUME_AUTO;8850.0;A
2020;M;518713;ES617;NUME_AUTO;29100.0;A
2020;M;518713;ES618;NUME_AUTO;25275.0;A
2020;M;518713;515892;NUME_AUTO;126300.0;A
2020;M;518714;ES611;NUME_AUTO;3375.0;A
2020;M;518714;ES612;NUME_AUTO;5150.0;A
2020;M;518714;ES613;NUME_AUTO;3725.0;A
2020;M;518714;ES614;NUME_AUTO;5500.0;A
2020;M;518714;ES615;NUME_AUTO;1875.0;A
2020;M;518714;ES616;NUME_AUTO;3050.0;A
2020;M;518714;ES617;NUME_AUTO;8350.0;A
2020;M;518714;ES618;NUME_AUTO;9750.0;A
2020;M;518714;515892;NUME_AUTO;41100.0;A
2020;M;7196;ES611;NUME_AUTO;41600.0;A
2020;M;7196;ES612;NUME_AUTO;45925.0;A
2020;M;7196;ES613;NUME_AUTO;37125.0;A
2020;M;7196;ES614;NUME_AUTO;47450.0;A
2020;M;7196;ES615;NUME_AUTO;22000.0;A
2020;M;7196;ES616;NUME_AUTO;30075.0;A
2020;M;7196;ES617;NUME_AUTO;85975.0;A
2020;M;7196;ES618;NUME_AUTO;80475.0;A
2020;M;7196;515892;NUME_AUTO;393300.0;A
2020;F;515798;ES611;NUME_AUTO;10950.0;A
2020;F;515798;ES612;NUME_AUTO;9575.0;A
2020;F;515798;ES613;NUME_AUTO;8325.0;A
2020;F;515798;ES614;NUME_AUTO;10400.0;A
2020;F;515798;ES615;NUME_AUTO;4175.0;A
2020;F;515798;ES616;NUME_AUTO;6475.0;A
2020;F;515798;ES617;NUME_AUTO;17500.0;A
2020;F;515798;ES618;NUME_AUTO;17525.0;A
2020;F;515798;515892;NUME_AUTO;85500.0;A
