TEMPORAL;SEXO;AA_TIPOCOTIZACA;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2019;_T;515775;ES614;NUME_AUTO;9850.0;A
2019;_T;515775;ES615;NUME_AUTO;4700.0;A
2019;_T;515775;ES616;NUME_AUTO;9700.0;A
2019;_T;515775;ES617;NUME_AUTO;18625.0;A
2019;_T;515775;ES618;NUME_AUTO;17325.0;A
2019;_T;515775;515892;NUME_AUTO;86125.0;A
2019;_T;515776;ES611;NUME_AUTO;775.0;A
2019;_T;515776;ES612;NUME_AUTO;1350.0;A
2019;_T;515776;ES613;NUME_AUTO;850.0;A
2019;_T;515776;ES614;NUME_AUTO;1050.0;A
2019;_T;515776;ES615;NUME_AUTO;625.0;A
2019;_T;515776;ES616;NUME_AUTO;625.0;A
2019;_T;515776;ES617;NUME_AUTO;2150.0;A
2019;_T;515776;ES618;NUME_AUTO;2300.0;A
2019;_T;515776;515892;NUME_AUTO;9775.0;A
2019;_T;515777;ES611;NUME_AUTO;1925.0;A
2019;_T;515777;ES612;NUME_AUTO;2950.0;A
2019;_T;515777;ES613;NUME_AUTO;2425.0;A
2019;_T;515777;ES614;NUME_AUTO;2825.0;A
2019;_T;515777;ES615;NUME_AUTO;1450.0;A
2019;_T;515777;ES616;NUME_AUTO;2400.0;A
2019;_T;515777;ES617;NUME_AUTO;4275.0;A
2019;_T;515777;ES618;NUME_AUTO;4775.0;A
2019;_T;515777;515892;NUME_AUTO;23100.0;A
2020;M;515771;ES611;NUME_AUTO;41600.0;A
2020;M;515771;ES612;NUME_AUTO;45925.0;A
2020;M;515771;ES613;NUME_AUTO;37125.0;A
2020;M;515771;ES614;NUME_AUTO;47450.0;A
2020;M;515771;ES615;NUME_AUTO;22000.0;A
2020;M;515771;ES616;NUME_AUTO;30075.0;A
2020;M;515771;ES617;NUME_AUTO;85975.0;A
2020;M;515771;ES618;NUME_AUTO;80475.0;A
2020;M;515771;515892;NUME_AUTO;393300.0;A
2020;M;515772;ES611;NUME_AUTO;26275.0;A
2020;M;515772;ES612;NUME_AUTO;19400.0;A
2020;M;515772;ES613;NUME_AUTO;16950.0;A
2020;M;515772;ES614;NUME_AUTO;21325.0;A
2020;M;515772;ES615;NUME_AUTO;10825.0;A
2020;M;515772;ES616;NUME_AUTO;10850.0;A
2020;M;515772;ES617;NUME_AUTO;37750.0;A
2020;M;515772;ES618;NUME_AUTO;36075.0;A
2020;M;515772;515892;NUME_AUTO;180700.0;A
2020;M;515774;ES611;NUME_AUTO;15325.0;A
2020;M;515774;ES612;NUME_AUTO;26525.0;A
2020;M;515774;ES613;NUME_AUTO;20175.0;A
2020;M;515774;ES614;NUME_AUTO;26125.0;A
2020;M;515774;ES615;NUME_AUTO;11175.0;A
2020;M;515774;ES616;NUME_AUTO;19225.0;A
2020;M;515774;ES617;NUME_AUTO;48225.0;A
2020;M;515774;ES618;NUME_AUTO;44400.0;A
2020;M;515774;515892;NUME_AUTO;212600.0;A
2020;M;515775;ES611;NUME_AUTO;3375.0;A
2020;M;515775;ES612;NUME_AUTO;3300.0;A
2020;M;515775;ES613;NUME_AUTO;3050.0;A
2020;M;515775;ES614;NUME_AUTO;3600.0;A
2020;M;515775;ES615;NUME_AUTO;2025.0;A
2020;M;515775;ES616;NUME_AUTO;5075.0;A
2020;M;515775;ES617;NUME_AUTO;6400.0;A
2020;M;515775;ES618;NUME_AUTO;6475.0;A
