TEMPORAL;TERRITORIO;DURACEMPREND;ANOCELEBRMATRIM;MULTIVARIABL;INDICATOR;OBS_VALUE;FREQ
2020;ES612;516609;5088;516632;SUPERVIVIENTES;3225.0;A
2020;ES612;516609;5089;516632;SUPERVIVIENTES;3500.0;A
2020;ES612;516609;5090;516632;SUPERVIVIENTES;4050.0;A
2020;ES612;516609;5091;516632;SUPERVIVIENTES;3725.0;A
2020;ES612;516609;5092;516632;SUPERVIVIENTES;3800.0;A
2020;ES612;516609;5093;516632;SUPERVIVIENTES;3625.0;A
2020;ES612;516610;5083;516632;SUPERVIVIENTES;3025.0;A
2020;ES612;516610;5084;516632;SUPERVIVIENTES;2650.0;A
2020;ES612;516610;5085;516632;SUPERVIVIENTES;2500.0;A
2020;ES612;516610;5086;516632;SUPERVIVIENTES;1925.0;A
2020;ES612;516610;5087;516632;SUPERVIVIENTES;2600.0;A
2020;ES612;516610;5088;516632;SUPERVIVIENTES;3000.0;A
2020;ES612;516610;5089;516632;SUPERVIVIENTES;3200.0;A
2020;ES612;516610;5090;516632;SUPERVIVIENTES;3575.0;A
2020;ES612;516610;5091;516632;SUPERVIVIENTES;3375.0;A
2020;ES612;516610;5092;516632;SUPERVIVIENTES;3250.0;A
2020;ES612;516611;5083;516632;SUPERVIVIENTES;2750.0;A
2020;ES612;516611;5084;516632;SUPERVIVIENTES;2250.0;A
2020;ES612;516611;5085;516632;SUPERVIVIENTES;2350.0;A
2020;ES612;516611;5086;516632;SUPERVIVIENTES;1600.0;A
2020;ES612;516611;5087;516632;SUPERVIVIENTES;2300.0;A
2020;ES612;516611;5088;516632;SUPERVIVIENTES;2675.0;A
2020;ES612;516611;5089;516632;SUPERVIVIENTES;2675.0;A
2020;ES612;516611;5090;516632;SUPERVIVIENTES;3275.0;A
2020;ES612;516611;5091;516632;SUPERVIVIENTES;2950.0;A
2020;ES612;516612;5083;516632;SUPERVIVIENTES;2225.0;A
2020;ES612;516612;5084;516632;SUPERVIVIENTES;2000.0;A
2020;ES612;516612;5085;516632;SUPERVIVIENTES;2125.0;A
2020;ES612;516612;5086;516632;SUPERVIVIENTES;1475.0;A
2020;ES612;516612;5087;516632;SUPERVIVIENTES;2025.0;A
2020;ES612;516612;5088;516632;SUPERVIVIENTES;2400.0;A
2020;ES612;516612;5089;516632;SUPERVIVIENTES;2425.0;A
2020;ES612;516612;5090;516632;SUPERVIVIENTES;2925.0;A
2020;ES612;516613;5083;516632;SUPERVIVIENTES;2075.0;A
2020;ES612;516613;5084;516632;SUPERVIVIENTES;1775.0;A
2020;ES612;516613;5085;516632;SUPERVIVIENTES;1925.0;A
2020;ES612;516613;5086;516632;SUPERVIVIENTES;1350.0;A
2020;ES612;516613;5087;516632;SUPERVIVIENTES;1825.0;A
2020;ES612;516613;5088;516632;SUPERVIVIENTES;2250.0;A
2020;ES612;516613;5089;516632;SUPERVIVIENTES;2300.0;A
2020;ES612;516614;5083;516632;SUPERVIVIENTES;1950.0;A
2020;ES612;516614;5084;516632;SUPERVIVIENTES;1750.0;A
2020;ES612;516614;5085;516632;SUPERVIVIENTES;1725.0;A
2020;ES612;516614;5086;516632;SUPERVIVIENTES;1225.0;A
2020;ES612;516614;5087;516632;SUPERVIVIENTES;1775.0;A
2020;ES612;516614;5088;516632;SUPERVIVIENTES;2075.0;A
2020;ES612;516615;5083;516632;SUPERVIVIENTES;1800.0;A
2020;ES612;516615;5084;516632;SUPERVIVIENTES;1675.0;A
2020;ES612;516615;5085;516632;SUPERVIVIENTES;1600.0;A
2020;ES612;516615;5086;516632;SUPERVIVIENTES;1100.0;A
2020;ES612;516615;5087;516632;SUPERVIVIENTES;1600.0;A
2020;ES613;516633;5083;516632;SUPERVIVIENTES;7950.0;A
2020;ES613;516633;5084;516632;SUPERVIVIENTES;7750.0;A
2020;ES613;516633;5085;516632;SUPERVIVIENTES;6550.0;A
2020;ES613;516633;5086;516632;SUPERVIVIENTES;6400.0;A
2020;ES613;516633;5087;516632;SUPERVIVIENTES;7175.0;A
2020;ES613;516633;5088;516632;SUPERVIVIENTES;9225.0;A
2020;ES613;516633;5089;516632;SUPERVIVIENTES;9300.0;A
2020;ES613;516633;5090;516632;SUPERVIVIENTES;9825.0;A
2020;ES613;516633;5091;516632;SUPERVIVIENTES;11250.0;A
2020;ES613;516633;5092;516632;SUPERVIVIENTES;8875.0;A
2020;ES613;516633;5093;516632;SUPERVIVIENTES;9425.0;A
2020;ES613;516633;5094;516632;SUPERVIVIENTES;9100.0;A
2020;ES613;516633;5095;516632;SUPERVIVIENTES;11250.0;A
2020;ES613;516633;5096;516632;SUPERVIVIENTES;10275.0;A
2020;ES613;516633;5097;516632;SUPERVIVIENTES;8025.0;A
2020;ES613;516606;5083;516632;SUPERVIVIENTES;5375.0;A
2020;ES613;516606;5084;516632;SUPERVIVIENTES;5000.0;A
2020;ES613;516606;5085;516632;SUPERVIVIENTES;3675.0;A
2020;ES613;516606;5086;516632;SUPERVIVIENTES;3700.0;A
2020;ES613;516606;5087;516632;SUPERVIVIENTES;4125.0;A
2020;ES613;516606;5088;516632;SUPERVIVIENTES;4575.0;A
2020;ES613;516606;5089;516632;SUPERVIVIENTES;4800.0;A
2020;ES613;516606;5090;516632;SUPERVIVIENTES;4275.0;A
2020;ES613;516606;5091;516632;SUPERVIVIENTES;5675.0;A
2020;ES613;516606;5092;516632;SUPERVIVIENTES;4475.0;A
2020;ES613;516606;5093;516632;SUPERVIVIENTES;4700.0;A
2020;ES613;516606;5094;516632;SUPERVIVIENTES;4400.0;A
2020;ES613;516606;5095;516632;SUPERVIVIENTES;6000.0;A
2020;ES613;516606;5096;516632;SUPERVIVIENTES;5975.0;A
2020;ES613;516607;5083;516632;SUPERVIVIENTES;4200.0;A
