TEMPORAL;SEXO;MCVL_SECTORACTIVIDAD;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2020;F;55158;ES616;NUME_AUTO;15725.0;A
2020;F;55158;ES617;NUME_AUTO;49100.0;A
2020;F;55158;ES618;NUME_AUTO;44800.0;A
2020;F;55158;515892;NUME_AUTO;216450.0;A
2020;_T;55152;ES611;NUME_AUTO;21900.0;A
2020;_T;55152;ES612;NUME_AUTO;3250.0;A
2020;_T;55152;ES613;NUME_AUTO;7325.0;A
2020;_T;55152;ES614;NUME_AUTO;7975.0;A
2020;_T;55152;ES615;NUME_AUTO;4200.0;A
2020;_T;55152;ES616;NUME_AUTO;6200.0;A
2020;_T;55152;ES617;NUME_AUTO;5050.0;A
2020;_T;55152;ES618;NUME_AUTO;7325.0;A
2020;_T;55152;515892;NUME_AUTO;63375.0;A
2020;_T;55153;ES611;NUME_AUTO;2100.0;A
2020;_T;55153;ES612;NUME_AUTO;3225.0;A
2020;_T;55153;ES613;NUME_AUTO;5075.0;A
2020;_T;55153;ES614;NUME_AUTO;4350.0;A
2020;_T;55153;ES615;NUME_AUTO;1725.0;A
2020;_T;55153;ES616;NUME_AUTO;4200.0;A
2020;_T;55153;ES617;NUME_AUTO;5500.0;A
2020;_T;55153;ES618;NUME_AUTO;7250.0;A
2020;_T;55153;515892;NUME_AUTO;33725.0;A
2020;_T;55154;ES611;NUME_AUTO;5200.0;A
2020;_T;55154;ES612;NUME_AUTO;6400.0;A
2020;_T;55154;ES613;NUME_AUTO;4925.0;A
2020;_T;55154;ES614;NUME_AUTO;7725.0;A
2020;_T;55154;ES615;NUME_AUTO;2775.0;A
2020;_T;55154;ES616;NUME_AUTO;4700.0;A
2020;_T;55154;ES617;NUME_AUTO;15200.0;A
2020;_T;55154;ES618;NUME_AUTO;10800.0;A
2020;_T;55154;515892;NUME_AUTO;58100.0;A
2020;_T;55155;ES611;NUME_AUTO;18800.0;A
2020;_T;55155;ES612;NUME_AUTO;29575.0;A
2020;_T;55155;ES613;NUME_AUTO;20500.0;A
2020;_T;55155;ES614;NUME_AUTO;26300.0;A
2020;_T;55155;ES615;NUME_AUTO;13550.0;A
2020;_T;55155;ES616;NUME_AUTO;17000.0;A
2020;_T;55155;ES617;NUME_AUTO;50050.0;A
2020;_T;55155;ES618;NUME_AUTO;47650.0;A
2020;_T;55155;515892;NUME_AUTO;225150.0;A
2020;_T;;ES611;NUME_AUTO;18975.0;A
2020;_T;;ES612;NUME_AUTO;27550.0;A
2020;_T;;ES613;NUME_AUTO;18825.0;A
2020;_T;;ES614;NUME_AUTO;26100.0;A
2020;_T;;ES615;NUME_AUTO;11025.0;A
2020;_T;;ES616;NUME_AUTO;13700.0;A
2020;_T;;ES617;NUME_AUTO;59275.0;A
2020;_T;;ES618;NUME_AUTO;52250.0;A
2020;_T;;515892;NUME_AUTO;229400.0;A
2020;_T;55158;ES611;NUME_AUTO;66975.0;A
2020;_T;55158;ES612;NUME_AUTO;70000.0;A
2020;_T;55158;ES613;NUME_AUTO;56650.0;A
2020;_T;55158;ES614;NUME_AUTO;72450.0;A
2020;_T;55158;ES615;NUME_AUTO;33275.0;A
2020;_T;55158;ES616;NUME_AUTO;45800.0;A
2020;_T;55158;ES617;NUME_AUTO;135075.0;A
2020;_T;55158;ES618;NUME_AUTO;125275.0;A
2020;_T;55158;515892;NUME_AUTO;609750.0;A
