TEMPORAL;SEXO;AA_TIPODEHOGAR;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2019;_T;515756;ES617;NUME_AUTO;24250.0;A
2019;_T;515756;ES618;NUME_AUTO;16200.0;A
2019;_T;515756;515892;NUME_AUTO;100700.0;A
2019;_T;515757;ES611;NUME_AUTO;8975.0;A
2019;_T;515757;ES612;NUME_AUTO;10775.0;A
2019;_T;515757;ES613;NUME_AUTO;6150.0;A
2019;_T;515757;ES614;NUME_AUTO;13625.0;A
2019;_T;515757;ES615;NUME_AUTO;5875.0;A
2019;_T;515757;ES616;NUME_AUTO;5600.0;A
2019;_T;515757;ES617;NUME_AUTO;21175.0;A
2019;_T;515757;ES618;NUME_AUTO;13675.0;A
2019;_T;515757;515892;NUME_AUTO;86525.0;A
2019;_T;515758;ES611;NUME_AUTO;1800.0;A
2019;_T;515758;ES612;NUME_AUTO;1900.0;A
2019;_T;515758;ES613;NUME_AUTO;775.0;A
2019;_T;515758;ES614;NUME_AUTO;2150.0;A
2019;_T;515758;ES615;NUME_AUTO;850.0;A
2019;_T;515758;ES616;NUME_AUTO;900.0;A
2019;_T;515758;ES617;NUME_AUTO;3075.0;A
2019;_T;515758;ES618;NUME_AUTO;2525.0;A
2019;_T;515758;515892;NUME_AUTO;14175.0;A
2019;_T;515759;ES611;NUME_AUTO;25625.0;A
2019;_T;515759;ES612;NUME_AUTO;29525.0;A
2019;_T;515759;ES613;NUME_AUTO;24275.0;A
2019;_T;515759;ES614;NUME_AUTO;29800.0;A
2019;_T;515759;ES615;NUME_AUTO;14150.0;A
2019;_T;515759;ES616;NUME_AUTO;19150.0;A
2019;_T;515759;ES617;NUME_AUTO;52200.0;A
2019;_T;515759;ES618;NUME_AUTO;53750.0;A
2019;_T;515759;515892;NUME_AUTO;250725.0;A
2019;_T;515761;ES611;NUME_AUTO;12125.0;A
2019;_T;515761;ES612;NUME_AUTO;14175.0;A
2019;_T;515761;ES613;NUME_AUTO;11075.0;A
2019;_T;515761;ES614;NUME_AUTO;17525.0;A
2019;_T;515761;ES615;NUME_AUTO;7325.0;A
2019;_T;515761;ES616;NUME_AUTO;10125.0;A
2019;_T;515761;ES617;NUME_AUTO;27575.0;A
2019;_T;515761;ES618;NUME_AUTO;21450.0;A
2019;_T;515761;515892;NUME_AUTO;122950.0;A
2019;_T;515762;ES611;NUME_AUTO;13500.0;A
2019;_T;515762;ES612;NUME_AUTO;15350.0;A
2019;_T;515762;ES613;NUME_AUTO;13200.0;A
2019;_T;515762;ES614;NUME_AUTO;12275.0;A
2019;_T;515762;ES615;NUME_AUTO;6825.0;A
2019;_T;515762;ES616;NUME_AUTO;9025.0;A
2019;_T;515762;ES617;NUME_AUTO;24625.0;A
2019;_T;515762;ES618;NUME_AUTO;32300.0;A
2019;_T;515762;515892;NUME_AUTO;127775.0;A
2019;_T;515760;ES611;NUME_AUTO;28875.0;A
2019;_T;515760;ES612;NUME_AUTO;27075.0;A
2019;_T;515760;ES613;NUME_AUTO;26525.0;A
2019;_T;515760;ES614;NUME_AUTO;25600.0;A
2019;_T;515760;ES615;NUME_AUTO;11625.0;A
2019;_T;515760;ES616;NUME_AUTO;20525.0;A
2019;_T;515760;ES617;NUME_AUTO;53525.0;A
2019;_T;515760;ES618;NUME_AUTO;54125.0;A
2019;_T;515760;515892;NUME_AUTO;249000.0;A
2019;_T;515763;ES611;NUME_AUTO;19525.0;A
2019;_T;515763;ES612;NUME_AUTO;19025.0;A
2019;_T;515763;ES613;NUME_AUTO;18275.0;A
