TEMPORAL;SEXO;AA_BASECOTIZAC;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2020;F;515814;ES611;NUME_AUTO;25375.0;A
2020;F;515814;ES612;NUME_AUTO;24075.0;A
2020;F;515814;ES613;NUME_AUTO;19525.0;A
2020;F;515814;ES614;NUME_AUTO;25000.0;A
2020;F;515814;ES615;NUME_AUTO;11275.0;A
2020;F;515814;ES616;NUME_AUTO;15725.0;A
2020;F;515814;ES617;NUME_AUTO;49100.0;A
2020;F;515814;ES618;NUME_AUTO;44800.0;A
2020;F;515814;515892;NUME_AUTO;216450.0;A
2020;_T;515815;ES611;NUME_AUTO;48725.0;A
2020;_T;515815;ES612;NUME_AUTO;49075.0;A
2020;_T;515815;ES613;NUME_AUTO;38500.0;A
2020;_T;515815;ES614;NUME_AUTO;50775.0;A
2020;_T;515815;ES615;NUME_AUTO;22000.0;A
2020;_T;515815;ES616;NUME_AUTO;32975.0;A
2020;_T;515815;ES617;NUME_AUTO;87625.0;A
2020;_T;515815;ES618;NUME_AUTO;83850.0;A
2020;_T;515815;515892;NUME_AUTO;415900.0;A
2020;_T;515816;ES611;NUME_AUTO;15000.0;A
2020;_T;515816;ES612;NUME_AUTO;16375.0;A
2020;_T;515816;ES613;NUME_AUTO;14275.0;A
2020;_T;515816;ES614;NUME_AUTO;16825.0;A
2020;_T;515816;ES615;NUME_AUTO;9150.0;A
2020;_T;515816;ES616;NUME_AUTO;10225.0;A
2020;_T;515816;ES617;NUME_AUTO;39200.0;A
2020;_T;515816;ES618;NUME_AUTO;33050.0;A
2020;_T;515816;515892;NUME_AUTO;155700.0;A
2020;_T;515817;ES611;NUME_AUTO;3250.0;A
2020;_T;515817;ES612;NUME_AUTO;4550.0;A
2020;_T;515817;ES613;NUME_AUTO;3875.0;A
2020;_T;515817;ES614;NUME_AUTO;4850.0;A
2020;_T;515817;ES615;NUME_AUTO;2125.0;A
2020;_T;515817;ES616;NUME_AUTO;2600.0;A
2020;_T;515817;ES617;NUME_AUTO;8250.0;A
2020;_T;515817;ES618;NUME_AUTO;8375.0;A
2020;_T;515817;515892;NUME_AUTO;38150.0;A
2020;_T;515814;ES611;NUME_AUTO;66975.0;A
2020;_T;515814;ES612;NUME_AUTO;70000.0;A
2020;_T;515814;ES613;NUME_AUTO;56650.0;A
2020;_T;515814;ES614;NUME_AUTO;72450.0;A
2020;_T;515814;ES615;NUME_AUTO;33275.0;A
2020;_T;515814;ES616;NUME_AUTO;45800.0;A
2020;_T;515814;ES617;NUME_AUTO;135075.0;A
2020;_T;515814;ES618;NUME_AUTO;125275.0;A
2020;_T;515814;515892;NUME_AUTO;609750.0;A
