TEMPORAL;SEXO;MES;TERRITORIO;AA_TIPOMOVIMIEN;INDICATOR;OBS_VALUE;FREQ
2020;M;55917;ES614;515927;NUME_MOVI;575.0;A
2020;M;55917;ES617;515927;NUME_MOVI;850.0;A
2020;M;55917;ES618;515927;NUME_MOVI;625.0;A
2020;M;55917;515892;515927;NUME_MOVI;3800.0;A
2020;M;55918;ES612;515927;NUME_MOVI;775.0;A
2020;M;55918;ES616;515927;NUME_MOVI;600.0;A
2020;M;55918;ES617;515927;NUME_MOVI;1225.0;A
2020;M;55918;ES618;515927;NUME_MOVI;1025.0;A
2020;M;55918;515892;515927;NUME_MOVI;4875.0;A
2020;M;55919;ES612;515927;NUME_MOVI;600.0;A
2020;M;55919;ES613;515927;NUME_MOVI;500.0;A
2020;M;55919;ES614;515927;NUME_MOVI;575.0;A
2020;M;55919;ES617;515927;NUME_MOVI;1475.0;A
2020;M;55919;ES618;515927;NUME_MOVI;850.0;A
2020;M;55919;515892;515927;NUME_MOVI;5025.0;A
2020;M;55920;ES611;515927;NUME_MOVI;4575.0;A
2020;M;55920;ES612;515927;NUME_MOVI;7425.0;A
2020;M;55920;ES613;515927;NUME_MOVI;5000.0;A
2020;M;55920;ES614;515927;NUME_MOVI;6650.0;A
2020;M;55920;ES615;515927;NUME_MOVI;3600.0;A
2020;M;55920;ES616;515927;NUME_MOVI;4325.0;A
2020;M;55920;ES617;515927;NUME_MOVI;13250.0;A
2020;M;55920;ES618;515927;NUME_MOVI;10025.0;A
2020;M;55920;515892;515927;NUME_MOVI;55350.0;A
2020;F;55908;ES612;515927;NUME_MOVI;575.0;A
2020;F;55908;ES617;515927;NUME_MOVI;825.0;A
2020;F;55908;ES618;515927;NUME_MOVI;575.0;A
2020;F;55908;515892;515927;NUME_MOVI;2900.0;A
2020;F;55909;ES617;515927;NUME_MOVI;525.0;A
2020;F;55909;ES618;515927;NUME_MOVI;575.0;A
2020;F;55909;515892;515927;NUME_MOVI;2200.0;A
2020;F;55910;ES611;515927;NUME_MOVI;675.0;A
2020;F;55910;ES612;515927;NUME_MOVI;1025.0;A
2020;F;55910;ES614;515927;NUME_MOVI;775.0;A
2020;F;55910;ES617;515927;NUME_MOVI;1675.0;A
2020;F;55910;ES618;515927;NUME_MOVI;1525.0;A
2020;F;55910;515892;515927;NUME_MOVI;6850.0;A
