TIME_PERIOD;REF_AREA;D_CLASEDEPENSION_0;INDICATOR;OBS_VALUE;FREQ;D_SEXO_0;D_EDAD_0;D_PCSSA_JUBVIUDEDAD_0
2011;2272;5692;NUM_PEN;586.0;A;_Z;_Z;_Z
2011;2272;5693;NUM_PEN;297.0;A;_Z;_Z;_Z
2011;2272;275092;NUM_PEN;45.0;A;_Z;_Z;_Z
2011;2273;5692;NUM_PEN;43.0;A;_Z;_Z;_Z
2011;2273;5693;NUM_PEN;16.0;A;_Z;_Z;_Z
2011;2277;5691;NUM_PEN;14.0;A;_Z;_Z;_Z
2011;2277;5692;NUM_PEN;58.0;A;_Z;_Z;_Z
2011;2277;5693;NUM_PEN;21.0;A;_Z;_Z;_Z
2011;2277;275092;NUM_PEN;8.0;A;_Z;_Z;_Z
2011;2278;5691;NUM_PEN;30.0;A;_Z;_Z;_Z
2011;2278;5692;NUM_PEN;392.0;A;_Z;_Z;_Z
2011;2278;5693;NUM_PEN;141.0;A;_Z;_Z;_Z
2011;2278;275092;NUM_PEN;23.0;A;_Z;_Z;_Z
2011;2274;5691;NUM_PEN;5.0;A;_Z;_Z;_Z
2011;2274;5692;NUM_PEN;37.0;A;_Z;_Z;_Z
2011;2274;5693;NUM_PEN;9.0;A;_Z;_Z;_Z
2011;2276;5691;NUM_PEN;194.0;A;_Z;_Z;_Z
2011;2276;5692;NUM_PEN;1118.0;A;_Z;_Z;_Z
2011;2276;5693;NUM_PEN;567.0;A;_Z;_Z;_Z
2011;2276;275092;NUM_PEN;70.0;A;_Z;_Z;_Z
2011;2279;5691;NUM_PEN;74.0;A;_Z;_Z;_Z
2011;2279;5692;NUM_PEN;459.0;A;_Z;_Z;_Z
2011;2279;5693;NUM_PEN;233.0;A;_Z;_Z;_Z
2011;2279;275092;NUM_PEN;27.0;A;_Z;_Z;_Z
2011;2347;5691;NUM_PEN;864.0;A;_Z;_Z;_Z
2011;2347;5692;NUM_PEN;4249.0;A;_Z;_Z;_Z
2011;2347;5693;NUM_PEN;2144.0;A;_Z;_Z;_Z
2011;2347;275092;NUM_PEN;389.0;A;_Z;_Z;_Z
2011;2282;5691;NUM_PEN;6.0;A;_Z;_Z;_Z
2011;2282;5692;NUM_PEN;51.0;A;_Z;_Z;_Z
2011;2282;5693;NUM_PEN;19.0;A;_Z;_Z;_Z
2011;2282;275092;NUM_PEN;5.0;A;_Z;_Z;_Z
2011;2284;5691;NUM_PEN;12.0;A;_Z;_Z;_Z
2011;2284;5692;NUM_PEN;109.0;A;_Z;_Z;_Z
2011;2284;5693;NUM_PEN;51.0;A;_Z;_Z;_Z
2011;2284;275092;NUM_PEN;7.0;A;_Z;_Z;_Z
2011;2285;5691;NUM_PEN;31.0;A;_Z;_Z;_Z
2011;2285;5692;NUM_PEN;176.0;A;_Z;_Z;_Z
2011;2285;5693;NUM_PEN;113.0;A;_Z;_Z;_Z
2011;2285;275092;NUM_PEN;12.0;A;_Z;_Z;_Z
2011;2286;5691;NUM_PEN;63.0;A;_Z;_Z;_Z
2011;2286;5692;NUM_PEN;361.0;A;_Z;_Z;_Z
2011;2286;5693;NUM_PEN;170.0;A;_Z;_Z;_Z
2011;2286;275092;NUM_PEN;33.0;A;_Z;_Z;_Z
2011;2287;5691;NUM_PEN;20.0;A;_Z;_Z;_Z
2011;2287;5692;NUM_PEN;137.0;A;_Z;_Z;_Z
2011;2287;5693;NUM_PEN;65.0;A;_Z;_Z;_Z
2011;2287;275092;NUM_PEN;10.0;A;_Z;_Z;_Z
2011;2288;5691;NUM_PEN;50.0;A;_Z;_Z;_Z
2011;2288;5692;NUM_PEN;333.0;A;_Z;_Z;_Z
2011;2288;5693;NUM_PEN;168.0;A;_Z;_Z;_Z
2011;2288;275092;NUM_PEN;27.0;A;_Z;_Z;_Z
2011;2289;5691;NUM_PEN;27.0;A;_Z;_Z;_Z
2011;2289;5692;NUM_PEN;240.0;A;_Z;_Z;_Z
2011;2289;5693;NUM_PEN;122.0;A;_Z;_Z;_Z
2011;2289;275092;NUM_PEN;8.0;A;_Z;_Z;_Z
2011;2290;5691;NUM_PEN;87.0;A;_Z;_Z;_Z
2011;2290;5692;NUM_PEN;500.0;A;_Z;_Z;_Z
2011;2290;5693;NUM_PEN;256.0;A;_Z;_Z;_Z
2011;2290;275092;NUM_PEN;39.0;A;_Z;_Z;_Z
2011;2291;5691;NUM_PEN;17.0;A;_Z;_Z;_Z
2011;2291;5692;NUM_PEN;203.0;A;_Z;_Z;_Z
2011;2291;5693;NUM_PEN;79.0;A;_Z;_Z;_Z
2011;2291;275092;NUM_PEN;8.0;A;_Z;_Z;_Z
2011;2292;5691;NUM_PEN;7.0;A;_Z;_Z;_Z
2011;2292;5692;NUM_PEN;69.0;A;_Z;_Z;_Z
2011;2292;5693;NUM_PEN;38.0;A;_Z;_Z;_Z
2011;2293;5691;NUM_PEN;164.0;A;_Z;_Z;_Z
2011;2293;5692;NUM_PEN;522.0;A;_Z;_Z;_Z
2011;2293;5693;NUM_PEN;324.0;A;_Z;_Z;_Z
2011;2293;275092;NUM_PEN;102.0;A;_Z;_Z;_Z
2011;2294;5691;NUM_PEN;227.0;A;_Z;_Z;_Z
2011;2294;5692;NUM_PEN;1767.0;A;_Z;_Z;_Z
2011;2294;5693;NUM_PEN;827.0;A;_Z;_Z;_Z
2011;2294;275092;NUM_PEN;103.0;A;_Z;_Z;_Z
2011;2295;5691;NUM_PEN;12.0;A;_Z;_Z;_Z
2011;2295;5692;NUM_PEN;64.0;A;_Z;_Z;_Z
2011;2295;5693;NUM_PEN;30.0;A;_Z;_Z;_Z
2011;2295;275092;NUM_PEN;11.0;A;_Z;_Z;_Z
2011;2296;5691;NUM_PEN;12.0;A;_Z;_Z;_Z
2011;2296;5692;NUM_PEN;79.0;A;_Z;_Z;_Z
2011;2296;5693;NUM_PEN;61.0;A;_Z;_Z;_Z
2011;2297;5692;NUM_PEN;26.0;A;_Z;_Z;_Z
2011;2297;5693;NUM_PEN;10.0;A;_Z;_Z;_Z
2011;2298;5691;NUM_PEN;18.0;A;_Z;_Z;_Z
2011;2298;5692;NUM_PEN;206.0;A;_Z;_Z;_Z
2011;2298;5693;NUM_PEN;110.0;A;_Z;_Z;_Z
2011;2298;275092;NUM_PEN;15.0;A;_Z;_Z;_Z
2011;2299;5691;NUM_PEN;10.0;A;_Z;_Z;_Z
2011;2299;5692;NUM_PEN;84.0;A;_Z;_Z;_Z
2011;2299;5693;NUM_PEN;34.0;A;_Z;_Z;_Z
2011;2300;5691;NUM_PEN;35.0;A;_Z;_Z;_Z
2011;2300;5692;NUM_PEN;395.0;A;_Z;_Z;_Z
2011;2300;5693;NUM_PEN;142.0;A;_Z;_Z;_Z
2011;2300;275092;NUM_PEN;20.0;A;_Z;_Z;_Z
2011;2301;5691;NUM_PEN;8.0;A;_Z;_Z;_Z
2011;2301;5692;NUM_PEN;121.0;A;_Z;_Z;_Z
2011;2301;5693;NUM_PEN;38.0;A;_Z;_Z;_Z
2011;2302;5691;NUM_PEN;24.0;A;_Z;_Z;_Z
2011;2302;5692;NUM_PEN;127.0;A;_Z;_Z;_Z
2011;2302;5693;NUM_PEN;50.0;A;_Z;_Z;_Z
2011;2302;275092;NUM_PEN;5.0;A;_Z;_Z;_Z
2011;2303;5691;NUM_PEN;109.0;A;_Z;_Z;_Z
2011;2303;5692;NUM_PEN;497.0;A;_Z;_Z;_Z
2011;2303;5693;NUM_PEN;268.0;A;_Z;_Z;_Z
2011;2303;275092;NUM_PEN;38.0;A;_Z;_Z;_Z
2011;2304;5691;NUM_PEN;14.0;A;_Z;_Z;_Z
2011;2304;5692;NUM_PEN;328.0;A;_Z;_Z;_Z
2011;2304;5693;NUM_PEN;118.0;A;_Z;_Z;_Z
2011;2304;275092;NUM_PEN;14.0;A;_Z;_Z;_Z
2011;2305;5691;NUM_PEN;46.0;A;_Z;_Z;_Z
2011;2305;5692;NUM_PEN;373.0;A;_Z;_Z;_Z
2011;2305;5693;NUM_PEN;112.0;A;_Z;_Z;_Z
2011;2305;275092;NUM_PEN;23.0;A;_Z;_Z;_Z
