TIME_PERIOD;REF_AREA;D_SEXO_0;D_PCSSA_JUBVIUDEDAD_0;INDICATOR;OBS_VALUE;FREQ;D_CLASEDEPENSION_0;D_EDAD_0
2011;2294;_T;212544;NUM_PEN_PERS;1472.0;A;_Z;_Z
2011;2294;M;212544;NUM_PEN_PERS;1059.0;A;_Z;_Z
2011;2294;F;212544;NUM_PEN_PERS;413.0;A;_Z;_Z
2011;2295;_T;212544;NUM_PEN_PERS;59.0;A;_Z;_Z
2011;2295;M;212544;NUM_PEN_PERS;43.0;A;_Z;_Z
2011;2295;F;212544;NUM_PEN_PERS;16.0;A;_Z;_Z
2011;2296;_T;212544;NUM_PEN_PERS;64.0;A;_Z;_Z
2011;2296;M;212544;NUM_PEN_PERS;50.0;A;_Z;_Z
2011;2296;F;212544;NUM_PEN_PERS;14.0;A;_Z;_Z
2011;2297;_T;212544;NUM_PEN_PERS;24.0;A;_Z;_Z
2011;2297;M;212544;NUM_PEN_PERS;18.0;A;_Z;_Z
2011;2297;F;212544;NUM_PEN_PERS;6.0;A;_Z;_Z
2011;2298;_T;212544;NUM_PEN_PERS;184.0;A;_Z;_Z
2011;2298;M;212544;NUM_PEN_PERS;145.0;A;_Z;_Z
2011;2298;F;212544;NUM_PEN_PERS;39.0;A;_Z;_Z
2011;2299;_T;212544;NUM_PEN_PERS;73.0;A;_Z;_Z
2011;2299;M;212544;NUM_PEN_PERS;58.0;A;_Z;_Z
2011;2299;F;212544;NUM_PEN_PERS;15.0;A;_Z;_Z
2011;2300;_T;212544;NUM_PEN_PERS;303.0;A;_Z;_Z
2011;2300;M;212544;NUM_PEN_PERS;193.0;A;_Z;_Z
2011;2300;F;212544;NUM_PEN_PERS;110.0;A;_Z;_Z
2011;2301;_T;212544;NUM_PEN_PERS;96.0;A;_Z;_Z
2011;2301;M;212544;NUM_PEN_PERS;73.0;A;_Z;_Z
2011;2301;F;212544;NUM_PEN_PERS;23.0;A;_Z;_Z
2011;2302;_T;212544;NUM_PEN_PERS;99.0;A;_Z;_Z
2011;2302;M;212544;NUM_PEN_PERS;70.0;A;_Z;_Z
2011;2302;F;212544;NUM_PEN_PERS;29.0;A;_Z;_Z
2011;2303;_T;212544;NUM_PEN_PERS;467.0;A;_Z;_Z
2011;2303;M;212544;NUM_PEN_PERS;424.0;A;_Z;_Z
2011;2303;F;212544;NUM_PEN_PERS;43.0;A;_Z;_Z
2011;2304;_T;212544;NUM_PEN_PERS;250.0;A;_Z;_Z
2011;2304;M;212544;NUM_PEN_PERS;163.0;A;_Z;_Z
2011;2304;F;212544;NUM_PEN_PERS;87.0;A;_Z;_Z
2011;2305;_T;212544;NUM_PEN_PERS;317.0;A;_Z;_Z
2011;2305;M;212544;NUM_PEN_PERS;215.0;A;_Z;_Z
2011;2305;F;212544;NUM_PEN_PERS;102.0;A;_Z;_Z
2011;2348;_T;212544;NUM_PEN_PERS;367.0;A;_Z;_Z
2011;2348;M;212544;NUM_PEN_PERS;258.0;A;_Z;_Z
2011;2348;F;212544;NUM_PEN_PERS;109.0;A;_Z;_Z
2011;2306;_T;212544;NUM_PEN_PERS;90.0;A;_Z;_Z
2011;2306;M;212544;NUM_PEN_PERS;60.0;A;_Z;_Z
2011;2306;F;212544;NUM_PEN_PERS;30.0;A;_Z;_Z
2011;2307;_T;212544;NUM_PEN_PERS;1333.0;A;_Z;_Z
2011;2307;M;212544;NUM_PEN_PERS;1010.0;A;_Z;_Z
2011;2307;F;212544;NUM_PEN_PERS;323.0;A;_Z;_Z
2011;2308;_T;212544;NUM_PEN_PERS;104.0;A;_Z;_Z
2011;2308;M;212544;NUM_PEN_PERS;74.0;A;_Z;_Z
2011;2308;F;212544;NUM_PEN_PERS;30.0;A;_Z;_Z
2011;2309;_T;212544;NUM_PEN_PERS;44.0;A;_Z;_Z
2011;2309;M;212544;NUM_PEN_PERS;26.0;A;_Z;_Z
2011;2309;F;212544;NUM_PEN_PERS;18.0;A;_Z;_Z
2011;2310;_T;212544;NUM_PEN_PERS;478.0;A;_Z;_Z
2011;2310;M;212544;NUM_PEN_PERS;405.0;A;_Z;_Z
2011;2310;F;212544;NUM_PEN_PERS;73.0;A;_Z;_Z
2011;2311;_T;212544;NUM_PEN_PERS;290.0;A;_Z;_Z
2011;2311;M;212544;NUM_PEN_PERS;230.0;A;_Z;_Z
2011;2311;F;212544;NUM_PEN_PERS;59.0;A;_Z;_Z
2011;2312;_T;212544;NUM_PEN_PERS;100.0;A;_Z;_Z
2011;2312;M;212544;NUM_PEN_PERS;67.0;A;_Z;_Z
2011;2312;F;212544;NUM_PEN_PERS;33.0;A;_Z;_Z
2011;2313;_T;212544;NUM_PEN_PERS;84.0;A;_Z;_Z
2011;2313;M;212544;NUM_PEN_PERS;47.0;A;_Z;_Z
2011;2313;F;212544;NUM_PEN_PERS;37.0;A;_Z;_Z
2011;2314;_T;212544;NUM_PEN_PERS;83.0;A;_Z;_Z
2011;2314;M;212544;NUM_PEN_PERS;64.0;A;_Z;_Z
2011;2314;F;212544;NUM_PEN_PERS;19.0;A;_Z;_Z
2011;2315;_T;212544;NUM_PEN_PERS;250.0;A;_Z;_Z
2011;2315;M;212544;NUM_PEN_PERS;184.0;A;_Z;_Z
2011;2315;F;212544;NUM_PEN_PERS;66.0;A;_Z;_Z
2011;2316;_T;212544;NUM_PEN_PERS;403.0;A;_Z;_Z
2011;2316;M;212544;NUM_PEN_PERS;304.0;A;_Z;_Z
2011;2316;F;212544;NUM_PEN_PERS;99.0;A;_Z;_Z
2011;2317;_T;212544;NUM_PEN_PERS;164.0;A;_Z;_Z
2011;2317;M;212544;NUM_PEN_PERS;129.0;A;_Z;_Z
2011;2317;F;212544;NUM_PEN_PERS;35.0;A;_Z;_Z
2011;2318;_T;212544;NUM_PEN_PERS;68.0;A;_Z;_Z
2011;2318;M;212544;NUM_PEN_PERS;52.0;A;_Z;_Z
2011;2318;F;212544;NUM_PEN_PERS;16.0;A;_Z;_Z
2011;2319;_T;212544;NUM_PEN_PERS;108.0;A;_Z;_Z
2011;2319;M;212544;NUM_PEN_PERS;78.0;A;_Z;_Z
2011;2319;F;212544;NUM_PEN_PERS;30.0;A;_Z;_Z
2011;2320;_T;212544;NUM_PEN_PERS;3025.0;A;_Z;_Z
2011;2320;M;212544;NUM_PEN_PERS;2255.0;A;_Z;_Z
2011;2320;F;212544;NUM_PEN_PERS;770.0;A;_Z;_Z
2011;2321;_T;212544;NUM_PEN_PERS;40.0;A;_Z;_Z
2011;2321;M;212544;NUM_PEN_PERS;30.0;A;_Z;_Z
2011;2321;F;212544;NUM_PEN_PERS;10.0;A;_Z;_Z
2011;2322;_T;212544;NUM_PEN_PERS;63.0;A;_Z;_Z
2011;2322;M;212544;NUM_PEN_PERS;44.0;A;_Z;_Z
2011;2322;F;212544;NUM_PEN_PERS;19.0;A;_Z;_Z
2011;2323;_T;212544;NUM_PEN_PERS;52.0;A;_Z;_Z
2011;2323;M;212544;NUM_PEN_PERS;34.0;A;_Z;_Z
2011;2323;F;212544;NUM_PEN_PERS;18.0;A;_Z;_Z
2011;2324;_T;212544;NUM_PEN_PERS;319.0;A;_Z;_Z
2011;2324;M;212544;NUM_PEN_PERS;251.0;A;_Z;_Z
2011;2324;F;212544;NUM_PEN_PERS;68.0;A;_Z;_Z
2011;2325;_T;212544;NUM_PEN_PERS;50.0;A;_Z;_Z
2011;2325;M;212544;NUM_PEN_PERS;41.0;A;_Z;_Z
2011;2325;F;212544;NUM_PEN_PERS;9.0;A;_Z;_Z
2011;2326;_T;212544;NUM_PEN_PERS;47.0;A;_Z;_Z
2011;2326;M;212544;NUM_PEN_PERS;37.0;A;_Z;_Z
2011;2326;F;212544;NUM_PEN_PERS;10.0;A;_Z;_Z
2011;2327;_T;212544;NUM_PEN_PERS;360.0;A;_Z;_Z
2011;2327;M;212544;NUM_PEN_PERS;245.0;A;_Z;_Z
2011;2327;F;212544;NUM_PEN_PERS;115.0;A;_Z;_Z
2011;2328;_T;212544;NUM_PEN_PERS;26.0;A;_Z;_Z
2011;2328;M;212544;NUM_PEN_PERS;24.0;A;_Z;_Z
2011;2329;_T;212544;NUM_PEN_PERS;371.0;A;_Z;_Z
2011;2329;M;212544;NUM_PEN_PERS;225.0;A;_Z;_Z
2011;2329;F;212544;NUM_PEN_PERS;146.0;A;_Z;_Z
2011;2330;_T;212544;NUM_PEN_PERS;134.0;A;_Z;_Z
2011;2330;M;212544;NUM_PEN_PERS;95.0;A;_Z;_Z
2011;2330;F;212544;NUM_PEN_PERS;39.0;A;_Z;_Z
2011;2331;_T;212544;NUM_PEN_PERS;68.0;A;_Z;_Z
2011;2331;M;212544;NUM_PEN_PERS;46.0;A;_Z;_Z
2011;2331;F;212544;NUM_PEN_PERS;22.0;A;_Z;_Z
2011;2332;_T;212544;NUM_PEN_PERS;70.0;A;_Z;_Z
2011;2332;M;212544;NUM_PEN_PERS;47.0;A;_Z;_Z
2011;2332;F;212544;NUM_PEN_PERS;23.0;A;_Z;_Z
2011;2333;_T;212544;NUM_PEN_PERS;372.0;A;_Z;_Z
2011;2333;M;212544;NUM_PEN_PERS;263.0;A;_Z;_Z
2011;2333;F;212544;NUM_PEN_PERS;109.0;A;_Z;_Z
2011;2346;_T;212544;NUM_PEN_PERS;102.0;A;_Z;_Z
2011;2346;M;212544;NUM_PEN_PERS;68.0;A;_Z;_Z
2011;2346;F;212544;NUM_PEN_PERS;34.0;A;_Z;_Z
2011;2334;_T;212544;NUM_PEN_PERS;249.0;A;_Z;_Z
2011;2334;M;212544;NUM_PEN_PERS;165.0;A;_Z;_Z
2011;2334;F;212544;NUM_PEN_PERS;84.0;A;_Z;_Z
2011;2335;_T;212544;NUM_PEN_PERS;34.0;A;_Z;_Z
2011;2335;M;212544;NUM_PEN_PERS;29.0;A;_Z;_Z
2011;2335;F;212544;NUM_PEN_PERS;5.0;A;_Z;_Z
2011;2336;_T;212544;NUM_PEN_PERS;123.0;A;_Z;_Z
2011;2336;M;212544;NUM_PEN_PERS;83.0;A;_Z;_Z
2011;2336;F;212544;NUM_PEN_PERS;40.0;A;_Z;_Z
2011;2337;_T;212544;NUM_PEN_PERS;51.0;A;_Z;_Z
2011;2337;M;212544;NUM_PEN_PERS;31.0;A;_Z;_Z
2011;2337;F;212544;NUM_PEN_PERS;20.0;A;_Z;_Z
2011;2338;_T;212544;NUM_PEN_PERS;74.0;A;_Z;_Z
2011;2338;M;212544;NUM_PEN_PERS;44.0;A;_Z;_Z
2011;2338;F;212544;NUM_PEN_PERS;30.0;A;_Z;_Z
2011;2339;_T;212544;NUM_PEN_PERS;276.0;A;_Z;_Z
2011;2339;M;212544;NUM_PEN_PERS;208.0;A;_Z;_Z
2011;2339;F;212544;NUM_PEN_PERS;68.0;A;_Z;_Z
2011;2340;_T;212544;NUM_PEN_PERS;781.0;A;_Z;_Z
2011;2340;M;212544;NUM_PEN_PERS;562.0;A;_Z;_Z
2011;2340;F;212544;NUM_PEN_PERS;219.0;A;_Z;_Z
2011;2341;_T;212544;NUM_PEN_PERS;620.0;A;_Z;_Z
2011;2341;M;212544;NUM_PEN_PERS;435.0;A;_Z;_Z
2011;2341;F;212544;NUM_PEN_PERS;185.0;A;_Z;_Z
2011;2342;_T;212544;NUM_PEN_PERS;264.0;A;_Z;_Z
2011;2342;M;212544;NUM_PEN_PERS;211.0;A;_Z;_Z
2011;2342;F;212544;NUM_PEN_PERS;53.0;A;_Z;_Z
2011;2343;_T;212544;NUM_PEN_PERS;946.0;A;_Z;_Z
2011;2343;M;212544;NUM_PEN_PERS;678.0;A;_Z;_Z
2011;2343;F;212544;NUM_PEN_PERS;268.0;A;_Z;_Z
2011;2344;_T;212544;NUM_PEN_PERS;240.0;A;_Z;_Z
2011;2344;M;212544;NUM_PEN_PERS;168.0;A;_Z;_Z
2011;2344;F;212544;NUM_PEN_PERS;72.0;A;_Z;_Z
