ESTADO_DATO;TERRITORIO;TEMPORAL;INDICATOR;OBS_VALUE;FREQ;RESITUR;PARQUES_TURISMO;PUNTOS_TURISTICOS
A;ES612;2017;PERS_MEDI_REMU;82.245053499;A;_Z;_Z;_Z
A;ES612;2016;PERS_MEDI_REMU;54.822203157000004;A;_Z;_Z;_Z
A;ES612;2015;PERS_MEDI_REMU;109.992273286;A;_Z;_Z;_Z
A;ES612;2014;PERS_MEDI_REMU;118.843326934;A;_Z;_Z;_Z
A;ES612;2013;PERS_MEDI_REMU;89.300934464;A;_Z;_Z;_Z
A;ES613;2020;PERS_MEDI_REMU;39.348757401;A;_Z;_Z;_Z
A;ES613;2019;PERS_MEDI_REMU;79.483399189;A;_Z;_Z;_Z
A;ES613;2018;PERS_MEDI_REMU;86.2222621;A;_Z;_Z;_Z
A;ES613;2017;PERS_MEDI_REMU;31.136491892000002;A;_Z;_Z;_Z
A;ES613;2016;PERS_MEDI_REMU;45.053631257;A;_Z;_Z;_Z
A;ES613;2015;PERS_MEDI_REMU;36.855241338;A;_Z;_Z;_Z
A;ES613;2014;PERS_MEDI_REMU;52.673705174;A;_Z;_Z;_Z
A;ES613;2013;PERS_MEDI_REMU;62.155934179;A;_Z;_Z;_Z
A;ES614;2020;PERS_MEDI_REMU;28.003930865;A;_Z;_Z;_Z
A;ES614;2019;PERS_MEDI_REMU;38.751558323;A;_Z;_Z;_Z
A;ES614;2018;PERS_MEDI_REMU;37.882300031;A;_Z;_Z;_Z
A;ES614;2017;PERS_MEDI_REMU;49.666563401000005;A;_Z;_Z;_Z
A;ES614;2016;PERS_MEDI_REMU;40.693676835;A;_Z;_Z;_Z
A;ES614;2015;PERS_MEDI_REMU;29.81839203;A;_Z;_Z;_Z
A;ES614;2014;PERS_MEDI_REMU;26.443481159;A;_Z;_Z;_Z
A;ES614;2013;PERS_MEDI_REMU;47.514369302999995;A;_Z;_Z;_Z
A;ES615;2020;PERS_MEDI_REMU;78.572065368;A;_Z;_Z;_Z
A;ES615;2019;PERS_MEDI_REMU;175.636827838;A;_Z;_Z;_Z
A;ES615;2018;PERS_MEDI_REMU;155.833048871;A;_Z;_Z;_Z
A;ES615;2017;PERS_MEDI_REMU;136.611011003;A;_Z;_Z;_Z
A;ES615;2016;PERS_MEDI_REMU;143.002950755;A;_Z;_Z;_Z
A;ES615;2015;PERS_MEDI_REMU;170.983822057;A;_Z;_Z;_Z
A;ES615;2014;PERS_MEDI_REMU;201.273195574;A;_Z;_Z;_Z
A;ES615;2013;PERS_MEDI_REMU;140.510145536;A;_Z;_Z;_Z
A;ES616;2020;PERS_MEDI_REMU;34.229544478;A;_Z;_Z;_Z
A;ES616;2019;PERS_MEDI_REMU;44.223879069;A;_Z;_Z;_Z
A;ES616;2018;PERS_MEDI_REMU;31.599201377;A;_Z;_Z;_Z
A;ES616;2017;PERS_MEDI_REMU;42.05608481;A;_Z;_Z;_Z
A;ES616;2016;PERS_MEDI_REMU;39.32588967;A;_Z;_Z;_Z
