TEMPORAL;TERRITORIO;VARIABLE;MONSALARIO;SEXO;EDAD;INDICATOR;OBS_VALUE;FREQ
2017;ES617;281605;281486;_T;TOTAL;ASAL_PER;999800.0;A
2017;ES617;281605;281486;M;TOTAL;ASAL_PER;257700.0;A
2017;ES617;281605;281486;F;TOTAL;ASAL_PER;242200.0;A
2017;ES617;281602;281485;_T;TOTAL;ASAL_PER;1651450.0;A
2017;ES617;281602;281485;M;TOTAL;ASAL_PER;432125.0;A
2017;ES617;281602;281485;F;TOTAL;ASAL_PER;393600.0;A
2017;ES617;281602;281486;_T;TOTAL;ASAL_PER;1651450.0;A
2017;ES617;281602;281486;M;TOTAL;ASAL_PER;432125.0;A
2017;ES617;281602;281486;F;TOTAL;ASAL_PER;393600.0;A
2017;ES618;281603;281485;_T;TOTAL;ASAL_PER;703050.0;A
2017;ES618;281603;281485;M;TOTAL;ASAL_PER;192950.0;A
2017;ES618;281603;281485;F;TOTAL;ASAL_PER;158575.0;A
2017;ES618;281603;281486;_T;TOTAL;ASAL_PER;703050.0;A
2017;ES618;281603;281486;M;TOTAL;ASAL_PER;192950.0;A
2017;ES618;281603;281486;F;TOTAL;ASAL_PER;158575.0;A
2017;ES618;281604;281485;_T;TOTAL;ASAL_PER;144700.0;A
2017;ES618;281604;281485;M;TOTAL;ASAL_PER;39400.0;A
2017;ES618;281604;281485;F;TOTAL;ASAL_PER;32950.0;A
2017;ES618;281604;281486;_T;TOTAL;ASAL_PER;144700.0;A
2017;ES618;281604;281486;M;TOTAL;ASAL_PER;39400.0;A
2017;ES618;281604;281486;F;TOTAL;ASAL_PER;32950.0;A
2017;ES618;281605;281485;_T;TOTAL;ASAL_PER;1140500.0;A
2017;ES618;281605;281485;M;TOTAL;ASAL_PER;299600.0;A
2017;ES618;281605;281485;F;TOTAL;ASAL_PER;270650.0;A
2017;ES618;281605;281486;_T;TOTAL;ASAL_PER;1140500.0;A
2017;ES618;281605;281486;M;TOTAL;ASAL_PER;299600.0;A
2017;ES618;281605;281486;F;TOTAL;ASAL_PER;270650.0;A
2017;ES618;281602;281485;_T;TOTAL;ASAL_PER;1988250.0;A
2017;ES618;281602;281485;M;TOTAL;ASAL_PER;531950.0;A
2017;ES618;281602;281485;F;TOTAL;ASAL_PER;462175.0;A
2017;ES618;281602;281486;_T;TOTAL;ASAL_PER;1988250.0;A
2017;ES618;281602;281486;M;TOTAL;ASAL_PER;531950.0;A
2017;ES618;281602;281486;F;TOTAL;ASAL_PER;462175.0;A
2017;ES61;281603;281485;_T;TOTAL;ASAL_PER;3014400.0;A
2017;ES61;281603;281485;M;TOTAL;ASAL_PER;826975.0;A
2017;ES61;281603;281485;F;TOTAL;ASAL_PER;680225.0;A
2017;ES61;281603;281486;_T;TOTAL;ASAL_PER;3014400.0;A
2017;ES61;281603;281486;M;TOTAL;ASAL_PER;826975.0;A
2017;ES61;281603;281486;F;TOTAL;ASAL_PER;680225.0;A
2017;ES61;281604;281485;_T;TOTAL;ASAL_PER;1057550.0;A
2017;ES61;281604;281485;M;TOTAL;ASAL_PER;286750.0;A
2017;ES61;281604;281485;F;TOTAL;ASAL_PER;242025.0;A
2017;ES61;281604;281486;_T;TOTAL;ASAL_PER;1057550.0;A
2017;ES61;281604;281486;M;TOTAL;ASAL_PER;286750.0;A
2017;ES61;281604;281486;F;TOTAL;ASAL_PER;242025.0;A
2017;ES61;281605;281485;_T;TOTAL;ASAL_PER;2072050.0;A
2017;ES61;281605;281485;M;TOTAL;ASAL_PER;540700.0;A
2017;ES61;281605;281485;F;TOTAL;ASAL_PER;495325.0;A
2017;ES61;281605;281486;_T;TOTAL;ASAL_PER;2072050.0;A
2017;ES61;281605;281486;M;TOTAL;ASAL_PER;540700.0;A
2017;ES61;281605;281486;F;TOTAL;ASAL_PER;495325.0;A
2017;ES61;281602;281485;_T;TOTAL;ASAL_PER;6144000.0;A
2017;ES61;281602;281485;M;TOTAL;ASAL_PER;1654425.0;A
2017;ES61;281602;281485;F;TOTAL;ASAL_PER;1417575.0;A
2017;ES61;281602;281486;_T;TOTAL;ASAL_PER;6144000.0;A
2017;ES61;281602;281486;M;TOTAL;ASAL_PER;1654425.0;A
2017;ES61;281602;281486;F;TOTAL;ASAL_PER;1417575.0;A
2018;ES611;281603;281485;_T;TOTAL;ASAL_PER;258450.0;A
2018;ES611;281603;281485;M;TOTAL;ASAL_PER;72750.0;A
2018;ES611;281603;281485;F;TOTAL;ASAL_PER;56475.0;A
2018;ES611;281603;281486;_T;TOTAL;ASAL_PER;258450.0;A
2018;ES611;281603;281486;M;TOTAL;ASAL_PER;72750.0;A
2018;ES611;281603;281486;F;TOTAL;ASAL_PER;56475.0;A
2018;ES611;281604;281485;_T;TOTAL;ASAL_PER;152950.0;A
2018;ES611;281604;281485;M;TOTAL;ASAL_PER;42575.0;A
2018;ES611;281604;281485;F;TOTAL;ASAL_PER;33900.0;A
2018;ES611;281604;281486;_T;TOTAL;ASAL_PER;152950.0;A
2018;ES611;281604;281486;M;TOTAL;ASAL_PER;42575.0;A
2018;ES611;281604;281486;F;TOTAL;ASAL_PER;33900.0;A
2018;ES611;281605;281485;_T;TOTAL;ASAL_PER;288700.0;A
2018;ES611;281605;281485;M;TOTAL;ASAL_PER;74000.0;A
2018;ES611;281605;281485;F;TOTAL;ASAL_PER;70350.0;A
2018;ES611;281605;281486;_T;TOTAL;ASAL_PER;288700.0;A
2018;ES611;281605;281486;M;TOTAL;ASAL_PER;74000.0;A
2018;ES611;281605;281486;F;TOTAL;ASAL_PER;70350.0;A
2018;ES611;281602;281485;_T;TOTAL;ASAL_PER;700100.0;A
2018;ES611;281602;281485;M;TOTAL;ASAL_PER;189325.0;A
