TEMPORAL;TERRITORIO;VARIABLE;SEXO;MONSALARIO;EDAD;INDICATOR;OBS_VALUE;FREQ
2018;ES618;281592;M;281486;TOTAL;ASAL_PER;545325.0;A
2018;ES618;281592;F;281485;TOTAL;ASAL_PER;476800.0;A
2018;ES618;281592;F;281486;TOTAL;ASAL_PER;476800.0;A
2018;ES61;281593;_T;281485;TOTAL;ASAL_PER;5744350.0;A
2018;ES61;281593;_T;281486;TOTAL;ASAL_PER;5744350.0;A
2018;ES61;281593;M;281485;TOTAL;ASAL_PER;1536950.0;A
2018;ES61;281593;M;281486;TOTAL;ASAL_PER;1536950.0;A
2018;ES61;281593;F;281485;TOTAL;ASAL_PER;1335225.0;A
2018;ES61;281593;F;281486;TOTAL;ASAL_PER;1335225.0;A
2018;ES61;281594;_T;281485;TOTAL;ASAL_PER;578750.0;A
2018;ES61;281594;_T;281486;TOTAL;ASAL_PER;578750.0;A
2018;ES61;281594;M;281485;TOTAL;ASAL_PER;157450.0;A
2018;ES61;281594;M;281486;TOTAL;ASAL_PER;157450.0;A
2018;ES61;281594;F;281485;TOTAL;ASAL_PER;131925.0;A
2018;ES61;281594;F;281486;TOTAL;ASAL_PER;131925.0;A
2018;ES61;281592;_T;281485;TOTAL;ASAL_PER;6323100.0;A
2018;ES61;281592;_T;281486;TOTAL;ASAL_PER;6323100.0;A
2018;ES61;281592;M;281485;TOTAL;ASAL_PER;1694400.0;A
2018;ES61;281592;M;281486;TOTAL;ASAL_PER;1694400.0;A
2018;ES61;281592;F;281485;TOTAL;ASAL_PER;1467150.0;A
2018;ES61;281592;F;281486;TOTAL;ASAL_PER;1467150.0;A
2019;ES611;281593;_T;281485;TOTAL;ASAL_PER;553900.0;A
2019;ES611;281593;_T;281486;TOTAL;ASAL_PER;553900.0;A
2019;ES611;281593;M;281485;TOTAL;ASAL_PER;139675.0;A
2019;ES611;281593;M;281486;TOTAL;ASAL_PER;139675.0;A
2019;ES611;281593;F;281485;TOTAL;ASAL_PER;137275.0;A
2019;ES611;281593;F;281486;TOTAL;ASAL_PER;137275.0;A
2019;ES611;281594;_T;281485;TOTAL;ASAL_PER;170200.0;A
2019;ES611;281594;_T;281486;TOTAL;ASAL_PER;170200.0;A
2019;ES611;281594;M;281485;TOTAL;ASAL_PER;55675.0;A
2019;ES611;281594;M;281486;TOTAL;ASAL_PER;55675.0;A
2019;ES611;281594;F;281485;TOTAL;ASAL_PER;29425.0;A
2019;ES611;281594;F;281486;TOTAL;ASAL_PER;29425.0;A
2019;ES611;281592;_T;281485;TOTAL;ASAL_PER;724100.0;A
2019;ES611;281592;_T;281486;TOTAL;ASAL_PER;724100.0;A
2019;ES611;281592;M;281485;TOTAL;ASAL_PER;195350.0;A
2019;ES611;281592;M;281486;TOTAL;ASAL_PER;195350.0;A
2019;ES611;281592;F;281485;TOTAL;ASAL_PER;166700.0;A
2019;ES611;281592;F;281486;TOTAL;ASAL_PER;166700.0;A
2019;ES612;281593;_T;281485;TOTAL;ASAL_PER;1152650.0;A
2019;ES612;281593;_T;281486;TOTAL;ASAL_PER;1152650.0;A
2019;ES612;281593;M;281485;TOTAL;ASAL_PER;314600.0;A
2019;ES612;281593;M;281486;TOTAL;ASAL_PER;314600.0;A
2019;ES612;281593;F;281485;TOTAL;ASAL_PER;261725.0;A
2019;ES612;281593;F;281486;TOTAL;ASAL_PER;261725.0;A
2019;ES612;281594;_T;281485;TOTAL;ASAL_PER;36800.0;A
2019;ES612;281594;_T;281486;TOTAL;ASAL_PER;36800.0;A
2019;ES612;281594;M;281485;TOTAL;ASAL_PER;10650.0;A
2019;ES612;281594;M;281486;TOTAL;ASAL_PER;10650.0;A
2019;ES612;281594;F;281485;TOTAL;ASAL_PER;7750.0;A
2019;ES612;281594;F;281486;TOTAL;ASAL_PER;7750.0;A
2019;ES612;281592;_T;281485;TOTAL;ASAL_PER;1189450.0;A
2019;ES612;281592;_T;281486;TOTAL;ASAL_PER;1189450.0;A
2019;ES612;281592;M;281485;TOTAL;ASAL_PER;325250.0;A
2019;ES612;281592;M;281486;TOTAL;ASAL_PER;325250.0;A
2019;ES612;281592;F;281485;TOTAL;ASAL_PER;269475.0;A
2019;ES612;281592;F;281486;TOTAL;ASAL_PER;269475.0;A
2019;ES613;281593;_T;281485;TOTAL;ASAL_PER;807500.0;A
2019;ES613;281593;_T;281486;TOTAL;ASAL_PER;807500.0;A
2019;ES613;281593;M;281485;TOTAL;ASAL_PER;213850.0;A
2019;ES613;281593;M;281486;TOTAL;ASAL_PER;213850.0;A
2019;ES613;281593;F;281485;TOTAL;ASAL_PER;189900.0;A
2019;ES613;281593;F;281486;TOTAL;ASAL_PER;189900.0;A
2019;ES613;281594;_T;281485;TOTAL;ASAL_PER;33150.0;A
2019;ES613;281594;_T;281486;TOTAL;ASAL_PER;33150.0;A
2019;ES613;281594;M;281485;TOTAL;ASAL_PER;9700.0;A
2019;ES613;281594;M;281486;TOTAL;ASAL_PER;9700.0;A
2019;ES613;281594;F;281485;TOTAL;ASAL_PER;6875.0;A
2019;ES613;281594;F;281486;TOTAL;ASAL_PER;6875.0;A
2019;ES613;281592;_T;281485;TOTAL;ASAL_PER;840650.0;A
2019;ES613;281592;_T;281486;TOTAL;ASAL_PER;840650.0;A
2019;ES613;281592;M;281485;TOTAL;ASAL_PER;223550.0;A
2019;ES613;281592;M;281486;TOTAL;ASAL_PER;223550.0;A
2019;ES613;281592;F;281485;TOTAL;ASAL_PER;196775.0;A
2019;ES613;281592;F;281486;TOTAL;ASAL_PER;196775.0;A
