TIME_PERIOD;REF_AREA;OBS_STATUS;D_ORDEN_0;INDICATOR;OBS_VALUE;FREQ
1983;ES613;A;62351;;25.72565387;A
1983;ES614;A;62351;;25.613666006;A
1983;ES615;A;62351;;24.783996341;A
1983;ES616;A;62351;;25.197632564;A
1983;ES617;A;62351;;24.972542633;A
1983;ES618;A;62351;;24.852837087;A
1983;ES61;A;62351;;24.989629685;A
1983;ES;A;62351;;25.522;A
1982;ES611;A;62351;;23.953647615;A
1982;ES612;A;62351;;24.44237723;A
1982;ES613;A;62351;;25.321824283;A
1982;ES614;A;62351;;25.506630131;A
1982;ES615;A;62351;;25.002116427;A
1982;ES616;A;62351;;25.152509639;A
1982;ES617;A;62351;;24.918234041;A
1982;ES618;A;62351;;24.970652951;A
1982;ES61;A;62351;;24.946409415;A
1982;ES;A;62351;;25.425601;A
1981;ES611;A;62351;;23.860064818;A
1981;ES612;A;62351;;24.427844601;A
1981;ES613;A;62351;;25.172818836;A
1981;ES614;A;62351;;25.247788391;A
1981;ES615;A;62351;;24.658512163;A
1981;ES616;A;62351;;25.173860717;A
1981;ES617;A;62351;;24.684370038;A
1981;ES618;A;62351;;24.959266087;A
1981;ES61;A;62351;;24.825629065;A
1981;ES;A;62351;;25.24503;A
1980;ES611;A;62351;;23.561082403;A
1980;ES612;A;62351;;24.506358247;A
1980;ES613;A;62351;;25.0478195;A
1980;ES614;A;62351;;24.941677192;A
1980;ES615;A;62351;;24.500833729;A
1980;ES616;A;62351;;24.840725889;A
1980;ES617;A;62351;;24.627106961;A
1980;ES618;A;62351;;24.512358632;A
1980;ES61;A;62351;;24.611472416;A
1980;ES;A;62351;;25.056247;A
1979;ES611;A;62351;;23.415122443;A
1979;ES612;A;62351;;24.271382402;A
1979;ES613;A;62351;;24.608768431;A
1979;ES614;A;62351;;24.555493896;A
1979;ES615;A;62351;;24.374477188;A
1979;ES616;A;62351;;24.653054756;A
1979;ES617;A;62351;;24.182362354;A
1979;ES618;A;62351;;24.274822214;A
1979;ES61;A;62351;;24.320837377;A
1979;ES;A;62351;;24.784816;A
1978;ES611;A;62351;;23.261218355;A
1978;ES612;A;62351;;24.221383465;A
1978;ES613;A;62351;;24.778294008;A
1978;ES614;A;62351;;24.470337952;A
1978;ES615;A;62351;;24.596192503;A
1978;ES616;A;62351;;24.76236988;A
1978;ES617;A;62351;;24.361429601;A
1978;ES618;A;62351;;24.392147517;A
1978;ES61;A;62351;;24.397218238;A
1978;ES;A;62351;;24.803919;A
1977;ES611;A;62351;;23.619011827;A
1977;ES612;A;62351;;24.418976614;A
1977;ES613;A;62351;;24.850879903;A
1977;ES614;A;62351;;24.450395829;A
1977;ES615;A;62351;;24.510285203;A
1977;ES616;A;62351;;24.678502855;A
1977;ES617;A;62351;;24.453294792;A
1977;ES618;A;62351;;24.430467709;A
1977;ES61;A;62351;;24.46473887;A
1977;ES;A;62351;;24.849351;A
