TEMPORAL;TERRITORIO;DURACMATRIM;INDICATOR;OBS_VALUE;FREQ
2020;ES614;5141;DIV;23.50063;A
2020;ES614;5142;DIV;3.48404;A
2020;ES614;5143;DIV;2.59639;A
2020;ES614;5144;DIV;16.53255;A
2020;ES614;5145;DIV;13.8696;A
2020;ES614;5146;DIV;6.08043;A
2020;ES614;5147;DIV;11.27321;A
2020;ES614;5149;DIV;6.96808;A
2020;ES614;5150;DIV;13.04851;A
2020;ES614;5151;DIV;12.16086;A
2020;ES614;5152;DIV;5.19278;A
2020;ES614;5153;DIV;6.08043;A
2020;ES614;5154;DIV;6.96808;A
2020;ES614;5156;DIV;2.59639;A
2020;ES615;5215;DIV;832.55851;A
2020;ES615;5126;DIV;29.68635;A
2020;ES615;5137;DIV;9.89545;A
2020;ES615;5148;DIV;34.06235;A
2020;ES615;5159;DIV;43.9578;A
2020;ES615;5170;DIV;41.3322;A
2020;ES615;5181;DIV;32.31195;A
2020;ES615;5192;DIV;38.42426;A
2020;ES615;5203;DIV;29.40401;A
2020;ES615;5214;DIV;19.21213;A
2020;ES615;5116;DIV;33.18715;A
2020;ES615;5117;DIV;27.07484;A
2020;ES615;5118;DIV;29.40401;A
2020;ES615;5119;DIV;34.93755;A
2020;ES615;5120;DIV;20.96253;A
2020;ES615;5121;DIV;29.40401;A
2020;ES615;5122;DIV;26.19964;A
2020;ES615;5123;DIV;30.27921;A
2020;ES615;5124;DIV;28.52881;A
2020;ES615;5125;DIV;13.97502;A
2020;ES615;5127;DIV;31.73318;A
2020;ES615;5128;DIV;17.75816;A
2020;ES615;5129;DIV;25.32444;A
2020;ES615;5130;DIV;13.09982;A
2020;ES615;5131;DIV;6.11231;A
2020;ES615;5132;DIV;12.22462;A
2020;ES615;5133;DIV;8.44148;A
2020;ES615;5134;DIV;6.11231;A
2020;ES615;5135;DIV;19.21213;A
2020;ES615;5136;DIV;12.22462;A
2020;ES615;5138;DIV;15.42899;A
2020;ES615;5139;DIV;16.88296;A
2020;ES615;5140;DIV;8.44148;A
2020;ES615;5141;DIV;2.32917;A
2020;ES615;5142;DIV;17.46173;A
2020;ES615;5143;DIV;4.65834;A
2020;ES615;5144;DIV;4.65834;A
2020;ES615;5145;DIV;4.65834;A
2020;ES615;5146;DIV;16.00776;A
2020;ES615;5147;DIV;2.32917;A
2020;ES615;5149;DIV;13.09982;A
2020;ES615;5150;DIV;7.56628;A
2020;ES615;5151;DIV;2.32917;A
2020;ES615;5152;DIV;3.78314;A
2020;ES615;5153;DIV;6.11231;A
2020;ES615;5165;DIV;2.32917;A
2020;ES616;5215;DIV;886.77634;A
2020;ES616;5114;DIV;12.32101;A
2020;ES616;5126;DIV;30.08766;A
2020;ES616;5137;DIV;35.30201;A
2020;ES616;5148;DIV;33.64099;A
2020;ES616;5159;DIV;21.08869;A
2020;ES616;5170;DIV;25.27279;A
2020;ES616;5181;DIV;44.06969;A
2020;ES616;5192;DIV;20.45792;A
2020;ES616;5203;DIV;37.5938;A
2020;ES616;5214;DIV;15.24357;A
2020;ES616;5116;DIV;27.56458;A
2020;ES616;5117;DIV;15.24357;A
2020;ES616;5118;DIV;24.01125;A
2020;ES616;5119;DIV;29.2256;A
2020;ES616;5120;DIV;26.30304;A
2020;ES616;5121;DIV;24.64202;A
2020;ES616;5122;DIV;20.45792;A
2020;ES616;5123;DIV;40.91584;A
2020;ES616;5124;DIV;32.77893;A
2020;ES616;5125;DIV;21.08869;A
2020;ES616;5127;DIV;26.30304;A
2020;ES616;5128;DIV;26.93381;A
2020;ES616;5129;DIV;11.69024;A
2020;ES616;5130;DIV;21.08869;A
2020;ES616;5131;DIV;15.87434;A
2020;ES616;5132;DIV;12.95178;A
2020;ES616;5133;DIV;30.71843;A
2020;ES616;5134;DIV;23.61177;A
2020;ES616;5135;DIV;37.82509;A
2020;ES616;5136;DIV;21.71946;A
2020;ES616;5138;DIV;19.42767;A
2020;ES616;5139;DIV;16.50511;A
2020;ES616;5140;DIV;3.55333;A
2020;ES616;5141;DIV;3.55333;A
2020;ES616;5142;DIV;10.65999;A
2020;ES616;5143;DIV;10.02922;A
2020;ES616;5144;DIV;12.32101;A
2020;ES616;5145;DIV;10.02922;A
2020;ES616;5146;DIV;16.50511;A
2020;ES616;5149;DIV;2.92256;A
2020;ES616;5150;DIV;2.92256;A
2020;ES616;5153;DIV;2.92256;A
2020;ES616;5155;DIV;3.55333;A
2020;ES616;5157;DIV;2.92256;A
2020;ES616;5158;DIV;2.92256;A
2020;ES617;5215;DIV;3009.31704;A
