TEMPORAL;TERRITORIO;EDAD;EDADC2;INDICATOR;OBS_VALUE;FREQ
2020;ES611;Y50-54;4858;DIV;83.62764;A
2020;ES611;Y50-54;4864;DIV;74.79374;A
2020;ES611;Y50-54;4870;DIV;9.45964;A
2020;ES611;Y50-54;4876;DIV;4.26972;A
2020;ES611;Y55-59;4948;DIV;120.58282;A
2020;ES611;Y55-59;4851;DIV;3.05506;A
2020;ES611;Y55-59;4858;DIV;17.99908;A
2020;ES611;Y55-59;4864;DIV;46.08354;A
2020;ES611;Y55-59;4870;DIV;44.27996;A
2020;ES611;Y55-59;4876;DIV;9.16518;A
2020;ES611;Y60-64;4948;DIV;97.39382;A
2020;ES611;Y60-64;4858;DIV;9.45964;A
2020;ES611;Y60-64;4864;DIV;30.21932;A
2020;ES611;Y60-64;4870;DIV;42.1451;A
2020;ES611;Y60-64;4876;DIV;12.5147;A
2020;ES611;Y60-64;4882;DIV;3.05506;A
2020;ES611;Y65-69;4948;DIV;31.76526;A
2020;ES611;Y65-69;4851;DIV;2.13486;A
2020;ES611;Y65-69;4870;DIV;6.11012;A
2020;ES611;Y65-69;4876;DIV;2.13486;A
2020;ES611;Y65-69;4882;DIV;21.38542;A
2020;ES611;Y70-74;4948;DIV;13.4349;A
2020;ES611;Y70-74;4851;DIV;2.13486;A
2020;ES611;Y70-74;4882;DIV;11.30004;A
2020;ES611;Y65-100;4948;DIV;11.30004;A
2020;ES611;Y65-100;4947;DIV;11.30004;A
2020;ES612;TOTAL;4948;DIV;1956.38358;A
2020;ES612;TOTAL;4826;DIV;6.31632;A
2020;ES612;TOTAL;4832;DIV;65.07374;A
2020;ES612;TOTAL;4839;DIV;180.79498;A
2020;ES612;TOTAL;4845;DIV;257.62405;A
2020;ES612;TOTAL;4851;DIV;416.44834;A
2020;ES612;TOTAL;4858;DIV;412.04256;A
2020;ES612;TOTAL;4864;DIV;280.43307;A
2020;ES612;TOTAL;4870;DIV;175.12209;A
2020;ES612;TOTAL;4876;DIV;59.75167;A
2020;ES612;TOTAL;4882;DIV;66.06799;A
2020;ES612;TOTAL;4888;DIV;25.18732;A
2020;ES612;TOTAL;4947;DIV;11.52145;A
2020;ES612;Y25-29;4948;DIV;45.13053;A
2020;ES612;Y25-29;4826;DIV;4.21088;A
2020;ES612;Y25-29;4832;DIV;22.04865;A
2020;ES612;Y25-29;4839;DIV;12.59366;A
2020;ES612;Y25-29;4845;DIV;6.27734;A
2020;ES612;Y30-34;4948;DIV;96.69432;A
2020;ES612;Y30-34;4826;DIV;2.10544;A
2020;ES612;Y30-34;4832;DIV;17.83777;A
2020;ES612;Y30-34;4839;DIV;56.76892;A
2020;ES612;Y30-34;4845;DIV;15.77131;A
2020;ES612;Y30-34;4851;DIV;4.21088;A
2020;ES612;Y35-39;4948;DIV;241.81376;A
2020;ES612;Y35-39;4832;DIV;9.45499;A
2020;ES612;Y35-39;4839;DIV;86.2061;A
2020;ES612;Y35-39;4845;DIV;100.94418;A
2020;ES612;Y35-39;4851;DIV;40.99761;A
2020;ES612;Y35-39;4858;DIV;2.10544;A
2020;ES612;Y35-39;4864;DIV;2.10544;A
2020;ES612;Y40-44;4948;DIV;343.90811;A
2020;ES612;Y40-44;4832;DIV;7.34955;A
2020;ES612;Y40-44;4839;DIV;12.63264;A
2020;ES612;Y40-44;4845;DIV;98.87772;A
2020;ES612;Y40-44;4851;DIV;160.96871;A
2020;ES612;Y40-44;4858;DIV;50.4526;A
2020;ES612;Y40-44;4864;DIV;7.34955;A
2020;ES612;Y40-44;4870;DIV;6.27734;A
2020;ES612;Y45-49;4948;DIV;399.52686;A
2020;ES612;Y45-49;4839;DIV;8.38278;A
2020;ES612;Y45-49;4845;DIV;26.29851;A
2020;ES612;Y45-49;4851;DIV;134.59224;A
2020;ES612;Y45-49;4858;DIV;197.71646;A
2020;ES612;Y45-49;4864;DIV;25.18732;A
2020;ES612;Y45-49;4870;DIV;5.24411;A
2020;ES612;Y45-49;4888;DIV;2.10544;A
2020;ES612;Y50-54;4948;DIV;367.6724;A
2020;ES612;Y50-54;4832;DIV;5.24411;A
2020;ES612;Y50-54;4839;DIV;2.10544;A
2020;ES612;Y50-54;4845;DIV;3.13867;A
2020;ES612;Y50-54;4851;DIV;57.84113;A
2020;ES612;Y50-54;4858;DIV;126.05354;A
2020;ES612;Y50-54;4864;DIV;129.23119;A
2020;ES612;Y50-54;4870;DIV;35.67554;A
2020;ES612;Y50-54;4876;DIV;3.13867;A
2020;ES612;Y50-54;4882;DIV;5.24411;A
2020;ES612;Y55-59;4948;DIV;208.84811;A
2020;ES612;Y55-59;4845;DIV;2.10544;A
2020;ES612;Y55-59;4851;DIV;17.83777;A
2020;ES612;Y55-59;4858;DIV;19.94321;A
2020;ES612;Y55-59;4864;DIV;88.1946;A
