OBS_STATUS;TERRITORIO;FORMA_JUR_SOCMER;TEMPORAL;INDICATOR;OBS_VALUE;FREQ
P;3028;46367;2021;CAP_SUSCRITO;20871697;A
P;3028;46361;2021;CAP_SUSCRITO;60000.0;A
P;3028;46364;2021;CAP_SUSCRITO;20811697;A
P;3028;46366;2021;CAP_SUSCRITO;0.0;A
P;3029;46367;2021;CAP_SUSCRITO;275010.0;A
P;3029;46364;2021;CAP_SUSCRITO;275010.0;A
P;3030;46367;2021;CAP_SUSCRITO;73000.0;A
P;3030;46364;2021;CAP_SUSCRITO;73000.0;A
P;3031;46367;2021;CAP_SUSCRITO;124305.0;A
P;3031;46364;2021;CAP_SUSCRITO;124305.0;A
P;3032;46367;2021;CAP_SUSCRITO;7000.0;A
P;3032;46364;2021;CAP_SUSCRITO;7000.0;A
P;3034;46367;2021;CAP_SUSCRITO;18010.0;A
P;3034;46364;2021;CAP_SUSCRITO;18010.0;A
P;3035;46367;2021;CAP_SUSCRITO;98329.0;A
P;3035;46364;2021;CAP_SUSCRITO;98329.0;A
P;3037;46367;2021;CAP_SUSCRITO;34960.0;A
P;3037;46364;2021;CAP_SUSCRITO;34960.0;A
P;3038;46367;2021;CAP_SUSCRITO;34000.0;A
P;3038;46364;2021;CAP_SUSCRITO;34000.0;A
P;3039;46367;2021;CAP_SUSCRITO;31230.0;A
P;3039;46364;2021;CAP_SUSCRITO;31230.0;A
P;3040;46367;2021;CAP_SUSCRITO;36656.0;A
P;3040;46364;2021;CAP_SUSCRITO;36656.0;A
P;3041;46367;2021;CAP_SUSCRITO;871981.0;A
P;3041;46364;2021;CAP_SUSCRITO;871981.0;A
P;3042;46367;2021;CAP_SUSCRITO;8702176.0;A
P;3042;46364;2021;CAP_SUSCRITO;8702076.0;A
P;3042;46366;2021;CAP_SUSCRITO;100.0;A
P;3043;46367;2021;CAP_SUSCRITO;276658.0;A
P;3043;46364;2021;CAP_SUSCRITO;276658.0;A
P;3044;46367;2021;CAP_SUSCRITO;365000.0;A
P;3044;46364;2021;CAP_SUSCRITO;365000.0;A
P;3045;46367;2021;CAP_SUSCRITO;134560.0;A
P;3045;46364;2021;CAP_SUSCRITO;134560.0;A
P;3046;46367;2021;CAP_SUSCRITO;2051596.89;A
P;3046;46364;2021;CAP_SUSCRITO;2051596.89;A
P;3047;46367;2021;CAP_SUSCRITO;9200.0;A
P;3047;46364;2021;CAP_SUSCRITO;9200.0;A
P;3048;46367;2021;CAP_SUSCRITO;102914.0;A
P;3048;46364;2021;CAP_SUSCRITO;102914.0;A
P;3133;46367;2021;CAP_SUSCRITO;6160.0;A
P;3133;46364;2021;CAP_SUSCRITO;6160.0;A
P;3049;46367;2021;CAP_SUSCRITO;1784572.0;A
P;3049;46364;2021;CAP_SUSCRITO;1784572.0;A
P;3051;46367;2021;CAP_SUSCRITO;80562.0;A
P;3051;46364;2021;CAP_SUSCRITO;80562.0;A
P;3052;46367;2021;CAP_SUSCRITO;6100.0;A
P;3052;46364;2021;CAP_SUSCRITO;6100.0;A
P;3053;46367;2021;CAP_SUSCRITO;32734.48;A
P;3053;46364;2021;CAP_SUSCRITO;32734.48;A
P;3054;46367;2021;CAP_SUSCRITO;1027350.0;A
P;3054;46364;2021;CAP_SUSCRITO;1027350.0;A
P;3056;46367;2021;CAP_SUSCRITO;6000.0;A
P;3056;46364;2021;CAP_SUSCRITO;6000.0;A
P;3057;46367;2021;CAP_SUSCRITO;9200.0;A
P;3057;46364;2021;CAP_SUSCRITO;9200.0;A
P;3058;46367;2021;CAP_SUSCRITO;56020.0;A
P;3058;46364;2021;CAP_SUSCRITO;56020.0;A
P;3059;46367;2021;CAP_SUSCRITO;1578219.27;A
P;3059;46364;2021;CAP_SUSCRITO;1578219.27;A
P;3060;46367;2021;CAP_SUSCRITO;3000.0;A
