TIME_PERIOD,REF_AREA,D_DISTRIBUCION_MNP_0,INDICATOR,OBS_VALUE,FREQ,SEXO,D_MULTIPLICIDAD_SEXO_0,EDAD,D_REL_RESIDENANT_0
2016,ES616,70395,LATE_FETAL_DEATH,42.0,A,_Z,_Z,_Z,_Z
2016,ES616,70391,LATE_FETAL_DEATH,22.0,A,_Z,_Z,_Z,_Z
2016,ES616,70394,LATE_FETAL_DEATH,20.0,A,_Z,_Z,_Z,_Z
2016,ES617,70395,LATE_FETAL_DEATH,93.0,A,_Z,_Z,_Z,_Z
2016,ES617,70391,LATE_FETAL_DEATH,45.0,A,_Z,_Z,_Z,_Z
2016,ES617,70394,LATE_FETAL_DEATH,48.0,A,_Z,_Z,_Z,_Z
2016,ES618,70395,LATE_FETAL_DEATH,117.0,A,_Z,_Z,_Z,_Z
2016,ES618,70391,LATE_FETAL_DEATH,59.0,A,_Z,_Z,_Z,_Z
2016,ES618,70394,LATE_FETAL_DEATH,58.0,A,_Z,_Z,_Z,_Z
2016,ES61,70395,LATE_FETAL_DEATH,491.0,A,_Z,_Z,_Z,_Z
2016,ES61,70391,LATE_FETAL_DEATH,245.0,A,_Z,_Z,_Z,_Z
2016,ES61,70394,LATE_FETAL_DEATH,246.0,A,_Z,_Z,_Z,_Z
2015,ES611,70395,LATE_FETAL_DEATH,19.0,A,_Z,_Z,_Z,_Z
2015,ES611,70391,LATE_FETAL_DEATH,10.0,A,_Z,_Z,_Z,_Z
2015,ES611,70394,LATE_FETAL_DEATH,9.0,A,_Z,_Z,_Z,_Z
2015,ES612,70395,LATE_FETAL_DEATH,78.0,A,_Z,_Z,_Z,_Z
2015,ES612,70391,LATE_FETAL_DEATH,38.0,A,_Z,_Z,_Z,_Z
2015,ES612,70394,LATE_FETAL_DEATH,40.0,A,_Z,_Z,_Z,_Z
2015,ES613,70395,LATE_FETAL_DEATH,35.0,A,_Z,_Z,_Z,_Z
2015,ES613,70391,LATE_FETAL_DEATH,17.0,A,_Z,_Z,_Z,_Z
2015,ES613,70394,LATE_FETAL_DEATH,18.0,A,_Z,_Z,_Z,_Z
2015,ES614,70395,LATE_FETAL_DEATH,74.0,A,_Z,_Z,_Z,_Z
2015,ES614,70391,LATE_FETAL_DEATH,36.0,A,_Z,_Z,_Z,_Z
2015,ES614,70394,LATE_FETAL_DEATH,38.0,A,_Z,_Z,_Z,_Z
2015,ES615,70395,LATE_FETAL_DEATH,1.0,A,_Z,_Z,_Z,_Z
2015,ES615,70391,LATE_FETAL_DEATH,1.0,A,_Z,_Z,_Z,_Z
2015,ES616,70395,LATE_FETAL_DEATH,57.0,A,_Z,_Z,_Z,_Z
2015,ES616,70391,LATE_FETAL_DEATH,29.0,A,_Z,_Z,_Z,_Z
2015,ES616,70394,LATE_FETAL_DEATH,28.0,A,_Z,_Z,_Z,_Z
2015,ES617,70395,LATE_FETAL_DEATH,103.0,A,_Z,_Z,_Z,_Z
2015,ES617,70391,LATE_FETAL_DEATH,51.0,A,_Z,_Z,_Z,_Z
2015,ES617,70394,LATE_FETAL_DEATH,52.0,A,_Z,_Z,_Z,_Z
2015,ES618,70395,LATE_FETAL_DEATH,134.0,A,_Z,_Z,_Z,_Z
2015,ES618,70391,LATE_FETAL_DEATH,68.0,A,_Z,_Z,_Z,_Z
2015,ES618,70394,LATE_FETAL_DEATH,66.0,A,_Z,_Z,_Z,_Z
2015,ES61,70395,LATE_FETAL_DEATH,501.0,A,_Z,_Z,_Z,_Z
2015,ES61,70391,LATE_FETAL_DEATH,250.0,A,_Z,_Z,_Z,_Z
2015,ES61,70394,LATE_FETAL_DEATH,251.0,A,_Z,_Z,_Z,_Z
2014,ES611,70395,LATE_FETAL_DEATH,68.0,A,_Z,_Z,_Z,_Z
2014,ES611,70391,LATE_FETAL_DEATH,35.0,A,_Z,_Z,_Z,_Z
2014,ES611,70394,LATE_FETAL_DEATH,33.0,A,_Z,_Z,_Z,_Z
2014,ES612,70395,LATE_FETAL_DEATH,67.0,A,_Z,_Z,_Z,_Z
2014,ES612,70391,LATE_FETAL_DEATH,34.0,A,_Z,_Z,_Z,_Z
2014,ES612,70394,LATE_FETAL_DEATH,33.0,A,_Z,_Z,_Z,_Z
2014,ES613,70395,LATE_FETAL_DEATH,41.0,A,_Z,_Z,_Z,_Z
2014,ES613,70391,LATE_FETAL_DEATH,20.0,A,_Z,_Z,_Z,_Z
2014,ES613,70394,LATE_FETAL_DEATH,21.0,A,_Z,_Z,_Z,_Z
2014,ES614,70395,LATE_FETAL_DEATH,78.0,A,_Z,_Z,_Z,_Z
2014,ES614,70391,LATE_FETAL_DEATH,38.0,A,_Z,_Z,_Z,_Z
2014,ES614,70394,LATE_FETAL_DEATH,40.0,A,_Z,_Z,_Z,_Z
2014,ES615,70395,LATE_FETAL_DEATH,1.0,A,_Z,_Z,_Z,_Z
2014,ES615,70391,LATE_FETAL_DEATH,1.0,A,_Z,_Z,_Z,_Z
2014,ES616,70395,LATE_FETAL_DEATH,38.0,A,_Z,_Z,_Z,_Z
2014,ES616,70391,LATE_FETAL_DEATH,19.0,A,_Z,_Z,_Z,_Z
2014,ES616,70394,LATE_FETAL_DEATH,19.0,A,_Z,_Z,_Z,_Z
2014,ES617,70395,LATE_FETAL_DEATH,113.0,A,_Z,_Z,_Z,_Z
2014,ES617,70391,LATE_FETAL_DEATH,54.0,A,_Z,_Z,_Z,_Z
2014,ES617,70394,LATE_FETAL_DEATH,59.0,A,_Z,_Z,_Z,_Z
2014,ES618,70395,LATE_FETAL_DEATH,127.0,A,_Z,_Z,_Z,_Z
2014,ES618,70391,LATE_FETAL_DEATH,64.0,A,_Z,_Z,_Z,_Z
2014,ES618,70394,LATE_FETAL_DEATH,63.0,A,_Z,_Z,_Z,_Z
2014,ES61,70395,LATE_FETAL_DEATH,533.0,A,_Z,_Z,_Z,_Z
2014,ES61,70391,LATE_FETAL_DEATH,265.0,A,_Z,_Z,_Z,_Z
2014,ES61,70394,LATE_FETAL_DEATH,268.0,A,_Z,_Z,_Z,_Z
2013,ES611,70395,LATE_FETAL_DEATH,44.0,A,_Z,_Z,_Z,_Z
2013,ES611,70391,LATE_FETAL_DEATH,22.0,A,_Z,_Z,_Z,_Z
2013,ES611,70394,LATE_FETAL_DEATH,22.0,A,_Z,_Z,_Z,_Z
2013,ES612,70395,LATE_FETAL_DEATH,78.0,A,_Z,_Z,_Z,_Z
2013,ES612,70391,LATE_FETAL_DEATH,40.0,A,_Z,_Z,_Z,_Z
2013,ES612,70394,LATE_FETAL_DEATH,38.0,A,_Z,_Z,_Z,_Z
2013,ES613,70395,LATE_FETAL_DEATH,45.0,A,_Z,_Z,_Z,_Z
2013,ES613,70391,LATE_FETAL_DEATH,23.0,A,_Z,_Z,_Z,_Z
2013,ES613,70394,LATE_FETAL_DEATH,22.0,A,_Z,_Z,_Z,_Z
2013,ES614,70395,LATE_FETAL_DEATH,81.0,A,_Z,_Z,_Z,_Z
2013,ES614,70391,LATE_FETAL_DEATH,38.0,A,_Z,_Z,_Z,_Z
2013,ES614,70394,LATE_FETAL_DEATH,43.0,A,_Z,_Z,_Z,_Z
2013,ES615,70395,LATE_FETAL_DEATH,5.0,A,_Z,_Z,_Z,_Z
2013,ES615,70391,LATE_FETAL_DEATH,4.0,A,_Z,_Z,_Z,_Z
2013,ES615,70394,LATE_FETAL_DEATH,1.0,A,_Z,_Z,_Z,_Z
2013,ES616,70395,LATE_FETAL_DEATH,47.0,A,_Z,_Z,_Z,_Z
2013,ES616,70391,LATE_FETAL_DEATH,25.0,A,_Z,_Z,_Z,_Z
