D_ESTADO_DATO_0;D_PUNTOS_TURISTICOS_0;D_TEMPORAL_0;D_RESITUR_0;INDICATOR;OBS_VALUE;FREQ
40123;55220;2017;55698;Viajeros;20807.098681008;A
40123;55220;2017;55565;Viajeros;1939.091715253;A
40123;55220;2017;55697;Viajeros;18868.006965755;A
40123;55220;2016;55698;Viajeros;12142.166876836;A
40123;55220;2016;55565;Viajeros;1837.799619994;A
40123;55220;2016;55697;Viajeros;10304.367256842;A
40123;55220;2015;55698;Viajeros;5643.391024057;A
40123;55220;2015;55565;Viajeros;967.942105264;A
40123;55220;2015;55697;Viajeros;4675.448918793;A
40123;55220;2014;55698;Viajeros;4087.527168465;A
40123;55220;2014;55565;Viajeros;952.352866066;A
40123;55220;2014;55697;Viajeros;3135.174302399;A
40123;70689;2017;55698;Viajeros;6517.442768482;A
40123;70689;2017;55565;Viajeros;570.711881695;A
40123;70689;2017;55697;Viajeros;5946.730886787;A
40123;213594;2020;55698;Viajeros;4920.142857144;A
40123;213594;2020;55565;Viajeros;4850.761904762;A
40123;213594;2020;55697;Viajeros;69.380952382;A
40123;213594;2018;55698;Viajeros;7776.512672836;A
40123;213594;2018;55565;Viajeros;4859.463047162;A
40123;213594;2018;55697;Viajeros;2917.049625674;A
40123;213594;2017;55698;Viajeros;4623.085370847;A
40123;213594;2017;55565;Viajeros;3821.63711258;A
40123;213594;2017;55697;Viajeros;801.448258267;A
40124;55124;2021;55698;Viajeros;5027.916208753;A
40124;55124;2021;55565;Viajeros;3853.036969646;A
40124;55124;2021;55697;Viajeros;1174.879239107;A
40124;55220;2021;55698;Viajeros;16018.956268808;A
40124;55220;2021;55565;Viajeros;10145.577767529;A
40124;55220;2021;55697;Viajeros;5873.378501279;A
40123;55108;2017;55698;Pernoctaciones;18057.07327586;A
40123;55108;2017;55565;Pernoctaciones;12132.181120667;A
40123;55108;2017;55697;Pernoctaciones;5924.892155193;A
40123;55108;2016;55698;Pernoctaciones;17192.522399823;A
40123;55108;2016;55565;Pernoctaciones;10358.867136651;A
40123;55108;2016;55697;Pernoctaciones;6833.655263172;A
40123;55108;2015;55698;Pernoctaciones;12324.461115607;A
40123;55108;2015;55565;Pernoctaciones;9835.343500254;A
40123;55108;2015;55697;Pernoctaciones;2489.117615353;A
40123;55108;2014;55698;Pernoctaciones;12618.552564095;A
40123;55108;2014;55565;Pernoctaciones;9758.369273162;A
40123;55108;2014;55697;Pernoctaciones;2860.183290933;A
40123;55108;2013;55698;Pernoctaciones;8216.575604404;A
40123;55108;2013;55565;Pernoctaciones;7019.613831558;A
40123;55108;2013;55697;Pernoctaciones;1196.961772846;A
40123;55124;2020;55698;Pernoctaciones;14869.393723495;A
40123;55124;2020;55565;Pernoctaciones;13831.510007028;A
40123;55124;2020;55697;Pernoctaciones;1037.883716467;A
40123;55124;2019;55698;Pernoctaciones;25486.851550264;A
40123;55124;2019;55565;Pernoctaciones;14747.229773462;A
40123;55124;2019;55697;Pernoctaciones;10739.621776802;A
40123;55124;2018;55698;Pernoctaciones;16376.162386747;A
40123;55124;2018;55565;Pernoctaciones;12108.205575142;A
40123;55124;2018;55697;Pernoctaciones;4267.956811605;A
40123;55124;2017;55698;Pernoctaciones;18056.303350624;A
40123;55124;2017;55565;Pernoctaciones;10588.873292191;A
40123;55124;2017;55697;Pernoctaciones;7467.430058433;A
40123;55124;2016;55698;Pernoctaciones;10526.261904776;A
40123;55124;2016;55565;Pernoctaciones;7288.178571427;A
40123;55124;2016;55697;Pernoctaciones;3238.083333349;A
40123;55124;2015;55698;Pernoctaciones;9788.402777786;A
40123;55124;2015;55565;Pernoctaciones;7106.55555556;A
40123;55124;2015;55697;Pernoctaciones;2681.847222226;A
40123;55124;2014;55698;Pernoctaciones;15917.425698146;A
