D_ESTADO_DATO_0;D_PARQUES_TURISMO_0;D_TEMPORAL_0;D_RESITUR_0;INDICATOR;OBS_VALUE;FREQ
40123;55541;2019;55565;Viajeros;15630.270582989;A
40123;55541;2019;55697;Viajeros;9184.672733974;A
40123;55541;2018;55698;Viajeros;18461.156697915;A
40123;55541;2018;55565;Viajeros;4286.488572454;A
40123;55541;2018;55697;Viajeros;14174.668125461;A
40123;55541;2017;55698;Viajeros;20588.344329343;A
40123;55541;2017;55565;Viajeros;5335.012148681;A
40123;55541;2017;55697;Viajeros;15253.332180662;A
40123;55125;2020;55698;Viajeros;6967.726907523;A
40123;55125;2020;55565;Viajeros;6736.504846891;A
40123;55125;2020;55697;Viajeros;231.222060632;A
40123;55125;2019;55698;Viajeros;19005.659133829;A
40123;55125;2019;55565;Viajeros;14317.698779825;A
40123;55125;2019;55697;Viajeros;4687.960354004;A
40123;55125;2018;55698;Viajeros;14869.856619676;A
40123;55125;2018;55565;Viajeros;9242.786682619;A
40123;55125;2018;55697;Viajeros;5627.069937057;A
40123;55125;2017;55698;Viajeros;14351.18054038;A
40123;55125;2017;55565;Viajeros;10213.505455747;A
40123;55125;2017;55697;Viajeros;4137.675084633;A
40123;55125;2016;55698;Viajeros;12531.540375603;A
40123;55125;2016;55565;Viajeros;8519.939864721;A
40123;55125;2016;55697;Viajeros;4011.600510882;A
40123;55125;2015;55698;Viajeros;11153.56590586;A
40123;55125;2015;55565;Viajeros;7555.557776664;A
40123;55125;2015;55697;Viajeros;3598.008129196;A
40123;55125;2014;55698;Viajeros;9490.961534711;A
40123;55125;2014;55565;Viajeros;7387.20847011;A
40123;55125;2014;55697;Viajeros;2103.753064601;A
40123;55125;2013;55698;Viajeros;7888.090954099;A
40123;55125;2013;55565;Viajeros;6125.498374435;A
40123;55125;2013;55697;Viajeros;1762.592579664;A
40123;55128;2016;55698;Viajeros;6413.726402855;A
40123;55128;2016;55565;Viajeros;2757.175571675;A
40123;55128;2016;55697;Viajeros;3656.55083118;A
40123;55128;2015;55698;Viajeros;6808.039047932;A
40123;55128;2015;55565;Viajeros;3766.17367636;A
40123;55128;2015;55697;Viajeros;3041.865371572;A
40123;55128;2014;55698;Viajeros;6431.946931964;A
40123;55128;2014;55565;Viajeros;3578.457711401;A
40123;55128;2014;55697;Viajeros;2853.489220563;A
40123;55128;2013;55698;Viajeros;6838.221031033;A
40123;55128;2013;55565;Viajeros;5193.29900306;A
40123;55128;2013;55697;Viajeros;1644.922027973;A
40123;55130;2020;55698;Viajeros;7706.521393501;A
40123;55130;2020;55565;Viajeros;7355.903733044;A
40123;55130;2020;55697;Viajeros;350.617660457;A
40123;55130;2019;55698;Viajeros;14330.925534457;A
40123;55130;2019;55565;Viajeros;8523.866257339;A
40123;55130;2019;55697;Viajeros;5807.059277118;A
40123;55130;2018;55698;Viajeros;11054.169727153;A
40123;55130;2018;55565;Viajeros;7735.197813197;A
40123;55130;2018;55697;Viajeros;3318.971913956;A
40123;55130;2017;55698;Viajeros;12560.354185663;A
40123;55130;2017;55565;Viajeros;7869.058212203;A
40123;55130;2017;55697;Viajeros;4691.29597346;A
40123;55130;2016;55698;Viajeros;10697.268274443;A
40123;55130;2016;55565;Viajeros;6728.2251704;A
40123;55130;2016;55697;Viajeros;3969.043104043;A
40123;55130;2015;55698;Viajeros;6329.600903284;A
40123;55130;2015;55565;Viajeros;4543.354097832;A
40123;55130;2015;55697;Viajeros;1786.246805452;A
40123;55130;2014;55698;Viajeros;8712.651525411;A
40123;55130;2014;55565;Viajeros;5554.599993381;A
40123;55130;2014;55697;Viajeros;3158.05153203;A
40123;55130;2013;55698;Viajeros;8101.480759008;A
40123;55130;2013;55565;Viajeros;4787.247885187;A
40123;55130;2013;55697;Viajeros;3314.232873821;A
40123;55132;2013;55698;Viajeros;6394.672651986;A
40123;55132;2013;55565;Viajeros;3843.601944856;A
40123;55132;2013;55697;Viajeros;2551.07070713;A
40123;55133;2017;55698;Viajeros;5992.641294248;A
40123;55133;2017;55565;Viajeros;4389.824857252;A
40123;55133;2017;55697;Viajeros;1602.816436996;A
40123;55133;2016;55698;Viajeros;3864.552538343;A
40123;55133;2016;55565;Viajeros;2855.491523019;A
40123;55133;2016;55697;Viajeros;1009.061015324;A
40123;55133;2015;55698;Viajeros;2817.227675155;A
40123;55133;2015;55565;Viajeros;2454.954598233;A
40123;55133;2015;55697;Viajeros;362.273076922;A
40123;55133;2014;55698;Viajeros;2210.479581157;A
40123;55133;2014;55565;Viajeros;1844.052339571;A
40123;55133;2014;55697;Viajeros;366.427241586;A
40123;55133;2013;55698;Viajeros;1891.566085007;A
40123;55133;2013;55565;Viajeros;1632.177298319;A
40123;55133;2013;55697;Viajeros;259.388786688;A
40123;55134;2013;55698;Viajeros;2148.513025181;A
40123;55134;2013;55565;Viajeros;1867.33984591;A
40123;55134;2013;55697;Viajeros;281.173179271;A
40123;55136;2020;55698;Viajeros;13375.419337357;A
40123;55136;2020;55565;Viajeros;12568.815784187;A
40123;55136;2020;55697;Viajeros;806.60355317;A
40123;55136;2019;55698;Viajeros;21714.645845814;A
40123;55136;2019;55565;Viajeros;15254.541296591;A
