D_ESTADO_DATO_0;D_RESITUR_0;D_TEMPORAL_0;INDICATOR;OBS_VALUE;FREQ
40123;55562;2014;Viajeros;270.489165499;A
40123;55562;2013;Viajeros;98.123597432;A
40124;55564;2021;Viajeros;234817.076211836;A
40124;55543;2021;Viajeros;179634.345913751;A
40124;55563;2021;Viajeros;55182.730298085;A
40124;55545;2021;Viajeros;575.048191409;A
40124;55546;2021;Viajeros;203.107445711;A
40124;55547;2021;Viajeros;746.090074596;A
40124;55548;2021;Viajeros;596.739938618;A
40124;55549;2021;Viajeros;1957.951696999;A
40124;55550;2021;Viajeros;2445.12044685;A
40124;55551;2021;Viajeros;6860.567204799;A
40124;55552;2021;Viajeros;5064.137616388;A
40124;55553;2021;Viajeros;2916.52575026;A
40124;55554;2021;Viajeros;908.585675199;A
40124;55555;2021;Viajeros;22938.672135436;A
40124;55556;2021;Viajeros;4940.678960898;A
40124;55557;2021;Viajeros;344.038859034;A
40124;55558;2021;Viajeros;2443.498930367;A
40124;55559;2021;Viajeros;423.276066419;A
40124;55544;2021;Viajeros;817.442802398;A
40124;55561;2021;Viajeros;662.026821203;A
40124;55562;2021;Viajeros;339.221681501;A
40123;55564;2020;% Viajeros;100.0;A
40123;55564;2019;% Viajeros;100.0;A
40123;55564;2018;% Viajeros;100.0;A
40123;55564;2017;% Viajeros;100.0;A
40123;55564;2016;% Viajeros;100.0;A
40123;55564;2015;% Viajeros;100.0;A
40123;55564;2014;% Viajeros;100.0;A
40123;55564;2013;% Viajeros;100.0;A
40123;55543;2020;% Viajeros;80.26988000231421;A
40123;55543;2019;% Viajeros;72.58341358257442;A
40123;55543;2018;% Viajeros;72.68281894109039;A
40123;55543;2017;% Viajeros;74.41448709447283;A
40123;55543;2016;% Viajeros;73.86627218831217;A
40123;55543;2015;% Viajeros;73.34817134180793;A
40123;55543;2014;% Viajeros;74.6083981635249;A
40123;55543;2013;% Viajeros;71.13737146229496;A
40123;55563;2020;% Viajeros;19.730119997685804;A
40123;55563;2019;% Viajeros;27.41658641742557;A
40123;55563;2018;% Viajeros;27.317181058909608;A
40123;55563;2017;% Viajeros;25.585512905527175;A
40123;55563;2016;% Viajeros;26.13372781168784;A
40123;55563;2015;% Viajeros;26.651828658192073;A
40123;55563;2014;% Viajeros;25.391601836475093;A
40123;55563;2013;% Viajeros;28.86262853770503;A
40123;55545;2020;% Viajeros;0.13201795688177523;A
40123;55545;2019;% Viajeros;0.4310513408760128;A
40123;55545;2018;% Viajeros;0.3270867289038501;A
40123;55545;2017;% Viajeros;0.3042221150940256;A
40123;55545;2016;% Viajeros;0.2685661560790397;A
40123;55545;2015;% Viajeros;0.3916459975204678;A
40123;55545;2014;% Viajeros;0.19102469177752235;A
40123;55545;2013;% Viajeros;0.298439292722606;A
40123;55546;2020;% Viajeros;0.08027048990718673;A
40123;55546;2019;% Viajeros;0.23426832202847608;A
40123;55546;2018;% Viajeros;0.18959407103104964;A
40123;55546;2017;% Viajeros;0.22479279933711876;A
40123;55546;2016;% Viajeros;0.13364064536324866;A
40123;55546;2015;% Viajeros;0.21457900162890473;A
40123;55546;2014;% Viajeros;0.2914170286184863;A
40123;55546;2013;% Viajeros;0.2928559580163691;A
40123;55547;2020;% Viajeros;0.1265618108021756;A
40123;55547;2019;% Viajeros;0.5843470101371517;A
40123;55547;2018;% Viajeros;0.2394459715368731;A
40123;55547;2017;% Viajeros;0.2291151799606987;A
40123;55547;2016;% Viajeros;0.3073617372134341;A
40123;55547;2015;% Viajeros;0.33913740753518207;A
40123;55547;2014;% Viajeros;0.07801239215389669;A
40123;55547;2013;% Viajeros;0.2424150978599426;A
40123;55548;2020;% Viajeros;0.11569222371132298;A
40123;55548;2019;% Viajeros;0.19325332733687867;A
40123;55548;2018;% Viajeros;0.23887526373443457;A
40123;55548;2017;% Viajeros;0.13730284315731928;A
40123;55548;2016;% Viajeros;0.1359722998052937;A
40123;55548;2015;% Viajeros;0.15069992821551628;A
40123;55548;2014;% Viajeros;0.09919287914441585;A
40123;55548;2013;% Viajeros;0.09865546525278322;A
40123;55549;2020;% Viajeros;0.5233456313927153;A
40123;55549;2019;% Viajeros;0.9069123247920464;A
40123;55549;2018;% Viajeros;0.8767756683135066;A
40123;55549;2017;% Viajeros;0.799390063401754;A
40123;55549;2016;% Viajeros;0.5376435056769217;A
40123;55549;2015;% Viajeros;0.9638668257965799;A
40123;55549;2014;% Viajeros;0.714477817120549;A
40123;55549;2013;% Viajeros;0.8887504767623691;A
40123;55550;2020;% Viajeros;1.1222614578193766;A
40123;55550;2019;% Viajeros;1.8216164938230355;A
40123;55550;2018;% Viajeros;1.5532956881190314;A
40123;55550;2017;% Viajeros;1.669576355873104;A
40123;55550;2016;% Viajeros;1.735249531304486;A
40123;55550;2015;% Viajeros;1.6482214233601946;A
40123;55550;2014;% Viajeros;1.4872390971579943;A
40123;55550;2013;% Viajeros;1.7781818470551949;A
40123;55551;2020;% Viajeros;2.0191797493641976;A
40123;55551;2019;% Viajeros;2.9316402358758453;A
40123;55551;2018;% Viajeros;3.385347733671114;A
40123;55551;2017;% Viajeros;3.188843531719285;A
40123;55551;2016;% Viajeros;2.951335165120589;A
40123;55551;2015;% Viajeros;2.8380222298496673;A
40123;55551;2014;% Viajeros;2.935657685446395;A
40123;55551;2013;% Viajeros;3.110926249146048;A
40123;55552;2020;% Viajeros;2.1494778954468416;A
40123;55552;2019;% Viajeros;3.1437512750749743;A
40123;55552;2018;% Viajeros;4.0428478667068815;A
40123;55552;2017;% Viajeros;3.2575237262102563;A
40123;55552;2016;% Viajeros;3.46983138833214;A
40123;55552;2015;% Viajeros;3.774456829297892;A
40123;55552;2014;% Viajeros;3.31472261979875;A
40123;55552;2013;% Viajeros;3.830580223770782;A
40123;55553;2020;% Viajeros;0.7482237108658051;A
40123;55553;2019;% Viajeros;1.623507917097329;A
40123;55553;2018;% Viajeros;1.1137136123406257;A
40123;55553;2017;% Viajeros;0.7468672672964899;A
40123;55553;2016;% Viajeros;1.6013053269992787;A
40123;55553;2015;% Viajeros;1.508697512234403;A
40123;55553;2014;% Viajeros;1.223159503803686;A
40123;55553;2013;% Viajeros;1.4382055468623949;A
40123;55554;2020;% Viajeros;0.4252035638251778;A
40123;55554;2019;% Viajeros;0.4621033802618646;A
40123;55554;2018;% Viajeros;0.45734061606588555;A
40123;55554;2017;% Viajeros;0.35585350334496163;A
40123;55554;2016;% Viajeros;0.2631307885778875;A
40123;55554;2015;% Viajeros;0.5327082042569009;A
40123;55554;2014;% Viajeros;0.36361495289375256;A
40123;55554;2013;% Viajeros;0.26831920948786486;A
40123;55555;2020;% Viajeros;8.44419576569884;A
40123;55555;2019;% Viajeros;10.387582832900595;A
40123;55555;2018;% Viajeros;10.030688577724552;A
40123;55555;2017;% Viajeros;9.990438730810313;A
40123;55555;2016;% Viajeros;9.535361929012351;A
40123;55555;2015;% Viajeros;9.31408974351677;A
40123;55555;2014;% Viajeros;10.285554805632197;A
40123;55555;2013;% Viajeros;12.059327263406532;A
40123;55556;2020;% Viajeros;2.174864578613972;A
40123;55556;2019;% Viajeros;2.6951822510822376;A
40123;55556;2018;% Viajeros;3.0058259760652817;A
40123;55556;2017;% Viajeros;2.852266367842384;A
40123;55556;2016;% Viajeros;3.1009142908525185;A
40123;55556;2015;% Viajeros;3.051536767484592;A
40123;55556;2014;% Viajeros;2.644685440160403;A
40123;55556;2013;% Viajeros;2.4448217254197693;A
40123;55557;2020;% Viajeros;0.05790616981230345;A
40123;55557;2019;% Viajeros;0.13140248476445782;A
40123;55557;2018;% Viajeros;0.26012980848482276;A
40123;55557;2017;% Viajeros;0.19521543804548325;A
40123;55557;2016;% Viajeros;0.18340031876893662;A
40123;55557;2015;% Viajeros;0.2620221888702358;A
40123;55557;2014;% Viajeros;0.15957701918525516;A
40123;55557;2013;% Viajeros;0.273022646941024;A
40123;55558;2020;% Viajeros;0.9082421682978471;A
40123;55558;2019;% Viajeros;1.085915885755362;A
40123;55558;2018;% Viajeros;0.8451192593037294;A
40123;55558;2017;% Viajeros;0.922399136820507;A
40123;55558;2016;% Viajeros;1.076334058048151;A
40123;55558;2015;% Viajeros;0.856002808275497;A
40123;55558;2014;% Viajeros;0.8463079788870678;A
40123;55558;2013;% Viajeros;1.0040676158770303;A
40123;55559;2020;% Viajeros;0.008559369704170244;A
40123;55559;2019;% Viajeros;0.07228646794070548;A
40123;55559;2018;% Viajeros;0.1653010632438538;A
40123;55559;2017;% Viajeros;0.042394471081624474;A
40123;55559;2016;% Viajeros;0.06971842287728292;A
40123;55559;2015;% Viajeros;0.051228753488276955;A
40123;55559;2014;% Viajeros;0.06529404093647899;A
40123;55559;2013;% Viajeros;0.11015492130002519;A
40123;55544;2020;% Viajeros;0.11242954804916477;A
40123;55544;2019;% Viajeros;0.5596554495654396;A
40123;55544;2018;% Viajeros;0.3374791550183832;A
40123;55544;2017;% Viajeros;0.36810672100633907;A
40123;55544;2016;% Viajeros;0.30518455579529175;A
40123;55544;2015;% Viajeros;0.4337295597624749;A
40123;55544;2014;% Viajeros;0.3318009881804584;A
40123;55544;2013;% Viajeros;0.5488599449728305;A
40123;55561;2020;% Viajeros;0.3082562702782307;A
40123;55561;2019;% Viajeros;0.09396877022960029;A
40123;55561;2018;% Viajeros;0.12635512992802853;A
40123;55561;2017;% Viajeros;0.1614094958335185;A
40123;55561;2016;% Viajeros;0.24191127520038083;A
40123;55561;2015;% Viajeros;0.22910420782380111;A
40123;55561;2014;% Viajeros;0.17431798766157286;A
40123;55561;2013;% Viajeros;0.1015888294135383;A
40123;55562;2020;% Viajeros;0.2734316372146983;A
40123;55562;2019;% Viajeros;0.058140647883558515;A
40123;55562;2018;% Viajeros;0.12195886871770655;A
40123;55562;2017;% Viajeros;0.13979515869199288;A
40123;55562;2016;% Viajeros;0.21686641666060913;A
40123;55562;2015;% Viajeros;0.09207926927472006;A
40123;55562;2014;% Viajeros;0.18554490791621484;A
40123;55562;2013;% Viajeros;0.07345622343792864;A
40124;55564;2021;% Viajeros;100.0;A
40124;55543;2021;% Viajeros;76.4996944905732;A
40124;55563;2021;% Viajeros;23.500305509426788;A
40124;55545;2021;% Viajeros;0.24489198174421972;A
40124;55546;2021;% Viajeros;0.08649602873334913;A
40124;55547;2021;% Viajeros;0.31773246078702055;A
40124;55548;2021;% Viajeros;0.2541297031054342;A
40124;55549;2021;% Viajeros;0.8338199796136925;A
40124;55550;2021;% Viajeros;1.0412873230071984;A
40124;55551;2021;% Viajeros;2.921664520943895;A
40124;55552;2021;% Viajeros;2.156630896732348;A
40124;55553;2021;% Viajeros;1.242041591399813;A
40124;55554;2021;% Viajeros;0.3869333908149575;A
40124;55555;2021;% Viajeros;9.76874105814276;A
40124;55556;2021;% Viajeros;2.104054373132921;A
40124;55557;2021;% Viajeros;0.14651356050597936;A
40124;55558;2021;% Viajeros;1.0405967784739134;A
40124;55559;2021;% Viajeros;0.18025778757127062;A
40124;55544;2021;% Viajeros;0.34811897651794227;A
40124;55561;2021;% Viajeros;0.2819329973284245;A
40124;55562;2021;% Viajeros;0.14446210087164923;A
40123;55564;2020;Pernoctaciones;555700.568704012;A
40123;55564;2019;Pernoctaciones;636784.048595064;A
40123;55564;2018;Pernoctaciones;569795.288967056;A
40123;55564;2017;Pernoctaciones;536979.802064328;A
40123;55564;2016;Pernoctaciones;455784.441061271;A
40123;55564;2015;Pernoctaciones;442097.948244033;A
40123;55564;2014;Pernoctaciones;398737.946525426;A
40123;55564;2013;Pernoctaciones;352393.180852517;A
40123;55543;2020;Pernoctaciones;416168.133159548;A
40123;55543;2019;Pernoctaciones;434447.51519149;A
40123;55543;2018;Pernoctaciones;396903.642868;A
40123;55543;2017;Pernoctaciones;370939.650351;A
40123;55543;2016;Pernoctaciones;314574.715502;A
40123;55543;2015;Pernoctaciones;312765.753281;A
40123;55543;2014;Pernoctaciones;283233.009113;A
40123;55543;2013;Pernoctaciones;234557.228124;A
40123;55563;2020;Pernoctaciones;139532.435544464;A
40123;55563;2019;Pernoctaciones;202336.533403574;A
40123;55563;2018;Pernoctaciones;172891.646099056;A
40123;55563;2017;Pernoctaciones;166040.151713328;A
40123;55563;2016;Pernoctaciones;141209.725559271;A
40123;55563;2015;Pernoctaciones;129332.194963033;A
40123;55563;2014;Pernoctaciones;115504.937412426;A
40123;55563;2013;Pernoctaciones;117835.952728517;A
40123;55545;2020;Pernoctaciones;970.813921952;A
40123;55545;2019;Pernoctaciones;3315.506570911;A
40123;55545;2018;Pernoctaciones;2978.31796865;A
40123;55545;2017;Pernoctaciones;2502.461529775;A
40123;55545;2016;Pernoctaciones;1527.687603361;A
40123;55545;2015;Pernoctaciones;2208.186507089;A
40123;55545;2014;Pernoctaciones;935.922964652;A
