D_ESTADO_DATO_0;D_TERRITORIO_0;D_TEMPORAL_0;INDICATOR;OBS_VALUE;FREQ
40123;3143;2015;Personal medio remunerado;576.829415325;A
40123;3143;2014;Personal medio remunerado;725.2190677809999;A
40123;3143;2013;Personal medio remunerado;597.394435476;A
40124;2352;2021;Personal medio remunerado;37.260128793;A
40124;2402;2021;Personal medio remunerado;101.74124803199999;A
40124;2482;2021;Personal medio remunerado;57.368947094999996;A
40124;2713;2021;Personal medio remunerado;48.212845579;A
40124;2797;2021;Personal medio remunerado;79.27359210899999;A
40124;2911;2021;Personal medio remunerado;27.735154814999998;A
40124;3023;2021;Personal medio remunerado;336.98556860099995;A
40124;3142;2021;Personal medio remunerado;44.518423914;A
40124;3143;2021;Personal medio remunerado;733.095908938;A
40123;2352;2020;Personal medio no remunerado;112.511857074;A
40123;2352;2019;Personal medio no remunerado;127.699045315;A
40123;2352;2018;Personal medio no remunerado;108.43555616;A
40123;2352;2017;Personal medio no remunerado;94.637576477;A
40123;2352;2016;Personal medio no remunerado;77.017396854;A
40123;2352;2015;Personal medio no remunerado;77.44870631;A
40123;2352;2014;Personal medio no remunerado;83.868062175;A
40123;2352;2013;Personal medio no remunerado;86.343771011;A
40123;2402;2020;Personal medio no remunerado;61.25521531;A
40123;2402;2019;Personal medio no remunerado;88.936073093;A
40123;2402;2018;Personal medio no remunerado;101.81238655;A
40123;2402;2017;Personal medio no remunerado;81.582983062;A
40123;2402;2016;Personal medio no remunerado;61.441787626;A
40123;2402;2015;Personal medio no remunerado;55.979675857;A
40123;2402;2014;Personal medio no remunerado;52.285978342;A
40123;2402;2013;Personal medio no remunerado;67.264714194;A
40123;2482;2020;Personal medio no remunerado;236.440312319;A
40123;2482;2019;Personal medio no remunerado;254.205666542;A
40123;2482;2018;Personal medio no remunerado;239.52731444;A
40123;2482;2017;Personal medio no remunerado;248.94970359;A
40123;2482;2016;Personal medio no remunerado;216.46602478;A
40123;2482;2015;Personal medio no remunerado;213.9301636;A
40123;2482;2014;Personal medio no remunerado;232.72461156;A
40123;2482;2013;Personal medio no remunerado;229.55892871;A
40123;2713;2020;Personal medio no remunerado;107.468130392;A
40123;2713;2019;Personal medio no remunerado;146.790042807;A
40123;2713;2018;Personal medio no remunerado;129.45588817;A
40123;2713;2017;Personal medio no remunerado;129.95809738;A
40123;2713;2016;Personal medio no remunerado;131.49678411;A
40123;2713;2015;Personal medio no remunerado;146.62871904;A
40123;2713;2014;Personal medio no remunerado;143.95258583;A
40123;2713;2013;Personal medio no remunerado;119.84748372;A
40123;2797;2020;Personal medio no remunerado;61.010499017;A
40123;2797;2019;Personal medio no remunerado;105.899761175;A
40123;2797;2018;Personal medio no remunerado;141.77597847;A
40123;2797;2017;Personal medio no remunerado;146.4016805;A
40123;2797;2016;Personal medio no remunerado;119.80117964;A
40123;2797;2015;Personal medio no remunerado;117.13728536;A
40123;2797;2014;Personal medio no remunerado;100.9342822;A
40123;2797;2013;Personal medio no remunerado;80.541845582;A
40123;2911;2020;Personal medio no remunerado;183.542314895;A
40123;2911;2019;Personal medio no remunerado;230.461385095;A
40123;2911;2018;Personal medio no remunerado;233.16424946;A
40123;2911;2017;Personal medio no remunerado;215.85183331;A
40123;2911;2016;Personal medio no remunerado;198.42493007;A
40123;2911;2015;Personal medio no remunerado;195.44265605;A
40123;2911;2014;Personal medio no remunerado;172.54629438;A
40123;2911;2013;Personal medio no remunerado;169.79853923;A
40123;3023;2020;Personal medio no remunerado;1264.750309854;A
40123;3023;2019;Personal medio no remunerado;1447.216060866;A
40123;3023;2018;Personal medio no remunerado;1190.7621559;A
40123;3023;2017;Personal medio no remunerado;1032.4130236;A
40123;3023;2016;Personal medio no remunerado;655.56257204;A
40123;3023;2015;Personal medio no remunerado;652.01165696;A
40123;3023;2014;Personal medio no remunerado;614.35664652;A
40123;3023;2013;Personal medio no remunerado;555.98929331;A
40123;3142;2020;Personal medio no remunerado;118.247442593;A
40123;3142;2019;Personal medio no remunerado;132.63702611;A
40123;3142;2018;Personal medio no remunerado;111.02760699;A
40123;3142;2017;Personal medio no remunerado;93.539399005;A
40123;3142;2016;Personal medio no remunerado;75.292991605;A
40123;3142;2015;Personal medio no remunerado;80.298241523;A
40123;3142;2014;Personal medio no remunerado;92.442133131;A
40123;3142;2013;Personal medio no remunerado;95.685654231;A
40123;3143;2020;Personal medio no remunerado;2145.226081454;A
40123;3143;2019;Personal medio no remunerado;2533.845061003;A
40123;3143;2018;Personal medio no remunerado;2255.96113614;A
40123;3143;2017;Personal medio no remunerado;2043.334296924;A
40123;3143;2016;Personal medio no remunerado;1535.503666725;A
40123;3143;2015;Personal medio no remunerado;1538.8771047;A
40123;3143;2014;Personal medio no remunerado;1493.110594138;A
40123;3143;2013;Personal medio no remunerado;1405.030229988;A
40124;2352;2021;Personal medio no remunerado;119.540638761;A
40124;2402;2021;Personal medio no remunerado;44.149418052;A
40124;2482;2021;Personal medio no remunerado;233.989533564;A
40124;2713;2021;Personal medio no remunerado;123.628831059;A
40124;2797;2021;Personal medio no remunerado;87.594999503;A
40124;2911;2021;Personal medio no remunerado;176.108821227;A
40124;3023;2021;Personal medio no remunerado;1283.363048246;A
40124;3142;2021;Personal medio no remunerado;137.395811379;A
