D_ESTADO_DATO_0;D_RESITUR_0;D_TEMPORAL_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
40123;516724;2016;3143;Viajeros;2320.084377763;A
40123;516724;2015;3143;Viajeros;1893.396938731;A
40123;516724;2014;3143;Viajeros;1699.031243281;A
40123;516724;2013;3143;Viajeros;1434.253700259;A
40123;516727;2020;3143;Viajeros;2166.585188505;A
40123;516727;2019;3143;Viajeros;11401.86727865;A
40123;516727;2018;3143;Viajeros;11707.5168365;A
40123;516727;2017;3143;Viajeros;5020.52015728;A
40123;516727;2016;3143;Viajeros;3580.41051613;A
40123;516727;2015;3143;Viajeros;3000.452935884;A
40123;516727;2014;3143;Viajeros;2485.196862246;A
40123;516727;2013;3143;Viajeros;2381.03160525;A
40124;55698;2021;3143;Viajeros;287324.36360633;A
40124;55565;2021;3143;Viajeros;234817.076211836;A
40124;55697;2021;3143;Viajeros;52507.287394494;A
40124;55577;2021;3143;Viajeros;7236.80664444;A
40124;516706;2021;3143;Viajeros;5606.834245504;A
40124;55568;2021;3143;Viajeros;9173.866185814;A
40124;516711;2021;3143;Viajeros;974.897736993;A
40124;55571;2021;3143;Viajeros;7269.245803602;A
40124;516715;2021;3143;Viajeros;966.229731583;A
40124;55574;2021;3143;Viajeros;7633.9785479;A
40124;516718;2021;3143;Viajeros;4630.943819902;A
40124;516720;2021;3143;Viajeros;121.485966268;A
40124;516721;2021;3143;Viajeros;1200.519687151;A
40124;516722;2021;3143;Viajeros;1845.337640954;A
40124;516724;2021;3143;Viajeros;1370.836594176;A
40124;516727;2021;3143;Viajeros;4476.304790207;A
40123;55698;2020;3143;% Viajeros;100.0;A
40123;55698;2019;3143;% Viajeros;100.0;A
40123;55698;2018;3143;% Viajeros;100.0;A
40123;55698;2017;3143;% Viajeros;100.0;A
40123;55698;2016;3143;% Viajeros;100.0;A
40123;55698;2015;3143;% Viajeros;100.0;A
40123;55698;2014;3143;% Viajeros;100.0;A
40123;55698;2013;3143;% Viajeros;100.0;A
40123;55565;2020;3143;% Viajeros;89.3088740244117;A
40123;55565;2019;3143;% Viajeros;64.92059640517203;A
40123;55565;2018;3143;% Viajeros;62.80870730564174;A
40123;55565;2017;3143;% Viajeros;62.87850068202388;A
40123;55565;2016;3143;% Viajeros;67.72978908120822;A
40123;55565;2015;3143;% Viajeros;73.56166418995682;A
40123;55565;2014;3143;% Viajeros;72.33415653009517;A
40123;55565;2013;3143;% Viajeros;71.95474919052631;A
40123;55697;2020;3143;% Viajeros;10.691125975588307;A
40123;55697;2019;3143;% Viajeros;35.079403594827966;A
40123;55697;2018;3143;% Viajeros;37.191292694358246;A
40123;55697;2017;3143;% Viajeros;37.12149931797611;A
40123;55697;2016;3143;% Viajeros;32.270210918791754;A
40123;55697;2015;3143;% Viajeros;26.438335810043185;A
40123;55697;2014;3143;% Viajeros;27.66584346990483;A
40123;55697;2013;3143;% Viajeros;28.045250809473686;A
40123;55577;2020;3143;% Viajeros;1.2436984111797043;A
40123;55577;2019;3143;% Viajeros;3.836715262519123;A
40123;55577;2018;3143;% Viajeros;4.533570440497729;A
40123;55577;2017;3143;% Viajeros;3.6757753696351294;A
40123;55577;2016;3143;% Viajeros;3.6106720477162075;A
40123;55577;2015;3143;% Viajeros;3.0235355611115846;A
40123;55577;2014;3143;% Viajeros;3.199497111884586;A
40123;55577;2013;3143;% Viajeros;3.38875837463369;A
40123;516706;2020;3143;% Viajeros;0.8839714306408265;A
40123;516706;2019;3143;% Viajeros;1.8915263445444337;A
40123;516706;2018;3143;% Viajeros;2.3486094570276737;A
40123;516706;2017;3143;% Viajeros;2.6595985942661446;A
40123;516706;2016;3143;% Viajeros;2.072194201929955;A
40123;516706;2015;3143;% Viajeros;1.6641766940486753;A
40123;516706;2014;3143;% Viajeros;2.3695597301039593;A
40123;516706;2013;3143;% Viajeros;2.112667228819297;A
40123;55568;2020;3143;% Viajeros;1.8949646040170238;A
40123;55568;2019;3143;% Viajeros;4.1890295076743;A
40123;55568;2018;3143;% Viajeros;3.2868469353614733;A
40123;55568;2017;3143;% Viajeros;3.6012552604573775;A
40123;55568;2016;3143;% Viajeros;3.5397485959527555;A
40123;55568;2015;3143;% Viajeros;3.7313820282034795;A
40123;55568;2014;3143;% Viajeros;3.838294013454179;A
40123;55568;2013;3143;% Viajeros;3.8344613640772747;A
40123;516711;2020;3143;% Viajeros;0.2935661880367002;A
40123;516711;2019;3143;% Viajeros;0.753168029589234;A
40123;516711;2018;3143;% Viajeros;0.5660376984085477;A
40123;516711;2017;3143;% Viajeros;0.5924374851327644;A
40123;516711;2016;3143;% Viajeros;0.52686158881542;A
40123;516711;2015;3143;% Viajeros;0.39399895071658436;A
40123;516711;2014;3143;% Viajeros;0.45213809377995284;A
40123;516711;2013;3143;% Viajeros;0.5092613086258111;A
40123;55571;2020;3143;% Viajeros;0.9628795972942423;A
40123;55571;2019;3143;% Viajeros;5.077278141489789;A
40123;55571;2018;3143;% Viajeros;6.718469152007918;A
40123;55571;2017;3143;% Viajeros;7.39653398585712;A
40123;55571;2016;3143;% Viajeros;7.355663924954984;A
40123;55571;2015;3143;% Viajeros;5.376007031229873;A
40123;55571;2014;3143;% Viajeros;3.9824005453500892;A
40123;55571;2013;3143;% Viajeros;4.36692845828983;A
40123;516715;2020;3143;% Viajeros;0.2357626388319115;A
40123;516715;2019;3143;% Viajeros;0.6088134260941086;A
